biz_trade_shipment_month,biz_trade_port_of_entry_code,biz_trade_hs_code_6,biz_trade_trade_direction_code,biz_trade_trade_value_usd,biz_trade_trade_weight_kg,biz_trade_country_partner_code,biz_trade_transport_mode_code,biz_trade_containerized_flag,biz_trade_freight_rate_index,biz_trade_customs_clearance_hours,biz_trade_inspection_rate_pct,biz_trade_tariff_rate_effective_pct,biz_trade_trade_remedy_flag,biz_trade_origin_supply_chain_risk,biz_trade_destination_demand_index,biz_trade_seasonality_factor,biz_trade_re_export_flag,biz_trade_trade_finance_constraint_flag,biz_trade_data_release_version
2017-01,OAK,704365,IMPORT,1303469116.24,65350821.38,TH,OCEAN,0,131.33,220.14,34.281,7.8,0,54.94,55.63,1.0721,0,1,REL0000001
2017-02,NYC,386694,IMPORT,2546713185.17,18323271.75,FR,TRUCK,1,249.76,199.34,21.741,25.419,0,97.16,94.61,0.7042,0,0,REL0000002
2017-03,SEA,631973,EXPORT,1601391961.52,34395709.26,GB,OCEAN,1,247.66,34.01,2.816,40.65,0,69.27,9.03,1.408,0,0,REL0000003
2017-04,OAK,444436,IMPORT,1605151210.76,31049427.75,CA,AIR,0,235.54,154.97,16.549,8.939,0,76.02,69.96,0.6351,0,1,REL0000004
2017-05,LAX,361204,EXPORT,953461644.0,64060180.93,NL,AIR,1,137.62,105.13,26.908,1.172,0,11.47,63.65,0.7332,0,1,REL0000005
2017-06,NYC,936981,EXPORT,481592854.2,84421409.8,JP,OCEAN,1,196.21,164.7,17.402,43.829,0,19.5,60.02,1.0467,0,0,REL0000006
2017-07,MIA,941669,IMPORT,3675754863.29,44504442.52,TH,OCEAN,1,147.18,143.73,8.238,11.79,0,98.73,2.63,1.0948,0,0,REL0000007
2017-08,NYC,121483,IMPORT,6553692480.24,55711315.94,CA,OCEAN,1,112.5,32.24,13.45,39.72,0,76.9,5.09,0.8993,0,0,REL0000008
2017-09,LGB,360916,IMPORT,6788020248.08,50014288.74,DE,AIR,1,216.39,214.77,16.974,46.466,0,88.85,89.04,1.3596,0,0,REL0000009
2017-10,LGB,862630,REEXPORT,7024955000.03,61057005.83,ES,OCEAN,0,98.96,89.15,6.152,3.822,0,18.82,72.56,1.1883,1,0,REL0000010
