care_capacity_snapshot_date,care_capacity_facility_npi,care_capacity_facility_type_code,care_capacity_service_line_code,care_capacity_licensed_beds_count,care_capacity_staffed_beds_count,care_capacity_icu_beds_count,care_capacity_ed_bays_count,care_capacity_operating_rooms_count,care_capacity_imaging_units_mri,care_capacity_imaging_units_ct,care_capacity_primary_care_fte,care_capacity_nurse_fte,care_capacity_specialist_fte,care_capacity_patient_to_nurse_ratio,care_capacity_avg_wait_time_minutes,care_capacity_appointment_availability_days,care_capacity_closure_risk_score,care_capacity_rural_critical_access_flag,care_capacity_licensure_state_code
2021-01-01,1000000001,FQHC,BEHAVIORAL,367,291,56,12,12,0,14,20.6,381.31,214.15,3.77,57,82,0.2812,0,MS
2021-01-02,1000000002,HOSPITAL,CARD,120,89,14,153,9,13,10,61.61,381.28,79.58,7.18,65,29,0.4137,0,LA
2021-01-03,1000000003,LTACH,ICU,690,564,21,125,2,13,18,161.45,712.29,114.96,8.69,211,42,0.1099,0,CT
2021-01-04,1000000004,CLINIC,ONC,706,622,77,14,3,1,5,50.45,592.78,647.7,7.63,144,40,0.2072,0,VT
2021-01-05,1000000005,CLINIC,ORTHO,26,24,24,105,31,17,17,77.45,1633.84,303.53,3.03,110,43,0.5771,0,NV
2021-01-06,1000000006,LTACH,ORTHO,696,592,29,44,15,7,10,1.98,248.66,519.95,4.42,344,74,0.7163,0,SC
2021-01-07,1000000007,HOSPITAL,ICU,542,482,92,94,1,8,11,69.06,1606.66,607.58,6.69,135,43,0.234,1,WV
2021-01-08,1000000008,LTACH,ED,331,207,18,10,8,5,13,32.33,912.07,31.83,4.63,87,8,0.3587,1,TX
2021-01-09,1000000009,RHC,ED,67,47,21,11,43,0,0,159.89,439.87,337.14,3.47,166,27,0.223,0,KS
2021-01-10,1000000010,HOSPITAL,ICU,859,632,73,69,3,0,5,215.42,226.21,311.86,8.43,359,6,0.7067,0,OK
2021-01-11,1000000011,FQHC,MED_SURG,577,386,15,9,13,8,25,39.61,2124.49,186.13,8.78,164,16,0.3734,0,NH
2021-01-12,1000000012,CLINIC,OB,807,550,35,54,22,11,17,160.12,629.99,494.22,6.71,83,82,0.7024,1,TX
2021-01-13,1000000013,CLINIC,OB,838,622,53,121,20,9,9,25.21,1210.76,570.51,4.3,175,39,0.2616,0,OK
2021-01-14,1000000014,HOSPITAL,CARD,18,17,17,22,38,16,8,203.28,1811.66,468.25,3.18,161,9,0.9608,0,WI
2021-01-15,1000000015,HOSPITAL,ED,902,670,26,157,15,4,0,190.35,810.16,289.12,8.01,340,74,0.0437,0,AL
2021-01-16,1000000016,SNF,ED,731,624,12,62,14,11,13,210.9,1915.8,592.21,8.54,253,18,0.2503,0,MS
2021-01-17,1000000017,ASC,PEDS,868,637,66,134,29,17,16,175.42,312.31,539.66,4.0,299,77,0.8543,0,TX
2021-01-18,1000000018,RHC,ICU,44,39,2,136,40,8,3,26.24,91.51,386.56,8.5,27,24,0.9819,0,NM
2021-01-19,1000000019,FQHC,ICU,684,434,107,3,20,2,5,116.01,355.45,37.83,5.38,107,62,0.9351,0,MI
2021-01-20,1000000020,ASC,ICU,925,618,5,39,15,15,7,177.3,1442.58,387.83,4.84,125,74,0.9348,0,NM
2021-01-21,1000000021,HOSPITAL,ICU,269,191,4,4,17,16,8,69.09,1598.77,435.48,4.27,15,11,0.9826,0,GA
2021-01-22,1000000022,SNF,PEDS,99,81,54,59,29,14,17,183.12,64.89,107.01,6.56,212,17,0.4271,0,NV
2021-01-23,1000000023,ASC,OB,715,590,115,1,39,0,9,132.11,1538.02,552.58,3.0,104,86,0.3256,0,MD
2021-01-24,1000000024,HOSPITAL,BEHAVIORAL,745,607,37,75,37,3,6,19.1,1583.99,622.25,9.15,176,15,0.3311,0,NE
2021-01-25,1000000025,FQHC,CARD,371,346,43,87,24,15,18,177.83,712.86,514.07,5.28,156,77,0.7072,0,MS
2021-01-26,1000000026,CLINIC,ED,670,513,81,76,10,11,25,160.65,1726.56,415.86,9.97,172,2,0.2155,0,KY
2021-01-27,1000000027,ASC,ONC,301,216,85,84,15,14,19,206.41,2064.76,14.63,8.1,50,0,0.2612,1,AL
2021-01-28,1000000028,SNF,ONC,101,85,80,90,17,3,5,191.98,563.33,53.81,7.08,343,24,0.3473,0,NV
