care_costs_billing_year,care_costs_drg_code,care_costs_allowed_amount_avg,care_costs_paid_amount_avg,care_costs_patient_responsibility_avg,care_costs_charge_amount_avg,care_costs_cost_to_charge_ratio,care_costs_denial_rate_pct,care_costs_prior_auth_required_flag,care_costs_appeal_overturn_rate,care_costs_collection_rate_pct,care_costs_charity_care_share_pct,care_costs_bad_debt_share_pct,care_costs_price_transparency_file_flag,care_costs_shoppable_service_code,care_costs_site_of_care_shift_index,care_costs_contracted_rate_index,care_costs_out_of_network_rate_index,care_costs_surprise_bill_incidence_rate,care_costs_inflation_adjustment_base
2013,DRG00001,54146.22,41929.27,4031.08,149358.55,0.3625,24.98,0,16.84,77.54,7.3,5.25,0,SHOP000001,0.6277,136.89,82.34,2.518,CPI_2017
2016,DRG00002,19489.48,15037.89,1946.64,58754.07,0.3317,17.53,1,79.87,52.28,0.03,4.51,1,SHOP000002,0.8295,135.5,164.84,0.727,CPI_2022
2021,DRG00003,38690.8,28102.47,6833.04,78691.46,0.4917,17.2,0,57.81,66.79,0.75,11.08,1,SHOP000003,0.3876,116.43,166.83,6.036,PCE_2017
2025,DRG00004,59090.79,53770.94,2447.03,265107.7,0.2229,6.73,0,56.8,87.24,4.73,14.63,1,SHOP000004,0.5855,117.72,164.36,6.373,CPI_2012
2009,DRG00005,40615.66,24109.24,4900.56,173375.94,0.2343,16.31,1,15.09,44.94,4.74,11.13,0,SHOP000005,0.939,123.45,167.1,4.895,CPI_2012
2016,DRG00006,42608.21,26986.75,4251.21,77391.83,0.5506,17.35,1,44.94,88.55,4.45,5.54,0,SHOP000006,0.2523,139.33,218.31,3.619,CPI_2017
2015,DRG00007,42572.25,31829.62,1741.05,100227.31,0.4248,12.2,1,20.06,70.87,0.74,16.73,1,SHOP000007,0.859,71.07,144.61,4.75,PCE_2012
2024,DRG00008,51757.35,38913.98,4439.09,182888.55,0.283,8.31,1,18.93,47.79,2.14,3.02,1,SHOP000008,0.1518,122.92,183.8,2.652,PCE_2017
2022,DRG00009,63639.29,48961.01,9582.39,285714.13,0.2227,3.73,1,14.16,67.18,4.22,15.89,0,SHOP000009,0.9493,114.09,116.38,4.84,PCE_2022
2012,DRG00010,34653.98,20686.1,6294.98,143926.94,0.2408,2.45,1,38.71,53.11,8.32,1.09,1,SHOP000010,0.3094,124.22,176.58,6.356,PCE_2022
2013,DRG00011,37982.11,32044.87,7043.88,86658.99,0.4383,9.25,1,83.68,49.25,9.0,11.08,1,SHOP000011,0.696,105.73,101.81,3.75,PCE_2022
2022,DRG00012,61482.52,36549.43,8112.18,220055.26,0.2794,12.48,1,62.64,67.55,1.71,4.07,1,SHOP000012,0.3019,97.25,101.33,4.13,PCE_2022
2016,DRG00013,45913.06,27723.55,10106.55,211556.43,0.217,15.46,1,30.97,51.18,11.16,3.95,1,SHOP000013,0.9894,113.48,131.59,3.736,CPI_2017
2024,DRG00014,42403.13,30586.96,6819.04,87471.91,0.4848,10.16,0,20.47,96.86,10.75,12.94,1,SHOP000014,0.4815,130.88,146.36,4.476,CPI_2017
2016,DRG00015,9959.46,7792.57,766.42,28453.23,0.35,18.21,1,66.33,62.05,9.72,5.56,1,SHOP000015,0.1363,102.75,217.91,4.241,PCE_2012
2020,DRG00016,43212.95,25958.19,3618.17,105314.36,0.4103,5.94,0,24.35,98.53,3.45,16.75,0,SHOP000016,0.372,136.19,193.15,6.031,PCE_2012
2019,DRG00017,12418.33,11802.66,715.3,49568.89,0.2505,12.23,1,83.31,92.41,5.72,5.13,1,SHOP000017,0.5234,135.06,86.31,5.667,CPI_2012
2014,DRG00018,33696.75,23413.46,1718.83,156394.72,0.2155,8.37,1,58.22,52.75,4.66,6.02,1,SHOP000018,0.9122,132.44,218.58,2.71,PCE_2022
2024,DRG00019,47904.31,29889.8,2353.59,219607.42,0.2181,20.42,0,73.76,98.27,10.29,13.09,1,SHOP000019,0.6608,73.37,207.66,0.72,PCE_2017
2015,DRG00020,28186.38,17282.71,4620.05,128232.7,0.2198,9.33,0,13.12,83.11,6.04,15.26,1,SHOP000020,0.5017,86.37,180.76,5.217,PCE_2017
2017,DRG00021,35856.09,26216.7,5320.85,147097.66,0.2438,14.21,1,23.39,59.59,2.95,12.08,1,SHOP000021,0.8504,80.2,116.48,0.133,PCE_2012
2020,DRG00022,13238.53,11149.25,2164.57,43092.9,0.3072,22.53,1,76.0,59.25,3.05,12.52,0,SHOP000022,0.2168,125.68,169.71,2.742,PCE_2012
2022,DRG00023,33407.1,27805.86,5142.36,63254.29,0.5281,3.01,0,70.68,72.2,10.65,15.73,1,SHOP000023,0.2029,107.47,150.62,3.872,PCE_2017
2017,DRG00024,14281.72,13556.5,1537.72,47104.38,0.3032,5.61,1,65.82,90.15,7.49,1.08,0,SHOP000024,0.0989,127.57,93.21,1.515,PCE_2022
2018,DRG00025,65852.33,48417.82,9810.37,250091.2,0.2633,11.35,1,20.03,87.23,5.85,0.61,1,SHOP000025,0.5165,80.63,157.89,0.44,CPI_2022
2009,DRG00026,3389.95,3201.79,267.15,11168.71,0.3035,6.86,0,83.1,62.77,7.47,12.96,1,SHOP000026,0.5492,74.96,175.58,0.578,PCE_2012
2018,DRG00027,2654.45,2115.4,605.31,8149.18,0.3257,17.85,0,67.28,55.81,5.65,6.06,0,SHOP000027,0.8938,120.02,186.11,1.401,CPI_2012
2018,DRG00028,37814.66,31927.13,4233.46,127759.33,0.296,3.46,1,82.42,79.95,10.21,15.03,1,SHOP000028,0.55,107.72,174.03,2.897,CPI_2017
2021,DRG00029,11056.49,9656.24,481.1,51082.16,0.2164,16.77,0,40.43,67.62,10.51,2.73,0,SHOP000029,0.1252,139.17,83.36,5.872,CPI_2017
