care_coverage_coverage_year,care_coverage_marketplace_rating_area,care_coverage_plan_metal_level,care_coverage_premium_second_lowest_silver,care_coverage_premium_benchmark_adjusted,care_coverage_deductible_individual,care_coverage_oop_max_individual,care_coverage_network_tier_type,care_coverage_covered_lives_count,care_coverage_uninsured_rate_estimate,care_coverage_medicaid_enrollment,care_coverage_chip_enrollment,care_coverage_medicare_enrollment,care_coverage_employer_covered_share_pct,care_coverage_self_insured_share_pct,care_coverage_subsidy_eligible_share_pct,care_coverage_csr_variant_code,care_coverage_plan_switch_rate_pct,care_coverage_special_enrollment_count,care_coverage_rate_review_status
2023,RA000001,SILVER,446.67,432.32,215,2966,NARROW,53148,5.19,164679,71931,677333,28.51,45.63,64.2,NONE,34.19,20592,APPROVED
2024,RA000002,SILVER,670.21,665.87,4076,2668,HMO,12738,21.36,298751,190434,810593,43.35,53.94,10.02,CSR73,6.14,18274,PENDING
2016,RA000003,GOLD,836.59,805.75,694,8624,BROAD,122535,3.27,667685,15995,250017,25.61,25.92,12.82,CSR87,28.28,25341,MODIFIED
2024,RA000004,BRONZE,769.9,770.61,1852,2645,NARROW,257626,10.86,483163,174422,1640957,44.81,58.1,33.65,NONE,22.57,22118,NOT_REQUIRED
2018,RA000005,BRONZE,315.77,279.15,6442,5986,EPO,244907,15.68,659007,138840,793364,22.61,18.45,47.63,CSR94,10.45,58007,APPROVED
2025,RA000006,GOLD,977.05,993.63,3653,2920,EPO,79125,2.8,266008,229951,257794,70.21,32.14,60.3,NONE,35.42,11268,MODIFIED
2017,RA000007,GOLD,615.37,629.32,353,2426,HMO,8524,1.59,43569,66218,193449,66.41,44.24,24.3,NONE,36.59,46628,MODIFIED
2023,RA000008,BRONZE,278.48,288.68,4811,5730,HMO,18916,5.77,924576,167289,1219450,43.76,64.12,0.53,NONE,15.39,34420,MODIFIED
2025,RA000009,BRONZE,569.74,509.3,220,2106,NARROW,169722,2.05,186917,139215,1228474,46.12,31.13,74.94,NONE,10.74,21105,MODIFIED
2015,RA000010,SILVER,914.22,867.29,8604,1734,EPO,207408,3.32,1164881,79138,669878,39.09,50.78,40.36,NONE,35.52,37465,DENIED
2015,RA000011,SILVER,902.11,947.86,4592,3620,TIERED,245984,2.28,992236,19963,280981,49.28,58.06,54.6,CSR87,39.26,65629,APPROVED
2020,RA000012,BRONZE,578.44,504.07,7939,8774,HMO,240574,11.65,966138,193362,1544281,42.75,6.69,66.91,CSR73,13.06,48475,NOT_REQUIRED
2025,RA000013,SILVER,237.4,247.61,1329,6571,BROAD,243270,7.04,150533,106776,1322540,65.53,52.19,31.76,NONE,35.37,58836,APPROVED
2019,RA000014,BRONZE,636.55,552.98,2631,5919,HMO,232403,10.63,162615,112648,308293,35.6,33.21,59.81,CSR87,13.82,34191,NOT_REQUIRED
2016,RA000015,SILVER,336.35,345.81,3701,4863,EPO,172866,13.27,493457,196730,1233030,42.91,46.86,15.73,CSR87,23.23,78884,PENDING
2023,RA000016,SILVER,736.04,726.84,1885,6272,HMO,20424,13.06,569529,141053,68132,70.2,32.02,16.7,NONE,32.09,81119,PENDING
2025,RA000017,BRONZE,931.62,857.7,3553,6314,EPO,105618,20.97,713251,121447,661175,61.34,64.84,61.49,NONE,35.29,16256,APPROVED
2018,RA000018,GOLD,241.06,234.75,6480,8297,TIERED,152323,17.11,891518,23646,623361,53.77,9.11,57.68,NONE,8.08,41773,MODIFIED
2023,RA000019,SILVER,789.03,703.76,558,5278,NARROW,35839,14.17,976063,125752,520539,67.42,48.98,0.28,NONE,33.37,51256,APPROVED
2014,RA000020,SILVER,464.65,495.21,6463,6235,PPO,205841,17.75,1113373,126314,134944,39.51,12.68,23.39,CSR94,13.41,83104,NOT_REQUIRED
