care_quality_reporting_period,care_quality_measure_id,care_quality_numerator_count,care_quality_denominator_count,care_quality_risk_adjustment_model,care_quality_star_rating_value,care_quality_hospital_acquired_infection_rate,care_quality_surgical_complication_rate,care_quality_mortality_30day_rate,care_quality_patient_experience_score,care_quality_timely_effective_care_score,care_quality_medication_error_rate,care_quality_falls_with_injury_rate,care_quality_pressure_injury_rate,care_quality_sepsis_bundle_compliance,care_quality_stroke_bundle_compliance,care_quality_readmission_observed_expected,care_quality_equity_stratification_applied,care_quality_public_reporting_flag,care_quality_data_validation_status
2012-01,MEAS000001,27461,32161,HCC,1.7,0.327,3.169,6.18,89.99,46.32,8.059,3.841,5.078,90.04,53.74,1.119,0,1,PASS
2012-02,MEAS000002,45853,77395,APR_DRG,1.2,3.177,6.307,4.43,58.02,81.54,1.278,3.115,0.81,75.49,39.44,1.246,0,0,PASS
2012-03,MEAS000003,133607,221761,APR_DRG,1.5,1.01,7.294,4.36,54.79,89.59,6.715,2.095,4.763,45.69,49.15,0.624,1,0,FAIL
2012-04,MEAS000004,76967,158934,HCC,3.7,1.307,0.425,8.7,87.68,86.62,2.507,4.67,5.103,47.6,88.15,1.085,0,1,WARN
2012-05,MEAS000005,95517,109911,CMS_READM,4.1,0.709,2.295,3.27,73.71,56.65,6.593,4.19,3.34,81.19,31.13,0.977,0,0,PASS
2012-06,MEAS000006,75484,97088,HCC,4.3,0.113,4.515,4.75,78.11,41.02,1.483,5.067,4.322,42.49,80.54,0.762,1,1,PASS
2012-07,MEAS000007,121106,185223,APR_DRG,1.0,0.474,1.94,10.24,62.82,47.01,4.942,5.365,0.064,83.84,50.17,0.619,1,1,PASS
2012-08,MEAS000008,45471,103311,CUSTOM_GLM,3.2,0.567,6.335,11.24,85.57,50.73,1.054,4.581,3.45,42.0,55.04,1.026,1,1,PASS
2012-09,MEAS000009,151957,235167,APR_DRG,2.1,2.83,1.672,10.62,46.52,77.07,6.62,1.046,3.596,57.26,79.47,0.739,0,1,PASS
2012-10,MEAS000010,95913,208602,CMS_READM,2.2,3.197,5.753,7.03,73.67,87.52,3.184,0.449,0.648,62.61,44.49,1.291,0,0,PASS
