care_util_claim_month,care_util_place_of_service_code,care_util_procedure_code,care_util_diagnosis_group_code,care_util_member_months,care_util_visit_count,care_util_admission_count,care_util_readmission_30day_rate,care_util_ed_visit_rate,care_util_preventive_visit_rate,care_util_telehealth_visit_rate,care_util_high_cost_claimant_share,care_util_generic_fill_rate,care_util_imaging_rate_per_1k,care_util_lab_rate_per_1k,care_util_post_acute_utilization_rate,care_util_home_health_utilization_rate,care_util_pmpm_cost_total,care_util_pmpm_cost_inpatient,care_util_pmpm_cost_outpatient
2010-01,42,PROC000001,RENAL,159539,2482,126,3.98,270.64,113.98,191.47,2.09,62.31,28.83,630.86,0.8,13.13,358.12,188.29,169.83
2010-02,49,PROC000002,MSK,120606,2314,128,21.99,442.26,547.97,205.78,3.83,82.66,142.98,621.1,9.0,14.69,346.42,63.64,282.78
2010-03,34,PROC000003,RENAL,369523,2358,117,20.25,65.81,684.76,55.32,5.53,87.06,369.71,1007.79,5.43,15.14,517.44,119.64,397.8
2010-04,33,PROC000004,INFECT,181400,2463,137,17.33,389.36,544.87,37.07,5.76,70.23,59.12,783.48,7.37,11.7,507.31,237.07,270.24
2010-05,41,PROC000005,ONC,71133,2392,131,9.33,160.21,592.8,143.04,5.05,88.8,212.94,608.58,18.16,8.75,583.07,233.14,349.93
2010-06,22,PROC000006,INFECT,357268,2414,110,7.84,504.08,552.1,99.63,4.27,91.76,178.54,1151.29,10.77,3.44,302.94,128.39,174.55
2010-07,61,PROC000007,MSK,268448,2289,109,5.3,324.35,467.14,178.3,4.35,64.29,191.57,698.3,3.45,18.07,941.24,419.82,521.42
2010-08,61,PROC000008,RESP,172957,2335,120,21.28,87.88,645.83,167.96,5.27,88.76,179.43,739.8,18.58,9.53,892.24,225.14,667.1
2010-09,61,PROC000009,ONC,236051,2354,102,20.68,314.95,552.26,14.91,6.22,61.49,43.68,384.13,10.9,9.34,1129.45,206.87,922.58
2010-10,32,PROC000010,ONC,278782,2391,124,16.94,53.93,244.52,205.23,3.97,75.53,318.39,743.37,17.42,15.3,852.22,299.99,552.23
2010-11,49,PROC000011,ONC,125962,2459,124,19.35,52.21,492.14,192.1,6.46,72.13,316.43,470.82,7.72,13.91,501.88,136.22,365.66
2010-12,32,PROC000012,DERM,209638,2447,138,20.36,471.58,634.58,28.96,4.82,59.65,135.16,1396.2,3.56,2.19,196.55,78.73,117.82
2011-01,71,PROC000013,MSK,22149,2305,125,10.32,503.33,700.26,236.97,0.94,89.72,199.95,1296.02,27.04,7.51,1062.67,432.25,630.42
2011-02,50,PROC000014,ONC,176431,2371,143,16.64,460.17,413.98,65.0,1.29,84.87,44.07,276.48,18.12,19.64,396.03,161.6,234.43
2011-03,21,PROC000015,NEURO,344902,2448,109,12.76,254.41,130.74,72.48,6.19,63.59,356.24,797.86,2.61,0.87,668.7,348.7,320.0
2011-04,24,PROC000016,INFECT,219314,2391,129,9.83,443.6,531.13,99.5,3.53,65.76,61.6,952.93,2.32,1.15,392.17,122.97,269.2
2011-05,81,PROC000017,DERM,253728,2462,121,3.18,153.38,169.41,89.53,3.42,76.9,148.71,625.73,10.5,11.21,1073.51,406.71,666.8
2011-06,34,PROC000018,CARDIO,61307,2346,120,11.75,40.95,500.36,198.28,0.39,75.71,82.14,1148.58,22.04,9.05,390.68,211.4,179.28
2011-07,49,PROC000019,CARDIO,368028,2432,117,14.43,262.31,150.82,110.27,4.24,64.21,168.24,1215.34,26.17,10.05,121.71,28.48,93.23
2011-08,71,PROC000020,INFECT,434002,2374,109,10.48,364.87,693.74,122.95,3.32,61.6,156.7,556.26,23.08,5.83,423.0,186.32,236.68
2011-09,81,PROC000021,ONC,271745,2462,101,10.71,307.96,531.95,209.99,4.67,91.55,198.68,1147.69,21.51,17.46,149.26,53.77,95.49
2011-10,71,PROC000022,NEURO,107488,2449,111,11.76,42.65,522.17,31.25,1.77,69.42,289.72,428.23,17.49,4.55,901.3,173.62,727.68
2011-11,21,PROC000023,GI,205640,2419,99,17.82,374.39,207.35,148.16,3.23,95.06,46.33,546.48,12.58,12.76,999.84,350.21,649.63
2011-12,22,PROC000024,GI,99121,2479,119,9.24,173.76,684.84,210.85,3.93,55.43,115.55,390.97,23.91,0.45,933.72,491.26,442.46
2012-01,57,PROC000025,ENDO,286268,2369,124,19.6,256.5,550.85,180.63,1.38,62.49,20.22,1122.21,6.37,2.49,560.23,217.78,342.45
2012-02,21,PROC000026,MSK,190434,2429,100,18.88,503.18,140.24,11.56,3.98,67.95,209.69,578.88,0.6,6.16,1218.22,486.67,731.55
2012-03,50,PROC000027,NEURO,242931,2402,123,5.96,198.83,190.09,78.14,2.11,68.17,357.23,474.84,20.78,8.47,324.55,159.46,165.09
2012-04,33,PROC000028,INFECT,98796,2405,141,11.79,391.77,386.98,81.85,2.08,77.96,270.06,1261.74,16.36,4.68,777.92,213.0,564.92
2012-05,24,PROC000029,DERM,32153,2412,121,8.99,169.25,221.66,9.03,5.32,94.32,291.1,135.18,4.05,21.15,152.08,66.19,85.89
2012-06,31,PROC000030,RENAL,335480,2360,106,17.73,118.52,230.17,228.88,1.14,59.94,64.37,777.23,6.18,4.16,707.28,352.91,354.37
2012-07,11,PROC000031,NEURO,59640,2425,122,4.79,168.94,717.92,224.88,4.68,78.58,263.5,606.49,9.07,10.22,251.93,131.27,120.66
2012-08,49,PROC000032,NEURO,377715,2369,135,7.6,200.51,255.0,0.92,5.25,79.8,136.35,931.86,20.9,8.8,553.12,123.47,429.65
2012-09,57,PROC000033,ONC,219118,2457,134,10.3,179.57,478.27,233.28,4.91,66.23,28.35,1367.97,25.24,18.14,731.35,370.87,360.48
2012-10,41,PROC000034,OBGYN,243955,2426,108,8.35,273.98,299.17,65.53,1.07,71.62,157.51,624.31,8.89,16.01,1189.22,444.25,744.97
2012-11,34,PROC000035,RESP,394226,2358,131,12.78,363.98,533.58,18.27,2.92,92.86,292.58,1049.19,0.75,14.95,1016.67,413.78,602.89
2012-12,19,PROC000036,RESP,74085,2396,134,10.01,345.88,178.79,17.91,1.76,94.85,240.85,836.37,3.65,4.42,260.27,101.41,158.86
2013-01,42,PROC000037,ONC,24108,2360,138,6.94,451.19,667.24,59.05,4.03,85.65,233.64,760.49,2.53,7.5,870.66,255.47,615.19
2013-02,11,PROC000038,DERM,107874,2386,108,17.23,161.19,464.67,142.52,1.35,95.64,170.83,406.92,7.63,15.01,726.4,208.86,517.54
2013-03,33,PROC000039,INFECT,186088,2406,106,10.09,132.46,229.36,106.3,0.55,58.82,27.12,1305.94,19.38,15.0,172.19,70.69,101.5
2013-04,42,PROC000040,MSK,277254,2354,122,3.83,380.59,288.7,82.53,5.44,91.0,107.19,435.49,23.61,2.75,203.82,50.23,153.59
2013-05,22,PROC000041,ONC,40735,2444,109,7.94,189.34,92.4,41.26,0.24,72.89,125.93,753.96,12.2,18.94,602.66,157.57,445.09
2013-06,22,PROC000042,ONC,393065,2455,125,9.47,412.38,257.25,98.75,4.34,91.74,261.43,779.18,25.19,10.7,329.91,153.58,176.33
2013-07,21,PROC000043,ONC,327341,2401,127,18.77,61.27,178.48,75.4,6.43,68.49,311.6,743.98,27.11,17.16,303.13,100.26,202.87
2013-08,22,PROC000044,DERM,32652,2424,131,18.26,273.7,673.42,213.88,2.04,64.99,313.3,320.33,2.81,0.82,378.53,160.27,218.26
2013-09,31,PROC000045,NEURO,196296,2412,131,20.82,461.85,668.26,79.8,6.04,94.73,119.81,1198.6,15.59,12.31,933.75,508.2,425.55
2013-10,32,PROC000046,OBGYN,37398,2298,112,10.65,193.09,411.42,214.65,1.92,58.44,297.99,886.52,26.99,21.4,1021.22,238.09,783.13
2013-11,71,PROC000047,MSK,197940,2433,113,8.01,221.38,175.68,208.98,6.21,86.27,90.31,1103.89,20.27,19.21,520.05,280.2,239.85
2013-12,21,PROC000048,OBGYN,320379,2345,129,6.73,270.21,656.35,5.31,5.42,93.58,371.25,695.96,14.14,15.84,619.23,316.17,303.06
2014-01,71,PROC000049,GI,251613,2437,126,15.7,92.39,658.82,65.79,0.68,66.5,115.14,708.29,16.29,19.8,1162.91,522.67,640.24
2014-02,33,PROC000050,CARDIO,319101,2378,120,20.62,478.32,496.02,183.3,5.81,94.91,79.78,1358.18,8.4,17.84,502.22,265.9,236.32
2014-03,49,PROC000051,NEURO,230572,2358,136,6.18,120.66,491.13,150.06,0.8,66.06,379.06,381.91,20.97,10.46,359.42,183.21,176.21
2014-04,21,PROC000052,GI,329984,2467,135,3.26,397.58,311.56,81.18,5.51,57.57,163.16,141.2,17.96,14.81,197.16,88.92,108.24
2014-05,49,PROC000053,RESP,7293,2400,126,10.01,142.83,214.08,237.27,6.35,93.74,379.3,1186.64,20.07,3.86,917.08,392.23,524.85
2014-06,23,PROC000054,OBGYN,342876,2464,113,8.45,382.32,701.55,61.5,3.25,70.34,85.87,1249.79,26.78,4.15,1222.34,532.53,689.81
2014-07,11,PROC000055,ONC,444471,2480,116,14.66,457.22,474.07,222.07,2.28,89.74,303.59,1298.44,0.23,13.16,1141.01,376.06,764.95
2014-08,57,PROC000056,RENAL,103806,2397,115,15.35,435.66,677.9,161.94,5.9,87.11,80.29,1240.33,7.93,7.1,798.87,332.56,466.31
2014-09,71,PROC000057,NEURO,256983,2289,141,8.98,488.39,653.58,121.88,6.05,61.82,73.78,313.97,22.49,1.85,513.14,248.56,264.58
2014-10,19,PROC000058,RESP,59920,2422,123,19.1,69.97,654.29,136.2,6.45,62.23,66.14,1071.77,16.42,10.87,759.87,140.53,619.34
2014-11,42,PROC000059,ONC,167978,2410,113,14.63,119.69,138.05,187.94,2.82,91.71,313.38,972.23,6.09,1.67,293.05,93.72,199.33
2014-12,61,PROC000060,ENDO,18150,2425,129,4.89,41.03,346.32,74.62,2.14,74.25,180.79,770.06,8.18,17.64,1053.39,452.61,600.78
2015-01,23,PROC000061,DERM,381166,2444,137,16.27,397.19,134.51,98.5,4.64,61.61,228.85,977.02,2.37,13.37,509.85,149.31,360.54
2015-02,57,PROC000062,GI,409666,2445,122,19.1,250.97,207.5,25.13,5.86,86.24,121.66,1043.24,21.55,11.88,983.96,452.9,531.06
2015-03,49,PROC000063,NEURO,62784,2343,119,17.8,421.96,192.06,63.41,6.14,83.42,139.5,630.94,18.08,16.93,1043.53,448.25,595.28
2015-04,41,PROC000064,RESP,168580,2452,136,18.36,133.23,104.85,113.96,2.47,67.08,360.5,234.33,12.24,14.02,642.19,163.12,479.07
2015-05,31,PROC000065,GI,364943,2330,113,9.61,342.78,481.42,158.69,5.87,84.85,56.74,911.15,18.95,14.25,152.12,80.72,71.4
2015-06,81,PROC000066,RESP,8221,2421,136,3.72,418.29,514.89,36.22,2.7,80.06,144.3,932.83,17.65,19.46,954.1,451.77,502.33
2015-07,34,PROC000067,MSK,125192,2410,110,3.86,213.38,98.87,185.2,4.48,69.3,287.9,683.46,24.82,3.29,776.53,296.42,480.11
2015-08,61,PROC000068,ENDO,246048,2418,115,20.5,375.89,260.02,185.08,3.34,78.56,166.61,227.09,13.09,8.18,696.64,141.7,554.94
2015-09,33,PROC000069,RESP,290688,2405,111,8.24,488.03,196.09,31.56,6.03,64.6,359.11,538.92,4.4,17.4,168.27,38.59,129.68
2015-10,33,PROC000070,CARDIO,58928,2349,110,14.54,339.77,501.64,169.71,0.38,61.99,317.4,687.32,13.01,12.52,675.61,292.93,382.68
2015-11,41,PROC000071,RENAL,46724,2323,117,16.02,70.66,700.98,2.49,3.86,79.61,118.21,685.98,9.66,2.65,854.27,321.72,532.55
2015-12,32,PROC000072,NEURO,126893,2456,119,15.05,491.24,186.02,238.41,1.42,72.23,339.04,1295.95,6.87,3.67,764.75,197.67,567.08
2016-01,33,PROC000073,DERM,384134,2376,139,7.41,381.61,181.84,213.72,1.76,71.9,370.39,469.9,17.54,12.58,1179.94,510.91,669.03
2016-02,33,PROC000074,NEURO,266562,2409,118,10.28,182.27,200.57,214.51,2.41,72.54,123.99,749.91,5.39,20.49,385.4,190.08,195.32
2016-03,50,PROC000075,GI,379271,2453,115,4.26,149.67,384.57,47.72,1.64,91.79,301.16,145.6,2.05,12.54,1139.66,408.99,730.67
2016-04,34,PROC000076,RESP,341596,2435,100,10.53,434.26,671.9,48.36,0.78,58.05,59.94,791.32,1.28,21.44,1193.04,601.95,591.09
2016-05,61,PROC000077,ONC,306230,2453,121,14.7,216.63,317.3,203.28,1.65,74.0,134.35,704.44,6.87,20.99,424.17,82.86,341.31
2016-06,24,PROC000078,MSK,211265,2320,123,5.17,362.97,451.12,230.24,0.25,94.95,90.18,297.76,22.36,17.36,209.4,81.21,128.19
2016-07,49,PROC000079,ENDO,100814,2375,120,13.21,284.81,165.43,31.38,0.96,90.95,289.53,247.18,10.99,3.37,296.68,76.17,220.51
2016-08,32,PROC000080,MSK,210992,2449,107,11.85,218.34,466.94,30.13,4.89,89.51,142.6,566.88,25.65,13.9,1165.82,330.34,835.48
2016-09,81,PROC000081,RESP,118010,2401,107,17.04,273.17,406.17,161.92,6.29,88.22,379.23,834.09,13.49,5.84,204.85,108.38,96.47
2016-10,32,PROC000082,OBGYN,297647,2425,132,8.35,380.24,644.6,199.67,2.15,88.61,21.82,911.34,15.1,16.06,358.38,143.75,214.63
2016-11,61,PROC000083,NEURO,15295,2396,122,6.07,332.81,642.38,169.56,1.02,62.7,24.24,712.61,12.53,10.29,1044.43,473.05,571.38
2016-12,61,PROC000084,RENAL,276192,2367,132,14.93,211.88,456.37,185.19,6.48,79.94,27.05,297.49,21.28,19.04,544.0,151.92,392.08
2017-01,34,PROC000085,CARDIO,379991,2417,115,17.71,445.96,698.09,108.97,4.84,63.8,25.65,308.43,9.71,21.22,479.97,157.16,322.81
2017-02,31,PROC000086,RESP,394430,2334,131,21.4,295.11,163.3,126.53,4.44,62.94,218.25,687.61,17.8,7.39,1213.46,420.68,792.78
2017-03,41,PROC000087,DERM,61948,2362,125,9.23,461.11,613.76,174.11,4.88,82.63,273.8,984.11,9.14,11.08,723.21,322.12,401.09
2017-04,11,PROC000088,MSK,172785,2414,111,12.71,167.85,300.77,161.89,0.35,92.53,367.16,918.35,20.13,7.05,333.27,176.12,157.15
2017-05,42,PROC000089,INFECT,395230,2405,124,10.44,169.37,121.31,206.64,5.96,73.33,231.3,748.16,2.69,19.82,360.38,96.77,263.61
2017-06,81,PROC000090,INFECT,443133,2342,129,13.28,479.23,579.64,73.72,2.44,64.75,196.59,1233.53,21.52,1.99,352.59,72.76,279.83
2017-07,34,PROC000091,ENDO,384157,2347,100,7.07,487.28,599.63,124.13,5.78,79.12,157.97,1351.76,22.22,10.62,250.15,99.33,150.82
2017-08,81,PROC000092,ENDO,116135,2507,117,14.88,73.43,627.37,205.16,4.32,72.85,269.09,743.46,5.01,19.58,1016.67,262.48,754.19
2017-09,11,PROC000093,ONC,190087,2410,116,6.25,304.39,361.38,53.82,5.86,62.89,233.54,574.27,18.9,6.52,1009.62,181.81,827.81
2017-10,24,PROC000094,ENDO,441820,2450,110,8.56,468.31,562.85,137.47,3.86,70.89,163.89,451.14,4.65,9.39,1188.16,242.07,946.09
2017-11,50,PROC000095,OBGYN,146667,2416,119,8.44,427.29,687.72,68.31,6.16,59.44,285.09,1277.16,25.36,10.87,727.33,295.8,431.53
2017-12,81,PROC000096,INFECT,78282,2371,96,11.13,486.89,609.15,5.91,1.04,94.43,54.62,919.79,24.39,7.88,810.32,169.22,641.1
2018-01,24,PROC000097,MSK,142442,2362,141,7.8,202.26,559.18,170.55,2.91,95.78,243.1,743.91,4.54,18.29,502.02,258.81,243.21
2018-02,24,PROC000098,ONC,449664,2409,146,6.87,123.88,247.2,207.81,2.73,87.45,198.05,356.74,16.91,11.14,572.92,174.5,398.42
2018-03,49,PROC000099,MSK,178823,2314,149,8.81,378.71,165.71,119.93,2.39,72.87,350.53,350.23,24.15,15.14,600.29,253.87,346.42
2018-04,24,PROC000100,ONC,199823,2457,125,14.16,144.89,183.51,71.25,5.71,70.72,26.89,512.88,26.8,8.13,972.24,476.28,495.96
2018-05,23,PROC000101,ENDO,224557,2446,142,10.03,271.09,223.69,216.57,2.25,68.44,29.54,1302.75,11.3,16.05,260.37,105.58,154.79
2018-06,32,PROC000102,GI,356460,2331,120,3.67,45.29,478.53,67.12,0.94,66.96,250.97,145.37,3.36,13.56,1127.67,509.2,618.47
2018-07,19,PROC000103,ENDO,415346,2388,122,14.52,381.44,102.91,202.01,4.71,71.97,83.3,1091.48,26.56,20.4,823.65,362.69,460.96
2018-08,11,PROC000104,ENDO,420939,2435,109,9.23,157.93,622.29,235.28,5.96,77.02,313.22,553.84,3.53,19.32,373.49,163.85,209.64
2018-09,24,PROC000105,RENAL,320893,2421,117,8.6,186.45,348.42,229.44,3.36,87.96,330.11,250.99,5.39,1.91,415.03,206.12,208.91
2018-10,21,PROC000106,OBGYN,54064,2427,113,8.61,330.47,532.06,70.58,6.32,85.03,90.03,328.66,18.65,13.17,365.32,175.88,189.44
2018-11,42,PROC000107,CARDIO,243087,2438,97,20.38,320.63,362.46,134.82,3.2,83.86,261.98,490.73,4.83,17.69,376.69,189.04,187.65
2018-12,34,PROC000108,INFECT,242644,2344,111,18.93,182.4,542.0,33.28,5.55,57.66,41.46,1158.51,27.01,14.26,697.82,178.69,519.13
2019-01,31,PROC000109,ENDO,309436,2395,145,13.11,75.93,537.19,223.11,2.88,60.67,263.61,681.61,9.63,18.19,201.27,105.19,96.08
2019-02,31,PROC000110,OBGYN,428166,2369,111,8.52,102.23,618.82,227.34,1.9,85.99,223.98,1165.52,8.72,18.25,128.83,42.19,86.64
2019-03,42,PROC000111,NEURO,395881,2405,124,14.4,60.79,249.41,155.3,5.32,59.81,316.72,526.62,20.19,21.05,1097.15,443.66,653.49
2019-04,61,PROC000112,MSK,72912,2442,129,14.42,240.41,582.35,199.24,2.06,76.81,366.77,872.09,12.76,17.7,689.22,287.93,401.29
2019-05,21,PROC000113,NEURO,345194,2372,115,10.73,255.48,240.36,92.37,4.27,56.68,211.11,887.81,22.55,6.97,1124.99,420.27,704.72
2019-06,41,PROC000114,MSK,377060,2344,119,8.34,56.17,694.77,233.65,5.88,85.99,167.91,588.75,7.02,17.01,1059.69,342.01,717.68
2019-07,71,PROC000115,GI,230997,2378,114,13.63,68.55,167.41,142.0,0.32,75.9,193.84,1285.03,20.24,5.32,929.93,326.99,602.94
2019-08,57,PROC000116,INFECT,151293,2399,115,20.52,440.0,289.65,66.71,3.33,66.28,328.18,789.79,26.65,11.94,280.33,95.65,184.68
2019-09,50,PROC000117,ONC,255990,2440,114,3.49,197.41,342.49,210.32,5.45,71.54,345.74,520.39,17.36,3.49,1040.04,521.01,519.03
2019-10,81,PROC000118,DERM,114318,2454,130,6.4,143.01,208.57,66.93,3.13,63.02,371.79,373.69,8.21,5.69,681.99,240.35,441.64
2019-11,61,PROC000119,DERM,151869,2477,107,21.67,57.0,671.8,215.02,1.14,55.13,157.01,988.48,16.3,14.81,961.43,456.15,505.28
2019-12,33,PROC000120,DERM,93261,2496,105,11.32,441.74,718.24,199.61,5.19,78.97,97.6,1197.17,27.99,1.91,1170.46,248.48,921.98
2020-01,41,PROC000121,ENDO,367889,2375,123,17.23,69.99,527.11,34.95,3.63,95.61,198.86,338.45,16.09,13.75,389.64,112.93,276.71
2020-02,41,PROC000122,CARDIO,235565,2415,136,7.77,116.76,546.91,111.75,2.48,65.13,311.59,466.81,5.97,7.83,500.02,190.93,309.09
