civic_ballot_election_cycle_year,civic_ballot_measure_id,civic_ballot_measure_type_code,civic_ballot_measure_topic_code,civic_ballot_ballot_title_short,civic_ballot_signature_requirement_count,civic_ballot_signatures_verified_count,civic_ballot_qualification_status_code,civic_ballot_campaign_spend_support_usd,civic_ballot_campaign_spend_oppose_usd,civic_ballot_endorsement_count_support,civic_ballot_endorsement_count_oppose,civic_ballot_media_mentions_count,civic_ballot_polling_support_pct,civic_ballot_polling_oppose_pct,civic_ballot_vote_yes_total,civic_ballot_vote_no_total,civic_ballot_measure_passed_flag,civic_ballot_implementation_start_date,civic_ballot_legal_challenge_flag
2005,MEAS000000001,AMENDMENT,HEALTH,HEALTH_TITLE000001,1432229,1426550,QUALIFIED,144585752.86,231296162.1,1085,110,148496,39.35,59.77,690949,650337,1,2023-02-22,1
2004,MEAS000000002,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000002,1458128,1438741,QUALIFIED,104496629.56,186472208.43,158,1318,36445,72.06,25.63,943903,1016820,0,2022-11-30,1
2007,MEAS000000003,AMENDMENT,TRANSPORT,TRANSPORT_TITLE000003,43046,24968,QUALIFIED,247214337.78,194141643.27,2055,2287,19615,44.32,57.46,2388054,2099805,1,2006-11-19,0
2002,MEAS000000004,CHARTER,ELECTIONS,ELECTIONS_TITLE000004,256299,258603,QUALIFIED,208856543.75,1430593.86,1979,2169,77835,39.53,63.38,1787527,2115010,0,2023-09-16,0
2009,MEAS000000005,REFERENDUM,HOUSING,HOUSING_TITLE000005,1136612,1149935,WITHDRAWN,24649203.18,2421305.91,1652,610,144791,42.64,56.74,396253,579892,0,2023-07-11,0
2017,MEAS000000006,INITIATIVE,LABOR,LABOR_TITLE000006,790332,791141,LITIGATED,195970462.31,87500241.75,1492,969,62174,58.0,42.56,882196,525060,1,2008-11-05,0
2020,MEAS000000007,CHARTER,HOUSING,HOUSING_TITLE000007,1076706,1071242,FAILED,121748299.8,28024752.23,623,357,26238,32.83,64.63,1786080,1591925,1,2014-07-09,0
2012,MEAS000000008,INITIATIVE,HOUSING,HOUSING_TITLE000008,211068,210109,QUALIFIED,129275776.62,19178018.52,1094,407,90430,66.22,36.36,202020,253496,0,2008-10-29,0
2020,MEAS000000009,INITIATIVE,OTHER,OTHER_TITLE000009,217487,233508,PENDING,8063539.07,182113810.6,1812,1654,97800,39.8,64.01,1333333,1493900,0,2018-12-29,0
2010,MEAS000000010,AMENDMENT,TAX,TAX_TITLE000010,1458312,1454012,QUALIFIED,106918831.4,145570747.4,751,1654,80695,73.21,27.39,1859175,2091938,0,2013-05-14,0
2018,MEAS000000011,BOND,LABOR,LABOR_TITLE000011,429885,422579,QUALIFIED,97240901.93,84541584.96,1724,472,36521,54.2,42.26,2471582,1080214,1,2004-10-14,0
2021,MEAS000000012,BOND,OTHER,OTHER_TITLE000012,1180261,1188978,QUALIFIED,182760573.87,39296722.63,753,1309,124425,57.54,47.29,1569808,1230070,1,2000-06-21,0
2010,MEAS000000013,BOND,ELECTIONS,ELECTIONS_TITLE000013,791808,802931,QUALIFIED,85862552.9,114510325.88,1455,799,24774,55.46,43.47,1511476,748180,1,2015-11-24,0
2002,MEAS000000014,BOND,ENVIRONMENT,ENVIRONMENT_TITLE000014,1045512,1054527,LITIGATED,235609402.1,133639392.97,213,1187,140659,48.46,50.89,95337,141610,0,2006-02-20,0
2007,MEAS000000015,BOND,ELECTIONS,ELECTIONS_TITLE000015,732414,729260,FAILED,189213264.63,97753203.73,1471,2429,114722,26.81,72.0,2005135,2652878,0,2006-01-31,0
2023,MEAS000000016,INITIATIVE,OTHER,OTHER_TITLE000016,690809,685800,LITIGATED,189607487.72,8284425.41,1897,1942,110000,64.94,30.3,1778299,781098,1,2025-08-24,0
2009,MEAS000000017,REFERENDUM,ENVIRONMENT,ENVIRONMENT_TITLE000017,349204,342056,QUALIFIED,45139070.08,9639485.3,2036,1173,28288,52.65,48.87,1194735,2440924,0,2005-07-18,1
2021,MEAS000000018,INITIATIVE,TAX,TAX_TITLE000018,1387102,1400295,QUALIFIED,48848198.97,53576750.92,964,325,91824,44.56,59.34,1138491,1332324,0,2014-09-23,0
2016,MEAS000000019,INITIATIVE,TRANSPORT,TRANSPORT_TITLE000019,1354769,1335035,QUALIFIED,29208805.63,196823898.16,142,702,39554,60.57,44.13,1698539,3097529,0,2008-01-06,0
2001,MEAS000000020,INITIATIVE,EDU,EDU_TITLE000020,285639,284541,FAILED,12401721.42,27731705.08,795,2314,68179,46.05,50.47,731422,640255,1,2010-11-24,0
2019,MEAS000000021,INITIATIVE,EDU,EDU_TITLE000021,1028764,1045125,QUALIFIED,174844745.83,33278888.84,2105,354,80159,53.79,47.02,1516936,1709619,0,2009-05-25,0
2008,MEAS000000022,BOND,HEALTH,HEALTH_TITLE000022,75673,86301,WITHDRAWN,20084626.4,65832262.0,272,2236,130006,51.48,47.19,317117,389840,0,2006-01-08,0
2015,MEAS000000023,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000023,547513,529777,LITIGATED,230791518.2,220617038.01,2056,1876,4783,64.15,33.96,499818,1038415,0,2004-12-18,0
2018,MEAS000000024,INITIATIVE,HOUSING,HOUSING_TITLE000024,756312,757766,QUALIFIED,32734708.29,208035278.68,2040,1481,103934,67.75,33.45,516971,530487,0,2019-05-18,0
2021,MEAS000000025,AMENDMENT,OTHER,OTHER_TITLE000025,119108,110363,QUALIFIED,67851045.07,175367670.75,2086,1305,58802,58.97,40.25,1924717,1049627,1,2000-09-27,1
2007,MEAS000000026,REFERENDUM,LABOR,LABOR_TITLE000026,948418,968123,PENDING,183694016.11,189740587.59,2033,383,12761,25.09,72.83,2373673,2242301,1,2009-02-12,0
2009,MEAS000000027,BOND,HOUSING,HOUSING_TITLE000027,22457,26621,QUALIFIED,184475425.34,220393842.3,396,741,93390,77.61,19.46,1653558,842347,1,2019-09-18,0
2019,MEAS000000028,AMENDMENT,LABOR,LABOR_TITLE000028,808984,805329,QUALIFIED,61438819.67,70475530.99,1203,2379,134810,37.75,57.79,1095953,899956,1,2023-07-16,0
2022,MEAS000000029,BOND,EDU,EDU_TITLE000029,1396653,1403151,WITHDRAWN,54965003.45,89674738.24,1535,1145,72623,73.11,26.15,2544213,1568125,1,2005-07-28,0
2023,MEAS000000030,BOND,ELECTIONS,ELECTIONS_TITLE000030,1485396,1482494,QUALIFIED,91463775.43,145757361.64,1726,2079,6743,38.37,60.76,2500026,1231611,1,2013-04-29,0
2018,MEAS000000031,REFERENDUM,EDU,EDU_TITLE000031,1437647,1452314,PENDING,124630527.22,134175209.03,611,1400,26421,30.56,66.55,981613,2158324,0,2016-07-03,0
2010,MEAS000000032,INITIATIVE,TAX,TAX_TITLE000032,367074,371670,PENDING,39443121.86,210833032.87,2061,489,57677,49.3,49.52,1383618,1592903,0,2025-12-14,0
2001,MEAS000000033,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000033,699280,680273,WITHDRAWN,47379097.88,17115174.26,2084,2135,63628,45.62,55.17,289711,269001,1,2001-12-07,0
2018,MEAS000000034,INITIATIVE,TAX,TAX_TITLE000034,477768,475708,QUALIFIED,228824553.52,110066831.44,823,991,70288,44.18,57.37,2148881,1536059,1,2024-04-21,1
2020,MEAS000000035,AMENDMENT,PUBLIC_SAFETY,PUBLIC_SAFETY_TITLE000035,329742,314908,FAILED,175850483.56,44772583.91,2210,1766,90943,68.72,33.27,986103,543485,1,2010-08-05,0
2019,MEAS000000036,BOND,OTHER,OTHER_TITLE000036,349502,343463,QUALIFIED,35838062.3,13820319.61,791,282,130585,54.52,44.29,2503914,1248638,1,2005-03-05,1
2001,MEAS000000037,BOND,HEALTH,HEALTH_TITLE000037,1090396,1074438,QUALIFIED,102054819.45,99388839.56,2150,2446,62955,58.29,37.21,424764,730389,0,2014-02-10,0
