civic_engage_measurement_year,civic_engage_community_area_id,civic_engage_volunteering_rate_pct,civic_engage_charitable_giving_rate_pct,civic_engage_civic_meeting_attendance_rate,civic_engage_contacted_official_rate,civic_engage_petition_signed_rate,civic_engage_protest_participation_rate,civic_engage_news_consumption_frequency,civic_engage_local_news_availability_index,civic_engage_library_membership_rate,civic_engage_public_hearing_participation,civic_engage_school_board_turnout_rate,civic_engage_trust_in_government_score,civic_engage_social_capital_index,civic_engage_neighbor_helpfulness_score,civic_engage_cross_partisan_contact_rate,civic_engage_community_org_density,civic_engage_broadband_access_for_civic,civic_engage_civic_tech_usage_rate
2024,AREA000000001,35.94,24.11,17.12,10.88,9.98,10.48,RARELY,34.12,46.09,22.75,40.68,61.48,41.94,58.65,52.7,15.7789,37.75,8.09
2008,AREA000000002,53.42,47.03,30.13,20.78,54.18,20.48,SEVERAL_WEEK,0.61,40.23,6.11,20.6,52.7,23.44,66.31,29.26,1.8108,65.6,13.03
2022,AREA000000003,42.29,27.37,34.73,23.08,44.02,14.42,SEVERAL_WEEK,23.04,40.61,8.39,15.41,30.93,65.85,5.85,68.23,24.4388,40.36,50.1
2017,AREA000000004,27.99,7.99,3.02,16.91,29.57,10.84,SEVERAL_WEEK,52.79,72.59,32.95,47.0,87.28,54.11,93.42,79.47,2.6137,56.67,12.84
2021,AREA000000005,23.25,15.44,38.24,31.17,14.6,15.34,DAILY,79.41,24.66,1.84,45.3,18.86,33.58,44.68,39.04,19.4317,67.69,66.04
2021,AREA000000006,1.29,77.02,27.17,2.69,48.82,7.82,SEVERAL_WEEK,83.31,53.75,31.08,51.71,75.37,4.49,49.04,42.63,20.2213,78.84,55.16
2009,AREA000000007,44.47,62.89,22.71,24.64,48.77,14.22,DAILY,15.11,24.7,28.33,4.87,76.26,21.88,83.65,60.5,21.8212,55.12,13.36
2022,AREA000000008,22.98,59.21,29.39,16.58,22.41,4.13,DAILY,38.53,41.16,0.96,31.63,91.79,84.62,53.94,90.92,15.2366,78.68,36.01
2013,AREA000000009,34.23,48.03,43.22,33.58,7.09,2.03,RARELY,16.05,28.11,37.86,35.11,93.5,29.7,42.88,46.18,7.0297,75.23,38.65
2012,AREA000000010,44.88,1.56,26.73,27.27,6.67,14.95,DAILY,77.16,52.2,31.34,23.48,2.05,44.81,2.8,43.68,21.3861,63.62,20.73
