civic_results_election_id,civic_results_contest_id,civic_results_office_type_code,civic_results_district_code,civic_results_precinct_reporting_status,civic_results_vote_total_candidate_1,civic_results_vote_total_candidate_2,civic_results_vote_total_candidate_3,civic_results_vote_total_writein,civic_results_vote_total_overvotes,civic_results_vote_total_undervotes,civic_results_margin_votes,civic_results_margin_pct,civic_results_swing_from_prior_pct,civic_results_incumbent_flag,civic_results_party_primary_flag,civic_results_ranked_choice_rounds_count,civic_results_recount_trigger_flag,civic_results_certification_date,civic_results_result_source_file_hash
EL0000000001,CT0000000001,CITY_COUNCIL,DIST_02,PARTIAL,2690,7283,2782,34,0,2,4593,35.914,-16.52,1,0,0,0,2009-02-24,1a745793bce81674
EL0000000002,CT0000000002,PRESIDENT,DIST_05,PARTIAL,5240,10997,1049,140,0,2,5757,33.037,14.448,1,0,0,0,2021-06-26,35ad5812b3f0ef13
EL0000000003,CT0000000003,SENATE,DIST_06,COMPLETE,5081,4172,1494,1473,0,2,909,7.439,-0.757,0,0,0,0,2016-11-27,0d2b9adb20e17464
EL0000000004,CT0000000004,GOVERNOR,DIST_04,COMPLETE,11174,7723,4008,0,0,2,3451,15.067,6.956,0,0,0,0,2015-08-11,63135e740e59909e
EL0000000005,CT0000000005,GOVERNOR,DIST_06,COMPLETE,1314,590,756,6,0,2,724,27.157,8.649,0,0,3,0,2012-12-15,bc1b686b428732e1
EL0000000006,CT0000000006,HOUSE,DIST_07,PARTIAL,1460,2150,301,49,0,2,690,17.424,11.908,0,1,0,0,2011-09-15,49765eb44059ca34
EL0000000007,CT0000000007,JUDGE,DIST_04,COMPLETE,6038,5859,86,0,0,2,179,1.494,-5.538,0,0,0,0,2024-07-06,188184e1fa3cd21e
EL0000000008,CT0000000008,GOVERNOR,DIST_01,COMPLETE,9210,3613,2226,487,0,3,5597,36.026,12.218,0,0,0,0,2009-11-05,359ef3e167b85760
EL0000000009,CT0000000009,SHERIFF,DIST_01,COMPLETE,4582,7438,2213,9,0,1,2856,20.053,-6.691,0,0,0,0,2011-04-28,09e08c294400b605
EL0000000010,CT0000000010,SENATE,DIST_07,COMPLETE,8854,6276,5182,0,0,2,2578,12.692,14.514,0,0,0,0,2023-07-29,95a56f991a50ee44
EL0000000011,CT0000000011,HOUSE,DIST_05,COMPLETE,1277,2343,91,0,0,2,1066,28.725,8.914,0,0,0,0,2021-11-07,75b656694186160b
EL0000000012,CT0000000012,JUDGE,DIST_06,PARTIAL,2048,3449,896,0,0,2,1401,21.915,14.587,0,0,0,0,2022-09-18,fca95d102287815d
EL0000000013,CT0000000013,SENATE,DIST_02,COMPLETE,7243,2915,1021,1,0,3,4328,38.712,9.932,1,0,0,0,2013-01-22,35ce905d2d380b29
EL0000000014,CT0000000014,PRESIDENT,DIST_04,COMPLETE,3877,2846,672,53,0,2,1031,13.843,-10.014,1,1,5,0,2020-01-28,cfd2717c3a9950d3
