civic_turnout_election_date,civic_turnout_election_type_code,civic_turnout_jurisdiction_precinct_id,civic_turnout_registered_voters_count,civic_turnout_ballots_cast_count,civic_turnout_turnout_rate_pct,civic_turnout_early_vote_count,civic_turnout_mail_ballot_count,civic_turnout_election_day_vote_count,civic_turnout_provisional_ballot_count,civic_turnout_rejected_ballot_count,civic_turnout_cure_rate_pct,civic_turnout_same_day_registration_flag,civic_turnout_new_registrations_count,civic_turnout_inactive_to_active_reinstatements,civic_turnout_polling_place_wait_minutes_avg,civic_turnout_accessibility_compliance_flag,civic_turnout_language_assistance_provided,civic_turnout_voter_id_required_flag,civic_turnout_post_election_audit_type
2008-01-08,PRIMARY,PRC000000001,23379,8306,35.53,3253,4034,894,125,299,63.39,0,344,21,74.5,1,SPANISH,1,RLA
2008-01-15,SPECIAL,PRC000000002,29553,10724,36.29,1328,1957,7013,426,313,91.87,0,117,108,118.1,1,SPANISH,1,NO_AUDIT
2008-01-22,GENERAL,PRC000000003,38844,26312,67.74,12147,7410,5850,905,480,7.17,0,4809,2391,71.5,0,NONE,0,RLA
2008-01-29,GENERAL,PRC000000004,11630,6201,53.32,1088,1109,3678,326,331,37.99,0,1258,2274,47.1,1,FRENCH,0,TABULATOR_TEST
2008-02-05,GENERAL,PRC000000005,41961,28038,66.82,14580,7600,4626,1232,262,68.88,0,3385,3477,142.6,1,SPANISH,1,RLA
2008-02-12,GENERAL,PRC000000006,28570,5591,19.57,2610,211,2624,146,53,28.64,1,4500,999,107.0,1,CHINESE,1,RLA
2008-02-19,SPECIAL,PRC000000007,21431,8900,41.53,3905,2529,2165,301,203,97.09,0,2816,2664,8.8,1,CHINESE,1,HAND_COUNT
2008-02-26,LOCAL,PRC000000008,35668,27938,78.33,2122,12866,12423,527,165,93.3,0,196,1538,45.2,1,KOREAN,0,OTHER
2008-03-04,GENERAL,PRC000000009,8929,5022,56.24,2535,779,1612,96,112,23.03,0,4296,2286,34.9,1,NONE,1,RLA
2008-03-11,LOCAL,PRC000000010,3055,1496,48.97,453,720,247,76,13,14.27,0,1170,884,170.5,1,CHINESE,0,RLA
2008-03-18,GENERAL,PRC000000011,843,329,39.03,109,203,3,14,23,6.13,0,4838,1695,92.4,1,NONE,0,RLA
2008-03-25,SPECIAL,PRC000000012,42877,12708,29.64,956,1862,9828,62,0,11.73,0,1566,1102,111.4,1,NONE,1,HAND_COUNT
2008-04-01,SPECIAL,PRC000000013,44490,20447,45.96,6480,5502,7287,1178,367,21.04,0,3062,1828,50.7,1,NONE,1,NO_AUDIT
