demo_household_survey_year,demo_household_household_id_sample,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_cohabiting_partner_flag,demo_household_household_income_ratio_poverty,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly,demo_household_eldercare_responsibility_flag,demo_household_sampling_stratum
2022,HH00000001,NONREL,FEMALE_HH_NO_SPOUSE,WIDOWED,4,1,1,1,2.54,11.0,1.57,2,MOBILE_ONLY,FRENCH,NONE,7,740,1,RURAL
2018,HH00000002,SPOUSE,MARRIED_COUPLE,WIDOWED,4,1,1,0,0.81,14.9,0.8,2,NONE,TAGALOG,ONE_MEMBER,40,3065,0,SMALL_TOWN
2021,HH00000003,CHILD,FEMALE_HH_NO_SPOUSE,MARRIED,0,1,1,1,5.15,63.0,1.03,1,FIXED_WIRELESS,ARABIC,NONE,5,1372,1,URBAN_CORE
2020,HH00000004,OTHER_REL,MALE_HH_NO_SPOUSE,NEVER_MARRIED,3,0,1,1,1.97,55.4,1.55,0,DSL,ENGLISH,MULTIPLE_MEMBERS,40,2029,1,URBAN_CORE
2024,HH00000005,OTHER_REL,NONFAMILY,DIVORCED,2,1,1,0,0.86,38.5,0.58,5,FIBER,ENGLISH,NONE,54,3173,0,URBAN_CORE
2024,HH00000006,SIBLING,MALE_HH_NO_SPOUSE,MARRIED,3,0,0,1,5.92,64.9,1.15,0,FIBER,FRENCH,ONE_MEMBER,42,2936,1,URBAN_CORE
2023,HH00000007,HOUSEHOLDER,MALE_HH_NO_SPOUSE,DIVORCED,1,0,0,1,5.57,7.2,0.71,2,FIBER,FRENCH,NONE,0,2179,1,RURAL
2023,HH00000008,NONREL,MALE_HH_NO_SPOUSE,WIDOWED,0,0,1,1,4.59,63.7,1.1,4,NONE,FRENCH,ONE_MEMBER,0,1401,1,SUBURBAN
2025,HH00000009,PARENT,MALE_HH_NO_SPOUSE,SEPARATED,0,1,0,1,0.59,8.6,1.26,0,SATELLITE,CHINESE,ONE_MEMBER,59,2188,0,SUBURBAN
2024,HH00000010,SPOUSE,FEMALE_HH_NO_SPOUSE,SEPARATED,4,1,0,1,4.39,43.5,1.51,1,CABLE,ARABIC,ONE_MEMBER,24,2835,1,SUBURBAN
2019,HH00000011,OTHER_REL,FEMALE_HH_NO_SPOUSE,DIVORCED,3,0,0,0,4.03,40.0,0.35,4,FIXED_WIRELESS,KOREAN,ONE_MEMBER,12,1957,0,SUBURBAN
2020,HH00000012,OTHER_REL,MARRIED_COUPLE,DIVORCED,4,0,1,1,1.63,57.5,1.82,1,CABLE,KOREAN,ONE_MEMBER,42,1687,0,SMALL_TOWN
2020,HH00000013,SPOUSE,MARRIED_COUPLE,SEPARATED,5,1,1,1,2.86,40.0,2.31,2,DSL,KOREAN,NONE,24,161,0,SMALL_TOWN
2023,HH00000014,SIBLING,MALE_HH_NO_SPOUSE,MARRIED,3,1,0,0,5.79,18.2,0.96,5,NONE,FRENCH,NONE,36,1162,1,RURAL
2023,HH00000015,CHILD,MALE_HH_NO_SPOUSE,SEPARATED,5,1,1,0,0.3,17.9,0.53,1,CABLE,TAGALOG,ONE_MEMBER,15,2754,0,URBAN_CORE
2020,HH00000016,OTHER_REL,MARRIED_COUPLE,WIDOWED,0,0,0,1,2.92,49.0,2.28,0,NONE,VIETNAMESE,ONE_MEMBER,47,565,1,SMALL_TOWN
2023,HH00000017,NONREL,MALE_HH_NO_SPOUSE,NEVER_MARRIED,1,0,1,0,3.59,55.1,1.24,3,FIXED_WIRELESS,ARABIC,MULTIPLE_MEMBERS,14,2088,1,SMALL_TOWN
2022,HH00000018,CHILD,FEMALE_HH_NO_SPOUSE,DIVORCED,1,0,0,1,5.24,34.2,1.81,1,FIBER,ENGLISH,ONE_MEMBER,34,2881,0,SMALL_TOWN
2018,HH00000019,HOUSEHOLDER,FEMALE_HH_NO_SPOUSE,MARRIED,1,0,0,1,4.29,53.4,1.65,0,FIBER,SPANISH,MULTIPLE_MEMBERS,38,2761,1,SMALL_TOWN
