demo_migflow_move_year,demo_migflow_origin_geoid,demo_migflow_destination_geoid,demo_migflow_move_type_code,demo_migflow_age_at_move,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_housing_tenure_before_move,demo_migflow_housing_tenure_after_move,demo_migflow_distance_miles_estimate,demo_migflow_commute_change_minutes,demo_migflow_income_bracket_before_move,demo_migflow_income_bracket_after_move,demo_migflow_education_level,demo_migflow_citizenship_status,demo_migflow_foreign_born_indicator,demo_migflow_interstate_flow_count,demo_migflow_intrastate_flow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2022,16002,01002,INTERNATIONAL_OUT,82,7,RETIREMENT,OTHER,OWN,1013.3,61,LT25K,100_150K,HS,NONCITIZEN,0,76,124,2.615,W4
2025,16003,01003,INTRASTATE,20,6,HOUSING_COST,RENT,OTHER,1471.3,-1,75_100K,100_150K,BACH,NONCITIZEN,1,74,121,0.5867,W2
2021,16004,01004,INTRASTATE,31,6,HEALTH,OWN,RENT,2061.4,53,LT25K,LT25K,SOME_COLLEGE,NONCITIZEN,0,83,128,0.4299,W1
2018,16005,01005,INTERNATIONAL_IN,27,5,OTHER,OWN,OWN,1623.5,89,75_100K,150K_PLUS,ASSOC,CITIZEN,0,91,108,2.2523,W2
2024,16006,01006,INTRASTATE,11,2,OTHER,OWN,OTHER,2029.4,14,50_75K,75_100K,LT_HS,NONCITIZEN,1,64,112,3.2975,W3
2025,16007,01007,INTERNATIONAL_IN,78,5,SCHOOL,OTHER,RENT,2837.6,38,25_50K,75_100K,SOME_COLLEGE,NATURALIZED,1,89,122,0.7772,W2
2016,16008,01008,INTRASTATE,84,1,JOB,OTHER,RENT,531.0,-52,150K_PLUS,150K_PLUS,BACH,CITIZEN,0,74,133,2.0118,W2
2024,16009,01009,INTRASTATE,79,3,RETIREMENT,OTHER,OWN,385.3,82,100_150K,100_150K,HS,CITIZEN,1,86,113,2.8795,W3
2018,16010,01010,INTRASTATE,22,6,HOUSING_COST,RENT,OWN,1595.5,22,75_100K,100_150K,SOME_COLLEGE,CITIZEN,0,78,130,1.9447,W1
2024,16011,01011,INTERNATIONAL_OUT,89,7,OTHER,OTHER,OWN,3141.7,-24,75_100K,100_150K,BACH,CITIZEN,0,79,120,1.3587,W5
