demo_nativity_estimate_year,demo_nativity_puma_code,demo_nativity_nativity_category,demo_nativity_country_of_birth,demo_nativity_year_of_arrival,demo_nativity_citizenship_class,demo_nativity_english_proficiency_level,demo_nativity_primary_language,demo_nativity_secondary_language,demo_nativity_ancestry_first,demo_nativity_ancestry_second,demo_nativity_language_isolates_count,demo_nativity_foreign_language_speaker_count,demo_nativity_limited_english_households,demo_nativity_naturalization_rate_estimate,demo_nativity_visa_class_at_entry,demo_nativity_refugee_admission_flag,demo_nativity_remittance_sending_flag,demo_nativity_translation_need_indicator,demo_nativity_cultural_linguistic_diversity_index
2020,10001,NATIVE,KOREA,1988,BORN_US,NOT_AT_ALL,OTHER,TAGALOG,INDIAN,MEXICAN,101,18623,5421,0.153,OTHER,0,1,0,0.7355
2024,10002,NATURALIZED_CITIZEN,INDIA,2016,NONCITIZEN,NATIVE,FRENCH,OTHER,POLISH,INDIAN,168,5177,1251,0.292,REFUGEE,1,1,1,0.8513
2020,10003,FOREIGN_BORN,DOMINICAN_REP,2001,BORN_US,VERY_WELL,SPANISH,FRENCH,IRISH,ITALIAN,45,2004,1151,0.633,OTHER,1,0,1,0.6207
2025,10004,FOREIGN_BORN,KOREA,2000,BORN_US,WELL,HINDI,NONE,INDIAN,OTHER,15,7772,5316,0.582,FAMILY,0,1,0,0.1227
2025,10005,NATIVE,VIETNAM,2018,NONCITIZEN,NATIVE,TAGALOG,NONE,NIGERIAN,NIGERIAN,184,17060,969,0.737,STUDENT,1,1,0,0.1082
2022,10006,NATIVE,PHILIPPINES,2013,NONCITIZEN,NATIVE,HINDI,MANDARIN,INDIAN,CHINESE,50,11958,3870,0.449,TEMP_WORK,0,0,0,0.4868
2019,10007,NATURALIZED_CITIZEN,CUBA,2002,NATURALIZED,NOT_WELL,SPANISH,VIETNAMESE,INDIAN,INDIAN,134,19944,91,0.786,OTHER,0,0,1,0.7572
2018,10008,FOREIGN_BORN,DOMINICAN_REP,2016,BORN_US,NATIVE,HINDI,KOREAN,GERMAN,GERMAN,78,17762,5615,0.586,FAMILY,0,0,0,0.0911
2024,10009,FOREIGN_BORN,CHINA,1982,NATURALIZED,NATIVE,OTHER,FRENCH,INDIAN,OTHER,174,14035,475,0.168,REFUGEE,0,0,0,0.2276
2021,10010,NATURALIZED_CITIZEN,INDIA,2022,NONCITIZEN,NOT_AT_ALL,VIETNAMESE,TAGALOG,MEXICAN,MEXICAN,120,5312,4788,0.188,FAMILY,0,1,0,0.3931
2020,10011,FOREIGN_BORN,MEXICO,2014,BORN_US,WELL,HINDI,KOREAN,NIGERIAN,INDIAN,164,4319,3007,0.338,TEMP_WORK,0,0,1,0.6123
2021,10012,NATIVE,INDIA,2014,NONCITIZEN,NOT_AT_ALL,SPANISH,ARABIC,NIGERIAN,ENGLISH,174,3796,1009,0.436,EMPLOYMENT,1,1,1,0.7363
2020,10013,NATIVE,CANADA,2021,NATURALIZED,VERY_WELL,OTHER,HINDI,ITALIAN,NONE,155,1369,970,0.95,DIVERSITY,1,1,1,0.5332
2022,10014,NATIVE,EL_SALVADOR,2018,NATURALIZED,VERY_WELL,MANDARIN,KOREAN,ITALIAN,NONE,171,17444,1256,0.899,REFUGEE,0,1,1,0.4125
2024,10015,NATURALIZED_CITIZEN,CHINA,2002,BORN_US,NOT_AT_ALL,FRENCH,OTHER,CHINESE,ITALIAN,169,9179,272,0.603,FAMILY,0,1,1,0.0358
2020,10016,FOREIGN_BORN,KOREA,2015,NATURALIZED,NATIVE,SPANISH,NONE,ENGLISH,INDIAN,125,12536,159,0.276,FAMILY,1,1,0,0.3034
2025,10017,FOREIGN_BORN,CANADA,1985,BORN_US,NATIVE,TAGALOG,SPANISH,ITALIAN,ENGLISH,46,3355,2374,0.963,OTHER,0,0,0,0.3802
2021,10018,FOREIGN_BORN,VIETNAM,1992,NATURALIZED,VERY_WELL,ARABIC,SPANISH,SCOTTISH,NONE,83,12029,22,0.573,EMPLOYMENT,1,0,1,0.0937
2020,10019,FOREIGN_BORN,EL_SALVADOR,2023,NATURALIZED,NOT_WELL,HINDI,FRENCH,OTHER,IRISH,43,1805,5839,0.619,OTHER,1,1,0,0.4593
2018,10020,NATURALIZED_CITIZEN,CUBA,2014,NATURALIZED,VERY_WELL,KOREAN,ENGLISH,NIGERIAN,OTHER,131,11743,3995,0.536,FAMILY,0,1,1,0.618
2023,10021,NATURALIZED_CITIZEN,PHILIPPINES,1986,BORN_US,VERY_WELL,MANDARIN,ENGLISH,IRISH,IRISH,107,19347,1657,0.562,TEMP_WORK,0,1,1,0.6991
2020,10022,NATURALIZED_CITIZEN,CUBA,2025,NONCITIZEN,VERY_WELL,FRENCH,KOREAN,INDIAN,CHINESE,123,10791,1207,0.736,FAMILY,0,0,0,0.4666
2023,10023,NATURALIZED_CITIZEN,KOREA,1981,BORN_US,NOT_AT_ALL,ARABIC,NONE,SCOTTISH,ENGLISH,144,7487,4069,0.259,TEMP_WORK,0,0,0,0.1225
2025,10024,NATIVE,CUBA,2007,NONCITIZEN,NOT_WELL,SPANISH,HINDI,GERMAN,ENGLISH,97,4765,4494,0.537,TEMP_WORK,0,1,0,0.5572
2024,10025,NATIVE,DOMINICAN_REP,1988,BORN_US,NOT_AT_ALL,RUSSIAN,ENGLISH,INDIAN,ENGLISH,9,13277,3587,0.232,EMPLOYMENT,1,0,1,0.155
2025,10026,NATURALIZED_CITIZEN,CHINA,2022,BORN_US,NOT_AT_ALL,OTHER,ARABIC,ENGLISH,ITALIAN,157,6533,4878,0.263,NA,0,1,1,0.2676
2020,10027,FOREIGN_BORN,VIETNAM,2023,NONCITIZEN,NOT_AT_ALL,SPANISH,NONE,ITALIAN,MEXICAN,92,14179,2983,0.501,NA,0,1,0,0.1333
2019,10028,NATIVE,VIETNAM,2009,NATURALIZED,VERY_WELL,ARABIC,ENGLISH,ENGLISH,ENGLISH,178,9986,3608,0.299,STUDENT,1,0,0,0.0876
2018,10029,NATIVE,DOMINICAN_REP,1986,NATURALIZED,NOT_WELL,TAGALOG,TAGALOG,ITALIAN,MEXICAN,115,13964,3712,0.94,OTHER,0,1,0,0.1675
2018,10030,NATURALIZED_CITIZEN,CANADA,2017,NONCITIZEN,WELL,VIETNAMESE,NONE,CHINESE,ITALIAN,69,264,4763,0.212,DIVERSITY,0,0,1,0.4064
2024,10031,NATIVE,EL_SALVADOR,1997,NATURALIZED,NOT_WELL,MANDARIN,TAGALOG,POLISH,ENGLISH,147,8789,4619,0.965,EMPLOYMENT,0,0,0,0.4423
