demo_popproj_projection_year,demo_popproj_geography_geoid,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2026,01002,15-19,M,NH_AI_AN,2110913,2475234,2379297,2556853,14.51,21.68,-17.91,10.62,1081670,4789,0.9396,1.251,-0.0238,2020,HYBRID_SCEN
2039,01003,80-84,F,NH_Asian,2466412,2614092,2474000,2679625,9.14,18.48,24.43,7.89,546478,533,0.9655,1.355,-0.0107,2021,COHORT_COMP
2048,01004,25-29,M,NH_White,2023284,2142699,2027306,2241803,2.52,13.1,-23.89,0.98,1122006,50970,0.9179,1.327,0.0023,2023,MICROSIM
2034,01005,65-69,M,NH_AI_AN,854105,857403,832519,911240,8.16,7.91,-16.65,3.13,169471,28776,0.9439,1.902,0.0284,2023,HYBRID_SCEN
2030,01006,40-44,M,NH_White,1343001,1317609,1283056,1356451,15.24,5.95,23.71,7.04,463330,48302,0.9568,1.491,-0.006,2023,MICROSIM
2027,01007,15-19,F,NH_White,2373448,2527012,2473607,2612359,10.94,9.28,6.41,4.8,810185,18725,0.9931,1.4,-0.0168,2020,MICROSIM
2048,01008,50-54,F,NH_Black,1316323,1381487,1337050,1429006,13.18,15.34,-2.47,9.25,707847,6694,0.8746,1.911,-0.02,2023,HYBRID_SCEN
2040,01009,75-79,M,NH_AI_AN,771192,825255,802385,861276,3.74,10.94,-21.06,-4.57,306124,5006,0.9986,2.114,-0.0196,2019,COHORT_COMP
2026,01010,75-79,M,NH_Asian,1673700,1799611,1692850,1842269,17.38,20.68,8.48,6.22,1153570,26998,0.9084,1.599,-0.0184,2019,COHORT_COMP
2045,01011,75-79,F,NH_Multiracial,429245,523407,496246,554462,7.57,19.08,-18.11,3.51,1130934,37313,0.9578,1.894,0.0157,2023,HYBRID_SCEN
2038,01012,25-29,M,NH_Black,638287,670000,662794,688583,11.94,4.05,8.56,3.83,703000,42428,0.9353,1.318,-0.0263,2021,MICROSIM
2042,01013,70-74,M,NH_White,674312,785436,741294,826531,0.83,4.63,23.96,4.08,1093086,56379,0.9225,2.322,0.0298,2021,HYBRID_SCEN
2030,01014,10-14,F,NH_Multiracial,1358626,1587583,1546209,1652345,2.73,15.52,1.6,16.44,747158,30087,0.954,1.604,0.0014,2020,HYBRID_SCEN
2030,01015,40-44,M,NH_NHPI,2422855,2702010,2563678,2824016,14.19,6.62,-14.3,14.56,701077,37675,0.909,2.397,0.0027,2021,TREND_EXTRAP
2043,01016,0-4,F,NH_Multiracial,345366,364669,355857,372245,17.44,17.82,6.26,8.89,556944,24362,0.8688,2.374,-0.0085,2025,TREND_EXTRAP
2040,01017,50-54,M,NH_White,775607,766541,747607,808011,6.1,13.83,0.65,11.49,455653,4485,0.9228,2.135,0.0114,2025,MICROSIM
2023,01018,25-29,F,NH_White,537144,590147,561648,602727,1.15,6.6,1.66,-8.72,746404,1235,0.9278,1.224,-0.0017,2025,COHORT_COMP
