econ_compare_comparison_year,econ_compare_region_grouping_scheme,econ_compare_region_a_code,econ_compare_region_b_code,econ_compare_metric_name,econ_compare_metric_value_region_a,econ_compare_metric_value_region_b,econ_compare_absolute_difference,econ_compare_percent_difference,econ_compare_rank_region_a,econ_compare_rank_region_b,econ_compare_percentile_region_a,econ_compare_percentile_region_b,econ_compare_inequality_gini_estimate,econ_compare_cost_of_living_index,econ_compare_housing_affordability_index,econ_compare_tax_burden_index,econ_compare_job_growth_rate_pct,econ_compare_population_growth_rate_pct,econ_compare_composite_score
2021,METRO,RA00001,RB00001,UNEMP_RATE,72.459,164.519,-92.06,-55.957,274,242,88.19,80.62,0.5484,124.37,102.56,130.87,-6.708,-0.456,68.76
2013,CENSUS_DIVISION,RA00002,RB00002,JOB_GROWTH,115.62,58.416,57.204,97.925,378,186,97.73,92.16,0.3832,145.3,146.24,93.23,6.823,3.353,43.76
2016,CENSUS_DIVISION,RA00003,RB00003,UNEMP_RATE,240.166,108.332,131.834,121.694,398,10,43.76,64.17,0.3883,153.5,110.04,111.44,-3.645,0.056,59.34
2022,STATE,RA00004,RB00004,EXPORT_INTENSITY,96.579,91.155,5.424,5.95,162,238,43.16,69.36,0.3724,98.52,134.45,130.14,0.378,-0.668,95.01
2019,STATE,RA00005,RB00005,MEDIAN_WAGE,74.298,58.698,15.6,26.577,4,226,52.41,36.31,0.4717,88.46,117.22,100.36,-6.54,6.075,59.63
2019,CENSUS_DIVISION,RA00006,RB00006,EXPORT_INTENSITY,50.962,123.673,-72.711,-58.793,303,166,3.71,59.0,0.2614,83.94,97.16,127.48,9.096,5.922,45.05
2015,REGION,RA00007,RB00007,PRODUCTIVITY,25.337,233.1,-207.763,-89.13,226,400,95.84,16.15,0.5803,90.37,120.42,118.84,0.297,2.07,61.11
2024,STATE,RA00008,RB00008,UNEMP_RATE,153.418,32.815,120.603,367.524,101,290,42.76,18.45,0.2753,101.28,96.44,137.46,-1.262,-0.143,62.61
2015,METRO,RA00009,RB00009,EXPORT_INTENSITY,218.667,130.22,88.447,67.921,88,197,4.76,41.92,0.6079,103.05,114.59,125.41,2.362,1.201,68.48
2008,CENSUS_DIVISION,RA00010,RB00010,GDP_PER_CAPITA,225.29,145.458,79.832,54.883,159,74,72.46,39.34,0.2546,94.39,99.79,85.22,6.958,-0.898,67.21
2014,STATE,RA00011,RB00011,MEDIAN_WAGE,147.898,189.504,-41.606,-21.955,144,379,73.6,61.09,0.4544,86.62,96.64,131.75,-6.57,-0.935,79.19
2003,STATE,RA00012,RB00012,JOB_GROWTH,100.886,245.25,-144.364,-58.864,162,376,40.28,15.17,0.4827,90.8,69.88,100.48,-2.325,4.684,59.52
2006,REGION,RA00013,RB00013,INCOME_GROWTH,197.84,166.169,31.671,19.06,179,22,98.3,84.09,0.2638,93.32,68.61,70.05,10.068,-1.662,72.41
2017,CENSUS_DIVISION,RA00014,RB00014,INCOME_GROWTH,205.634,240.296,-34.662,-14.425,103,266,36.38,22.78,0.6018,92.75,144.58,82.75,-5.206,1.172,83.04
2014,STATE,RA00015,RB00015,PRODUCTIVITY,241.934,105.178,136.756,130.023,246,89,66.87,54.48,0.3972,112.95,74.0,103.51,7.328,-2.154,46.47
2025,STATE,RA00016,RB00016,MEDIAN_WAGE,212.391,245.472,-33.081,-13.476,22,136,89.99,91.87,0.4942,121.27,151.54,117.99,4.678,-2.823,78.39
2013,REGION,RA00017,RB00017,COST_OF_LIVING,174.326,53.448,120.878,226.16,84,102,38.17,73.18,0.5641,98.8,96.26,72.3,-7.09,-1.959,47.51
2004,REGION,RA00018,RB00018,MEDIAN_WAGE,149.673,24.652,125.021,507.143,218,207,2.78,72.05,0.5006,95.23,89.39,120.33,3.503,6.001,38.74
2005,CENSUS_DIVISION,RA00019,RB00019,GDP_PER_CAPITA,185.457,177.924,7.533,4.234,165,321,9.25,89.57,0.4568,125.25,72.42,82.72,-3.787,6.059,71.63
2008,REGION,RA00020,RB00020,INCOME_GROWTH,192.649,61.541,131.108,213.042,312,379,13.12,90.65,0.5862,137.52,101.94,90.5,-4.783,-1.719,51.81
2022,CENSUS_DIVISION,RA00021,RB00021,UNEMP_RATE,75.54,208.063,-132.523,-63.694,130,130,72.82,45.11,0.4963,109.89,127.38,79.18,-3.849,3.777,58.71
2019,CENSUS_DIVISION,RA00022,RB00022,COST_OF_LIVING,226.542,171.805,54.737,31.86,224,246,33.38,13.41,0.5994,117.64,118.9,71.07,-0.184,-3.069,77.83
2012,METRO,RA00023,RB00023,COST_OF_LIVING,150.458,191.602,-41.144,-21.474,147,220,32.77,99.26,0.4733,136.11,146.29,134.52,3.984,3.552,74.08
2000,CENSUS_DIVISION,RA00024,RB00024,INCOME_GROWTH,126.582,186.307,-59.725,-32.057,234,368,46.24,1.86,0.4509,87.5,111.4,115.72,-6.145,5.269,61.12
2016,REGION,RA00025,RB00025,PRODUCTIVITY,219.688,143.971,75.717,52.592,16,380,51.73,34.35,0.4177,119.08,108.8,93.2,2.292,-3.232,66.84
2024,METRO,RA00026,RB00026,INCOME_GROWTH,109.736,72.878,36.858,50.575,92,87,59.33,3.47,0.4097,135.93,115.34,72.28,0.437,1.847,75.18
2007,STATE,RA00027,RB00027,UNEMP_RATE,172.333,57.578,114.755,199.304,282,103,50.37,2.91,0.4043,126.1,133.13,95.88,7.375,3.668,41.1
2006,CENSUS_DIVISION,RA00028,RB00028,EXPORT_INTENSITY,134.445,85.756,48.689,56.776,386,212,12.7,25.18,0.5618,119.25,145.92,79.41,8.303,1.24,63.33
2024,STATE,RA00029,RB00029,JOB_GROWTH,90.897,229.701,-138.804,-60.428,393,109,63.74,34.66,0.5211,102.94,71.52,138.57,9.065,-1.968,58.36
2022,CENSUS_DIVISION,RA00030,RB00030,EXPORT_INTENSITY,169.369,232.827,-63.458,-27.255,155,265,15.4,61.84,0.5195,110.2,93.71,85.86,1.11,-2.503,80.04
2001,CENSUS_DIVISION,RA00031,RB00031,PRODUCTIVITY,125.717,234.378,-108.661,-46.361,182,102,93.98,20.29,0.4192,146.88,76.01,98.26,-0.736,5.936,61.89
2009,METRO,RA00032,RB00032,COST_OF_LIVING,158.459,170.075,-11.616,-6.83,311,74,21.42,80.71,0.5533,127.39,144.0,136.01,1.762,1.137,90.99
2007,STATE,RA00033,RB00033,GDP_PER_CAPITA,56.039,182.164,-126.125,-69.237,40,82,15.44,66.08,0.4971,129.21,87.8,73.62,8.252,0.319,62.27
2020,METRO,RA00034,RB00034,EXPORT_INTENSITY,238.817,20.396,218.421,1070.901,152,77,18.77,97.63,0.5612,127.07,100.99,139.05,-6.494,4.211,40.52
2008,CENSUS_DIVISION,RA00035,RB00035,MEDIAN_WAGE,131.802,117.677,14.125,12.003,234,212,21.7,3.14,0.4977,130.58,124.42,82.67,1.971,-3.143,81.84
2020,REGION,RA00036,RB00036,GDP_PER_CAPITA,98.669,15.159,83.51,550.894,294,283,49.95,27.63,0.4796,100.09,118.93,125.04,8.453,-2.682,42.93
2016,REGION,RA00037,RB00037,PRODUCTIVITY,15.637,21.261,-5.624,-26.452,74,38,6.72,56.68,0.2762,82.02,155.15,70.65,-5.573,-0.82,79.51
