econ_consumer_transaction_week,econ_consumer_merchant_category_code,econ_consumer_payment_channel_type,econ_consumer_spend_amount_usd,econ_consumer_transaction_count,econ_consumer_unique_cardholders,econ_consumer_median_ticket_size,econ_consumer_share_online_pct,econ_consumer_share_instore_pct,econ_consumer_refund_rate_pct,econ_consumer_chargeback_rate_pct,econ_consumer_new_customer_share_pct,econ_consumer_repeat_customer_share_pct,econ_consumer_income_segment,econ_consumer_age_segment,econ_consumer_device_type,econ_consumer_daypart_peak,econ_consumer_holiday_effect_flag,econ_consumer_weather_sensitivity_score,econ_consumer_privacy_aggregation_level
1988-01-04,4758,MOBILE_WALLET,869482.44,663,147,1760.55,19.62,80.38,1.82,0.42,13.6,86.4,35_60K,55_64,MOBILE,MORNING,0,0.8592,STATE
1988-01-11,4308,INSTORE_CARD_PRESENT,223352.57,606,334,262.47,9.59,90.41,7.54,1.54,28.03,71.97,LT35K,25_34,MOBILE,AFTERNOON,0,0.1903,NATIONAL
1988-01-18,4570,RECURRING,1324755.11,650,393,1455.1,55.08,44.92,6.76,0.18,21.93,78.07,150K_PLUS,25_34,MOBILE,MIDDAY,0,0.6379,ZIP5
1988-01-25,4560,PHONE_ORDER,359921.42,632,289,730.36,6.38,93.62,5.16,1.26,29.39,70.61,35_60K,65_PLUS,DESKTOP,EVENING,1,0.3423,ZIP3
1988-02-01,4898,MOBILE_WALLET,1024074.17,671,339,1926.13,39.78,60.22,7.32,0.79,11.06,88.94,LT35K,55_64,TABLET,LATE_NIGHT,0,0.7706,METRO
1988-02-08,3228,MOBILE_WALLET,703552.45,634,166,1529.22,54.31,45.69,0.96,1.68,26.55,73.45,150K_PLUS,45_54,TABLET,AFTERNOON,0,0.809,STORE_CLUSTER
1988-02-15,3612,MOBILE_WALLET,260224.16,665,292,319.8,76.96,23.04,1.36,1.32,32.79,67.21,60_100K,18_24,UNKNOWN,EVENING,0,0.6022,NATIONAL
1988-02-22,5705,MOBILE_WALLET,921728.8,644,422,945.63,23.06,76.94,2.87,0.34,41.96,58.04,LT35K,18_24,POS_TERMINAL,MIDDAY,1,0.3533,NATIONAL
1988-02-29,6448,ONLINE_ECOM,1514951.42,626,134,2182.75,18.36,81.64,5.23,1.79,11.47,88.53,100_150K,45_54,MOBILE,AFTERNOON,0,0.2295,METRO
1988-03-07,7201,IN_APP,619308.71,672,375,851.56,5.86,94.14,7.03,0.91,11.09,88.91,LT35K,65_PLUS,POS_TERMINAL,EVENING,0,0.4524,STORE_CLUSTER
1988-03-14,5255,RECURRING,4280663.22,664,339,4576.49,70.59,29.41,6.3,0.05,13.89,86.11,150K_PLUS,18_24,TABLET,MORNING,0,0.421,ZIP3
1988-03-21,5532,RECURRING,1074493.61,662,335,1323.03,11.9,88.1,1.77,1.59,28.22,71.78,LT35K,25_34,TABLET,AFTERNOON,0,0.8562,STATE
1988-03-28,9378,MOBILE_WALLET,381274.46,706,203,498.92,7.47,92.53,3.48,1.68,14.07,85.93,100_150K,35_44,UNKNOWN,MORNING,0,0.851,NATIONAL
1988-04-04,1299,IN_APP,519257.55,684,276,546.22,83.49,16.51,6.36,0.73,13.55,86.45,60_100K,25_34,MOBILE,EVENING,0,0.9761,METRO
1988-04-11,9925,RECURRING,899306.33,656,303,1906.53,18.72,81.28,4.63,1.49,27.63,72.37,35_60K,25_34,POS_TERMINAL,LATE_NIGHT,0,0.11,STORE_CLUSTER
1988-04-18,7240,INSTORE_CARD_PRESENT,763660.26,663,328,1387.83,46.48,53.52,1.07,1.76,13.61,86.39,100_150K,18_24,TABLET,EVENING,1,0.5249,NATIONAL
1988-04-25,9745,RECURRING,597218.79,650,214,571.64,16.03,83.97,5.32,1.69,29.48,70.52,35_60K,65_PLUS,TABLET,AFTERNOON,0,0.9245,ZIP3
1988-05-02,5983,PHONE_ORDER,805532.5,667,330,1519.8,16.79,83.21,6.73,1.71,14.18,85.82,150K_PLUS,65_PLUS,POS_TERMINAL,AFTERNOON,0,0.2641,ZIP3
1988-05-09,6714,PHONE_ORDER,442676.35,654,134,850.63,82.95,17.05,1.88,0.09,34.18,65.82,LT35K,45_54,DESKTOP,LATE_NIGHT,0,0.4941,ZIP3
1988-05-16,5974,RECURRING,369983.92,693,107,560.97,34.57,65.43,3.61,0.64,17.36,82.64,100_150K,45_54,DESKTOP,EVENING,0,0.8228,METRO
1988-05-23,1085,PHONE_ORDER,446977.57,661,312,740.33,45.52,54.48,1.37,1.53,35.58,64.42,150K_PLUS,35_44,POS_TERMINAL,MORNING,0,0.5243,ZIP3
1988-05-30,8147,MOBILE_WALLET,609582.62,662,316,777.61,28.1,71.9,1.01,0.69,16.94,83.06,100_150K,55_64,DESKTOP,MORNING,0,0.4219,ZIP5
1988-06-06,3537,MOBILE_WALLET,1146792.24,652,422,1624.51,31.87,68.13,6.32,1.59,12.55,87.45,35_60K,65_PLUS,TABLET,EVENING,0,0.9831,NATIONAL
1988-06-13,2229,MOBILE_WALLET,2215106.6,655,318,2449.74,77.77,22.23,5.01,0.5,16.45,83.55,35_60K,65_PLUS,DESKTOP,MIDDAY,0,0.361,STORE_CLUSTER
1988-06-20,2560,MOBILE_WALLET,874378.77,698,403,1073.31,17.78,82.22,5.82,1.3,43.72,56.28,35_60K,35_44,MOBILE,LATE_NIGHT,0,0.3457,NATIONAL
1988-06-27,7910,IN_APP,563014.56,669,239,981.99,54.95,45.05,5.5,0.29,37.18,62.82,60_100K,45_54,POS_TERMINAL,EVENING,0,0.189,NATIONAL
1988-07-04,4844,PHONE_ORDER,1127530.58,690,115,1322.33,51.52,48.48,3.02,1.68,19.44,80.56,100_150K,65_PLUS,POS_TERMINAL,MIDDAY,0,0.4902,METRO
1988-07-11,4241,ONLINE_ECOM,342285.47,679,306,519.63,74.66,25.34,4.05,1.72,32.45,67.55,60_100K,18_24,TABLET,MIDDAY,0,0.2516,STORE_CLUSTER
1988-07-18,3615,INSTORE_CARD_PRESENT,645723.79,651,116,663.24,82.31,17.69,5.08,1.64,26.35,73.65,100_150K,18_24,POS_TERMINAL,EVENING,1,0.3291,ZIP3
1988-07-25,7759,INSTORE_CARD_PRESENT,193293.41,659,130,180.65,11.07,88.93,2.93,0.41,11.53,88.47,100_150K,55_64,MOBILE,MIDDAY,0,0.7839,NATIONAL
1988-08-01,9199,RECURRING,1352099.94,638,126,2432.24,52.41,47.59,2.11,1.29,27.22,72.78,35_60K,65_PLUS,MOBILE,MORNING,0,0.658,STATE
