econ_leading_indicator_date,econ_leading_indicator_name_code,econ_leading_composite_index_value,econ_leading_diffusion_index_value,econ_leading_yield_curve_spread_bps,econ_leading_initial_claims_level,econ_leading_new_orders_index,econ_leading_consumer_expectations_index,econ_leading_building_permits_level,econ_leading_stock_market_index_level,econ_leading_credit_spread_bps,econ_leading_money_supply_growth_pct,econ_leading_manufacturing_hours_index,econ_leading_vendor_delivery_times_index,econ_leading_inventory_to_sales_ratio,econ_leading_recession_signal_flag,econ_leading_signal_threshold_used,econ_leading_lag_months_assumed,econ_leading_nowcast_gdp_growth_pct,econ_leading_model_version_tag
2019-01-01,LEI,126.433,48.946,108,355297,49.17,96.3,1255551,5774.57,225,-0.46,77.85,41.12,1.567,0,93.57,3,4.27,v1_2
2019-01-02,LEI,115.874,43.459,110,475498,61.35,101.59,964342,5637.07,167,0.85,110.08,64.55,1.681,0,97.95,6,-2.27,v1_1
2019-01-03,YIELD_CURVE,93.853,56.741,144,293338,63.29,101.29,914176,5622.36,182,3.68,87.15,51.41,1.104,1,96.82,4,0.39,v2_0
2019-01-04,PMI_NEW_ORDERS,112.531,55.745,-93,439276,52.56,84.39,1605173,4988.35,159,12.41,90.72,49.33,1.653,0,97.04,3,1.9,v1_1
2019-01-05,PERMITS,106.066,55.359,25,441630,51.99,106.76,1484961,5161.72,88,1.6,108.03,59.69,1.125,0,97.26,3,3.35,v1_2
2019-01-06,CREDIT,94.295,62.465,-249,362575,46.76,62.28,1017896,4773.95,263,9.27,94.89,48.84,1.264,1,96.27,10,1.32,v2_0
2019-01-07,PMI_NEW_ORDERS,122.871,49.342,-198,350115,59.58,56.01,779050,2819.29,306,-5.95,89.48,46.79,1.19,0,96.2,8,3.4,v1_1
2019-01-08,M2,102.339,56.509,229,398774,46.11,88.89,1384849,5980.22,273,-4.03,100.69,44.13,1.393,0,98.24,8,2.8,v1_0
2019-01-09,M2,128.531,57.218,162,548703,50.02,83.51,1774690,4779.46,161,10.37,82.37,38.07,1.52,0,93.83,11,3.34,v2_0
2019-01-10,EQUITIES,110.336,62.419,67,468488,50.51,95.87,1504236,2260.63,220,4.83,88.81,37.45,1.445,0,97.48,9,3.04,v1_1
2019-01-11,ECI,127.217,38.606,342,261509,50.69,89.14,1095060,5294.44,176,3.76,103.79,37.19,1.696,0,94.53,4,1.14,v1_0
2019-01-12,M2,108.007,41.533,-220,370263,48.96,105.84,1265779,5027.84,308,-2.96,112.05,60.37,1.105,0,95.98,8,4.41,v2_0
