econ_output_bea_release_quarter,econ_output_cbsa_code,econ_output_industry_naics_2,econ_output_gross_output_current_dollars,econ_output_gross_output_real_chain,econ_output_value_added_current_dollars,econ_output_value_added_real_chain,econ_output_personal_income_total,econ_output_per_capita_income,econ_output_compensation_of_employees,econ_output_proprietors_income,econ_output_rental_income_persons,econ_output_dividends_interest_rent,econ_output_transfer_receipts,econ_output_contributions_social_insurance,econ_output_price_deflator_index,econ_output_employment_full_time_equiv,econ_output_productivity_index,econ_output_data_revision_indicator,econ_output_benchmark_year
2018Q3,10001,22,588269881,579919047,262409211,258684159,306113217,57902,135916055,28290245,11712993,58922725,17110455,8097019,101.44,1885013,84.4,ADV,2017
2018Q2,10002,42,407105549,459124336,260375582,293645632,244656651,71278,87059553,32428646,21399198,52927947,35391164,18938880,88.67,1988068,80.24,2ND,2012
2022Q3,10003,33,294115305,258290423,132671843,116511674,182006961,107059,88598172,18020087,9733809,29389191,23892218,9170410,113.87,2160429,107.67,2ND,2017
2017Q4,10004,21,605452925,671606129,401850220,445757316,377367377,85957,184580851,48182531,11457264,62671319,54589761,18900471,90.15,1003642,143.26,FINAL,2022
2019Q2,10005,31,388489186,398613981,186898266,191769204,205996180,99173,93910168,34239743,15563569,33093558,23008163,12328009,97.46,924613,128.87,3RD,2022
2025Q3,10006,56,1167467721,1076403947,455854439,420297288,385857899,53715,228017846,62873870,11440033,33872813,44609537,14321005,108.46,852413,79.09,FINAL,2017
2022Q3,10007,61,1418963164,1146081224,616964108,498315248,718012848,46100,385525336,75397488,54754070,149105748,120855032,53106114,123.81,537357,98.19,ADV,2012
2017Q3,10008,33,1414738278,1335036593,894257651,843878127,1123733676,92693,588302493,175941845,111919605,121500026,91608149,33515022,105.97,1518249,80.32,3RD,2017
2016Q4,10009,45,353096418,352778917,241037897,240821158,293935423,66016,135870038,42894860,15216638,33654950,19382891,10943995,100.09,575506,114.62,ADV,2022
2017Q1,10010,21,376476546,398683200,268624911,284469884,278653233,88567,170563041,39016145,6946157,55157717,45640688,8639189,94.43,404503,82.51,BENCH,2017
2025Q2,10011,11,264814611,255144630,139776772,134672678,140881917,29578,65896384,20031227,6654650,20293970,19976862,6745465,103.79,1069130,76.34,BENCH,2012
2016Q3,10012,53,670945881,772356258,417126484,480173229,400686977,101521,169487660,62105967,18164707,45588533,63086922,17759405,86.87,155811,75.87,2ND,2017
2016Q3,10013,72,316420368,305927070,167892536,162324796,163929861,51189,71534162,22273862,8189669,33105726,32409861,5738197,103.43,1637483,89.18,BENCH,2017
2025Q2,10014,71,358741746,364463828,213473828,216878826,270324043,73260,102321922,41936423,6975160,45306959,41088199,20756453,98.43,679330,122.42,BENCH,2022
2019Q2,10015,33,311283675,343201406,176129122,194188668,222288248,95626,118524110,28344721,11160205,32415883,23584746,5329160,90.7,517091,100.11,BENCH,2017
2020Q4,10016,62,367260984,393550133,215005506,230395956,273517457,38744,161250603,26915948,11707152,53888565,33544936,8573137,93.32,1640076,98.17,BENCH,2012
