econ_prices_pricing_month,econ_prices_cpi_item_code,econ_prices_cpi_area_code,econ_prices_cpi_index_level,econ_prices_cpi_monthly_change_pct,econ_prices_cpi_12mo_change_pct,econ_prices_ppi_commodity_code,econ_prices_ppi_index_level,econ_prices_energy_price_index,econ_prices_shelter_cost_index,econ_prices_food_at_home_index,econ_prices_food_away_index,econ_prices_medical_care_index,econ_prices_transportation_index,econ_prices_core_cpi_ex_food_energy,econ_prices_seasonal_adjustment_flag,econ_prices_base_period_reference,econ_prices_imputed_value_flag,econ_prices_outlier_detection_score,econ_prices_publication_series
2005-01,CPIITEM000001,US,208.57,-0.01,4.15,PPICOM000001,229.59,156.98,294.46,117.38,257.83,95.02,137.95,123.22,0,1999_100,0,0.2973,PPI_COM
2005-02,CPIITEM000002,WEST,182.57,0.33,8.56,PPICOM000002,258.48,63.88,265.68,314.02,139.72,225.46,274.09,232.2,0,2017_100,0,0.9656,CPI_U
2005-03,CPIITEM000003,NYC,138.01,0.54,-0.81,PPICOM000003,138.33,332.39,270.48,286.74,298.9,269.88,110.03,155.22,1,2017_100,0,0.7321,CPI_EXSHEL
2005-04,CPIITEM000004,CHI,308.3,0.27,-1.01,PPICOM000004,147.54,335.35,180.71,88.07,130.09,138.87,83.08,97.36,1,2017_100,0,0.4195,PPI_COM
2005-05,CPIITEM000005,DAL,257.96,0.51,-0.75,PPICOM000005,118.29,106.68,95.15,291.83,95.98,98.9,94.67,293.29,1,1999_100,0,0.5877,CPI_EXSHEL
2005-06,CPIITEM000006,MIDWEST,96.59,0.49,1.24,PPICOM000006,111.51,159.63,226.25,150.13,124.22,185.95,287.55,182.06,0,1982_84_100,0,0.0219,CPI_EXSHEL
2005-07,CPIITEM000007,LA,120.9,-0.36,6.72,PPICOM000007,267.44,306.51,258.21,185.12,123.85,223.01,217.95,118.54,1,2017_100,0,0.3091,CPI_W
2005-08,CPIITEM000008,SEA,309.17,-0.49,6.06,PPICOM000008,199.11,346.88,93.35,314.32,150.24,255.37,141.6,192.05,1,2017_100,0,0.7134,PPI_COM
2005-09,CPIITEM000009,MIDWEST,270.86,1.03,-1.81,PPICOM000009,192.34,176.88,85.48,139.45,152.06,214.8,230.9,251.83,0,2017_100,0,0.5927,CPI_RS
2005-10,CPIITEM000010,NYC,161.83,0.86,-1.66,PPICOM000010,228.03,194.59,244.05,250.79,196.07,110.82,193.49,155.97,1,1982_84_100,0,0.2498,CPI_U
