edu_credential_reporting_quarter,edu_credential_training_provider_id,edu_credential_credential_type,edu_credential_credential_framework_level,edu_credential_program_duration_hours,edu_credential_tuition_cost_usd,edu_credential_completion_count,edu_credential_completion_rate_pct,edu_credential_employment_placement_rate,edu_credential_median_wage_post_training,edu_credential_industry_alignment_naics,edu_credential_occupation_alignment_soc,edu_credential_work_based_learning_flag,edu_credential_apprenticeship_registered_flag,edu_credential_license_required_flag,edu_credential_exam_pass_rate_pct,edu_credential_recredentialing_interval_months,edu_credential_stackable_credential_flag,edu_credential_online_delivery_flag,edu_credential_equity_access_index
2022Q1,TP100001,MICROCREDENTIAL,LEVEL_3,760,917,1149,85.96,37.54,18749,561,121001,1,1,1,51.1,17,1,1,0.6654
2020Q2,TP100002,CEU,LEVEL_7,1937,14852,938,54.89,69.52,43857,522,131002,0,0,0,49.8,22,1,0,0.9709
2023Q4,TP100003,CEU,LEVEL_7,1169,3905,90,81.08,34.7,36499,111,141003,0,0,0,54.22,32,1,1,0.5815
2014Q3,TP100004,LICENSE,LEVEL_6,1500,7927,562,64.1,54.7,103346,811,151004,0,1,0,96.48,64,1,0,0.1676
2022Q4,TP100005,LICENSE,LEVEL_3,1614,244,878,65.0,77.13,18029,484,161005,0,0,0,91.39,108,1,0,0.5264
2022Q3,TP100006,APPRENTICESHIP,LEVEL_4,1979,27449,1647,40.21,62.79,64425,445,171006,0,0,0,59.29,27,0,1,0.6518
2025Q3,TP100007,ASSOCIATE,LEVEL_5,1327,873,2321,96.51,79.07,129091,484,181007,1,0,1,49.66,45,1,1,0.2685
2019Q3,TP100008,CEU,LEVEL_4,189,2281,29,76.47,41.5,20643,511,191008,0,0,1,86.68,59,0,1,0.3066
2014Q1,TP100009,CEU,LEVEL_3,2062,17440,2302,63.63,76.84,129540,722,201009,1,0,0,66.98,93,1,1,0.2893
2018Q4,TP100010,BOOTCAMP_BADGE,LEVEL_4,992,22153,152,45.3,36.81,100072,236,211010,0,0,1,88.87,106,1,1,0.4804
2022Q2,TP100011,BOOTCAMP_BADGE,LEVEL_6,1210,24004,1607,56.61,28.72,47121,112,221011,0,0,0,64.61,56,1,0,0.789
2025Q4,TP100012,CERTIFICATE,LEVEL_1,475,15793,640,49.73,49.71,65105,811,231012,1,1,0,91.32,50,1,0,0.6212
2019Q4,TP100013,APPRENTICESHIP,LEVEL_7,824,20176,421,52.35,81.96,64070,484,241013,0,0,0,95.97,35,0,0,0.1081
2016Q1,TP100014,ASSOCIATE,LEVEL_6,1626,3423,1304,58.66,79.91,17586,111,251014,1,0,0,66.15,23,0,0,0.3175
2020Q3,TP100015,MICROCREDENTIAL,LEVEL_5,1135,22726,222,81.17,50.75,105231,445,261015,0,1,0,97.08,75,1,1,0.5096
2025Q4,TP100016,CERTIFICATE,LEVEL_2,1281,28963,864,67.8,68.59,106934,511,271016,1,0,1,96.87,61,0,1,0.1586
2023Q4,TP100017,MICROCREDENTIAL,LEVEL_3,294,21825,2228,86.44,56.38,82535,531,281017,0,0,1,82.89,37,0,1,0.023
2023Q3,TP100018,BOOTCAMP_BADGE,LEVEL_3,446,19806,1511,42.08,86.43,118712,522,291018,0,0,0,64.43,73,0,1,0.5947
2021Q3,TP100019,CERTIFICATE,LEVEL_7,336,30629,646,57.49,88.91,69752,484,301019,1,0,0,65.69,106,0,1,0.5482
2024Q4,TP100020,MICROCREDENTIAL,LEVEL_7,961,5737,1006,39.03,93.67,120919,561,311020,0,0,1,64.76,86,1,1,0.3498
2020Q4,TP100021,MICROCREDENTIAL,LEVEL_7,1574,9613,1685,77.47,49.14,133529,445,321021,0,0,1,90.33,66,0,0,0.7805
2021Q3,TP100022,CEU,LEVEL_2,1197,30302,1994,43.86,79.58,129537,445,331022,1,0,0,63.9,105,1,0,0.445
2017Q3,TP100023,CERTIFICATE,LEVEL_6,1575,26178,346,82.97,55.93,118953,811,341023,0,0,0,83.53,64,1,1,0.5861
2021Q1,TP100024,MICROCREDENTIAL,LEVEL_7,1069,27001,2011,49.98,77.94,72330,445,351024,0,0,1,91.62,58,0,0,0.9836
2025Q4,TP100025,APPRENTICESHIP,LEVEL_6,43,29916,2252,63.78,84.21,26462,511,361025,1,0,0,94.62,45,1,0,0.6354
2022Q1,TP100026,MICROCREDENTIAL,LEVEL_1,27,9211,248,61.99,81.58,89280,522,371026,1,1,0,42.27,98,0,1,0.2204
2025Q2,TP100027,ASSOCIATE,LEVEL_5,1548,8186,1611,75.9,37.98,38013,423,381027,0,0,0,79.29,18,0,0,0.7586
2020Q4,TP100028,ASSOCIATE,LEVEL_6,1949,14719,363,89.29,26.55,133607,623,391028,0,0,1,78.7,2,0,0,0.1999
2024Q2,TP100029,APPRENTICESHIP,LEVEL_2,384,7588,27,65.6,64.81,131595,722,401029,1,0,0,65.8,25,0,0,0.6946
2021Q1,TP100030,ASSOCIATE,LEVEL_6,659,22931,629,93.21,45.27,31196,621,411030,0,1,0,43.72,49,0,1,0.7623
2017Q1,TP100031,ASSOCIATE,LEVEL_3,1948,21517,997,78.26,29.6,134966,517,421031,0,0,0,97.02,31,0,0,0.6331
2019Q3,TP100032,ASSOCIATE,LEVEL_2,1693,1392,1917,85.95,64.66,47023,531,431032,0,0,0,81.81,37,1,1,0.1323
2023Q3,TP100033,CERTIFICATE,LEVEL_2,406,8659,887,49.53,66.26,79113,445,441033,1,0,0,46.39,9,0,1,0.7972
2018Q3,TP100034,MICROCREDENTIAL,LEVEL_6,880,26603,796,36.39,60.35,106951,621,451034,0,0,0,59.94,62,1,0,0.1628
2019Q4,TP100035,BOOTCAMP_BADGE,LEVEL_6,69,9325,735,91.62,66.83,119306,511,461035,0,0,0,43.93,97,0,0,0.1452
2021Q4,TP100036,CEU,LEVEL_5,1546,30709,1438,83.62,73.37,66998,611,471036,1,1,1,52.68,54,0,0,0.0658
2021Q1,TP100037,APPRENTICESHIP,LEVEL_1,1725,12455,1225,67.37,73.83,136948,621,481037,0,0,1,89.67,26,0,1,0.5553
2022Q2,TP100038,ASSOCIATE,LEVEL_4,1140,10138,2246,50.16,35.36,121512,511,491038,1,1,0,66.29,110,0,1,0.6101
2022Q1,TP100039,CEU,LEVEL_3,524,31705,261,35.22,85.59,52808,811,501039,1,0,0,77.31,120,0,1,0.0953
2017Q3,TP100040,ASSOCIATE,LEVEL_1,650,9142,540,82.44,32.45,53835,517,511040,0,1,1,60.71,25,0,1,0.0915
2020Q3,TP100041,LICENSE,LEVEL_5,833,26100,1552,49.08,38.89,74682,522,521041,1,0,0,72.98,95,0,0,0.1254
2021Q1,TP100042,LICENSE,LEVEL_7,1976,26787,638,84.22,75.41,108950,484,531042,0,0,0,68.39,44,1,1,0.5501
2020Q1,TP100043,CEU,LEVEL_6,593,26095,442,47.05,40.54,132148,561,541043,0,0,0,64.94,51,0,1,0.2387
2014Q1,TP100044,MICROCREDENTIAL,LEVEL_3,755,31887,2389,72.09,26.17,92511,722,111044,0,0,0,90.61,55,0,1,0.8472
2014Q3,TP100045,CEU,LEVEL_1,790,18773,1857,45.91,31.82,62989,531,121045,0,0,0,94.67,49,1,1,0.2802
2018Q1,TP100046,CEU,LEVEL_7,1187,26099,717,65.44,53.13,88983,111,131046,1,1,0,55.45,57,1,0,0.2678
2019Q4,TP100047,CERTIFICATE,LEVEL_4,738,9977,1240,45.47,56.92,136857,561,141047,0,0,0,78.49,8,0,0,0.965
2022Q2,TP100048,MICROCREDENTIAL,LEVEL_6,469,7024,701,52.33,91.34,112720,517,151048,0,0,1,79.61,93,0,0,0.9896
2025Q1,TP100049,APPRENTICESHIP,LEVEL_1,220,23691,1263,94.09,87.61,122367,622,161049,0,0,1,72.61,55,1,0,0.0865
2021Q2,TP100050,BOOTCAMP_BADGE,LEVEL_2,619,29733,303,58.53,75.25,27761,445,171050,1,0,0,92.4,20,0,1,0.7055
2016Q3,TP100051,MICROCREDENTIAL,LEVEL_2,300,14429,1659,81.85,52.68,88080,236,181051,0,0,0,41.33,26,1,1,0.6221
2018Q1,TP100052,ASSOCIATE,LEVEL_7,2177,19463,758,74.04,63.22,27694,211,191052,0,0,0,58.96,42,0,0,0.5471
