edu_enroll_collection_date,edu_enroll_campus_id,edu_enroll_enrollment_total,edu_enroll_enrollment_by_grade_band,edu_enroll_new_entries_count,edu_enroll_withdrawals_count,edu_enroll_mobility_rate_pct,edu_enroll_average_daily_attendance,edu_enroll_seat_capacity,edu_enroll_class_size_average,edu_enroll_teacher_vacancy_count,edu_enroll_substitute_fill_rate_pct,edu_enroll_transport_ridership_count,edu_enroll_meal_program_participation,edu_enroll_after_school_participation,edu_enroll_internet_device_access_rate,edu_enroll_learning_loss_indicator,edu_enroll_weather_closure_days,edu_enroll_instructional_minutes_week,edu_enroll_data_quality_flag
2019-08-15,CAMP100001,2781,K12,47,56,11.21,2720,3024,17.05,16,55.18,64,PAID_ONLY,47.41,67.15,MODERATE,19,1339,PASS
2019-08-16,CAMP100002,2228,ELEM,45,200,19.38,1895,2546,21.99,5,52.9,2951,UNIVERSAL,46.62,58.05,UNKNOWN,19,1893,PASS
2019-08-17,CAMP100003,518,HIGH,202,140,21.79,482,529,15.4,21,46.38,3384,UNIVERSAL,45.02,80.02,LOW,19,1236,PASS
2019-08-18,CAMP100004,553,K12,134,152,2.27,471,691,30.9,20,96.11,1820,FREE_REDUCED,54.96,94.79,LOW,8,1493,FAIL
2019-08-19,CAMP100005,1737,HIGH,26,62,32.72,1556,2167,26.62,24,48.31,1470,PAID_ONLY,46.95,87.25,MODERATE,1,1459,PASS
2019-08-20,CAMP100006,2192,K12,61,127,24.98,2097,2446,17.53,28,88.78,61,FREE_REDUCED,15.25,94.99,LOW,12,1205,PASS
2019-08-21,CAMP100007,563,HIGH,115,183,32.96,505,613,25.48,14,71.34,1366,FREE_REDUCED,59.11,73.37,LOW,9,1720,PASS
2019-08-22,CAMP100008,1196,HIGH,101,14,4.7,1118,1220,14.1,16,49.8,843,PAID_ONLY,44.82,80.72,MODERATE,12,1794,PASS
2019-08-23,CAMP100009,2911,MIDDLE,104,105,10.12,2467,3163,24.66,9,80.54,2431,FREE_REDUCED,69.77,64.78,MODERATE,20,1832,PASS
2019-08-24,CAMP100010,2843,K12,31,29,5.42,2731,3032,28.87,22,99.63,674,FREE_REDUCED,31.56,77.28,HIGH,4,1382,PASS
2019-08-25,CAMP100011,1686,K12,93,150,33.49,1637,2127,27.52,8,45.99,2259,PAID_ONLY,45.16,77.67,MODERATE,3,1360,PASS
2019-08-26,CAMP100012,1237,MIDDLE,211,52,26.6,1128,1429,19.32,27,46.69,1341,FREE_REDUCED,54.16,97.84,UNKNOWN,11,1385,PASS
2019-08-27,CAMP100013,797,HIGH,160,78,26.96,693,1050,15.78,17,64.08,478,FREE_REDUCED,18.78,89.23,MODERATE,12,1503,WARN
2019-08-28,CAMP100014,1337,HIGH,196,62,16.59,1307,1365,30.64,28,60.39,3267,PAID_ONLY,7.16,83.26,MODERATE,17,1513,PASS
2019-08-29,CAMP100015,2567,HIGH,108,146,29.45,2276,3040,16.1,28,68.74,3559,FREE_REDUCED,0.27,59.25,UNKNOWN,10,1477,PASS
2019-08-30,CAMP100016,1487,MIDDLE,201,48,24.71,1250,1687,24.2,29,56.87,770,UNIVERSAL,55.15,80.13,UNKNOWN,10,1261,PASS
2019-08-31,CAMP100017,193,MIDDLE,66,122,4.96,168,205,22.05,9,98.39,3062,FREE_REDUCED,68.66,64.73,UNKNOWN,12,1814,PASS
2019-09-01,CAMP100018,1562,MIDDLE,42,150,4.48,1330,1619,26.95,24,84.26,3652,PAID_ONLY,23.27,62.26,MODERATE,8,1306,PASS
2019-09-02,CAMP100019,483,K12,190,69,7.49,465,494,19.17,19,73.65,549,MIXED,36.69,96.64,UNKNOWN,9,1280,PASS
2019-09-03,CAMP100020,1046,HIGH,54,119,2.96,869,1214,28.88,16,54.78,1865,MIXED,9.38,91.89,LOW,13,1322,WARN
2019-09-04,CAMP100021,2094,ELEM,123,141,14.04,1844,2701,25.15,4,52.03,2340,UNIVERSAL,67.06,70.93,MODERATE,0,1854,PASS
2019-09-05,CAMP100022,4147,K12,198,25,25.89,3841,5002,15.45,26,85.05,2101,PAID_ONLY,52.93,55.27,MODERATE,13,1596,PASS
2019-09-06,CAMP100023,2240,ELEM,1,112,28.79,2083,2545,27.94,23,42.78,3800,PAID_ONLY,18.05,90.72,HIGH,6,1265,PASS
2019-09-07,CAMP100024,3811,MIDDLE,95,144,21.26,3433,4977,23.53,3,61.43,681,FREE_REDUCED,20.02,73.68,LOW,16,1333,PASS
2019-09-08,CAMP100025,1069,MIDDLE,193,148,27.75,996,1182,23.28,11,65.37,2780,MIXED,53.18,58.36,UNKNOWN,12,1437,PASS
2019-09-09,CAMP100026,2962,HIGH,57,58,33.99,2682,3761,25.31,28,53.94,3603,PAID_ONLY,13.01,81.63,MODERATE,15,1623,PASS
2019-09-10,CAMP100027,1187,HIGH,88,78,10.38,1118,1448,31.76,2,47.97,1005,FREE_REDUCED,74.68,95.95,LOW,14,1568,PASS
2019-09-11,CAMP100028,2218,HIGH,73,120,11.47,1899,2767,26.34,0,45.57,1822,PAID_ONLY,20.14,55.3,UNKNOWN,17,1635,PASS
2019-09-12,CAMP100029,3783,ELEM,30,167,29.98,3415,4177,27.78,10,97.42,1759,UNIVERSAL,38.46,76.25,MODERATE,5,1895,PASS
2019-09-13,CAMP100030,2925,K12,126,136,21.46,2740,3634,25.24,27,76.06,3307,MIXED,31.84,76.07,LOW,20,1457,FAIL
2019-09-14,CAMP100031,2094,MIDDLE,68,145,21.16,1965,2359,26.54,18,83.82,598,MIXED,74.8,82.73,MODERATE,16,1897,PASS
2019-09-15,CAMP100032,538,K12,72,52,25.89,525,660,16.66,25,45.6,2919,UNIVERSAL,42.49,95.09,HIGH,3,1403,PASS
2019-09-16,CAMP100033,4182,K12,77,73,11.46,3990,4436,24.67,6,80.18,287,PAID_ONLY,70.02,61.9,HIGH,7,1674,PASS
2019-09-17,CAMP100034,1467,K12,218,215,29.15,1418,1727,27.37,27,54.57,843,PAID_ONLY,6.57,74.79,MODERATE,2,1348,PASS
2019-09-18,CAMP100035,1617,ELEM,46,52,18.38,1376,2122,15.87,27,68.11,1400,MIXED,33.87,75.29,LOW,8,1647,PASS
2019-09-19,CAMP100036,347,MIDDLE,9,21,34.32,332,465,14.53,23,73.99,728,MIXED,18.67,97.8,LOW,10,1598,PASS
2019-09-20,CAMP100037,486,K12,199,142,9.29,411,610,29.13,12,82.64,2078,UNIVERSAL,18.42,92.45,HIGH,4,1450,WARN
2019-09-21,CAMP100038,1797,HIGH,52,81,28.94,1483,2209,14.51,28,81.7,3656,FREE_REDUCED,65.18,61.28,LOW,14,1877,PASS
2019-09-22,CAMP100039,2917,HIGH,163,156,27.98,2523,3404,15.7,3,84.63,553,FREE_REDUCED,20.84,92.15,LOW,17,1852,PASS
2019-09-23,CAMP100040,1951,MIDDLE,150,99,10.95,1880,2494,25.73,27,65.09,2174,UNIVERSAL,52.67,60.44,LOW,20,1368,FAIL
2019-09-24,CAMP100041,1915,MIDDLE,83,189,5.32,1579,2240,16.18,24,91.98,2586,FREE_REDUCED,7.69,58.94,UNKNOWN,20,1702,PASS
2019-09-25,CAMP100042,3898,HIGH,191,175,22.48,3304,3999,20.47,15,64.95,855,PAID_ONLY,17.24,59.19,UNKNOWN,7,1228,PASS
2019-09-26,CAMP100043,3940,MIDDLE,32,30,6.1,3593,4377,20.05,9,55.36,3267,UNIVERSAL,60.75,97.63,MODERATE,13,1584,PASS
2019-09-27,CAMP100044,1917,K12,76,51,22.0,1676,2370,26.46,8,71.69,1244,FREE_REDUCED,55.35,95.75,UNKNOWN,14,1335,PASS
2019-09-28,CAMP100045,3872,K12,183,64,24.17,3327,4316,31.73,23,40.14,1967,FREE_REDUCED,2.49,83.34,MODERATE,18,1206,PASS
2019-09-29,CAMP100046,1504,HIGH,210,117,14.04,1262,1639,22.23,9,49.78,314,UNIVERSAL,26.42,88.86,HIGH,3,1434,PASS
2019-09-30,CAMP100047,339,HIGH,36,68,33.27,323,411,14.95,4,84.61,1719,FREE_REDUCED,68.38,89.4,MODERATE,3,1741,PASS
2019-10-01,CAMP100048,155,HIGH,38,8,22.88,134,179,24.69,3,64.3,787,PAID_ONLY,9.14,65.29,LOW,15,1560,PASS
2019-10-02,CAMP100049,619,ELEM,39,78,1.99,512,820,28.35,5,56.02,1450,FREE_REDUCED,37.12,68.63,LOW,19,1291,FAIL
2019-10-03,CAMP100050,1111,HIGH,147,146,7.63,934,1376,26.71,8,55.96,1253,FREE_REDUCED,16.98,69.96,LOW,5,1488,PASS
2019-10-04,CAMP100051,1064,HIGH,208,71,5.58,904,1310,27.8,11,62.69,682,MIXED,32.74,86.34,UNKNOWN,16,1311,PASS
2019-10-05,CAMP100052,1330,K12,52,161,16.59,1142,1461,20.93,5,61.52,3239,MIXED,19.58,57.64,HIGH,18,1272,PASS
2019-10-06,CAMP100053,363,K12,34,202,1.11,332,422,23.46,12,61.92,3062,FREE_REDUCED,11.07,78.78,HIGH,11,1757,PASS
2019-10-07,CAMP100054,747,K12,147,111,17.81,613,959,25.72,14,78.8,859,FREE_REDUCED,54.2,98.33,LOW,20,1363,PASS
2019-10-08,CAMP100055,1973,ELEM,130,114,11.01,1927,2640,18.85,8,73.99,1439,PAID_ONLY,62.95,89.39,MODERATE,6,1241,PASS
2019-10-09,CAMP100056,593,HIGH,172,206,18.15,528,637,29.71,8,86.36,3601,FREE_REDUCED,16.54,94.78,LOW,8,1534,PASS
2019-10-10,CAMP100057,2600,K12,135,165,13.51,2426,2655,22.35,2,80.76,1720,FREE_REDUCED,35.14,95.31,MODERATE,17,1840,PASS
2019-10-11,CAMP100058,3292,MIDDLE,60,191,26.12,2826,3816,17.67,27,94.6,1795,UNIVERSAL,8.32,66.16,HIGH,11,1863,PASS
2019-10-12,CAMP100059,2206,K12,216,100,23.74,2132,2268,21.34,7,40.47,1004,UNIVERSAL,17.8,90.0,LOW,5,1279,PASS
2019-10-13,CAMP100060,1848,HIGH,93,94,13.41,1752,2029,14.62,3,42.02,1932,FREE_REDUCED,70.3,64.08,LOW,13,1478,PASS
2019-10-14,CAMP100061,1232,ELEM,8,213,21.29,1179,1342,26.49,10,63.08,3394,UNIVERSAL,31.95,91.17,HIGH,6,1740,PASS
2019-10-15,CAMP100062,3493,K12,122,121,18.55,3137,3748,23.65,9,48.85,2743,PAID_ONLY,29.75,81.25,HIGH,15,1262,PASS
2019-10-16,CAMP100063,2411,HIGH,81,197,15.39,2102,3245,25.62,10,69.04,807,UNIVERSAL,2.9,83.02,LOW,4,1390,WARN
2019-10-17,CAMP100064,785,K12,44,137,3.68,707,995,14.28,23,90.23,793,PAID_ONLY,37.08,88.13,UNKNOWN,7,1360,PASS
2019-10-18,CAMP100065,3538,ELEM,196,41,25.52,3329,3660,29.77,24,62.0,2063,PAID_ONLY,48.8,58.98,MODERATE,14,1430,PASS
2019-10-19,CAMP100066,1569,MIDDLE,153,84,13.65,1427,1989,18.08,6,49.26,1835,FREE_REDUCED,18.78,70.43,UNKNOWN,4,1412,WARN
2019-10-20,CAMP100067,1590,HIGH,76,72,2.34,1555,1927,23.5,12,74.64,3109,FREE_REDUCED,18.59,86.49,LOW,17,1836,PASS
2019-10-21,CAMP100068,2088,MIDDLE,41,208,25.59,1834,2297,20.05,3,58.57,2729,UNIVERSAL,56.06,88.33,HIGH,5,1518,PASS
2019-10-22,CAMP100069,2753,K12,137,174,13.87,2606,3666,21.07,24,92.58,1736,PAID_ONLY,37.58,87.95,MODERATE,0,1494,PASS
2019-10-23,CAMP100070,412,K12,184,80,34.94,373,554,22.32,10,78.82,3319,FREE_REDUCED,13.77,84.8,LOW,13,1586,PASS
2019-10-24,CAMP100071,3972,HIGH,50,38,13.63,3453,4616,22.09,21,50.6,3486,MIXED,2.82,55.08,MODERATE,17,1593,PASS
2019-10-25,CAMP100072,3857,K12,112,98,10.87,3574,4562,19.65,10,46.03,1187,UNIVERSAL,46.74,98.71,HIGH,15,1803,PASS
2019-10-26,CAMP100073,609,HIGH,30,41,10.64,572,800,29.25,14,86.1,1734,MIXED,65.01,99.47,HIGH,12,1691,PASS
2019-10-27,CAMP100074,774,MIDDLE,48,160,11.95,677,847,30.11,0,98.89,2513,PAID_ONLY,69.73,97.1,MODERATE,13,1342,FAIL
2019-10-28,CAMP100075,3079,K12,34,203,34.12,2924,4035,20.36,25,44.39,2302,UNIVERSAL,24.51,66.63,LOW,12,1249,PASS
2019-10-29,CAMP100076,308,K12,96,209,29.83,299,409,28.5,18,52.85,2704,UNIVERSAL,2.94,75.8,LOW,3,1831,PASS
2019-10-30,CAMP100077,3923,HIGH,119,158,30.06,3445,5209,27.9,25,80.11,2046,UNIVERSAL,67.15,88.63,LOW,13,1851,PASS
2019-10-31,CAMP100078,259,HIGH,124,12,5.47,250,327,31.62,5,74.12,1841,FREE_REDUCED,14.71,88.22,MODERATE,1,1524,PASS
2019-11-01,CAMP100079,3428,ELEM,191,84,26.28,2882,4189,29.8,29,49.56,557,FREE_REDUCED,23.49,65.29,HIGH,0,1541,WARN
2019-11-02,CAMP100080,2594,HIGH,6,157,16.64,2207,3151,22.86,5,55.66,1402,PAID_ONLY,33.72,86.01,UNKNOWN,8,1376,PASS
2019-11-03,CAMP100081,1701,ELEM,53,77,20.52,1549,1782,17.46,20,91.46,1230,PAID_ONLY,58.48,83.08,LOW,16,1381,WARN
2019-11-04,CAMP100082,1652,MIDDLE,25,188,22.17,1533,1741,24.72,26,87.63,268,PAID_ONLY,16.79,88.0,UNKNOWN,12,1443,PASS
2019-11-05,CAMP100083,2175,HIGH,56,205,17.74,1841,2849,23.45,14,73.28,2408,PAID_ONLY,18.78,63.43,LOW,10,1269,PASS
2019-11-06,CAMP100084,2042,ELEM,51,213,8.81,1732,2416,24.55,10,57.15,2404,PAID_ONLY,58.5,71.17,LOW,9,1333,PASS
2019-11-07,CAMP100085,3838,K12,54,61,15.04,3263,4926,16.27,28,87.38,1016,MIXED,45.01,97.01,UNKNOWN,0,1423,PASS
2019-11-08,CAMP100086,3707,ELEM,65,109,2.74,3109,4030,25.33,20,59.09,3558,PAID_ONLY,24.3,88.61,LOW,4,1221,PASS
2019-11-09,CAMP100087,187,HIGH,23,41,8.95,164,191,14.1,23,74.29,2814,FREE_REDUCED,31.95,57.32,UNKNOWN,7,1292,PASS
2019-11-10,CAMP100088,3803,K12,118,191,9.48,3348,4577,31.18,22,75.86,3447,PAID_ONLY,41.64,81.97,UNKNOWN,1,1504,PASS
2019-11-11,CAMP100089,3014,K12,169,12,22.17,2531,3411,24.68,22,55.88,2704,PAID_ONLY,44.52,61.66,HIGH,10,1478,PASS
2019-11-12,CAMP100090,2104,K12,50,219,20.03,1981,2649,30.12,27,40.6,1664,UNIVERSAL,54.51,95.76,HIGH,4,1673,PASS
2019-11-13,CAMP100091,4132,MIDDLE,34,93,20.07,3896,5022,31.29,28,52.03,3479,FREE_REDUCED,38.46,93.53,MODERATE,7,1869,PASS
2019-11-14,CAMP100092,2506,MIDDLE,192,130,23.29,2452,2955,29.26,3,53.41,2143,PAID_ONLY,34.58,94.76,HIGH,0,1730,WARN
