edu_finance_fiscal_year,edu_finance_lea_id,edu_finance_revenue_local,edu_finance_revenue_state,edu_finance_revenue_federal,edu_finance_expenditure_instruction,edu_finance_expenditure_support_services,edu_finance_expenditure_capital,edu_finance_expenditure_debt_service,edu_finance_teacher_salary_average,edu_finance_administrator_salary_average,edu_finance_benefits_cost_total,edu_finance_facility_condition_index,edu_finance_technology_spend_per_student,edu_finance_transport_spend_per_student,edu_finance_special_ed_spend_share_pct,edu_finance_ell_program_spend_share_pct,edu_finance_fund_balance_end_year,edu_finance_pension_liability_estimate,edu_finance_audit_finding_count
2010,LEA100001,1921038941,2684086794,593969378,41923793,16785671,1053490681,117140501,52823,90050,2331560558,0.972,536,1543,21.65,11.13,245864877,3139943879,13
2015,LEA100002,2809545831,4250540050,886887372,4812696753,2590983072,1654770124,535119795,42330,137148,353199975,0.8,1658,2159,9.0,15.45,501594459,1650293443,1
2021,LEA100003,1374517367,5004175542,297358366,2068271026,2867824988,1261152553,425480388,86456,147747,1326491116,0.954,307,1395,19.34,17.82,834038870,2733952989,7
2023,LEA100004,992806953,1575569631,587831773,5979790496,262353099,1710743329,812445657,45192,64324,716973921,0.693,200,923,13.07,3.5,716388481,2954179849,7
2016,LEA100005,1912128599,3078562950,679594602,3985784868,1703481814,1300752060,535081305,57368,157578,264261962,0.516,1396,2185,13.12,3.97,654294940,856937703,0
2012,LEA100006,2892821663,5010089539,695150191,4643490266,1959292281,1690063318,153760827,69524,68634,942442307,0.87,1570,397,9.48,13.01,637451295,1746730605,9
2013,LEA100007,15517795,3939931920,324069112,904355057,2760131548,1055008091,490122223,95999,173308,2357615264,0.809,1383,267,24.94,13.95,-16116470,1085375391,4
2018,LEA100008,793773003,1629250370,333796014,2431650624,1415240576,1349837175,37498536,48584,123053,1153345442,0.341,2100,2026,22.2,15.14,976951425,3298578952,8
2009,LEA100009,1232098395,2557342601,683753619,3482108739,1084926148,122678594,150756798,58948,66005,772348929,0.787,1216,1926,16.28,0.52,1107685748,2716781416,11
2018,LEA100010,1880556482,876662959,854900030,5208208606,1782211561,950553362,662504402,40697,86859,461935151,0.868,905,772,25.08,3.17,-42178527,2383173052,7
2014,LEA100011,1467265007,4338389959,775076735,4640501475,2205947,425757604,439480131,71721,85358,541396088,0.59,2018,2103,21.4,0.42,843689903,366972903,11
2019,LEA100012,182178731,594918671,78036405,2211814911,268098236,993699368,638329624,46756,127725,1989621936,0.427,2152,2379,23.86,12.07,1002081381,691101222,2
2014,LEA100013,2819955587,5555294112,717503854,4527554403,338020932,291578534,82953527,75948,72958,597999682,0.354,2096,2615,9.8,12.98,333768799,2292072151,5
2009,LEA100014,1277120493,777453352,1401168710,3345269866,2528521256,732033559,550190074,69026,136511,1627282870,0.237,185,1521,12.71,6.05,451311533,1504678614,3
2025,LEA100015,292137437,2152897286,1304525039,5444628547,1088664640,34540386,78643512,88604,124811,271618962,0.764,1842,816,13.79,0.81,905282772,3451863539,8
2020,LEA100016,15834781,1837505021,1130237514,3364310595,2798179129,361038260,302727518,72610,89102,1199735362,0.95,527,943,13.85,4.9,225316604,593535827,5
2021,LEA100017,1772126969,1641849900,34745527,3499450098,415543914,1117386414,546824824,97496,117249,2259796659,0.246,1920,2299,8.05,10.65,902059479,102981410,7
2019,LEA100018,1841782106,4043452190,919372513,734859136,1824602861,1777191657,210563206,80857,97614,1660977620,0.264,1639,55,15.7,17.19,305708346,929301691,3
2017,LEA100019,838138261,3435001043,590309718,6026876023,1180664396,1285675078,839550623,51200,58120,1901879764,0.272,64,947,26.64,14.03,659198807,1769748255,6
2020,LEA100020,432978750,4111964720,789741535,5515595957,1488138169,1016109774,278844575,68502,155280,1202614442,0.49,1922,1991,8.16,17.92,260376224,207226883,4
