edu_hiedpath_term_code,edu_hiedpath_institution_ipeds_id,edu_hiedpath_program_cip_code,edu_hiedpath_student_level,edu_hiedpath_entry_status,edu_hiedpath_credits_attempted,edu_hiedpath_credits_completed,edu_hiedpath_gpa_term,edu_hiedpath_retention_next_term_flag,edu_hiedpath_transfer_out_flag,edu_hiedpath_completion_award_type,edu_hiedpath_time_to_degree_months,edu_hiedpath_student_debt_at_completion,edu_hiedpath_pell_grant_recipient_flag,edu_hiedpath_first_generation_flag,edu_hiedpath_online_course_load_pct,edu_hiedpath_internship_participation_flag,edu_hiedpath_postgrad_employment_rate,edu_hiedpath_median_earnings_1yr,edu_hiedpath_median_earnings_5yr
2019SP,100001,45.5375,UNDERGRAD,FIRST_TIME,5,5,1.67,1,0,ASSOCIATE,85,28309,0,0,40.98,1,74.41,34376,50268
2013SU,100002,34.7657,UNDERGRAD,CONTINUING,7,5,2.87,1,0,DOCTORAL,42,23298,1,1,8.4,0,45.9,76712,93319
2013FA,100003,04.7400,UNDERGRAD,TRANSFER_IN,13,10,3.73,0,0,BACHELOR,84,76273,1,0,13.05,1,66.14,76770,103287
2015SP,100004,36.1477,GRAD,TRANSFER_IN,12,10,2.31,1,0,BACHELOR,17,63155,0,0,91.87,1,77.95,81615,111276
2016SU,100005,49.6980,GRAD,TRANSFER_IN,5,5,2.52,0,0,MASTER,66,26241,1,1,3.8,0,76.29,50455,70579
2012FA,100006,21.0662,UNDERGRAD,REENTRY,4,3,2.73,1,0,NONE,88,40395,1,0,41.68,1,61.88,62018,85517
2019SU,100007,07.9039,UNDERGRAD,FIRST_TIME,3,2,2.65,1,0,BACHELOR,72,82572,1,1,23.56,0,90.84,30735,35887
2015FA,100008,33.3063,UNDERGRAD,TRANSFER_IN,8,6,1.64,1,0,ASSOCIATE,37,14667,0,1,38.09,0,95.39,35944,68900
2016WI,100009,34.4395,UNDERGRAD,FIRST_TIME,9,9,2.38,1,0,CERTIFICATE,44,37492,1,1,57.88,0,61.47,85398,128065
2012SP,100010,31.9432,UNDERGRAD,REENTRY,4,3,3.49,0,0,MASTER,74,15353,0,0,10.47,0,81.54,71050,111443
2014FA,100011,09.3418,UNDERGRAD,CONTINUING,17,17,2.67,0,0,NONE,27,71614,0,0,73.3,1,84.9,61639,86995
2014WI,100012,19.8046,UNDERGRAD,REENTRY,14,11,3.63,0,0,BACHELOR,74,70516,0,0,26.35,1,88.58,40459,83567
2025SP,100013,26.0272,GRAD,CONTINUING,14,11,1.71,0,0,NONE,81,61207,1,0,62.89,1,72.3,25642,87810
2019SP,100014,08.6598,UNDERGRAD,FIRST_TIME,9,9,2.9,0,1,MASTER,50,46921,1,1,74.34,0,61.32,21626,58828
2015SP,100015,23.9205,GRAD,FIRST_TIME,4,4,3.65,1,0,BACHELOR,40,29794,1,1,61.84,0,64.31,40079,80056
2023FA,100016,41.6310,UNDERGRAD,REENTRY,17,16,2.88,1,0,MASTER,66,36881,0,1,83.34,0,70.04,93841,146286
2022WI,100017,18.9155,UNDERGRAD,TRANSFER_IN,14,13,2.86,1,0,ASSOCIATE,73,61460,1,1,48.11,0,84.76,77788,121319
2021WI,100018,41.2325,GRAD,FIRST_TIME,13,12,1.68,1,0,MASTER,59,88102,1,0,36.14,1,88.78,91165,127783
2017FA,100019,42.2161,UNDERGRAD,FIRST_TIME,8,6,2.21,1,0,CERTIFICATE,34,63037,0,1,51.29,0,52.2,61213,89409
2012SP,100020,05.0418,UNDERGRAD,FIRST_TIME,4,3,3.1,1,0,BACHELOR,34,37080,1,0,28.67,1,51.27,44347,94567
2015SU,100021,19.7637,UNDERGRAD,TRANSFER_IN,4,4,2.27,1,1,NONE,78,25646,1,0,43.6,0,97.36,85100,105711
2025SU,100022,16.9195,UNDERGRAD,FIRST_TIME,12,10,1.57,1,0,ASSOCIATE,72,47992,1,0,87.45,1,91.58,51646,56289
2014SP,100023,15.1525,CERT,TRANSFER_IN,6,4,1.81,1,1,ASSOCIATE,86,46208,0,0,17.37,1,66.67,58135,68574
2023SP,100024,27.8462,GRAD,FIRST_TIME,9,7,3.88,1,0,BACHELOR,7,72186,1,0,84.72,0,63.49,37965,91042
2020SP,100025,04.7060,UNDERGRAD,TRANSFER_IN,13,9,3.87,0,1,MASTER,81,7602,1,0,47.04,1,66.0,64629,73691
2023FA,100026,07.7753,UNDERGRAD,REENTRY,15,14,3.89,1,0,BACHELOR,78,45947,1,0,36.23,0,70.41,57239,103790
2014SU,100027,11.0527,UNDERGRAD,FIRST_TIME,13,11,3.38,1,0,CERTIFICATE,19,38689,0,1,3.3,0,71.44,89028,142804
2021FA,100028,54.6669,GRAD,REENTRY,17,15,2.37,1,0,MASTER,92,88171,0,0,77.15,1,95.03,84925,143995
2018FA,100029,02.0382,CERT,CONTINUING,3,2,2.46,0,0,ASSOCIATE,68,15797,0,0,12.32,0,59.11,80529,126477
2019FA,100030,05.1093,UNDERGRAD,TRANSFER_IN,9,7,2.57,1,1,MASTER,11,71619,0,0,2.91,0,72.16,46583,91716
2018SU,100031,47.9250,UNDERGRAD,REENTRY,12,9,1.8,1,0,ASSOCIATE,80,8336,0,0,10.45,0,50.11,78759,84052
2025FA,100032,09.1614,UNDERGRAD,FIRST_TIME,10,8,2.9,0,0,CERTIFICATE,51,20030,1,0,96.51,1,96.58,68218,81601
