edu_k12out_school_year,edu_k12out_district_id_nces,edu_k12out_school_id_nces,edu_k12out_grade_level,edu_k12out_subject_area,edu_k12out_assessment_scale_score,edu_k12out_proficiency_level,edu_k12out_growth_percentile,edu_k12out_attendance_rate_pct,edu_k12out_chronic_absenteeism_rate,edu_k12out_graduation_cohort_year,edu_k12out_graduation_rate_pct,edu_k12out_dropout_rate_pct,edu_k12out_discipline_incident_rate,edu_k12out_special_education_share_pct,edu_k12out_ell_share_pct,edu_k12out_gifted_program_share_pct,edu_k12out_student_teacher_ratio,edu_k12out_per_pupil_spending,edu_k12out_accountability_rating_code
2018-19,1000001,20000001,1,ELA,274.2,PROFICIENT,22,88.95,14.6,2023,74.59,5.15,7.69,9.84,9.71,4.12,23.38,29050,C
2023-24,1000002,20000002,3,ELA,208.7,BELOW_BASIC,16,88.43,25.8,2018,73.52,7.55,6.58,19.85,12.44,7.95,21.14,18595,B
2019-20,1000003,20000003,K,SOCIAL_STUDIES,256.9,PROFICIENT,1,98.27,12.61,2022,77.8,0.44,14.3,17.74,4.52,1.96,23.04,7393,D
2017-18,1000004,20000004,1,MATH,173.4,PROFICIENT,67,81.34,8.22,2019,91.81,0.76,1.14,12.6,2.06,11.13,24.04,18214,D
2022-23,1000005,20000005,3,SOCIAL_STUDIES,223.1,BELOW_BASIC,55,94.14,22.52,2025,84.55,7.88,18.48,10.87,29.26,10.07,22.18,18413,B
2022-23,1000006,20000006,4,SCIENCE,195.7,PROFICIENT,27,91.43,8.37,2025,71.31,8.76,7.72,19.22,4.66,3.02,14.7,25530,A
2022-23,1000007,20000007,12,SOCIAL_STUDIES,326.8,BASIC,21,85.19,16.79,2021,75.48,5.33,0.45,11.96,30.79,4.47,19.15,12796,NA
2021-22,1000008,20000008,4,SOCIAL_STUDIES,205.5,BASIC,48,89.31,22.45,2022,90.5,6.42,2.92,21.04,29.65,0.18,10.77,11590,B
2021-22,1000009,20000009,9,MATH,278.7,PROFICIENT,4,96.96,11.91,2021,66.26,2.52,11.79,12.06,0.31,6.56,13.43,16394,B
2020-21,1000010,20000010,1,SCIENCE,185.7,BELOW_BASIC,11,84.32,22.69,2025,89.09,5.13,10.68,16.01,29.01,7.79,23.16,15375,B
2024-25,1000011,20000011,9,ELA,334.5,BELOW_BASIC,29,82.92,30.58,2019,97.64,0.01,13.75,14.44,8.17,11.7,24.83,22076,A
2022-23,1000012,20000012,9,SOCIAL_STUDIES,323.0,BASIC,99,88.99,34.59,2023,61.62,4.99,0.81,9.23,18.73,11.71,14.01,29104,C
2021-22,1000013,20000013,K,ELA,342.9,PROFICIENT,52,93.46,5.91,2017,91.56,4.89,23.96,10.04,35.41,11.48,19.27,26985,A
2021-22,1000014,20000014,3,SOCIAL_STUDIES,307.1,PROFICIENT,93,85.02,34.66,2019,64.85,3.97,14.07,7.29,35.53,13.57,21.5,8371,B
2019-20,1000015,20000015,12,MATH,266.9,BELOW_BASIC,68,94.93,22.73,2023,83.14,0.95,15.34,10.63,26.03,7.63,14.86,17753,F
2023-24,1000016,20000016,3,ELA,294.6,PROFICIENT,81,84.59,32.65,2023,90.04,5.51,21.75,10.73,3.05,6.69,20.39,9353,B
2022-23,1000017,20000017,8,SOCIAL_STUDIES,316.0,BASIC,70,81.7,3.25,2020,71.77,9.58,11.07,8.72,15.8,14.96,16.92,15797,C
2020-21,1000018,20000018,7,ELA,281.2,PROFICIENT,26,88.02,15.8,2020,84.23,9.73,16.53,14.38,17.55,8.4,25.49,28585,A
2017-18,1000019,20000019,5,ELA,253.4,ADVANCED,20,95.33,17.44,2025,74.58,9.59,2.72,16.91,20.83,17.8,17.81,7220,C
2018-19,1000020,20000020,11,ELA,307.1,BELOW_BASIC,84,83.32,17.74,2023,65.85,2.32,5.25,20.26,36.8,0.12,17.75,13404,NA
2024-25,1000021,20000021,11,ELA,200.2,BASIC,37,94.58,27.82,2023,91.55,6.48,21.47,13.39,17.91,5.98,21.41,23727,F
2017-18,1000022,20000022,12,SCIENCE,322.5,PROFICIENT,70,89.99,11.93,2025,87.6,2.32,20.38,11.82,13.98,2.01,19.53,29965,C
2024-25,1000023,20000023,5,SCIENCE,331.2,BASIC,45,90.09,9.82,2024,73.86,10.99,24.83,16.83,26.68,9.58,12.87,28663,C
2024-25,1000024,20000024,9,MATH,269.8,ADVANCED,78,86.17,11.23,2025,66.1,5.87,2.11,16.15,0.17,1.94,22.17,25746,B
2021-22,1000025,20000025,5,SOCIAL_STUDIES,340.5,BELOW_BASIC,86,80.71,20.18,2016,79.65,7.12,1.7,15.15,35.94,6.85,24.94,7885,A
2018-19,1000026,20000026,10,SOCIAL_STUDIES,310.8,PROFICIENT,48,82.91,27.47,2024,81.87,10.74,6.11,17.95,21.19,10.63,20.69,29353,A
2017-18,1000027,20000027,6,MATH,189.8,PROFICIENT,59,96.57,32.13,2018,83.69,9.94,0.85,12.61,30.34,4.86,24.77,9374,A
2023-24,1000028,20000028,3,SOCIAL_STUDIES,257.6,BASIC,64,92.03,8.93,2021,89.13,3.24,2.06,11.22,2.74,14.85,24.99,7993,B
2018-19,1000029,20000029,3,ELA,298.0,BELOW_BASIC,11,99.32,23.55,2016,73.4,4.84,16.87,16.07,27.09,3.29,19.6,7343,B
2021-22,1000030,20000030,1,SOCIAL_STUDIES,219.0,PROFICIENT,78,81.5,29.37,2018,64.02,0.18,11.82,9.59,4.56,3.52,26.0,27981,D
2020-21,1000031,20000031,5,ELA,262.1,ADVANCED,36,98.15,11.56,2024,94.5,10.83,18.38,19.42,11.91,3.54,17.94,29445,C
2017-18,1000032,20000032,8,ELA,313.0,BASIC,36,95.94,21.85,2024,91.57,7.38,19.31,19.65,6.93,11.55,22.44,23298,D
2021-22,1000033,20000033,5,ELA,265.7,PROFICIENT,25,82.53,7.75,2019,95.93,2.36,16.16,12.1,6.31,13.42,23.06,12606,B
2018-19,1000034,20000034,7,ELA,269.4,PROFICIENT,87,97.47,16.57,2022,63.01,0.29,19.15,6.88,0.57,4.21,11.77,30390,D
2019-20,1000035,20000035,7,SCIENCE,203.5,PROFICIENT,78,84.93,5.93,2021,80.29,1.01,9.38,16.86,20.72,3.77,14.58,17715,B
2018-19,1000036,20000036,11,SCIENCE,168.9,BASIC,11,84.97,7.44,2023,72.97,3.24,22.09,21.72,13.74,3.66,12.83,27628,A
2021-22,1000037,20000037,1,SOCIAL_STUDIES,206.8,PROFICIENT,6,92.99,23.56,2022,82.41,2.67,14.61,11.65,10.69,7.47,17.97,20534,A
2024-25,1000038,20000038,3,ELA,342.6,PROFICIENT,94,94.94,34.33,2025,74.53,10.48,1.11,18.59,5.78,17.08,19.96,14895,B
2024-25,1000039,20000039,5,MATH,196.4,PROFICIENT,46,98.52,6.45,2021,92.56,10.26,7.93,10.95,8.65,0.41,20.66,8535,A
2022-23,1000040,20000040,K,SOCIAL_STUDIES,276.3,PROFICIENT,92,81.51,14.53,2016,82.12,7.41,18.0,9.13,2.29,6.14,16.3,8296,C
2021-22,1000041,20000041,9,ELA,323.4,BELOW_BASIC,19,96.39,12.55,2025,82.05,4.86,11.18,9.66,9.16,1.93,19.15,12466,F
2018-19,1000042,20000042,8,SOCIAL_STUDIES,319.5,PROFICIENT,97,92.85,28.2,2024,86.4,9.4,3.53,18.19,18.33,5.82,25.45,29965,D
2024-25,1000043,20000043,3,ELA,183.5,PROFICIENT,32,93.05,31.53,2022,77.34,3.43,18.05,20.62,33.21,5.89,12.37,14696,NA
2022-23,1000044,20000044,12,SOCIAL_STUDIES,337.6,BELOW_BASIC,64,80.79,24.35,2025,81.0,7.3,1.4,11.39,23.81,14.54,25.3,16081,C
2023-24,1000045,20000045,6,ELA,227.5,PROFICIENT,64,83.98,19.03,2023,69.92,1.8,24.68,19.83,8.26,12.04,15.37,20487,F
2023-24,1000046,20000046,5,MATH,192.3,PROFICIENT,30,80.42,32.5,2017,97.74,2.09,5.52,10.08,32.68,10.33,11.94,31210,NA
2018-19,1000047,20000047,11,SOCIAL_STUDIES,193.7,ADVANCED,84,84.29,11.98,2017,86.02,1.79,14.17,7.46,24.53,10.58,21.21,15015,C
2017-18,1000048,20000048,11,MATH,242.0,PROFICIENT,22,90.16,8.73,2022,92.64,2.21,18.62,20.84,0.45,6.75,15.39,8877,A
2022-23,1000049,20000049,1,SCIENCE,157.5,BELOW_BASIC,52,93.17,33.57,2023,89.82,4.07,21.44,14.06,26.86,17.61,17.36,28606,NA
2017-18,1000050,20000050,6,SOCIAL_STUDIES,340.8,PROFICIENT,12,93.22,29.17,2016,67.75,6.55,20.83,20.29,13.78,14.65,20.43,23484,B
2024-25,1000051,20000051,7,MATH,341.0,ADVANCED,88,90.98,21.99,2021,68.15,7.09,13.29,20.78,25.57,1.43,12.81,15684,A
2020-21,1000052,20000052,7,ELA,172.2,PROFICIENT,1,94.03,31.86,2022,61.11,8.14,4.13,20.01,4.7,9.77,16.55,8932,D
2021-22,1000053,20000053,7,SOCIAL_STUDIES,245.7,BELOW_BASIC,55,87.3,18.7,2019,84.44,6.8,16.22,16.89,32.72,11.6,11.29,9162,NA
2018-19,1000054,20000054,12,ELA,315.1,BELOW_BASIC,66,80.13,7.94,2022,89.48,4.68,18.38,17.5,33.4,7.9,25.75,10548,C
2022-23,1000055,20000055,5,SCIENCE,211.0,PROFICIENT,58,81.17,10.76,2024,97.26,2.59,0.87,6.74,7.31,13.91,17.08,24802,NA
2018-19,1000056,20000056,9,MATH,172.4,BASIC,14,98.99,17.7,2022,88.66,2.15,0.4,18.49,12.31,15.39,11.44,18395,C
2017-18,1000057,20000057,2,MATH,244.3,PROFICIENT,28,96.4,27.59,2019,65.49,0.78,11.26,15.13,28.2,6.72,22.64,7609,B
2018-19,1000058,20000058,8,MATH,308.6,PROFICIENT,89,93.53,30.06,2020,89.33,2.4,9.13,21.91,5.4,14.14,19.48,19881,B
2020-21,1000059,20000059,2,SCIENCE,198.5,ADVANCED,3,83.54,3.88,2019,66.2,8.51,23.36,11.37,11.55,6.03,16.04,22607,C
2019-20,1000060,20000060,11,SOCIAL_STUDIES,330.3,PROFICIENT,84,90.46,4.11,2016,64.32,10.24,4.68,17.6,30.37,14.05,15.84,23336,D
2020-21,1000061,20000061,6,SCIENCE,245.9,PROFICIENT,54,87.27,14.77,2025,85.81,6.2,15.71,17.3,37.24,6.35,12.64,24756,D
2017-18,1000062,20000062,K,SCIENCE,284.2,BASIC,5,83.3,19.01,2016,96.56,8.97,2.5,10.67,28.65,13.16,13.21,21656,B
2024-25,1000063,20000063,7,MATH,256.2,BASIC,80,98.07,19.0,2020,78.2,8.88,12.13,16.72,34.24,5.88,17.7,29556,A
2024-25,1000064,20000064,3,MATH,241.6,PROFICIENT,87,96.55,24.41,2019,81.69,9.38,1.54,9.04,14.96,2.33,12.01,9044,F
2020-21,1000065,20000065,4,MATH,264.2,PROFICIENT,86,88.85,31.86,2025,70.77,8.86,4.65,16.11,3.83,6.64,20.81,8371,NA
2018-19,1000066,20000066,12,MATH,231.9,BASIC,19,92.36,20.32,2016,87.02,3.95,15.32,15.61,1.57,0.92,10.71,22454,C
2023-24,1000067,20000067,7,ELA,225.5,PROFICIENT,50,95.02,2.3,2017,94.52,1.34,20.2,7.97,10.49,11.09,15.63,29763,F
2017-18,1000068,20000068,4,ELA,305.9,BASIC,76,91.39,28.81,2023,76.9,2.11,12.83,19.5,35.8,12.7,24.71,10268,D
2022-23,1000069,20000069,11,MATH,236.2,ADVANCED,53,87.84,21.16,2020,85.32,9.22,14.63,17.4,35.15,2.52,10.39,22994,B
2022-23,1000070,20000070,6,ELA,283.5,PROFICIENT,68,91.27,26.07,2016,76.3,11.6,23.87,9.15,7.48,16.32,17.6,28574,NA
2019-20,1000071,20000071,4,ELA,339.8,PROFICIENT,20,83.75,31.52,2018,89.92,1.71,3.35,16.7,26.29,0.62,21.96,24848,B
2023-24,1000072,20000072,2,SOCIAL_STUDIES,333.6,PROFICIENT,2,88.11,22.61,2021,80.5,9.09,0.99,9.0,7.61,5.22,16.43,18011,B
2017-18,1000073,20000073,8,SOCIAL_STUDIES,213.0,BASIC,14,81.88,30.06,2022,86.52,7.12,9.07,8.91,19.78,14.01,20.38,19840,B
2024-25,1000074,20000074,11,SOCIAL_STUDIES,233.1,ADVANCED,88,97.69,4.31,2021,62.6,2.37,11.06,17.6,29.45,13.6,24.23,11304,C
2020-21,1000075,20000075,4,ELA,159.4,BASIC,2,90.57,22.69,2025,73.71,7.76,14.62,12.54,13.25,5.11,20.19,15753,C
2020-21,1000076,20000076,9,SOCIAL_STUDIES,305.3,PROFICIENT,68,87.41,15.19,2018,76.58,10.25,9.92,6.18,35.91,15.4,15.39,22621,B
2022-23,1000077,20000077,3,ELA,304.1,BELOW_BASIC,20,87.03,7.22,2018,72.15,1.58,2.23,20.57,0.41,9.79,16.63,30289,A
2021-22,1000078,20000078,1,MATH,346.9,ADVANCED,24,91.91,11.86,2021,84.38,8.23,18.41,14.96,21.5,4.9,25.37,12690,B
2020-21,1000079,20000079,6,ELA,318.0,PROFICIENT,35,81.19,28.89,2023,87.67,10.4,5.92,13.92,9.08,10.09,25.7,20742,B
2023-24,1000080,20000080,6,SOCIAL_STUDIES,249.2,ADVANCED,32,96.77,31.24,2017,82.22,1.5,22.74,12.25,18.04,4.35,12.83,28362,F
2024-25,1000081,20000081,5,SOCIAL_STUDIES,338.7,BASIC,40,92.14,7.32,2018,83.25,11.06,2.12,9.43,37.8,5.67,25.13,27826,C
2017-18,1000082,20000082,7,MATH,317.2,BELOW_BASIC,34,84.41,15.01,2025,81.98,5.59,24.72,7.23,25.09,0.64,16.27,12551,C
