energy_eff_program_year,energy_eff_program_id,energy_eff_measure_type_code,energy_eff_rebate_amount_usd,energy_eff_participant_count,energy_eff_kwh_savings_first_year,energy_eff_kw_savings_peak,energy_eff_therm_savings_first_year,energy_eff_lifetime_savings_mwh,energy_eff_cost_effectiveness_trc,energy_eff_cost_effectiveness_pac,energy_eff_net_to_gross_ratio,energy_eff_free_ridership_rate,energy_eff_spillover_rate,energy_eff_verification_method_code,energy_eff_evaluation_report_link_id,energy_eff_income_qualification_flag,energy_eff_contractor_network_size,energy_eff_market_transformation_score,energy_eff_measure_installation_time_days
2013,PROG0000001,SOLAR_WATER_HEAT,387.67,108305,114337.18,3962.08,49240.92,1905.23,2.706,0.473,0.469,0.382,0.364,INSPECTION,RPT00000001,0,4299,17.96,91
2020,PROG0000002,OTHER,5616.05,225344,113024.4,4207.47,84080.79,424.151,3.213,0.52,0.851,0.557,0.41,EQUIPMENT_TRACKING,RPT00000002,0,1632,56.08,134
2022,PROG0000003,SOLAR_WATER_HEAT,4092.58,66241,232449.07,108.84,34956.8,2543.943,0.922,0.57,0.648,0.205,0.102,DEEMED,RPT00000003,0,32,83.84,91
2022,PROG0000004,HVAC,2181.65,165452,141691.07,3098.38,15819.89,1065.806,1.017,1.907,0.401,0.43,0.332,BILLING_ANALYSIS,RPT00000004,0,2291,5.09,117
2020,PROG0000005,HVAC,2704.65,124414,112920.16,2698.06,31387.03,1973.485,3.323,1.697,0.522,0.308,0.046,BILLING_ANALYSIS,RPT00000005,0,8417,57.36,48
2024,PROG0000006,BUILDING_CONTROLS,6021.06,19664,207998.87,2455.44,86757.79,2179.501,1.684,0.551,0.836,0.583,0.044,BILLING_ANALYSIS,RPT00000006,0,2717,44.67,32
2016,PROG0000007,OTHER,866.22,170545,226158.15,4579.22,51196.5,1033.942,3.441,0.207,1.014,0.108,0.151,METERED,RPT00000007,0,2709,76.21,9
2017,PROG0000008,APPLIANCE,78.0,68181,202980.35,4738.87,70973.32,3650.083,3.5,1.304,0.813,0.254,0.008,EQUIPMENT_TRACKING,RPT00000008,1,7226,72.58,3
2018,PROG0000009,INDUSTRIAL_PROCESS,1766.16,28511,81211.06,4263.28,36598.11,1342.881,2.632,2.216,0.372,0.411,0.265,BILLING_ANALYSIS,RPT00000009,0,7097,29.22,83
2025,PROG0000010,SOLAR_WATER_HEAT,2957.92,100248,47977.68,4788.39,50289.89,481.204,3.037,0.653,0.613,0.217,0.438,INSPECTION,RPT00000010,1,58,46.21,37
2021,PROG0000011,HVAC,7245.03,7946,102707.24,811.82,93342.92,1099.346,2.846,2.643,0.383,0.499,0.066,BILLING_ANALYSIS,RPT00000011,0,8610,58.26,94
2019,PROG0000012,INDUSTRIAL_PROCESS,4454.67,110307,132286.87,4149.98,32456.57,444.649,2.075,2.037,0.462,0.282,0.449,INSPECTION,RPT00000012,0,10004,35.92,86
