energy_outage_outage_start_timestamp,energy_outage_outage_end_timestamp,energy_outage_utility_service_area_id,energy_outage_cause_category_code,energy_outage_customers_affected_count,energy_outage_customer_minutes_interrupted,energy_outage_saidi_minutes,energy_outage_saifi_frequency,energy_outage_momentary_interruptions_count,energy_outage_restoration_time_median_minutes,energy_outage_crew_dispatch_time_minutes,energy_outage_mutual_aid_crew_count,energy_outage_critical_facility_impact_flag,energy_outage_public_safety_power_shutdown_flag,energy_outage_storm_event_name,energy_outage_vegetation_related_flag,energy_outage_equipment_failure_flag,energy_outage_cyber_incident_flag,energy_outage_outage_notification_channel,energy_outage_after_action_report_id
2017-01-01T00:00:00,2017-01-03T15:11:00,AREA000001,STORM,1457915,5526955765,685.01,0.778,28983,4171,153,7502,0,0,DERECHO,0,0,0,WEB,AAR0000001
2017-01-01T01:00:00,2017-01-02T06:45:00,AREA000002,VEGETATION,1502928,2682726480,324.07,5.164,25955,3782,87,7120,0,0,DERECHO,0,0,0,SMS,AAR0000002
2017-01-01T02:00:00,2017-01-03T11:32:00,AREA000003,EQUIPMENT,1099234,3794555768,834.39,2.776,27998,1135,192,3012,0,0,NONE,0,1,0,EMAIL,AAR0000003
2017-01-01T03:00:00,2017-01-03T00:00:00,AREA000004,STORM,1794451,4845017700,17.45,0.675,18116,1475,81,457,0,0,NONE,0,1,0,WEB,AAR0000004
2017-01-01T04:00:00,2017-01-01T12:49:00,AREA000005,EQUIPMENT,1651607,873700103,163.36,3.809,27585,4149,109,7224,0,0,DERECHO,1,0,0,SMS,AAR0000005
2017-01-01T05:00:00,2017-01-02T17:59:00,AREA000006,FIRE,1599941,3550269079,48.91,6.15,43650,282,217,5990,1,0,NONE,0,0,0,WEB,AAR0000006
2017-01-01T06:00:00,2017-01-02T22:13:00,AREA000007,MAINTENANCE,653443,1576757959,23.38,1.035,37637,2275,128,5691,1,0,NONE,1,0,0,APP_PUSH,AAR0000007
2017-01-01T07:00:00,2017-01-02T14:34:00,AREA000008,EQUIPMENT,407143,771128842,356.54,2.451,17179,3319,188,4674,0,0,DERECHO,0,0,0,WEB,AAR0000008
2017-01-01T08:00:00,2017-01-01T14:04:00,AREA000009,LOAD_SHED,764835,278399940,941.17,6.621,28047,3880,99,1037,0,0,HURRICANE,0,1,0,SMS,AAR0000009
2017-01-01T09:00:00,2017-01-02T05:45:00,AREA000010,MAINTENANCE,1719153,2140345485,579.63,2.88,3292,120,180,3124,0,0,THUNDERSTORM,0,1,0,SMS,AAR0000010
2017-01-01T10:00:00,2017-01-03T14:29:00,AREA000011,OTHER,1551224,4884804376,523.21,7.021,213,603,108,2121,1,0,HURRICANE,0,1,0,WEB,AAR0000011
2017-01-01T11:00:00,2017-01-03T12:29:00,AREA000012,LOAD_SHED,363189,1078308141,528.19,0.462,30442,3123,236,487,0,0,THUNDERSTORM,0,0,1,WEB,AAR0000012
2017-01-01T12:00:00,2017-01-03T06:20:00,AREA000013,EQUIPMENT,1045012,2654330480,39.64,5.496,44323,4179,24,7489,0,0,NONE,0,0,0,APP_PUSH,AAR0000013
2017-01-01T13:00:00,2017-01-01T13:37:00,AREA000014,FIRE,1688717,62482529,822.65,1.148,33324,3040,97,3576,0,0,NONE,0,1,0,WEB,AAR0000014
2017-01-01T14:00:00,2017-01-02T14:01:00,AREA000015,STORM,1165667,1679726147,532.01,7.763,37207,676,32,7769,0,0,WINTER_STORM,0,0,0,EMAIL,AAR0000015
2017-01-01T15:00:00,2017-01-03T14:18:00,AREA000016,EQUIPMENT,896671,2544752298,140.79,3.632,11834,1874,163,1390,1,0,THUNDERSTORM,0,1,0,IVR,AAR0000016
2017-01-01T16:00:00,2017-01-03T14:20:00,AREA000017,VEGETATION,212200,589916000,243.69,0.104,42665,3998,91,2112,0,0,THUNDERSTORM,0,0,0,SMS,AAR0000017
2017-01-01T17:00:00,2017-01-02T04:29:00,AREA000018,EQUIPMENT,1004912,692384368,670.02,1.074,15229,2509,60,7628,0,0,HEAT_WAVE,0,0,0,WEB,AAR0000018
2017-01-01T18:00:00,2017-01-02T21:04:00,AREA000019,MAINTENANCE,934105,1516986520,63.32,1.458,32115,3472,141,5611,1,0,WINTER_STORM,0,0,0,APP_PUSH,AAR0000019
2017-01-01T19:00:00,2017-01-04T15:34:00,AREA000020,MAINTENANCE,1603706,6597646484,349.87,7.974,37305,3088,42,318,0,0,WILDFIRE_SMOKE,0,0,0,APP_PUSH,AAR0000020
2017-01-01T20:00:00,2017-01-02T05:07:00,AREA000021,FIRE,531377,290663219,294.83,4.103,24641,591,211,6101,0,0,WINTER_STORM,0,1,0,APP_PUSH,AAR0000021
2017-01-01T21:00:00,2017-01-04T17:34:00,AREA000022,VEGETATION,1560082,6418177348,556.09,1.983,40994,1651,133,3966,0,0,HURRICANE,1,0,0,SMS,AAR0000022
2017-01-01T22:00:00,2017-01-03T10:37:00,AREA000023,MAINTENANCE,895206,1966767582,629.17,1.407,2137,4123,47,4916,1,0,WINTER_STORM,0,1,0,IVR,AAR0000023
2017-01-01T23:00:00,2017-01-03T06:10:00,AREA000024,OTHER,776119,1451342530,366.38,6.915,31631,2688,219,4746,0,0,HURRICANE,0,0,0,SMS,AAR0000024
