energy_price_rate_effective_date,energy_price_utility_id,energy_price_tariff_code,energy_price_customer_class,energy_price_fixed_charge_usd,energy_price_energy_charge_cents_kwh,energy_price_demand_charge_usd_kw,energy_price_fuel_adjustment_cents_kwh,energy_price_riders_surcharges_usd,energy_price_bill_amount_avg_usd,energy_price_bill_amount_p95_usd,energy_price_arrears_rate_pct,energy_price_disconnection_rate_pct,energy_price_reconnection_rate_pct,energy_price_payment_plan_enrollment,energy_price_assistance_program_uptake,energy_price_net_metering_credit_rate,energy_price_time_variant_pricing_flag,energy_price_low_income_discount_flag,energy_price_regulatory_docket_id
2013-01-01,UTIL000001,SOLAR_RIDER,COM,38.95,9.849,37.976,-2.42,-8.69,223.26,524.66,18.67,5.53,3.98,687816,39.14,27.166,0,1,DOCKET0000001
2013-01-08,UTIL000002,R_LI,COM,30.2,33.245,12.679,7.839,58.4,359.83,484.75,3.07,10.37,5.28,766585,17.26,24.224,0,1,DOCKET0000002
2013-01-15,UTIL000003,SOLAR_RIDER,IND,46.83,22.14,23.611,8.119,81.26,169.78,311.96,7.57,2.08,1.87,374114,13.22,2.117,1,1,DOCKET0000003
2013-01-22,UTIL000004,R_TOU,COM,11.49,32.572,38.917,-1.897,34.8,34.67,86.55,19.69,9.97,9.78,44712,58.88,15.733,1,0,DOCKET0000004
2013-01-29,UTIL000005,EV_TOU,RES,27.9,18.752,22.336,-4.171,102.67,216.81,278.0,5.41,11.39,22.24,294113,10.48,25.326,0,1,DOCKET0000005
2013-02-05,UTIL000006,R_LI,IND,63.22,24.692,7.703,7.76,10.4,92.26,238.16,27.26,10.3,6.61,707631,56.9,18.923,1,0,DOCKET0000006
2013-02-12,UTIL000007,R_STD,COM,35.85,16.764,39.037,9.833,38.01,179.05,284.98,10.88,9.72,10.22,269783,49.82,22.358,0,0,DOCKET0000007
2013-02-19,UTIL000008,C_DEM,IND,74.71,26.336,18.573,-2.356,32.81,326.12,499.85,6.84,5.17,10.91,281585,48.04,12.704,0,1,DOCKET0000008
2013-02-26,UTIL000009,SOLAR_RIDER,IND,42.19,19.173,2.193,0.237,2.69,69.0,120.99,27.83,8.73,17.04,808755,49.26,7.848,1,0,DOCKET0000009
2013-03-05,UTIL000010,C_DEM,RES,20.98,35.278,0.596,7.337,75.4,227.54,547.62,12.81,5.84,1.6,72938,36.77,0.177,1,1,DOCKET0000010
2013-03-12,UTIL000011,R_LI,COM,62.17,33.721,27.189,8.105,21.16,381.71,931.54,24.36,4.99,2.28,219708,5.73,11.182,1,0,DOCKET0000011
2013-03-19,UTIL000012,EV_TOU,RES,51.43,23.877,36.892,-1.657,39.4,276.18,464.52,14.77,2.48,0.26,77734,69.19,19.357,0,0,DOCKET0000012
2013-03-26,UTIL000013,R_STD,RES,57.85,22.913,27.743,1.287,41.35,246.05,553.0,9.66,2.41,2.91,209474,6.39,14.304,0,1,DOCKET0000013
2013-04-02,UTIL000014,C_GEN,COM,28.7,14.137,6.784,-4.579,96.16,210.84,274.28,20.14,8.48,7.96,594227,3.42,0.761,1,0,DOCKET0000014
2013-04-09,UTIL000015,EV_TOU,COM,49.92,22.646,10.714,8.272,-13.99,79.98,149.34,5.1,6.52,23.99,632511,39.72,4.683,0,0,DOCKET0000015
2013-04-16,UTIL000016,R_TOU,COM,56.83,32.924,10.346,3.136,87.59,246.64,309.12,13.71,10.12,1.26,529535,24.45,22.975,1,1,DOCKET0000016
2013-04-23,UTIL000017,R_LI,RES,54.07,18.654,40.505,-1.517,112.63,202.35,287.84,2.25,1.23,15.62,46653,63.52,12.795,0,1,DOCKET0000017
