energy_use_billing_month,energy_use_sector_code,energy_use_end_use_category,energy_use_sales_mwh,energy_use_customer_count,energy_use_average_kwh_per_customer,energy_use_peak_demand_mw,energy_use_load_factor_pct,energy_use_time_of_use_share_pct,energy_use_demand_response_participant_count,energy_use_electrification_index,energy_use_ev_charging_load_mwh,energy_use_heat_pump_adoption_rate,energy_use_distributed_solar_generation_mwh,energy_use_battery_storage_dispatch_mwh,energy_use_natural_gas_therms_equiv,energy_use_propane_gallons_equiv,energy_use_energy_burden_pct_households,energy_use_weather_normalization_factor,energy_use_meter_data_granularity
2011-01,COM,EV_CHARGING,3494262.49,1776187,1967.28,18341.46,50.64,26.54,56461,0.1293,359042.69,5.58,130415.29,312141.42,25819706.67,24703999.42,8.26,0.7851,MONTHLY
2011-02,IND,PROCESS,1520079.25,1642228,925.62,17166.86,35.5,35.05,323699,0.6069,488308.57,11.1,457410.31,384489.48,40905343.55,12101870.43,12.31,0.8245,15_MIN
2011-03,COM,PROCESS,2867394.88,3179172,901.93,5852.1,25.35,53.46,166078,0.1182,499225.61,50.45,252561.42,201894.77,38146422.14,18450573.35,9.06,0.798,HOURLY
2011-04,RES,HVAC,3075873.66,2138297,1438.47,21020.78,31.66,49.12,50862,0.663,421020.79,24.07,577886.0,111141.2,46969350.3,24364154.87,13.18,1.0061,30_MIN
2011-05,TRANS,PROCESS,882685.78,872976,1011.12,18376.75,56.14,31.18,96236,0.8659,146017.69,29.7,128187.59,2668.44,80402988.26,16490825.08,0.77,0.7303,HOURLY
2011-06,TRANS,WATER_HEAT,691090.91,1343766,514.29,10763.89,46.63,22.14,229673,0.0103,323921.25,36.49,547601.78,139940.57,26679148.58,11734367.86,5.43,1.2071,30_MIN
2011-07,RES,LIGHTING,3894016.73,3483685,1117.79,14480.07,55.98,36.0,122725,0.2139,15673.22,50.2,478134.31,374622.45,57754119.96,23464255.2,12.26,0.8608,HOURLY
2011-08,COM,PROCESS,4474695.83,2719221,1645.58,12166.58,41.35,37.18,411470,0.5085,90574.32,18.34,644633.44,225436.83,79278255.46,23160408.85,10.71,1.26,DAILY
2011-09,RES,APPLIANCES,1440727.09,2293497,628.18,6155.36,40.6,13.38,269348,0.9614,236873.49,36.09,122315.93,230163.67,2449632.35,20973016.73,15.14,0.9249,30_MIN
2011-10,IND,LIGHTING,315468.65,2375087,132.82,4367.38,15.44,55.62,77817,0.0181,134475.5,19.47,679618.61,335201.48,30120756.26,15447199.46,0.38,0.8695,MONTHLY
2011-11,COM,MOTIVE_POWER,3641021.56,1961162,1856.56,21178.75,81.15,21.75,286676,0.4428,11784.49,33.12,725540.21,440236.88,42611316.47,24411024.24,8.09,1.0918,MONTHLY
2011-12,COM,MOTIVE_POWER,2003706.01,975548,2053.93,21108.39,73.68,8.59,2422,0.7637,461985.83,12.56,688387.45,201840.3,82909624.68,22633973.11,4.21,1.1487,MONTHLY
2012-01,RES,MOTIVE_POWER,1937971.47,2256526,858.83,3609.3,63.34,26.15,137840,0.1726,326325.5,3.47,483871.84,104076.06,20937036.66,18378247.96,10.4,0.7777,30_MIN
2012-02,RES,HVAC,401949.54,1368467,293.72,6753.03,45.81,53.08,171815,0.4505,81664.21,2.2,36452.15,113791.96,48584042.94,8511430.11,15.11,0.9475,HOURLY
2012-03,RES,APPLIANCES,3104155.09,2148180,1445.02,16191.27,59.73,20.97,374052,0.5371,421752.9,1.07,668895.41,405513.54,46947599.68,12237425.79,8.06,1.0657,MONTHLY
2012-04,RES,APPLIANCES,3671744.72,1049537,3498.44,13761.65,36.05,47.86,328443,0.2849,50357.39,1.58,95965.43,312643.04,19435047.83,4065764.62,3.26,0.9463,15_MIN
2012-05,RES,HVAC,4785543.41,1069727,4473.61,19693.72,74.96,62.87,99280,0.7231,155040.54,41.0,725913.67,79595.3,51908673.52,23034858.94,14.25,1.1228,30_MIN
2012-06,COM,HVAC,4199670.73,2760459,1521.37,5606.58,60.39,53.64,408687,0.3115,454845.13,34.65,611435.07,115932.57,30162325.21,17825897.04,0.83,0.9392,DAILY
2012-07,RES,APPLIANCES,2887310.49,3263265,884.79,7154.21,68.93,26.64,67679,0.4128,243378.54,31.34,123848.84,135698.9,30748125.63,2188358.63,3.43,1.0429,MONTHLY
2012-08,IND,LIGHTING,2878327.31,3314118,868.5,21315.4,77.22,24.52,180746,0.4282,329631.18,22.8,401350.07,303910.01,51697879.14,7402337.12,5.85,0.9954,MONTHLY
2012-09,RES,PROCESS,1025546.56,2604862,393.7,4456.88,24.15,6.08,146202,0.5531,112408.32,2.55,539091.15,27630.81,76595876.66,17176680.74,12.04,0.8487,DAILY
2012-10,RES,LIGHTING,2781252.8,727763,3821.65,20822.13,31.61,12.72,178740,0.467,335777.61,42.88,162923.4,107694.57,34093687.34,14960972.89,15.52,0.8665,30_MIN
2012-11,RES,WATER_HEAT,543541.32,2578111,210.83,15422.22,26.53,45.19,357445,0.995,88895.21,22.05,503211.73,77640.79,57733056.0,22217580.96,16.93,1.107,MONTHLY
2012-12,IND,MOTIVE_POWER,1158460.2,660819,1753.07,12782.38,24.22,63.58,307795,0.1335,354392.66,20.2,231518.99,297074.84,81512191.89,4715791.03,9.65,1.259,HOURLY
2013-01,IND,MOTIVE_POWER,2019165.52,3254863,620.35,18073.02,35.52,50.92,21651,0.8886,90688.62,5.25,389824.18,253403.22,72251523.8,10236994.77,11.27,0.8384,HOURLY
2013-02,COM,WATER_HEAT,2739996.87,3079719,889.69,16468.9,75.21,31.68,333668,0.2606,470013.11,2.45,536574.73,107014.37,18598198.65,915136.36,5.31,0.9686,30_MIN
2013-03,RES,APPLIANCES,5187806.76,1443,3595153.68,7594.16,49.01,32.23,25691,0.0365,451425.81,21.48,239096.72,311737.03,19232926.75,22334515.79,1.65,0.9272,15_MIN
2013-04,COM,APPLIANCES,712465.5,2964487,240.33,12534.08,18.95,28.07,273306,0.3957,344960.79,25.92,201489.28,282808.18,39511776.64,2756027.69,10.98,1.2849,HOURLY
2013-05,COM,HVAC,4428076.11,1499041,2953.94,18602.92,67.75,10.84,407978,0.6936,146700.4,45.12,471634.79,97237.58,12310398.34,2444403.16,13.46,1.2022,30_MIN
2013-06,COM,OTHER,3511055.36,3254294,1078.9,9806.14,41.92,52.5,82295,0.3301,47271.08,4.05,407954.54,353454.49,73443231.56,9666553.93,16.29,1.0031,DAILY
2013-07,IND,EV_CHARGING,1858811.91,538843,3449.64,13258.63,46.9,17.13,423503,0.7742,283056.97,10.27,496739.33,272093.9,76365497.61,11726599.4,14.58,0.8025,30_MIN
2013-08,RES,LIGHTING,960637.86,138462,6937.92,8137.52,33.81,29.3,61107,0.2257,339622.07,50.31,352343.94,367823.44,41035007.81,12091385.57,14.02,1.1434,MONTHLY
2013-09,RES,WATER_HEAT,4625595.45,2663110,1736.91,360.49,78.99,45.16,81282,0.5276,265366.01,7.61,297876.24,323921.41,28455948.14,790899.11,16.27,0.7637,15_MIN
2013-10,RES,LIGHTING,1756534.71,1170530,1500.63,11591.2,52.2,2.51,342101,0.9649,517177.95,38.08,813489.13,274367.5,59591948.82,14008936.09,10.34,0.8587,DAILY
2013-11,RES,PROCESS,3233057.8,1088423,2970.41,16685.42,63.09,23.57,77129,0.4718,181179.8,20.99,441199.57,305395.15,6589106.45,5764662.31,14.54,1.0662,15_MIN
2013-12,IND,WATER_HEAT,4452536.44,3014395,1477.09,4781.73,60.19,32.23,346404,0.4363,246956.76,39.1,676753.89,179189.42,94877711.06,6978176.73,4.99,0.9731,MONTHLY
2014-01,COM,APPLIANCES,2282864.41,2719884,839.32,13941.56,47.84,2.62,242914,0.4411,491418.12,31.61,328064.18,263758.35,84698867.37,15953493.02,17.71,1.057,30_MIN
