env_air_monitor_date,env_air_monitor_site_id,env_air_pollutant_code,env_air_daily_avg_concentration,env_air_daily_max_8hr_concentration,env_air_aqi_value,env_air_exceedance_flag,env_air_exceptional_event_flag,env_air_wildfire_smoke_flag,env_air_temperature_c,env_air_relative_humidity_pct,env_air_wind_speed_m_s,env_air_wind_direction_deg,env_air_barometric_pressure_hpa,env_air_instrument_method_code,env_air_data_completeness_pct,env_air_calibration_check_flag,env_air_near_roadway_indicator,env_air_population_exposure_estimate,env_air_health_advisory_level
2019-01-01,SITE0000001,PM25,72.659,131.071,278,1,0,0,19.68,46.67,14.45,180,992.81,NDIR,57.14,1,0,2466438,VERY_UNHEALTHY
2019-01-02,SITE0000002,PM10,115.596,208.707,395,0,0,0,32.96,58.15,15.32,231,985.5,FEM,63.24,0,1,1895683,NONE
2019-01-03,SITE0000003,O3,53.473,217.979,109,1,0,0,18.66,81.97,10.2,18,981.44,UV_PHOTOMETRY,62.95,1,0,967342,UNHEALTHY
2019-01-04,SITE0000004,PM10,43.505,227.831,425,0,0,0,22.06,89.68,17.96,156,1034.94,NDIR,73.74,0,0,1651892,NONE
2019-01-05,SITE0000005,PM25,3.651,122.3,307,0,0,0,-10.47,5.59,1.59,16,971.18,FEM,79.41,1,0,1677275,NONE
2019-01-06,SITE0000006,PM25,61.47,123.139,443,0,0,0,24.39,83.87,13.68,114,1019.44,UV_PHOTOMETRY,78.72,1,1,1933624,UNHEALTHY
2019-01-07,SITE0000007,PM25,97.523,141.286,142,0,0,0,24.13,11.6,11.05,314,975.49,CHEMILUMINESCENCE,86.52,0,0,2244447,NONE
2019-01-08,SITE0000008,PM25,44.074,95.911,341,0,0,0,31.42,33.82,2.77,352,959.06,FRM,84.44,0,0,424768,NONE
2019-01-09,SITE0000009,O3,100.859,206.463,296,0,0,0,-17.68,72.75,8.02,289,962.95,CHEMILUMINESCENCE,83.83,0,0,2145046,NONE
2019-01-10,SITE0000010,NO2,102.877,197.815,423,0,0,0,26.26,92.47,9.19,8,959.26,FEM,73.95,0,0,1663187,SENSITIVE
2019-01-11,SITE0000011,O3,27.723,6.259,202,1,0,0,-1.72,27.87,2.2,244,1018.74,NDIR,94.74,0,1,1878975,NONE
2019-01-12,SITE0000012,PM25,14.892,28.125,186,0,0,0,-9.13,47.58,5.75,32,951.97,UV_PHOTOMETRY,98.93,0,0,687352,UNHEALTHY
2019-01-13,SITE0000013,NO2,114.66,5.15,430,0,0,0,43.61,98.12,14.58,99,952.06,FEM,83.28,0,1,1304301,NONE
2019-01-14,SITE0000014,PM10,19.37,30.097,346,0,0,1,13.12,55.62,9.8,315,997.87,CHEMILUMINESCENCE,50.8,0,0,763715,NONE
2019-01-15,SITE0000015,O3,111.81,157.675,336,0,0,0,42.06,84.89,4.62,17,1004.4,UV_PHOTOMETRY,77.03,0,0,2297589,NONE
2019-01-16,SITE0000016,O3,39.328,159.858,478,0,0,0,38.14,80.2,2.41,314,955.97,FRM,58.66,0,0,150155,SENSITIVE
2019-01-17,SITE0000017,NO2,13.068,8.686,289,0,0,0,6.64,33.97,3.68,115,1040.58,FEM,64.51,0,1,691107,NONE
2019-01-18,SITE0000018,PM10,7.523,133.633,374,0,0,0,2.12,13.54,2.69,134,956.41,BAM1020,95.19,0,0,485752,NONE
2019-01-19,SITE0000019,PM10,50.85,98.421,287,0,0,0,32.31,77.75,10.52,171,1048.79,FEM,97.05,0,0,1029892,NONE
2019-01-20,SITE0000020,PM10,101.509,97.982,373,0,0,0,-7.69,7.25,5.0,232,981.24,TEOM,90.18,0,1,417009,NONE
2019-01-21,SITE0000021,O3,81.202,90.787,219,0,0,1,28.61,22.37,3.45,175,982.99,FRM,81.39,0,0,1471001,UNHEALTHY
2019-01-22,SITE0000022,PM25,39.623,104.898,344,0,0,0,-14.76,52.84,12.25,168,1025.56,UV_PHOTOMETRY,94.69,0,0,2130185,NONE
2019-01-23,SITE0000023,NO2,113.977,244.798,33,0,0,0,34.42,24.36,13.84,184,1028.86,FRM,55.3,0,0,1678373,NONE
