env_emiss_inventory_year,env_emiss_facility_registry_id,env_emiss_emissions_source_type,env_emiss_ghg_gas_code,env_emiss_emissions_metric_tons,env_emiss_stack_height_m,env_emiss_control_technology_code,env_emiss_operating_hours_annual,env_emiss_throughput_activity_level,env_emiss_emission_factor_used,env_emiss_estimation_method_code,env_emiss_permit_number,env_emiss_compliance_status_code,env_emiss_violation_count,env_emiss_inspection_count,env_emiss_nearby_receptor_distance_m,env_emiss_environmental_justice_screen_score,env_emiss_reporting_program_name,env_emiss_verification_flag,env_emiss_uncertainty_rating
2010,FRS000000001,FUGITIVE,CO2,3519.679,0.0,NONE,2480,187381.89,DEFAULT,EMISSION_FACTOR,PERMIT00000001,IN_COMPLIANCE,9,2,4929.7,49.38,TRI,0,LOW
2007,FRS000000002,AREA,SF6,237.76,0.0,OXIDATION_CATALYST,3234,770571.08,MODELLED,EMISSION_FACTOR,PERMIT00000002,IN_COMPLIANCE,5,4,9154.7,75.31,STATE_INVENTORY,0,MEDIUM
2008,FRS000000003,NONPOINT,CO2,1173.773,0.0,SCR,4523,811656.43,MASS_BALANCE,EMISSION_FACTOR,PERMIT00000003,IN_COMPLIANCE,3,5,3361.5,12.27,STATE_INVENTORY,1,MEDIUM
2019,FRS000000004,AREA,N2O,1266.36,0.0,SCR,7144,1211139.26,SITE_SPECIFIC,CEMS,PERMIT00000004,IN_COMPLIANCE,10,8,8619.8,49.52,TRI,0,LOW
2012,FRS000000005,POINT,CO2,5249.248,63.6,NONE,1095,1487193.59,DEFAULT,CEMS,PERMIT00000005,IN_COMPLIANCE,7,6,4177.8,93.49,STATE_INVENTORY,1,HIGH
2006,FRS000000006,MOBILE,N2O,6326.857,0.0,NONE,6253,1399850.79,MODELLED,ENGINEERING,PERMIT00000006,IN_COMPLIANCE,8,5,8049.1,71.31,NEI,0,MEDIUM
2014,FRS000000007,NONPOINT,CO2,2435.51,0.0,FGD,6782,157183.63,DEFAULT,CEMS,PERMIT00000007,OUT_OF_COMPLIANCE,10,4,161.9,29.02,STATE_INVENTORY,1,MEDIUM
2025,FRS000000008,AREA,CO2,3128.527,0.0,BAGHOUSE,4846,636459.5,MODELLED,CEMS,PERMIT00000008,IN_COMPLIANCE,0,8,7474.4,38.87,GHGRP,1,UNKNOWN
2018,FRS000000009,POINT,HFCs,1091.001,154.08,NONE,8740,663056.09,STACK_TEST,ENGINEERING,PERMIT00000009,IN_COMPLIANCE,3,2,4386.9,72.79,OTHER,1,LOW
2012,FRS000000010,MOBILE,CH4,1170.022,0.0,FGD,2591,414922.72,MODELLED,MODELED,PERMIT00000010,IN_COMPLIANCE,4,5,11447.5,20.76,GHGRP,1,MEDIUM
2023,FRS000000011,MOBILE,SF6,4356.727,0.0,SNCR,3535,1319049.94,DEFAULT,EMISSION_FACTOR,PERMIT00000011,NOT_APPLICABLE,0,3,9941.4,80.61,NEI,0,MEDIUM
2018,FRS000000012,POINT,CO2,2650.454,239.89,SCR,5945,612984.28,MASS_BALANCE,ENGINEERING,PERMIT00000012,IN_COMPLIANCE,10,0,9077.8,87.88,NEI,0,HIGH
2012,FRS000000013,POINT,CO2,581.4,153.49,NONE,206,750017.44,DEFAULT,ENGINEERING,PERMIT00000013,UNDER_REVIEW,9,6,10317.4,33.21,TRI,0,LOW
2024,FRS000000014,FUGITIVE,CH4,5365.787,0.0,NONE,6444,1432743.13,DEFAULT,MODELED,PERMIT00000014,IN_COMPLIANCE,8,4,796.2,42.15,GHGRP,1,LOW
2017,FRS000000015,MOBILE,CO2,1914.185,0.0,FGD,4209,283183.51,DEFAULT,MATERIAL_BALANCE,PERMIT00000015,IN_COMPLIANCE,9,1,9478.4,58.42,STATE_INVENTORY,0,LOW
2022,FRS000000016,POINT,HFCs,4446.63,214.49,BAGHOUSE,4477,1371003.52,MASS_BALANCE,MATERIAL_BALANCE,PERMIT00000016,UNDER_REVIEW,3,0,8093.7,21.25,STATE_INVENTORY,0,UNKNOWN
2025,FRS000000017,POINT,CH4,6685.055,231.41,NONE,7712,297805.31,SITE_SPECIFIC,MODELED,PERMIT00000017,IN_COMPLIANCE,5,2,1278.6,67.63,TRI,1,HIGH
2005,FRS000000018,AREA,CO2,2617.275,0.0,NONE,4651,523934.4,DEFAULT,CEMS,PERMIT00000018,IN_COMPLIANCE,5,1,10467.0,7.35,GHGRP,0,UNKNOWN
2016,FRS000000019,POINT,CH4,1230.657,242.06,SNCR,3519,1407382.93,STACK_TEST,EMISSION_FACTOR,PERMIT00000019,IN_COMPLIANCE,5,6,10547.1,10.75,NEI,0,HIGH
2007,FRS000000020,POINT,CO2,3363.407,36.67,BAGHOUSE,4228,1472643.06,STACK_TEST,ENGINEERING,PERMIT00000020,IN_COMPLIANCE,9,0,3959.9,19.21,GHGRP,1,HIGH
2024,FRS000000021,AREA,CO2,1062.636,0.0,NONE,2117,1288137.0,STACK_TEST,MATERIAL_BALANCE,PERMIT00000021,IN_COMPLIANCE,2,0,2731.4,30.9,GHGRP,0,LOW
2006,FRS000000022,POINT,HFCs,1985.734,81.28,OXIDATION_CATALYST,2628,1122088.46,DEFAULT,EMISSION_FACTOR,PERMIT00000022,IN_COMPLIANCE,7,8,14973.3,83.7,GHGRP,0,LOW
2014,FRS000000023,POINT,CO2,1523.153,33.06,NONE,2755,150614.53,DEFAULT,CEMS,PERMIT00000023,IN_COMPLIANCE,3,8,12650.8,24.61,NEI,0,MEDIUM
2008,FRS000000024,NONPOINT,CH4,1810.594,0.0,SNCR,3804,861618.79,DEFAULT,ENGINEERING,PERMIT00000024,IN_COMPLIANCE,6,0,14998.7,72.75,STATE_INVENTORY,0,MEDIUM
2009,FRS000000025,FUGITIVE,CO2,685.227,0.0,NONE,279,1163701.1,SITE_SPECIFIC,CEMS,PERMIT00000025,IN_COMPLIANCE,0,6,1432.0,19.04,NEI,0,MEDIUM
2008,FRS000000026,POINT,N2O,1021.695,223.07,SCR,1841,320976.86,DEFAULT,MATERIAL_BALANCE,PERMIT00000026,NOT_APPLICABLE,4,8,5074.7,78.61,NEI,0,HIGH
2014,FRS000000027,MOBILE,CO2,3518.442,0.0,CARBON_CAPTURE,5099,1395592.62,DEFAULT,CEMS,PERMIT00000027,IN_COMPLIANCE,7,3,6646.6,29.33,GHGRP,1,LOW
2024,FRS000000028,AREA,CO2,19229.597,0.0,FGD,635,1492309.96,DEFAULT,EMISSION_FACTOR,PERMIT00000028,IN_COMPLIANCE,9,4,8094.6,6.43,OTHER,0,MEDIUM
2013,FRS000000029,POINT,N2O,1290.706,84.69,BAGHOUSE,7305,36166.66,DEFAULT,EMISSION_FACTOR,PERMIT00000029,IN_COMPLIANCE,1,5,320.4,26.13,GHGRP,1,MEDIUM
2007,FRS000000030,AREA,CO2,422.272,0.0,SNCR,2614,362004.76,MODELLED,MATERIAL_BALANCE,PERMIT00000030,IN_COMPLIANCE,5,3,11110.3,53.23,NEI,1,MEDIUM
2018,FRS000000031,POINT,CO2,3876.287,143.4,NONE,4966,244091.04,STACK_TEST,MATERIAL_BALANCE,PERMIT00000031,IN_COMPLIANCE,8,3,9671.0,7.35,NEI,0,LOW
2017,FRS000000032,POINT,CO2,5862.568,20.54,NONE,7820,144693.12,MODELLED,CEMS,PERMIT00000032,OUT_OF_COMPLIANCE,6,6,12650.9,50.96,OTHER,1,LOW
2018,FRS000000033,AREA,CO2,2737.53,0.0,NONE,3315,216546.83,MODELLED,CEMS,PERMIT00000033,IN_COMPLIANCE,6,1,6457.0,70.42,STATE_INVENTORY,0,LOW
2012,FRS000000034,MOBILE,PFCs,1123.395,0.0,OXIDATION_CATALYST,8108,790081.96,SITE_SPECIFIC,MATERIAL_BALANCE,PERMIT00000034,IN_COMPLIANCE,2,5,2996.6,95.52,STATE_INVENTORY,1,MEDIUM
2019,FRS000000035,AREA,CO2,4952.46,0.0,NONE,2800,94888.67,DEFAULT,CEMS,PERMIT00000035,IN_COMPLIANCE,9,6,5385.9,25.56,GHGRP,0,LOW
2008,FRS000000036,AREA,CO2,1966.393,0.0,NONE,3198,969276.34,DEFAULT,EMISSION_FACTOR,PERMIT00000036,OUT_OF_COMPLIANCE,6,3,11970.2,30.71,STATE_INVENTORY,0,MEDIUM
2025,FRS000000037,NONPOINT,CO2,3790.387,0.0,NONE,7735,258432.88,MODELLED,MODELED,PERMIT00000037,OUT_OF_COMPLIANCE,8,3,7031.2,68.76,TRI,0,MEDIUM
2022,FRS000000038,NONPOINT,CH4,1893.401,0.0,ESP,1724,1206416.72,DEFAULT,MODELED,PERMIT00000038,UNDER_REVIEW,3,3,3812.3,55.68,GHGRP,0,LOW
2019,FRS000000039,AREA,SF6,1813.241,0.0,ESP,5167,617371.54,SITE_SPECIFIC,CEMS,PERMIT00000039,IN_COMPLIANCE,9,4,8001.1,76.61,GHGRP,1,HIGH
2012,FRS000000040,AREA,CO2,3377.807,0.0,SCR,1286,1492311.27,DEFAULT,CEMS,PERMIT00000040,OUT_OF_COMPLIANCE,3,4,8904.0,0.19,STATE_INVENTORY,0,LOW
2021,FRS000000041,FUGITIVE,CO2,15907.998,0.0,OXIDATION_CATALYST,2577,1403286.38,STACK_TEST,CEMS,PERMIT00000041,IN_COMPLIANCE,9,5,3120.2,84.36,NEI,0,HIGH
2018,FRS000000042,AREA,CO2,5799.267,0.0,SNCR,3075,100081.33,DEFAULT,EMISSION_FACTOR,PERMIT00000042,IN_COMPLIANCE,7,2,2990.9,62.55,TRI,0,LOW
2019,FRS000000043,POINT,CO2,1321.389,234.38,CARBON_CAPTURE,2198,147774.18,MASS_BALANCE,EMISSION_FACTOR,PERMIT00000043,NOT_APPLICABLE,8,2,12671.4,37.9,STATE_INVENTORY,1,HIGH
2023,FRS000000044,NONPOINT,CO2,3156.531,0.0,SNCR,6100,970675.58,MODELLED,EMISSION_FACTOR,PERMIT00000044,OUT_OF_COMPLIANCE,1,8,5752.5,10.31,OTHER,0,MEDIUM
2020,FRS000000045,POINT,CO2,326.523,77.64,OXIDATION_CATALYST,4239,620279.68,DEFAULT,MODELED,PERMIT00000045,UNDER_REVIEW,2,1,1814.9,17.16,GHGRP,0,LOW
2022,FRS000000046,AREA,CO2,1036.926,0.0,NONE,4010,165962.28,DEFAULT,MODELED,PERMIT00000046,IN_COMPLIANCE,2,2,11489.4,72.37,GHGRP,1,HIGH
2023,FRS000000047,AREA,N2O,8458.546,0.0,NONE,5249,440481.61,DEFAULT,MODELED,PERMIT00000047,IN_COMPLIANCE,0,0,13138.1,78.77,NEI,0,UNKNOWN
2011,FRS000000048,NONPOINT,CO2,2372.624,0.0,NONE,159,480185.61,DEFAULT,MODELED,PERMIT00000048,UNDER_REVIEW,3,3,2119.9,51.22,GHGRP,0,LOW
2005,FRS000000049,AREA,CO2,779.061,0.0,NONE,988,115929.72,DEFAULT,MODELED,PERMIT00000049,UNDER_REVIEW,1,2,9433.1,47.95,STATE_INVENTORY,1,LOW
2022,FRS000000050,POINT,CO2,3537.893,244.95,SNCR,1372,833773.18,MODELLED,ENGINEERING,PERMIT00000050,IN_COMPLIANCE,9,8,2987.1,97.35,GHGRP,0,LOW
2007,FRS000000051,FUGITIVE,CO2,3617.291,0.0,BAGHOUSE,3547,580641.34,DEFAULT,MATERIAL_BALANCE,PERMIT00000051,NOT_APPLICABLE,5,3,7340.6,50.96,STATE_INVENTORY,0,UNKNOWN
2010,FRS000000052,POINT,CO2,2907.985,219.57,NONE,5444,431142.79,DEFAULT,EMISSION_FACTOR,PERMIT00000052,NOT_APPLICABLE,5,4,10358.8,59.84,NEI,0,MEDIUM
2014,FRS000000053,MOBILE,CO2,1648.678,0.0,NONE,2527,960066.18,MODELLED,EMISSION_FACTOR,PERMIT00000053,OUT_OF_COMPLIANCE,1,3,6348.5,82.59,STATE_INVENTORY,0,MEDIUM
2011,FRS000000054,NONPOINT,PFCs,1375.384,0.0,SNCR,1246,135677.3,DEFAULT,MODELED,PERMIT00000054,OUT_OF_COMPLIANCE,3,3,9445.3,47.76,STATE_INVENTORY,0,LOW
2017,FRS000000055,POINT,CO2,1698.106,37.2,NONE,7485,635981.93,DEFAULT,ENGINEERING,PERMIT00000055,IN_COMPLIANCE,7,0,11245.1,29.38,NEI,0,MEDIUM
2017,FRS000000056,FUGITIVE,CO2,1447.155,0.0,OXIDATION_CATALYST,802,791959.49,DEFAULT,ENGINEERING,PERMIT00000056,IN_COMPLIANCE,2,7,9165.7,58.16,STATE_INVENTORY,1,HIGH
2013,FRS000000057,POINT,HFCs,3688.149,143.53,SCR,6546,456812.72,SITE_SPECIFIC,EMISSION_FACTOR,PERMIT00000057,IN_COMPLIANCE,9,0,4313.9,4.32,TRI,1,UNKNOWN
2025,FRS000000058,MOBILE,HFCs,9385.235,0.0,ESP,5453,250204.35,DEFAULT,EMISSION_FACTOR,PERMIT00000058,UNDER_REVIEW,5,3,9487.9,65.01,NEI,1,MEDIUM
2021,FRS000000059,FUGITIVE,CO2,577.169,0.0,NONE,7835,357672.82,SITE_SPECIFIC,CEMS,PERMIT00000059,UNDER_REVIEW,10,7,3474.0,85.09,STATE_INVENTORY,0,MEDIUM
2006,FRS000000060,AREA,CO2,1771.607,0.0,SCR,4218,301146.23,DEFAULT,EMISSION_FACTOR,PERMIT00000060,IN_COMPLIANCE,10,7,5033.7,19.13,STATE_INVENTORY,0,LOW
2012,FRS000000061,POINT,HFCs,1627.97,5.08,NONE,3023,157803.46,SITE_SPECIFIC,MODELED,PERMIT00000061,IN_COMPLIANCE,2,8,11660.7,67.01,NEI,0,MEDIUM
2007,FRS000000062,POINT,CO2,5005.677,223.76,BAGHOUSE,6581,606966.96,SITE_SPECIFIC,EMISSION_FACTOR,PERMIT00000062,IN_COMPLIANCE,1,7,6450.8,24.85,STATE_INVENTORY,0,MEDIUM
2021,FRS000000063,POINT,N2O,1313.399,259.48,SCR,6588,1022794.17,MODELLED,CEMS,PERMIT00000063,IN_COMPLIANCE,7,7,12844.6,84.72,NEI,1,MEDIUM
2013,FRS000000064,POINT,HFCs,1457.678,135.19,BAGHOUSE,3420,618879.68,MODELLED,ENGINEERING,PERMIT00000064,IN_COMPLIANCE,7,4,2520.3,66.32,TRI,1,UNKNOWN
2006,FRS000000065,POINT,CO2,636.798,62.1,FGD,5096,408770.25,DEFAULT,MATERIAL_BALANCE,PERMIT00000065,IN_COMPLIANCE,0,6,11274.3,3.22,NEI,0,HIGH
2025,FRS000000066,NONPOINT,N2O,1111.04,0.0,NONE,1014,756567.77,MASS_BALANCE,EMISSION_FACTOR,PERMIT00000066,IN_COMPLIANCE,2,3,2956.7,75.22,NEI,0,MEDIUM
2005,FRS000000067,AREA,N2O,2737.499,0.0,NONE,5183,776452.1,SITE_SPECIFIC,CEMS,PERMIT00000067,UNDER_REVIEW,3,0,13661.6,36.97,OTHER,0,UNKNOWN
2016,FRS000000068,FUGITIVE,N2O,2551.841,0.0,ESP,5491,62401.87,SITE_SPECIFIC,EMISSION_FACTOR,PERMIT00000068,IN_COMPLIANCE,10,8,13665.5,59.2,GHGRP,0,UNKNOWN
2008,FRS000000069,MOBILE,CO2,1895.874,0.0,BAGHOUSE,7397,432251.75,MASS_BALANCE,EMISSION_FACTOR,PERMIT00000069,IN_COMPLIANCE,8,0,1156.8,27.04,NEI,1,LOW
2006,FRS000000070,NONPOINT,CO2,2019.543,0.0,NONE,7201,949111.88,STACK_TEST,MODELED,PERMIT00000070,IN_COMPLIANCE,3,0,1577.2,61.62,NEI,0,LOW
2006,FRS000000071,POINT,CO2,3671.545,97.31,FGD,2649,270870.23,MASS_BALANCE,MODELED,PERMIT00000071,IN_COMPLIANCE,1,1,537.6,28.83,NEI,0,MEDIUM
2008,FRS000000072,AREA,CO2,1523.861,0.0,NONE,8014,770991.65,SITE_SPECIFIC,MODELED,PERMIT00000072,OUT_OF_COMPLIANCE,1,2,1712.6,54.03,GHGRP,0,HIGH
2020,FRS000000073,AREA,CO2,639.914,0.0,OXIDATION_CATALYST,6568,1294685.4,DEFAULT,MATERIAL_BALANCE,PERMIT00000073,IN_COMPLIANCE,9,1,7400.5,18.85,STATE_INVENTORY,1,MEDIUM
2025,FRS000000074,POINT,HFCs,528.415,184.08,CARBON_CAPTURE,2143,416428.87,DEFAULT,MODELED,PERMIT00000074,IN_COMPLIANCE,3,8,5995.1,27.51,NEI,0,HIGH
2018,FRS000000075,NONPOINT,CO2,130.35,0.0,NONE,3609,759417.45,STACK_TEST,CEMS,PERMIT00000075,IN_COMPLIANCE,5,1,7345.9,17.15,STATE_INVENTORY,0,MEDIUM
2007,FRS000000076,POINT,CO2,2118.462,174.8,SCR,130,421029.15,DEFAULT,EMISSION_FACTOR,PERMIT00000076,IN_COMPLIANCE,10,7,11618.8,79.6,NEI,0,HIGH
2023,FRS000000077,MOBILE,CO2,5631.806,0.0,SCR,6470,760682.82,DEFAULT,CEMS,PERMIT00000077,IN_COMPLIANCE,7,7,2816.6,69.94,NEI,0,LOW
2016,FRS000000078,AREA,CO2,5672.369,0.0,NONE,1213,1416440.69,MODELLED,EMISSION_FACTOR,PERMIT00000078,IN_COMPLIANCE,7,8,9903.2,71.94,STATE_INVENTORY,1,HIGH
2013,FRS000000079,AREA,CH4,2394.142,0.0,BAGHOUSE,7011,941581.77,MODELLED,ENGINEERING,PERMIT00000079,IN_COMPLIANCE,7,8,4635.1,86.43,GHGRP,1,LOW
2025,FRS000000080,AREA,HFCs,6165.537,0.0,SCR,6475,155263.41,SITE_SPECIFIC,EMISSION_FACTOR,PERMIT00000080,OUT_OF_COMPLIANCE,10,8,12219.0,49.86,NEI,1,HIGH
2017,FRS000000081,AREA,CO2,3019.04,0.0,ESP,3250,1147140.87,MODELLED,ENGINEERING,PERMIT00000081,IN_COMPLIANCE,0,8,2957.5,43.78,NEI,0,MEDIUM
2019,FRS000000082,POINT,CO2,687.569,164.34,NONE,6604,1224178.93,SITE_SPECIFIC,EMISSION_FACTOR,PERMIT00000082,IN_COMPLIANCE,8,6,1371.7,7.89,STATE_INVENTORY,0,LOW
2021,FRS000000083,NONPOINT,CH4,2568.713,0.0,SCR,4560,1347162.24,MASS_BALANCE,CEMS,PERMIT00000083,UNDER_REVIEW,2,1,7664.4,67.69,TRI,0,LOW
2012,FRS000000084,NONPOINT,CO2,2390.667,0.0,FGD,6174,222944.65,MODELLED,ENGINEERING,PERMIT00000084,OUT_OF_COMPLIANCE,8,6,6754.7,33.37,NEI,1,HIGH
2020,FRS000000085,POINT,CO2,2612.549,139.87,NONE,3595,327441.62,MODELLED,EMISSION_FACTOR,PERMIT00000085,IN_COMPLIANCE,1,8,9584.8,91.78,GHGRP,0,LOW
2016,FRS000000086,MOBILE,HFCs,908.276,0.0,ESP,1120,469126.46,SITE_SPECIFIC,ENGINEERING,PERMIT00000086,IN_COMPLIANCE,4,5,1487.2,26.82,NEI,1,LOW
2006,FRS000000087,AREA,CO2,593.651,0.0,OXIDATION_CATALYST,1570,1318992.88,DEFAULT,MODELED,PERMIT00000087,IN_COMPLIANCE,9,8,1603.4,34.88,STATE_INVENTORY,0,LOW
2013,FRS000000088,NONPOINT,CO2,3324.262,0.0,NONE,3234,1381946.11,DEFAULT,CEMS,PERMIT00000088,NOT_APPLICABLE,2,0,5379.6,86.32,GHGRP,0,MEDIUM
