env_hazard_event_start_date,env_hazard_event_end_date,env_hazard_hazard_type_code,env_hazard_fema_disaster_number,env_hazard_impact_area_polygon_id,env_hazard_fatalities_direct,env_hazard_fatalities_indirect,env_hazard_injuries_reported,env_hazard_property_damage_usd,env_hazard_crop_damage_usd,env_hazard_insured_loss_usd,env_hazard_evacuation_order_flag,env_hazard_power_outage_customers_peak,env_hazard_shelter_population_peak,env_hazard_flood_depth_max_ft,env_hazard_wind_gust_max_mph,env_hazard_drought_severity_index,env_hazard_heat_index_max_f,env_hazard_snowfall_total_in,env_hazard_event_narrative_code
2000-01-01,2000-01-10,TORNADO,4090,POLY000000001,0,0,1034,11121605438.53,961887635.79,3470981104.35,0,9429766,32679,23.59,164.2,2.865,108.9,58.44,NARR_A
2000-01-04,2000-01-10,WINTER_STORM,8244,POLY000000002,0,0,377,8106843651.14,63009585.96,2774457189.83,0,4455321,62085,2.65,143.0,-3.806,108.0,16.95,NARR_E
2000-01-07,2000-01-14,FLOOD,7288,POLY000000003,3,0,543,11305348546.91,1055457479.47,7927736932.25,0,11687620,19316,23.65,39.6,0.401,83.8,16.96,NARR_A
2000-01-10,2000-01-26,FLOOD,8313,POLY000000004,7,0,187,6030855952.09,2573447666.74,1169778163.42,1,8567042,242409,0.5,116.7,-0.356,68.2,54.25,NARR_G
2000-01-13,2000-01-13,HURRICANE,6152,POLY000000005,0,0,638,11885711570.48,174186747.12,9546158030.61,0,3924914,239538,27.02,14.4,-0.209,127.4,73.71,NARR_A
2000-01-16,2000-01-20,FLOOD,3443,POLY000000006,0,0,809,2656497742.41,2457848991.82,651138069.61,1,3098450,12917,26.44,155.7,3.42,77.6,8.29,NARR_E
2000-01-19,2000-01-29,HURRICANE,3346,POLY000000007,0,0,581,11650096261.12,437649246.08,2666484698.14,0,7429168,95872,7.44,2.4,0.722,102.9,19.34,NARR_D
2000-01-22,2000-02-08,HURRICANE,7305,POLY000000008,0,0,668,7814797803.02,2983798567.18,6561338071.31,1,5646642,93577,14.76,22.3,4.042,58.6,8.34,NARR_D
2000-01-25,2000-02-09,HURRICANE,3881,POLY000000009,0,0,354,6812579007.87,140699274.67,2092077616.37,0,6968434,216735,25.94,79.2,-0.995,118.2,58.77,NARR_A
2000-01-28,2000-02-05,TORNADO,6841,POLY000000010,2,0,117,842890592.77,503714072.28,466821199.98,1,7418623,57855,9.04,22.1,3.083,84.8,56.44,NARR_F
2000-01-31,2000-02-03,TORNADO,1646,POLY000000011,0,0,962,4454344085.97,2992411707.52,3153279256.37,0,5220403,181085,10.2,78.4,4.651,96.4,9.05,NARR_C
2000-02-03,2000-02-05,HURRICANE,6828,POLY000000012,0,0,1089,2588973178.35,1405048461.4,1411272566.97,0,5294754,63895,23.21,16.4,4.657,81.3,35.88,NARR_C
2000-02-06,2000-02-11,WINTER_STORM,8180,POLY000000013,0,0,147,5892282845.23,2806432570.26,4432193458.66,1,3138917,163544,6.29,149.8,-3.723,120.1,67.82,NARR_D
2000-02-09,2000-02-22,WILDFIRE,6561,POLY000000014,0,0,84,2992902727.23,1762128230.03,821772215.44,0,520743,169074,12.98,158.5,-3.349,69.5,76.63,NARR_E
2000-02-12,2000-02-25,WINTER_STORM,8121,POLY000000015,8,0,509,2910678543.04,2068343103.61,2256359516.19,0,11053826,86293,13.07,77.6,2.661,50.9,79.87,NARR_A
2000-02-15,2000-02-24,HEAT,7894,POLY000000016,0,0,736,3535973063.67,1002593589.3,2993925578.47,0,8587084,232499,22.38,102.2,-1.591,103.4,13.15,NARR_A
2000-02-18,2000-02-26,HEAT,1223,POLY000000017,0,0,720,10740955017.18,1060367848.3,3379488365.64,0,6149826,43601,2.16,102.9,-2.321,80.0,52.49,NARR_A
2000-02-21,2000-03-05,HURRICANE,1861,POLY000000018,2,0,117,4984417638.75,2771766272.8,3300469189.19,1,5545386,222740,15.46,70.5,-4.861,81.1,39.14,NARR_B
2000-02-24,2000-03-02,HURRICANE,7650,POLY000000019,0,0,42,201750044.78,2019180610.12,71055436.83,0,10346546,83586,23.83,33.6,-4.011,87.6,65.1,NARR_C
2000-02-27,2000-03-14,WINTER_STORM,6512,POLY000000020,0,0,643,10241331133.39,1493343808.71,4034785485.12,0,4235546,114051,2.29,46.1,1.665,115.5,48.89,NARR_E
