env_land_mapping_year,env_land_landcover_class_code,env_land_protected_area_id,env_land_management_designation,env_land_habitat_type_code,env_land_biodiversity_richness_index,env_land_species_observation_count,env_land_invasive_species_presence_flag,env_land_wetland_area_acres,env_land_forest_canopy_pct,env_land_impervious_surface_pct,env_land_soil_erosion_risk_score,env_land_carbon_stock_estimate_tons,env_land_restoration_project_flag,env_land_prescribed_burn_acres,env_land_trail_density_mi_sqmi,env_land_public_access_score,env_land_conservation_easement_flag,env_land_land_parcel_fragmentation_index,env_land_remote_sensing_sensor
2018,FOREST,PA00000001,STATE_PARK,COASTAL,68.42,6484,1,361931.14,52.53,69.16,0.3366,5656457.56,1,92017.96,5.425,54.7,0,0.7779,MODIS
2009,BARREN,PA00000002,STATE_PARK,MARSH,20.63,4487,0,451689.03,88.2,54.34,0.618,2235817.85,0,198742.92,9.002,97.0,1,0.851,MODIS
2009,FOREST,PA00000003,OTHER,COASTAL,21.67,45296,0,809353.44,31.65,77.57,0.7394,1201139.89,0,188266.18,10.235,47.9,0,0.8957,MODIS
2015,CROPLAND,PA00000004,PRIVATE_CONSERVATION,URBAN_GREEN,60.25,13409,0,882226.35,42.83,6.93,0.8809,951530.59,0,43842.89,3.945,63.7,1,0.7414,SENTINEL2
2017,SHRUB,PA00000005,NATIONAL_PARK,URBAN_GREEN,59.97,47961,0,468158.32,60.0,61.07,0.1557,5283975.35,0,18677.97,2.18,80.6,1,0.7001,LANDSAT
2017,CROPLAND,PA00000006,STATE_PARK,DESERT,32.65,47709,0,50319.84,77.5,0.57,0.9276,6157928.35,0,9702.06,10.566,68.5,0,0.0321,LANDSAT
2024,URBAN,PA00000007,TRIBAL,COASTAL,37.39,20793,0,193089.76,87.97,95.05,0.5075,7064187.12,0,10417.89,8.629,17.5,1,0.1903,SENTINEL2
2014,URBAN,PA00000008,WILDLIFE_REFUGE,CONIFER,78.01,29014,0,798368.37,23.47,37.9,0.5847,678575.1,1,242976.92,11.138,91.4,0,0.246,LIDAR
2019,CROPLAND,PA00000009,NATIONAL_PARK,MARSH,25.05,49718,0,228272.89,78.32,11.87,0.8404,11308596.54,0,56140.38,6.096,90.9,0,0.4594,MODIS
2022,FOREST,PA00000010,WILDLIFE_REFUGE,ALPINE,58.31,28799,0,164003.63,14.96,15.44,0.8065,2623022.73,1,131577.11,5.297,95.4,0,0.7634,MODIS
2018,BARREN,PA00000011,STATE_PARK,DECIDUOUS,40.03,15998,0,284451.25,53.27,33.48,0.0802,5845748.46,0,185728.9,6.233,65.4,0,0.5083,LANDSAT
2023,CROPLAND,PA00000012,NATIONAL_PARK,DECIDUOUS,16.84,11377,0,1207106.77,40.21,98.11,0.8478,1614807.76,0,171149.18,4.071,26.4,0,0.5836,NAIP
2020,BARREN,PA00000013,BLM,COASTAL,15.72,35854,1,932751.55,33.18,89.8,0.0801,2571837.2,0,79332.85,14.511,67.7,1,0.1875,OTHER
2018,FOREST,PA00000014,BLM,CONIFER,64.68,2215,0,293654.78,0.63,16.12,0.7852,7127011.46,0,86147.62,4.468,45.7,1,0.5769,LANDSAT
2023,CROPLAND,PA00000015,STATE_PARK,MARSH,41.82,1420,1,281886.01,6.02,75.45,0.9559,4543809.83,1,171633.5,2.391,98.4,0,0.1712,PLANET
2025,CROPLAND,PA00000016,WILDLIFE_REFUGE,RIPARIAN,8.31,17817,0,283004.82,91.86,83.0,0.5037,7858105.97,0,4729.26,0.406,68.2,0,0.1575,MODIS
2018,URBAN,PA00000017,PRIVATE_CONSERVATION,COASTAL,51.35,31352,0,54513.34,99.77,53.04,0.7791,2021532.31,0,22093.95,13.923,72.0,1,0.3047,SENTINEL2
2011,FOREST,PA00000018,OTHER,MARSH,46.01,17863,0,38591.62,85.15,50.14,0.0215,4646425.21,0,91818.16,14.575,94.6,1,0.7755,LANDSAT
2017,SHRUB,PA00000019,OTHER,RIPARIAN,45.78,5819,0,682882.52,54.9,53.44,0.7873,8048573.22,0,230860.9,1.74,74.0,0,0.9707,LANDSAT
2016,FOREST,PA00000020,TRIBAL,URBAN_GREEN,53.7,32292,0,834019.26,75.21,18.43,0.0761,7840434.36,0,71131.2,8.382,46.4,0,0.5329,PLANET
2013,GRASSLAND,PA00000021,STATE_PARK,DESERT,67.54,20015,1,677537.81,84.55,11.4,0.092,2364183.15,0,145010.26,2.81,3.8,0,0.8597,LANDSAT
2020,CROPLAND,PA00000022,PRIVATE_CONSERVATION,URBAN_GREEN,9.61,35515,1,57087.51,77.22,47.92,0.6191,11272507.23,0,143334.04,10.52,90.4,0,0.2417,MODIS
2011,GRASSLAND,PA00000023,PRIVATE_CONSERVATION,ALPINE,60.6,37557,1,717935.08,96.15,92.18,0.7587,6865776.41,1,187436.63,3.395,79.7,0,0.4768,SENTINEL2
2014,CROPLAND,PA00000024,OTHER,MARSH,51.97,36063,0,379064.23,73.49,43.4,0.9232,104136.46,0,144886.87,12.03,1.9,0,0.9033,OTHER
2008,WATER,PA00000025,STATE_PARK,PRAIRIE,7.73,16529,0,542917.52,54.09,66.45,0.8253,3706906.95,0,194942.0,7.175,15.7,1,0.7861,NAIP
2016,GRASSLAND,PA00000026,NATIONAL_PARK,MARSH,28.37,38396,0,622360.36,41.43,73.7,0.4029,1813415.58,1,85589.93,3.262,49.1,1,0.3672,LIDAR
2011,FOREST,PA00000027,OTHER,DESERT,31.14,37668,0,21367.25,18.0,66.52,0.7675,6043758.06,1,147567.04,9.678,96.4,0,0.6614,MODIS
2025,WETLAND,PA00000028,PRIVATE_CONSERVATION,DECIDUOUS,27.39,16766,0,1092627.59,73.02,8.7,0.4199,8214314.13,1,119695.11,0.442,35.9,1,0.8176,MODIS
2021,GRASSLAND,PA00000029,OTHER,CONIFER,15.33,1705,1,778883.59,25.92,20.06,0.3492,4249570.71,0,96931.18,8.029,44.1,0,0.1594,SENTINEL2
2015,GRASSLAND,PA00000030,TRIBAL,MARSH,3.39,1688,0,200132.35,18.53,33.65,0.4566,523098.8,0,45558.98,5.069,84.9,0,0.3385,MODIS
2019,URBAN,PA00000031,WILDLIFE_REFUGE,URBAN_GREEN,89.83,42123,0,301626.19,27.67,45.63,0.2025,10414573.26,0,659.76,8.523,23.8,0,0.7683,NAIP
2005,CROPLAND,PA00000032,OTHER,CONIFER,4.19,12906,0,1117428.05,17.77,76.73,0.6006,160005.64,1,96649.01,14.637,5.5,1,0.7424,LANDSAT
2008,FOREST,PA00000033,STATE_PARK,RIPARIAN,18.07,26974,0,1163343.31,30.02,31.11,0.9538,1593713.79,0,147440.32,5.719,92.5,0,0.269,SENTINEL2
2009,SHRUB,PA00000034,TRIBAL,DESERT,73.47,32209,0,592226.06,72.94,6.23,0.5706,338326.61,1,204993.78,9.582,66.9,1,0.9878,MODIS
2024,WATER,PA00000035,STATE_PARK,CONIFER,42.71,13457,0,434999.65,59.27,82.09,0.8719,6848151.22,0,212465.53,6.608,48.6,0,0.1185,SENTINEL2
2008,URBAN,PA00000036,PRIVATE_CONSERVATION,DESERT,40.73,38857,1,953311.36,27.22,42.51,0.143,4344133.01,0,183920.05,7.22,38.5,0,0.1619,LIDAR
2015,SHRUB,PA00000037,BLM,ALPINE,35.3,25476,0,260028.34,79.85,98.9,0.0052,10114855.28,1,58134.04,3.913,34.6,0,0.1316,OTHER
2014,CROPLAND,PA00000038,STATE_PARK,DECIDUOUS,31.87,20214,1,58280.37,81.98,28.92,0.5294,1948065.12,1,36921.12,8.596,35.4,1,0.2338,SENTINEL2
2023,WETLAND,PA00000039,PRIVATE_CONSERVATION,DESERT,67.03,20054,0,813271.84,32.2,24.49,0.4796,11550377.65,0,201158.36,13.336,15.4,0,0.331,LANDSAT
2002,WETLAND,PA00000040,NATIONAL_PARK,URBAN_GREEN,20.45,14943,0,840390.9,62.54,62.08,0.2495,9560155.04,0,214272.51,0.741,77.0,1,0.4372,PLANET
2016,GRASSLAND,PA00000041,STATE_PARK,MARSH,83.05,1411,1,71256.94,34.45,21.55,0.5144,1488560.48,0,74189.11,6.359,83.5,0,0.4561,LANDSAT
2023,WATER,PA00000042,STATE_PARK,DESERT,37.97,16843,0,1128840.62,1.15,23.15,0.2859,5331069.1,0,10600.47,9.477,30.6,1,0.3518,MODIS
2013,CROPLAND,PA00000043,TRIBAL,PRAIRIE,25.4,12120,0,881710.61,9.51,62.7,0.0823,10031181.01,0,95662.96,9.33,68.8,0,0.9141,NAIP
2022,GRASSLAND,PA00000044,OTHER,PRAIRIE,58.31,45706,1,868387.12,15.82,70.79,0.4277,7354085.17,0,50905.74,8.702,80.8,0,0.0074,SENTINEL2
2021,FOREST,PA00000045,BLM,CONIFER,99.17,35807,1,644824.36,80.62,99.33,0.8795,5931101.55,1,226546.76,4.228,82.0,1,0.681,LANDSAT
2010,CROPLAND,PA00000046,OTHER,MARSH,85.03,6492,1,800357.3,29.28,31.63,0.3345,945924.77,0,170977.94,7.46,47.8,1,0.6466,LIDAR
2016,CROPLAND,PA00000047,NATIONAL_PARK,DESERT,43.67,33619,0,457044.82,54.64,16.25,0.2534,8874924.12,0,241241.56,6.816,79.7,1,0.7095,LANDSAT
2011,GRASSLAND,PA00000048,OTHER,RIPARIAN,35.49,3911,0,570679.19,71.15,39.44,0.0631,5283913.19,0,167234.95,14.601,91.3,1,0.5243,PLANET
2013,URBAN,PA00000049,BLM,ALPINE,98.9,16975,0,235848.55,32.21,2.01,0.9593,11457983.8,0,111716.35,10.454,20.6,1,0.9114,SENTINEL2
2003,FOREST,PA00000050,OTHER,DECIDUOUS,92.01,21015,0,68233.84,25.47,47.1,0.1877,1193975.54,1,4522.85,12.437,56.4,1,0.9625,MODIS
2015,URBAN,PA00000051,BLM,DESERT,87.91,40818,0,85566.2,78.32,36.94,0.3414,8486126.86,1,33985.44,13.559,85.0,1,0.8035,SENTINEL2
2010,WETLAND,PA00000052,PRIVATE_CONSERVATION,DECIDUOUS,49.6,18558,0,746201.98,69.83,38.5,0.855,630810.99,0,35748.46,14.122,97.8,0,0.6304,LIDAR
2011,URBAN,PA00000053,OTHER,RIPARIAN,38.56,9781,0,124539.95,20.42,29.93,0.3121,5157311.96,0,8131.64,11.841,87.1,1,0.4739,LANDSAT
2011,URBAN,PA00000054,BLM,DESERT,28.75,40097,1,495339.6,25.53,89.47,0.4645,847477.92,0,189654.09,2.267,11.2,0,0.4319,MODIS
2011,WETLAND,PA00000055,WILDLIFE_REFUGE,ALPINE,39.44,45275,0,1239641.04,51.69,71.75,0.6763,9314949.1,1,104412.02,0.437,42.1,0,0.5718,PLANET
2007,SNOW_ICE,PA00000056,OTHER,DESERT,17.42,20850,0,981222.7,7.97,29.6,0.3842,11495507.61,1,233071.2,13.683,91.0,0,0.4037,NAIP
2012,FOREST,PA00000057,WILDLIFE_REFUGE,DECIDUOUS,31.36,17265,1,585406.31,87.13,5.87,0.7567,7435259.01,0,204017.66,2.607,79.1,1,0.3466,OTHER
2006,WETLAND,PA00000058,TRIBAL,ALPINE,4.51,38549,0,934764.36,58.23,28.27,0.2579,5626028.88,1,121850.61,11.097,30.3,0,0.0408,OTHER
