env_water_sample_date,env_water_waterbody_id,env_water_watershed_huc12,env_water_sample_matrix_type,env_water_parameter_code,env_water_result_value,env_water_result_unit,env_water_detection_limit,env_water_exceedance_standard_flag,env_water_impaired_water_flag,env_water_source_tracking_marker,env_water_flow_cfs_at_sample,env_water_temperature_c_water,env_water_ph_value,env_water_dissolved_oxygen_mg_l,env_water_turbidity_ntu,env_water_nitrate_mg_l,env_water_lead_ppb,env_water_algal_bloom_risk_index,env_water_sampling_program_code
2016-01-01,WB000000001,000000000001,SURFACE_WATER,TURBIDITY,363.3694,NTU,3.8399,0,0,HUMAN,119812.812,34.06,9.39,2.123,422.776,4.4123,196.549,0.4587,TRIBAL
2016-01-02,WB000000002,000000000002,GROUNDWATER,CHLORIDE,480.2758,MG_L,1.0272,0,0,NONE,175662.107,23.79,6.82,9.353,748.164,0.7177,167.271,0.3144,STATE
2016-01-03,WB000000003,000000000003,SURFACE_WATER,TURBIDITY,169.4774,PH_UNITS,2.3615,0,0,NONE,68953.979,23.54,5.68,0.831,579.123,19.3125,19.248,0.3089,USGS
2016-01-04,WB000000004,000000000004,SURFACE_WATER,PFAS,473.7839,PCI_L,0.8651,0,1,NONE,44565.826,17.94,9.45,8.675,280.638,15.1777,184.949,0.7335,LOCAL
2016-01-05,WB000000005,000000000005,SURFACE_WATER,PHOSPHATE,176.6439,PPB,2.688,0,0,HUMAN,180806.393,25.19,6.53,2.642,136.7,9.6532,77.934,0.8144,EPA
2016-01-06,WB000000006,000000000006,SURFACE_WATER,ARSENIC,338.9883,PH_UNITS,2.72,0,1,AGRICULTURAL,176446.233,31.93,6.14,12.341,616.041,12.1723,23.781,0.2698,USGS
2016-01-07,WB000000007,000000000007,SURFACE_WATER,E_COLI,198.6253,PH_UNITS,1.4643,0,0,NONE,152667.204,29.03,6.62,4.277,264.394,1.7191,175.306,0.2594,USGS
2016-01-08,WB000000008,000000000008,SEDIMENT,ARSENIC,447.8636,PH_UNITS,4.1872,0,0,NONE,147444.853,11.81,9.31,2.441,670.107,3.2811,122.263,0.0012,EPA
2016-01-09,WB000000009,000000000009,SURFACE_WATER,CHLORIDE,282.84,UG_L,0.3156,0,0,AGRICULTURAL,102664.384,22.67,9.48,5.001,244.754,13.3589,155.144,0.487,STATE
2016-01-10,WB000000010,000000000010,SURFACE_WATER,LEAD,213.8538,PCI_L,4.5352,0,0,HUMAN,146979.927,8.68,7.2,7.781,737.692,15.3317,127.714,0.4683,EPA
2016-01-11,WB000000011,000000000011,SURFACE_WATER,TURBIDITY,16.6107,PH_UNITS,0.2658,0,1,NONE,145128.762,26.76,7.09,3.971,245.92,17.245,105.69,0.722,USGS
2016-01-12,WB000000012,000000000012,DRINKING_WATER,NITRATE,98.546,MPN_100ML,4.8299,1,1,NONE,176865.313,21.57,9.09,2.994,198.258,1.7654,66.483,0.1255,STATE
2016-01-13,WB000000013,000000000013,SURFACE_WATER,CHLORIDE,472.6051,MPN_100ML,2.9728,0,0,NONE,77302.622,17.65,6.23,2.509,513.499,4.4753,160.287,0.0439,TRIBAL
2016-01-14,WB000000014,000000000014,SEDIMENT,NITRATE,99.8265,MPN_100ML,0.0975,0,0,NONE,201249.631,23.63,6.83,8.281,298.788,15.8369,76.365,0.868,USGS
2016-01-15,WB000000015,000000000015,SEDIMENT,LEAD,326.3506,PCI_L,2.3528,1,0,AGRICULTURAL,1422.256,29.51,6.16,10.93,685.92,20.03,1.208,0.5974,LOCAL
2016-01-16,WB000000016,000000000016,EFFLUENT,PFAS,163.8278,MPN_100ML,1.5677,0,1,ANIMAL,229441.997,10.51,6.69,12.401,529.249,7.1486,180.915,0.8156,CITIZEN_SCIENCE
2016-01-17,WB000000017,000000000017,SURFACE_WATER,CHLORIDE,174.9125,PPB,0.9504,0,1,NONE,72325.419,33.72,7.18,1.33,19.819,19.4305,74.749,0.3016,STATE
2016-01-18,WB000000018,000000000018,GROUNDWATER,NITRATE,172.3665,MG_L,2.3384,0,0,ANIMAL,17495.069,1.9,6.44,3.403,19.999,19.3434,65.701,0.2033,EPA
2016-01-19,WB000000019,000000000019,SURFACE_WATER,PFAS,396.8911,UG_L,3.8071,1,0,NONE,14514.563,22.56,7.23,9.725,603.059,14.2792,33.861,0.2758,TRIBAL
2016-01-20,WB000000020,000000000020,SURFACE_WATER,NITRATE,264.2394,MPN_100ML,2.8329,0,1,NONE,49355.474,17.5,7.39,1.566,493.708,21.2162,62.659,0.4885,TRIBAL
2016-01-21,WB000000021,000000000021,SURFACE_WATER,DO,38.9723,PPB,4.1577,0,0,HUMAN,25616.69,12.86,6.22,7.486,42.175,10.2337,179.577,0.4252,USGS
2016-01-22,WB000000022,000000000022,GROUNDWATER,PH,288.8963,UG_L,1.4833,0,1,NONE,131885.355,23.84,6.33,4.937,279.919,17.489,181.575,0.7422,STATE
2016-01-23,WB000000023,000000000023,GROUNDWATER,CHLORIDE,380.2765,MG_L,2.8589,0,1,NONE,133788.858,18.84,5.57,0.836,708.704,18.8582,138.209,0.0029,EPA
2016-01-24,WB000000024,000000000024,SURFACE_WATER,PFAS,434.3612,MG_L,2.3413,0,0,AGRICULTURAL,209609.217,10.83,5.89,1.417,21.561,2.3142,181.413,0.617,STATE
2016-01-25,WB000000025,000000000025,SURFACE_WATER,LEAD,292.8345,PPB,3.9416,0,1,ANIMAL,10648.861,33.82,7.5,2.693,616.769,5.8476,27.557,0.932,STATE
