food_access_assessment_year,food_access_neighborhood_index_id,food_access_grocery_store_distance_miles,food_access_supermarket_density_per_10k,food_access_farmers_market_access_flag,food_access_snap_authorized_retailer_count,food_access_wic_vendor_count,food_access_food_desert_classification,food_access_healthy_food_availability_score,food_access_price_healthy_basket_usd,food_access_fast_food_density_per_10k,food_access_sugary_drink_outlet_density,food_access_school_meal_coverage_rate,food_access_community_garden_count,food_access_public_transit_to_food_score,food_access_diet_related_disease_risk_score,food_access_household_food_insecurity_rate,food_access_nutrition_education_program_flag,food_access_cultural_food_preference_index,food_access_policy_support_score
2016,NBH0000000001,12.38,3.3709,1,472,171,NO_DESERT,90.51,160.12,1.4713,5.3362,42.57,177,56.25,36.74,26.8,0,7.05,25.07
2009,NBH0000000002,8.765,11.5664,1,2582,1657,NO_DESERT,68.0,257.34,19.8095,1.3251,49.33,378,16.18,58.28,26.91,0,47.42,56.68
2020,NBH0000000003,21.634,9.6365,0,1087,70,NO_DESERT,9.84,322.21,4.0166,4.2524,1.02,480,16.58,11.35,34.45,0,32.23,55.79
2017,NBH0000000004,23.914,8.6102,0,2977,1237,NO_DESERT,45.26,343.53,10.633,11.6413,50.29,136,19.31,91.33,43.01,1,94.74,36.51
2015,NBH0000000005,9.78,5.8565,0,859,1145,LOW_ACCESS,56.79,181.81,18.4325,1.5588,29.91,409,67.37,11.58,37.23,1,57.07,57.37
2025,NBH0000000006,9.205,7.3823,1,3624,1226,LOW_ACCESS,57.88,60.03,15.0981,6.1232,81.59,59,32.45,31.95,31.27,0,13.18,21.12
2011,NBH0000000007,11.561,8.4426,1,3203,1474,NO_DESERT,68.82,145.17,21.8397,12.8119,65.0,75,21.14,78.53,2.28,1,14.53,62.38
2023,NBH0000000008,5.342,10.1389,0,1817,1473,NO_DESERT,98.41,319.78,18.9092,18.4733,99.47,411,24.25,15.23,19.05,0,46.05,67.3
2010,NBH0000000009,8.657,9.4488,1,2267,1517,URBAN_LOW_ACCESS,14.31,122.73,13.2837,6.5268,12.65,143,74.94,42.38,8.66,1,71.62,79.26
2016,NBH0000000010,22.513,5.6449,0,904,1698,NO_DESERT,36.04,116.51,7.4162,8.5004,44.76,261,92.48,30.73,1.59,1,58.09,12.98
2024,NBH0000000011,7.664,10.8008,0,4348,348,LOW_ACCESS,65.25,272.85,29.3714,13.9699,51.66,264,60.41,88.23,32.02,0,81.7,63.33
2018,NBH0000000012,22.047,0.2805,0,296,1098,LOW_INCOME_LOW_ACCESS,61.43,127.52,18.0182,4.6708,18.04,163,3.49,39.23,31.58,1,54.05,60.95
2016,NBH0000000013,3.462,2.6436,0,323,224,NO_DESERT,28.48,69.66,28.6959,6.2596,6.0,157,27.49,85.71,18.13,1,21.43,25.89
2011,NBH0000000014,18.228,5.2326,0,3086,66,NO_DESERT,45.44,181.6,4.891,0.9918,75.72,428,16.19,22.71,42.18,0,24.14,89.06
2008,NBH0000000015,16.754,10.6261,0,2428,289,NO_DESERT,49.31,210.37,8.8306,8.9881,89.86,94,3.1,89.69,12.75,1,16.57,71.08
2008,NBH0000000016,0.003,2.7136,1,3883,288,NO_DESERT,0.81,119.81,3.316,5.9442,96.88,130,99.68,11.5,4.34,1,90.91,79.83
2019,NBH0000000017,11.194,0.1325,0,4034,1466,LOW_INCOME_LOW_ACCESS,52.81,127.37,9.8907,14.7477,54.22,471,28.04,95.86,22.93,0,43.33,77.94
2009,NBH0000000018,9.733,9.7435,0,1637,85,RURAL_LOW_ACCESS,10.9,41.83,25.2112,15.3777,91.21,75,53.54,52.3,11.31,1,99.57,42.49
2018,NBH0000000019,10.284,3.0432,0,3520,1405,URBAN_LOW_ACCESS,89.21,16.51,26.4181,12.7969,25.74,443,61.43,98.79,26.38,1,2.83,16.34
2020,NBH0000000020,7.452,8.841,0,1827,1390,NO_DESERT,68.25,332.56,29.6396,20.8982,31.16,142,1.73,14.3,11.58,1,74.26,30.48
2019,NBH0000000021,4.824,5.551,0,577,519,LOW_INCOME_LOW_ACCESS,33.47,153.84,29.7835,17.9194,57.75,373,35.16,99.97,39.56,1,68.79,27.62
2022,NBH0000000022,9.337,1.5038,0,4320,351,URBAN_LOW_ACCESS,36.44,204.36,2.9484,12.0822,12.82,299,14.13,79.92,17.69,1,23.46,17.99
2022,NBH0000000023,2.005,8.8315,0,3079,1462,LOW_ACCESS,40.91,135.49,25.118,11.1668,26.45,472,24.26,74.59,10.94,1,62.67,64.21
2022,NBH0000000024,4.619,8.4084,0,751,9,NO_DESERT,67.61,223.97,8.5309,16.3565,62.1,254,18.28,49.94,5.27,0,8.83,56.97
2019,NBH0000000025,13.523,1.2916,0,2004,774,LOW_ACCESS,21.58,45.79,14.7108,15.6695,11.23,378,39.65,2.76,0.89,0,93.95,92.8
2022,NBH0000000026,21.397,3.4581,0,2331,102,NO_DESERT,49.52,62.38,9.77,6.3702,30.09,371,95.55,19.93,15.81,0,99.85,82.47
2014,NBH0000000027,24.104,9.714,1,4019,748,RURAL_LOW_ACCESS,45.17,132.67,12.4095,8.2779,84.43,327,67.95,90.49,35.26,0,60.28,61.29
2013,NBH0000000028,18.205,1.0135,0,240,1319,LOW_INCOME_LOW_ACCESS,58.07,117.12,23.8038,13.9874,15.8,201,28.29,83.55,9.55,1,98.18,29.13
2016,NBH0000000029,21.562,0.5944,0,1231,1025,NO_DESERT,24.68,143.11,0.4281,11.455,26.52,389,66.35,29.01,22.05,1,15.16,30.61
