food_supply_price_week,food_supply_product_upc_category,food_supply_retail_market_area,food_supply_average_price_usd,food_supply_price_change_wow_pct,food_supply_price_change_yoy_pct,food_supply_stockout_rate_pct,food_supply_on_shelf_availability_pct,food_supply_supply_chain_stage_code,food_supply_import_dependency_share_pct,food_supply_shipping_cost_index,food_supply_cold_chain_failure_flag,food_supply_warehouse_capacity_util_pct,food_supply_lead_time_days_avg,food_supply_spoilage_rate_pct,food_supply_private_label_share_pct,food_supply_promo_intensity_index,food_supply_online_grocery_share_pct,food_supply_food_inflation_contribution,food_supply_data_vendor_panel_code
2019-01-07,UPC000000001,DMA_006,65.157,-23.31,-12.57,21.49,79.82,PROCESSING,62.15,77.98,0,90.03,40.94,7.67,44.58,1.62,26.41,-0.465,PANEL_B
2019-01-14,UPC000000002,DMA_006,54.314,-15.935,22.938,29.61,80.67,WAREHOUSE,45.76,147.2,0,63.34,12.64,13.71,10.82,1.4565,40.34,1.1812,PANEL_A
2019-01-21,UPC000000003,DMA_008,44.259,-16.28,6.214,11.38,90.26,PRODUCTION,76.51,172.42,0,82.08,16.19,9.32,43.77,0.6358,46.67,1.0498,PANEL_A
2019-01-28,UPC000000004,DMA_001,34.147,12.689,-0.751,35.87,62.59,PRODUCTION,72.63,158.91,0,91.0,1.0,16.87,64.01,0.4024,26.76,-0.2209,PANEL_E
2019-02-04,UPC000000005,DMA_003,42.545,-4.844,31.527,28.34,73.73,RETAIL,16.83,181.15,1,36.65,11.14,2.12,60.52,1.2664,27.39,-0.3201,PANEL_A
2019-02-11,UPC000000006,DMA_008,5.643,-13.58,-29.199,35.06,78.21,RETAIL,23.44,114.99,0,59.16,24.26,6.78,74.64,2.6457,59.74,0.51,PANEL_D
2019-02-18,UPC000000007,DMA_002,70.071,2.159,-6.315,11.31,91.88,WAREHOUSE,93.47,71.35,0,83.66,20.39,16.28,52.49,0.9698,45.63,-0.0726,PANEL_D
2019-02-25,UPC000000008,DMA_007,36.793,18.267,0.342,18.26,82.74,PROCESSING,33.72,142.68,0,50.38,4.13,9.78,54.59,0.2807,51.34,1.0951,PANEL_C
2019-03-04,UPC000000009,DMA_006,71.363,5.983,43.961,38.02,75.99,RETAIL,62.7,90.06,0,71.9,33.57,1.23,37.84,0.46,53.54,-0.6264,PANEL_A
2019-03-11,UPC000000010,DMA_001,48.32,-17.401,35.419,34.33,66.54,RETAIL,39.46,125.47,0,32.64,15.14,15.01,39.38,2.0524,42.16,0.9048,PANEL_A
2019-03-18,UPC000000011,DMA_007,57.951,-22.061,-27.253,25.7,80.45,WAREHOUSE,38.43,147.22,0,95.69,42.59,15.07,6.88,0.1664,36.32,-0.165,PANEL_A
2019-03-25,UPC000000012,DMA_003,69.939,15.695,19.256,38.99,58.95,RETAIL,37.42,75.07,0,76.16,39.5,4.77,53.87,0.934,57.59,0.975,PANEL_D
2019-04-01,UPC000000013,DMA_008,28.178,-12.48,14.222,29.33,76.35,WAREHOUSE,87.63,110.84,0,46.68,44.48,16.71,14.31,2.1052,0.62,0.9795,PANEL_A
2019-04-08,UPC000000014,DMA_007,44.66,24.81,-11.026,34.89,70.67,PROCESSING,35.07,138.02,0,36.13,44.88,17.15,62.18,0.9021,52.27,-0.6888,PANEL_D
2019-04-15,UPC000000015,DMA_007,33.778,0.031,41.288,17.86,88.92,WAREHOUSE,75.03,238.2,0,99.62,5.68,16.23,56.36,2.8301,9.72,0.2903,PANEL_C
2019-04-22,UPC000000016,DMA_005,21.038,-6.717,2.138,34.62,63.34,RETAIL,56.65,135.97,0,67.13,26.85,7.4,75.11,1.1091,4.85,-0.2517,PANEL_D
2019-04-29,UPC000000017,DMA_003,9.611,-21.559,46.631,32.88,75.48,PROCESSING,79.89,64.48,0,91.52,23.66,1.98,18.54,0.5559,29.19,0.1465,PANEL_B
2019-05-06,UPC000000018,DMA_001,25.345,6.103,-23.216,10.27,93.04,PROCESSING,50.28,156.74,0,75.69,16.23,10.48,64.57,0.7726,8.29,0.9391,PANEL_E
2019-05-13,UPC000000019,DMA_006,67.154,-22.307,-19.258,22.42,85.01,PROCESSING,66.79,236.81,0,31.16,26.95,2.61,11.19,0.6805,28.29,1.0196,PANEL_A
2019-05-20,UPC000000020,DMA_008,19.005,17.247,53.579,25.83,76.07,WAREHOUSE,98.22,74.86,1,46.73,9.77,11.32,17.07,2.0415,5.3,0.9074,PANEL_E
2019-05-27,UPC000000021,DMA_005,6.932,1.439,-16.332,7.86,93.89,PROCESSING,85.44,113.75,0,30.86,10.72,15.28,37.96,1.2081,53.36,0.4128,PANEL_C
2019-06-03,UPC000000022,DMA_008,20.63,-16.912,-26.281,36.46,77.8,PROCESSING,39.75,65.19,0,73.48,5.61,6.44,37.16,0.0471,44.49,0.1116,PANEL_C
2019-06-10,UPC000000023,DMA_006,23.127,-20.945,45.691,31.41,66.67,PROCESSING,73.06,186.27,0,98.01,24.09,4.2,44.3,0.0722,38.64,-0.3319,PANEL_B
2019-06-17,UPC000000024,DMA_004,67.129,6.204,19.41,18.45,83.89,PROCESSING,41.8,155.11,0,53.96,36.61,3.96,21.7,2.8169,3.56,0.5838,PANEL_D
2019-06-24,UPC000000025,DMA_001,74.167,-24.307,-10.995,33.14,78.35,PRODUCTION,36.99,143.72,0,98.63,24.69,0.71,43.67,2.69,45.09,0.7381,PANEL_A
2019-07-01,UPC000000026,DMA_002,26.746,-15.517,-0.824,10.91,89.43,WAREHOUSE,70.7,80.53,0,79.36,29.63,8.83,11.66,1.6863,16.0,0.0284,PANEL_A
2019-07-08,UPC000000027,DMA_001,69.667,9.781,33.288,34.83,76.41,WAREHOUSE,1.81,119.42,0,65.09,19.62,15.01,6.34,2.6247,16.46,-0.2082,PANEL_A
2019-07-15,UPC000000028,DMA_007,71.773,6.412,21.988,24.8,79.15,WAREHOUSE,45.25,212.16,0,79.52,23.14,7.33,70.61,1.6811,51.07,0.5748,PANEL_D
2019-07-22,UPC000000029,DMA_002,24.279,-6.197,47.473,20.02,78.05,WAREHOUSE,40.55,51.55,0,79.58,38.53,3.1,10.86,1.5608,59.21,0.6901,PANEL_D
2019-07-29,UPC000000030,DMA_003,3.153,-1.944,-28.795,9.79,91.74,PRODUCTION,40.67,65.84,0,89.96,18.36,13.4,78.03,0.7795,58.81,1.0744,PANEL_E
2019-08-05,UPC000000031,DMA_006,35.581,-20.22,-20.042,12.43,88.09,PROCESSING,94.44,117.11,0,68.86,21.7,11.12,52.12,1.63,32.24,0.5045,PANEL_B
2019-08-12,UPC000000032,DMA_006,31.231,16.625,29.301,11.32,89.52,DISTRIBUTION,32.89,55.17,0,68.56,7.1,0.26,15.76,0.0922,47.8,0.0653,PANEL_E
2019-08-19,UPC000000033,DMA_006,6.061,16.402,24.438,15.23,87.8,WAREHOUSE,4.01,68.61,0,93.95,4.23,7.2,19.29,1.6325,53.98,1.0931,PANEL_C
2019-08-26,UPC000000034,DMA_004,15.805,15.329,-17.603,28.96,72.44,RETAIL,29.48,234.74,0,46.24,35.34,0.6,65.62,2.0912,26.21,0.8679,PANEL_E
2019-09-02,UPC000000035,DMA_001,64.862,-20.369,2.57,30.13,66.89,PROCESSING,74.13,88.16,0,43.48,42.76,9.18,9.73,1.8678,46.5,0.164,PANEL_C
2019-09-09,UPC000000036,DMA_007,70.524,-4.255,20.237,18.39,82.04,DISTRIBUTION,79.82,91.71,0,51.46,28.66,8.0,51.88,0.731,13.26,0.4857,PANEL_C
2019-09-16,UPC000000037,DMA_005,38.022,-23.442,-16.101,7.01,94.89,PROCESSING,4.67,67.59,0,51.49,24.46,2.91,71.58,0.6822,51.43,0.8056,PANEL_A
2019-09-23,UPC000000038,DMA_003,43.719,-9.745,51.315,14.65,88.76,PROCESSING,11.19,233.33,0,59.36,22.89,9.68,37.55,1.6649,27.28,-0.3378,PANEL_A
2019-09-30,UPC000000039,DMA_007,29.934,-8.216,0.427,32.78,77.61,RETAIL,65.05,213.25,0,80.42,42.71,14.25,25.57,2.3604,32.41,-0.2322,PANEL_C
2019-10-07,UPC000000040,DMA_005,5.155,13.734,29.215,36.15,63.87,RETAIL,4.01,99.75,0,88.85,16.9,17.49,24.85,1.7209,49.68,-0.7626,PANEL_E
2019-10-14,UPC000000041,DMA_005,16.895,22.696,12.501,10.84,90.58,RETAIL,92.19,116.96,0,88.99,23.04,8.58,45.09,0.2757,32.26,0.6951,PANEL_C
2019-10-21,UPC000000042,DMA_007,23.315,9.573,22.438,20.52,84.23,RETAIL,15.05,105.17,0,81.91,17.65,7.59,68.44,1.7892,53.94,0.6174,PANEL_B
