gov_budget_budget_fiscal_year,gov_budget_government_unit_id,gov_budget_fund_type_code,gov_budget_revenue_taxes_total,gov_budget_revenue_fees_total,gov_budget_revenue_intergov_total,gov_budget_revenue_charges_services,gov_budget_expenditure_public_safety,gov_budget_expenditure_education,gov_budget_expenditure_health,gov_budget_expenditure_transport,gov_budget_expenditure_housing,gov_budget_expenditure_general_gov,gov_budget_capital_outlay_total,gov_budget_debt_service_total,gov_budget_pension_contribution_total,gov_budget_rainy_day_fund_balance,gov_budget_general_fund_balance,gov_budget_audit_opinion_code,gov_budget_cash_flow_stress_index
2025,GOV0000001,DEBT_SERVICE,154016152441.11,14216267314.24,62670506422.15,17089753641.59,55921408593.76,73349292264.51,105881013975.64,11517684845.28,7659527268.04,29266901591.9,1417129100.3,15411241162.27,14402401230.31,17843957843.67,21684605063.74,UNQUALIFIED,0.6643
2013,GOV0000002,HEALTH,101100942423.09,29783688152.79,65202426494.13,27261437391.08,14311294825.8,121962774639.03,150589465015.29,22751647439.21,37048706134.84,31949277493.2,62638832548.6,4859792952.74,15572123337.97,30109476657.89,55147897090.72,UNQUALIFIED,0.6892
2013,GOV0000003,EDUCATION,95336561286.13,41507705071.23,113501625104.09,2673664436.68,38356255515.4,97910306201.95,54669445386.05,28431899004.32,33272551284.61,27810190730.31,39638617317.19,10684910537.67,6625803513.78,15010944937.17,52728995570.63,DISCLAIMER,0.0568
2016,GOV0000004,GENERAL,133938599965.4,22650636094.78,12250153595.1,5640120123.72,57119725858.27,25621338738.74,48351496229.37,15040509408.29,1378172703.08,36615195113.57,39086653495.37,20371053809.79,11032439288.31,29666635818.77,43575478054.17,UNQUALIFIED,0.2439
2015,GOV0000005,GENERAL,120315895503.44,33187265729.03,73306203880.91,2580466662.51,4976981993.52,38069050304.68,76046347852.93,18204932947.82,3533230994.61,27451501426.95,30478980156.06,19085921640.06,11303337548.51,21632172549.37,52426092221.84,UNQUALIFIED,0.7334
2013,GOV0000006,DEBT_SERVICE,154735526491.47,1048394055.89,16510986477.13,17955961175.68,70171010088.73,98344954494.02,27971584709.34,58696095330.54,2874357637.66,33103773265.32,3935123779.89,1472370365.45,22602835645.46,31705468060.54,37466975577.54,UNQUALIFIED,0.0253
2008,GOV0000007,GENERAL,241126658238.68,31042154207.73,74140059138.05,6024712045.56,79949204219.37,13964053612.54,3488966966.75,30198928946.24,36299139417.36,3475260632.1,18576754814.24,7315393940.82,7659668262.7,12584270897.92,8707393489.73,UNQUALIFIED,0.9922
2018,GOV0000008,EDUCATION,219196534988.61,13939425782.28,35776407042.9,33257796391.72,12997799955.5,71876651743.27,108601445868.12,59369435541.56,19650492905.92,51954725720.69,25659864960.7,29210291946.03,9238150505.63,28951739194.64,15532773450.06,UNQUALIFIED,0.4828
2025,GOV0000009,ENTERPRISE,40470328685.11,29897868436.69,38389223070.59,6094084351.41,33679845937.34,49231285315.13,90768789194.14,46034286738.27,27248591281.85,45898692097.61,54839784178.94,8693705259.19,14515432436.18,33253442705.05,46970371049.59,UNQUALIFIED,0.1017
2015,GOV0000010,GENERAL,233504583598.32,34752703906.44,112371459531.85,26918560445.2,37364411252.76,1663386744.58,86084393115.19,25768390320.81,25667245898.75,8865369397.82,4770476704.37,1816101624.43,18267169662.82,12837380759.12,12616240770.1,UNQUALIFIED,0.7364
