gov_contract_contract_award_date,gov_contract_contracting_office_code,gov_contract_naics_code_contract,gov_contract_psc_code,gov_contract_vendor_duns_hash,gov_contract_contract_vehicle_type,gov_contract_competition_type,gov_contract_contract_value_usd,gov_contract_ceiling_value_usd,gov_contract_obligated_amount_usd,gov_contract_period_of_performance_start,gov_contract_period_of_performance_end,gov_contract_small_business_set_aside,gov_contract_socioeconomic_category,gov_contract_subcontracting_plan_flag,gov_contract_labor_standards_clause_flag,gov_contract_buy_american_clause_flag,gov_contract_performance_based_flag,gov_contract_termination_for_default_flag,gov_contract_past_performance_score
2012-01-01,OFF001,541512,R408,DUNS000000001,SEALED_BID,SDVOSB,2724251621.52,5622448984.12,980675876.0,2012-02-01,2014-01-17,HUBZONE,HUBZONE,0,1,0,1,0,32.41
2012-01-02,OFF004,541511,B510,DUNS000000002,IDIQ,SMALL_BUSINESS,9868106.47,51798498.24,4786640.87,2012-02-02,2020-04-27,SB,NONE,1,1,1,0,0,82.06
2012-01-03,OFF002,325412,D302,DUNS000000003,BPA,SMALL_BUSINESS,2844992724.23,14720622918.22,2365963130.57,2012-02-03,2018-01-20,SB,NONE,0,0,1,0,0,89.53
2012-01-04,OFF006,334111,S206,DUNS000000004,SEALED_BID,FULL_OPEN,3574237313.03,13913907763.88,2940711705.13,2012-02-04,2016-12-10,HUBZONE,NONE,0,0,1,1,0,33.97
2012-01-05,OFF005,541519,K016,DUNS000000005,OTHER,SOLE_SOURCE,1831781672.41,7994200737.38,1424697684.62,2012-02-05,2021-11-03,SB,DBE,0,1,1,1,0,18.91
2012-01-06,OFF002,541330,R408,DUNS000000006,OTHER,SMALL_BUSINESS,4493759520.18,6008693180.0,501140053.22,2012-02-06,2015-12-28,NONE,HUBZONE,0,1,1,0,0,23.42
2012-01-07,OFF001,541511,C211,DUNS000000007,GSA_SCHEDULE,FULL_OPEN,808523910.65,2158213403.43,560030125.27,2012-02-07,2017-07-27,WOSB,SDB,0,0,1,0,0,1.21
2012-01-08,OFF003,541512,F999,DUNS000000008,GSA_SCHEDULE,FULL_OPEN,5819040721.53,15238094527.4,2731525033.56,2012-02-08,2012-08-18,SDVOSB,8A,0,0,1,1,0,79.1
2012-01-09,OFF004,237310,A301,DUNS000000009,BPA,8A,42420539.41,156439587.42,4469046.18,2012-02-09,2016-12-15,NONE,SDVOSB,1,1,1,1,0,27.25
2012-01-10,OFF002,237310,B510,DUNS000000010,SEALED_BID,FULL_OPEN,3328472077.47,16503681728.89,440313626.93,2012-02-10,2013-09-20,WOSB,WOSB,0,1,1,0,0,72.49
2012-01-11,OFF006,541519,C211,DUNS000000011,GWAC,8A,4712860425.53,12337463475.23,304766599.32,2012-02-11,2016-10-28,NONE,DBE,0,1,0,0,0,40.64
2012-01-12,OFF002,541512,K016,DUNS000000012,SEALED_BID,FULL_OPEN,5696275400.54,31569374602.84,5492198443.42,2012-02-12,2018-03-02,SB,NONE,0,0,1,0,0,9.32
2012-01-13,OFF005,541519,F999,DUNS000000013,OTHER,SMALL_BUSINESS,3673409952.37,21954097449.76,2798590429.63,2012-02-13,2015-01-10,NONE,DBE,1,1,0,0,0,82.17
