gov_debt_reporting_year,gov_debt_issuer_id,gov_debt_debt_type_code,gov_debt_principal_outstanding_usd,gov_debt_principal_issued_usd,gov_debt_principal_retired_usd,gov_debt_interest_cost_usd,gov_debt_average_coupon_rate,gov_debt_maturity_years_weighted,gov_debt_debt_service_coverage_ratio,gov_debt_days_cash_on_hand,gov_debt_liquidity_ratio,gov_debt_net_position_change_usd,gov_debt_unfunded_pension_liability,gov_debt_opeb_liability,gov_debt_bond_rating_agency,gov_debt_bond_rating_value,gov_debt_default_event_flag,gov_debt_refinancing_savings_usd,gov_debt_fiscal_distress_flag
2021,ISSUER0000001,GO_BOND,22053741024.74,36728096234.03,14809063725.03,327255298.83,5.623,15.825,1.36,510.91,0.415,6541215348.06,114781470467.47,55631056373.05,NONE,BBB+,0,1703461948.84,0
2004,ISSUER0000002,GO_BOND,173372061050.56,11743823262.3,32328580743.05,6944628848.14,3.939,14.016,0.906,73.99,1.76,-1514696104.4,32087434073.82,70224676684.4,MOODYS,BBB+,0,953413691.66,0
2016,ISSUER0000003,REVENUE_BOND,247616132554.02,26862314878.09,21039487284.21,9958491652.05,3.065,9.695,0.687,461.4,2.166,6581395902.42,51403541468.93,59184747903.25,MOODYS,A,0,558434565.45,0
2009,ISSUER0000004,CERT_PARTICIPATION,133180851065.79,31736237033.1,23969778064.34,2816807871.06,3.407,12.216,1.331,36.86,1.054,3036055506.51,6439666304.56,10107094219.09,S&P,BBB+,0,472768747.62,0
2008,ISSUER0000005,REVENUE_BOND,143698494501.01,34230206672.66,35554914070.54,2154103247.0,5.403,4.348,2.876,505.12,2.63,-2320994791.95,50368740133.54,32114578581.46,NONE,AA,0,1500386105.72,0
2010,ISSUER0000006,GO_BOND,39423994769.92,15916074765.81,19820075410.76,2094483788.81,5.313,19.333,2.527,109.74,0.607,3482317503.64,119507910721.99,20376232977.37,S&P,BBB+,0,1778956157.85,0
2010,ISSUER0000007,REVENUE_BOND,212168585299.65,11324560220.81,13170908645.03,8683070377.92,1.197,12.41,2.834,355.14,0.794,6244935676.71,156525680420.2,71236861901.71,FITCH,AA,0,2417367425.42,0
2001,ISSUER0000008,REVENUE_BOND,192571266179.04,13776016360.42,995005548.8,13384855953.07,4.896,16.111,1.307,508.67,1.403,-56231634.06,17872999540.35,29152097233.71,MOODYS,AA-,0,758124016.52,0
2002,ISSUER0000009,NOTES,210178834835.19,9342813976.98,31186339362.08,10432531928.4,1.572,28.118,1.284,46.17,0.347,4381969673.61,45945536753.13,57382501089.12,KBRA,BBB+,0,655713530.02,0
2016,ISSUER0000010,GO_BOND,21756198445.33,20223389336.49,39320496951.11,414711156.56,6.328,12.064,2.134,56.84,1.079,52703582.65,131798278545.15,68099994719.39,FITCH,AA+,0,1761144190.46,0
2004,ISSUER0000011,CERT_PARTICIPATION,4147275419.25,16021128756.43,7309814697.86,273201699.78,4.435,2.037,2.812,342.96,1.592,-5053948385.0,73298880888.11,10145429820.33,MOODYS,A,0,1341693786.92,0
2015,ISSUER0000012,NOTES,212528948417.47,39144150539.57,7210703979.32,14636486503.64,7.293,10.628,3.986,294.35,0.022,-2552277683.57,126098362287.47,22095454127.91,FITCH,AA-,0,1315218868.15,0
2018,ISSUER0000013,LEASE,238565082741.8,30274973484.8,2785654774.46,8435141895.36,2.754,1.148,2.878,400.91,1.619,2979286653.32,62318681060.2,62607377108.34,FITCH,BB,0,160425780.29,0
2018,ISSUER0000014,GO_BOND,247788015865.3,23311813479.98,15635438801.06,16563648064.62,5.166,21.454,4.183,104.67,2.689,4046340587.5,9468686180.17,76689337185.79,KBRA,AA-,0,2058180373.91,0
2021,ISSUER0000015,NOTES,86124173398.86,1635760866.88,12861093506.46,5837517069.71,1.999,29.222,1.529,372.74,1.467,-2555088944.84,146232423793.99,9788421738.41,MOODYS,AA-,0,2298063728.41,0
2007,ISSUER0000016,GO_BOND,134616786415.43,43640592441.67,1584909185.13,9317345061.29,2.484,9.953,0.888,475.1,2.133,508678648.64,130630098461.61,24036670601.41,FITCH,AA,0,803879220.05,0
2014,ISSUER0000017,GO_BOND,98492156686.92,27286610958.59,24252101861.85,5495364333.36,1.888,9.625,3.32,116.29,0.136,-640499399.29,92671108937.57,6322166093.19,FITCH,AA,0,1811003238.71,0
2020,ISSUER0000018,GO_BOND,193147720153.4,2532166145.38,37164366790.27,5586265777.14,3.323,6.719,2.889,164.71,0.864,-881011722.72,48035093486.48,21934457175.54,FITCH,A,0,1235680385.99,1
