gov_grants_award_fiscal_year,gov_grants_grant_program_code,gov_grants_grant_competitive_flag,gov_grants_allocation_formula_type,gov_grants_eligible_entity_type,gov_grants_match_rate_required_pct,gov_grants_award_min_usd,gov_grants_award_max_usd,gov_grants_award_median_usd,gov_grants_application_count,gov_grants_award_count,gov_grants_award_total_usd,gov_grants_performance_measure_code,gov_grants_reporting_compliance_rate,gov_grants_closeout_timeliness_rate,gov_grants_indirect_cost_rate_cap,gov_grants_technical_assistance_available_flag,gov_grants_overlap_duplication_risk_score,gov_grants_single_audit_findings_count,gov_grants_grant_portal_system
2013,HOUSING_CDBG,1,OTHER,SCHOOL_DISTRICT,35.18,169479.64,64482733.72,32326106.68,4503,834,26176445549.96,QUALITY_C,76.72,73.05,9.09,0,0.1599,28,GRANTS_GOV
2010,TRANS_FORMULA,0,MATCHING,TRIBAL,15.21,867230.75,404288247.84,202577739.3,2092,891,187189539512.49,ACCESS_E,44.25,98.1,14.5,1,0.3339,34,STATE_PORTAL
2018,HOUSING_CDBG,0,POPULATION,LOCAL,8.59,496695.34,1715291.08,1105993.21,4033,1636,2005482097.32,OUTCOME_B,83.64,97.97,19.18,1,0.5707,24,STATE_PORTAL
2010,ENERGY_EFF,1,MATCHING,NONPROFIT,43.79,731325.12,290698830.05,145715077.58,2807,856,112134722930.83,EQUITY_D,67.59,49.69,15.26,1,0.0126,19,GRANTS_GOV
2018,JUSTICE_ASSIST,0,POPULATION,STATE,47.76,992827.76,186477483.28,93735155.52,5858,2211,206921790398.04,OUTCOME_B,89.6,61.95,15.3,1,0.1408,43,GRANTS_GOV
2014,JUSTICE_ASSIST,0,POPULATION,STATE,6.29,526365.62,201342304.73,100934335.18,4587,775,82629218337.51,OUTCOME_B,43.63,37.74,15.75,1,0.3372,14,CUSTOM_PORTAL_B
2018,ENERGY_EFF,1,POPULATION,LOCAL,55.93,843769.15,303472251.53,152158010.34,2616,840,122575639790.94,EQUITY_D,50.42,53.48,7.62,1,0.4522,3,GRANTS_GOV
2022,EDU_BLOCK,1,POPULATION,STATE,54.13,287061.32,94198149.5,47242605.41,726,184,8005000898.8,OUTCOME_B,74.91,96.88,15.54,1,0.67,28,STATE_PORTAL
2012,BROADBAND,1,NEED_BASED,TRIBAL,17.21,633997.89,45485110.88,23059554.38,156,41,956633032.41,OUTCOME_B,58.99,27.31,6.31,1,0.4683,20,CUSTOM_PORTAL_A
2010,TRANS_FORMULA,0,COMPETITIVE,SCHOOL_DISTRICT,49.17,981032.68,405543802.0,203262417.34,3340,1326,309409071892.17,NONE,46.73,87.24,15.2,1,0.8881,3,GRANTS_GOV
2018,BROADBAND,0,COMPETITIVE,SCHOOL_DISTRICT,56.62,236240.29,46289082.48,23262661.38,3826,1375,28670711043.84,QUALITY_C,82.88,85.44,1.4,1,0.7737,41,GRANTS_GOV
2024,JUSTICE_ASSIST,1,MATCHING,NONPROFIT,36.28,982150.94,61140424.69,31061287.82,3695,1636,53076039496.1,ACCESS_E,42.84,58.2,0.29,0,0.0845,47,CUSTOM_PORTAL_A
2012,TRANS_FORMULA,0,POPULATION,UNIVERSITY,34.19,378650.75,85591490.22,42985070.48,609,189,8260368432.41,ACCESS_E,85.04,82.11,18.01,1,0.5019,28,STATE_PORTAL
