health_chronic_surveillance_year,health_chronic_small_area_id,health_chronic_condition_code,health_chronic_prevalence_rate_pct,health_chronic_incidence_rate_per_100k,health_chronic_hospitalization_rate_per_100k,health_chronic_mortality_rate_per_100k,health_chronic_comorbidity_index,health_chronic_risk_factor_smoking_rate,health_chronic_risk_factor_obesity_rate,health_chronic_risk_factor_diabetes_rate,health_chronic_physical_activity_rate,health_chronic_diet_quality_score,health_chronic_medication_adherence_rate,health_chronic_preventive_screening_rate,health_chronic_avoidable_ed_visit_rate,health_chronic_healthcare_access_barrier_index,health_chronic_socioeconomic_deprivation_index,health_chronic_age_adjustment_standard,health_chronic_confidence_interval_width
2019,SA0000001,DEMENTIA,38.09,922.85,735.52,656.93,0.58,5.07,34.65,5.61,31.89,98.6,77.97,40.39,756.92,0.2481,0.4752,WHO_STD,3.023
2022,SA0000002,CAD,17.64,1046.41,19.0,639.87,6.88,24.0,40.05,2.21,45.17,24.8,46.43,31.16,37.95,0.3201,0.7985,2000_US_STD,1.824
2015,SA0000003,ASTHMA,31.12,646.39,881.19,771.15,2.64,18.57,18.54,15.38,57.06,5.0,52.51,56.31,569.65,0.5278,0.5583,2010_US_STD,3.391
2024,SA0000004,STROKE,39.59,356.52,436.74,441.13,0.5,8.93,34.08,13.3,59.14,56.7,71.37,59.59,417.0,0.2775,0.8163,WHO_STD,1.812
2017,SA0000005,CKD,11.98,1142.64,104.76,432.19,6.27,12.68,32.03,3.81,47.6,0.3,91.4,46.72,170.42,0.5842,0.3366,WHO_STD,4.898
2017,SA0000006,CAD,43.7,618.03,1130.58,677.46,4.27,10.63,13.26,7.66,41.27,17.5,63.99,46.87,559.04,0.4954,0.5815,2010_US_STD,5.032
2024,SA0000007,ARTHRITIS,23.5,1349.29,951.61,336.38,3.18,27.14,15.92,2.84,71.92,56.8,67.62,61.46,130.11,0.6498,0.3271,WHO_STD,0.641
2018,SA0000008,DEMENTIA,36.96,355.27,764.86,853.19,7.01,12.55,47.9,15.69,59.46,37.7,47.0,66.47,156.39,0.5954,0.1628,2010_US_STD,5.024
2019,SA0000009,CAD,23.25,1476.04,651.63,492.14,2.59,23.91,35.8,5.88,76.89,11.8,87.31,51.63,188.37,0.4886,0.0745,2000_US_STD,3.408
2015,SA0000010,ARTHRITIS,10.87,1640.59,737.03,659.99,4.51,22.71,17.47,9.8,77.18,9.0,77.21,74.86,176.06,0.5793,0.7924,2010_US_STD,2.907
2023,SA0000011,HTN,30.11,335.57,1007.74,634.29,1.43,22.84,22.2,3.77,65.74,15.3,67.39,57.84,197.73,0.1067,0.6036,2010_US_STD,4.8
2021,SA0000012,DEMENTIA,18.57,350.87,230.73,431.84,2.7,24.92,30.81,16.06,40.03,78.5,65.3,69.54,504.59,0.3941,0.8573,2000_US_STD,5.777
2016,SA0000013,STROKE,11.14,1103.83,1150.18,183.25,5.79,4.68,33.25,16.15,65.59,11.3,52.29,70.75,267.74,0.4862,0.852,WHO_STD,2.009
