health_dispar_analysis_year,health_dispar_disparity_metric_code,health_dispar_group_a_definition,health_dispar_group_b_definition,health_dispar_rate_group_a,health_dispar_rate_group_b,health_dispar_absolute_gap,health_dispar_relative_gap_ratio,health_dispar_concentration_index,health_dispar_segregation_index,health_dispar_access_to_care_index,health_dispar_insurance_coverage_gap_pct,health_dispar_preventable_hospitalization_gap,health_dispar_environmental_exposure_gap,health_dispar_food_insecurity_gap_pct,health_dispar_transport_barrier_gap_pct,health_dispar_language_access_gap_pct,health_dispar_digital_access_gap_pct,health_dispar_policy_context_code,health_dispar_intervention_priority_score
2020,VACC_COVER,GROUP_A_1_DEF,GROUP_B_1_DEF,101.405,67.301,34.104,1.5067,-0.2656,0.7537,0.3969,15.03,74.6,0.5208,12.11,11.07,15.39,20.7,POL_A,32.41
2009,CANCER_SCREEN,GROUP_A_2_DEF,GROUP_B_2_DEF,55.683,32.3,23.383,1.7239,-0.1412,0.1045,0.2232,-23.59,-53.43,-0.443,-3.56,5.17,12.41,-8.54,POL_B,49.54
2018,ASTHMA_ED,GROUP_A_3_DEF,GROUP_B_3_DEF,28.687,118.616,-89.929,0.2418,0.3286,0.591,0.7674,-2.23,-80.42,0.0984,-12.89,1.09,13.66,-5.43,POL_D,94.19
2013,VACC_COVER,GROUP_A_4_DEF,GROUP_B_4_DEF,63.881,99.599,-35.718,0.6414,-0.1609,0.074,0.2653,-17.19,-125.48,-0.6635,-17.35,-9.46,-16.79,6.32,POL_A,13.24
2013,MATERNAL_MORT,GROUP_A_5_DEF,GROUP_B_5_DEF,44.799,45.038,-0.239,0.9947,-0.0984,0.6238,0.7858,-9.34,36.59,-0.3134,-10.18,3.2,6.17,-6.37,POL_A,17.42
2018,MATERNAL_MORT,GROUP_A_6_DEF,GROUP_B_6_DEF,31.943,52.614,-20.671,0.6071,-0.1456,0.3656,0.4812,18.72,129.21,-0.8291,12.3,-7.96,3.3,-13.38,POL_B,80.24
2019,INFANT_MORT,GROUP_A_7_DEF,GROUP_B_7_DEF,106.352,13.934,92.418,7.6326,0.3027,0.5044,0.5506,-1.28,-64.92,-0.7321,18.59,10.83,-6.44,16.74,POL_C,62.76
2011,DIABETES,GROUP_A_8_DEF,GROUP_B_8_DEF,108.723,10.416,98.307,10.4381,0.2011,0.802,0.4328,0.03,-114.41,0.9645,-8.26,4.27,-2.27,-21.31,POL_E,38.86
2014,OUD_TREAT,GROUP_A_9_DEF,GROUP_B_9_DEF,11.244,22.488,-11.244,0.5,-0.2065,0.4748,0.5581,19.8,-110.77,-0.1007,1.93,5.0,-1.85,-16.76,POL_C,15.67
2012,ASTHMA_ED,GROUP_A_10_DEF,GROUP_B_10_DEF,118.007,44.805,73.202,2.6338,0.3048,0.0758,0.615,24.7,13.94,0.3859,-14.65,10.72,-6.24,-16.75,POL_A,49.87
2010,VACC_COVER,GROUP_A_11_DEF,GROUP_B_11_DEF,117.267,87.274,29.993,1.3437,0.194,0.3709,0.5996,9.84,141.22,-0.1614,-19.4,-2.28,-10.93,-9.97,POL_E,37.19
2021,MATERNAL_MORT,GROUP_A_12_DEF,GROUP_B_12_DEF,119.288,33.135,86.153,3.6001,-0.2043,0.202,0.9651,-18.41,47.38,-0.4038,-8.77,7.24,12.07,4.77,POL_E,28.77
2011,CANCER_SCREEN,GROUP_A_13_DEF,GROUP_B_13_DEF,71.702,12.891,58.811,5.5622,-0.1706,0.7758,0.3984,15.14,77.38,-0.2956,3.65,-1.09,-10.8,-12.56,POL_D,89.5
2020,OUD_TREAT,GROUP_A_14_DEF,GROUP_B_14_DEF,32.164,65.325,-33.161,0.4924,-0.0736,0.5317,0.5514,18.31,-32.13,-0.4124,9.28,1.92,-8.42,-1.94,POL_E,85.5
2018,CANCER_SCREEN,GROUP_A_15_DEF,GROUP_B_15_DEF,51.324,90.237,-38.913,0.5688,0.2794,0.6857,0.3827,8.32,-34.85,-0.4162,-9.69,11.48,5.88,14.46,POL_D,17.96
2016,ASTHMA_ED,GROUP_A_16_DEF,GROUP_B_16_DEF,62.438,9.924,52.514,6.2916,-0.2433,0.5973,0.8775,-2.75,103.51,-0.1758,-10.2,9.17,6.92,5.27,POL_E,61.05
2015,VACC_COVER,GROUP_A_17_DEF,GROUP_B_17_DEF,105.446,24.252,81.194,4.3479,0.0142,0.8283,0.0008,-4.31,136.84,-0.0925,14.77,0.89,-16.7,21.74,POL_A,26.23
2025,LIFE_EXPECT,GROUP_A_18_DEF,GROUP_B_18_DEF,20.277,106.128,-85.851,0.1911,-0.2809,0.5937,0.6847,22.97,2.82,0.9718,18.79,-5.51,-7.79,11.54,POL_B,82.18
2014,INFANT_MORT,GROUP_A_19_DEF,GROUP_B_19_DEF,60.439,47.301,13.138,1.2778,0.1754,0.6348,0.8509,-14.01,-145.81,-0.5138,-2.01,10.24,-2.15,-20.42,POL_E,48.56
2019,OUD_TREAT,GROUP_A_20_DEF,GROUP_B_20_DEF,8.052,14.354,-6.302,0.561,0.2309,0.2808,0.6988,23.81,38.03,0.7872,17.42,-9.41,16.91,7.01,POL_A,80.27
2021,LIFE_EXPECT,GROUP_A_21_DEF,GROUP_B_21_DEF,99.843,78.073,21.77,1.2788,-0.1693,0.7418,0.8539,6.26,7.79,0.6087,2.2,-8.85,7.22,-5.05,POL_A,82.25
2017,ASTHMA_ED,GROUP_A_22_DEF,GROUP_B_22_DEF,104.01,77.693,26.317,1.3387,-0.0761,0.7917,0.0734,-19.92,-149.47,0.129,-8.5,7.9,10.21,-12.87,POL_A,34.42
2014,ASTHMA_ED,GROUP_A_23_DEF,GROUP_B_23_DEF,27.507,119.724,-92.217,0.2298,0.0039,0.2148,0.5067,-6.22,-83.55,0.9493,15.69,2.53,-15.98,-10.34,POL_C,52.84
2018,VACC_COVER,GROUP_A_24_DEF,GROUP_B_24_DEF,32.237,47.953,-15.716,0.6723,-0.0985,0.1012,0.8319,16.37,-95.7,0.9856,-12.25,0.54,5.51,20.34,POL_B,90.79
2020,VACC_COVER,GROUP_A_25_DEF,GROUP_B_25_DEF,8.716,57.533,-48.817,0.1515,-0.1057,0.7533,0.9731,-9.88,-7.18,-0.9204,-19.1,-4.39,12.02,3.6,POL_D,60.02
2013,DIABETES,GROUP_A_26_DEF,GROUP_B_26_DEF,45.226,61.344,-16.118,0.7373,0.0621,0.676,0.4997,-23.01,59.78,0.7714,-11.54,-6.6,17.41,-17.03,POL_B,29.81
2014,MATERNAL_MORT,GROUP_A_27_DEF,GROUP_B_27_DEF,61.624,86.634,-25.01,0.7113,0.1497,0.4884,0.9346,-21.33,-93.57,0.2493,1.93,-11.43,-8.83,-13.27,POL_B,43.06
2011,CANCER_SCREEN,GROUP_A_28_DEF,GROUP_B_28_DEF,42.406,37.667,4.739,1.1258,0.0178,0.348,0.4063,13.26,-46.87,-0.7496,13.77,-2.01,-10.63,-6.75,POL_B,89.95
2013,MATERNAL_MORT,GROUP_A_29_DEF,GROUP_B_29_DEF,86.512,66.231,20.281,1.3062,0.0598,0.3251,0.6915,-20.46,-148.27,0.4552,16.71,11.15,-11.8,11.41,POL_B,49.78
2008,MATERNAL_MORT,GROUP_A_30_DEF,GROUP_B_30_DEF,82.485,103.749,-21.264,0.795,-0.2781,0.6902,0.1782,-19.14,81.33,0.3702,-15.25,-5.61,-16.44,-20.53,POL_C,78.07
2021,CANCER_SCREEN,GROUP_A_31_DEF,GROUP_B_31_DEF,42.211,28.577,13.634,1.4771,0.0777,0.2108,0.1976,-15.14,-48.59,-0.2971,10.39,-0.24,-9.21,18.17,POL_D,68.2
