health_infect_report_date,health_infect_pathogen_code,health_infect_case_definition_version,health_infect_case_count_confirmed,health_infect_case_count_probable,health_infect_test_positivity_rate_pct,health_infect_hospital_admission_count,health_infect_icu_admission_count,health_infect_death_count,health_infect_vaccination_coverage_pct,health_infect_variant_lineage,health_infect_outbreak_cluster_id,health_infect_exposure_setting_type,health_infect_contact_tracing_success_rate,health_infect_reporting_delay_days,health_infect_wastewater_signal_level,health_infect_syndromic_indicator_level,health_infect_antimicrobial_resistance_flag,health_infect_public_health_action_level,health_infect_data_refresh_timestamp
2019-01-01,INFLU_A,v5,109,30,9.75,24,2,0,81.45,LINEAGE_C,CL0000001,HEALTHCARE,28.81,18,0.7169,0.7887,0,MONITOR,2025-01-01T00:00:00
2019-01-02,INFLU_B,v3,126,38,3.89,10,6,2,9.18,NONE,CL0000002,COMMUNITY,18.88,8,0.3688,0.3399,0,NONE,2025-01-01T00:00:01
2019-01-03,TB,v3,107,46,5.84,26,4,0,12.68,LINEAGE_C,CL0000003,TRAVEL,54.11,18,0.5223,0.4505,0,ALERT,2025-01-01T00:00:02
2019-01-04,WNV,v5,109,21,0.62,17,3,1,54.92,LINEAGE_B,CL0000004,UNKNOWN,12.61,20,0.4769,0.7053,0,INVESTIGATE,2025-01-01T00:00:03
2019-01-05,SARS2,v4,115,25,20.4,16,1,2,61.7,LINEAGE_A,CL0000005,UNKNOWN,70.29,0,0.1801,0.2704,0,INVESTIGATE,2025-01-01T00:00:04
2019-01-06,INFLU_B,v4,131,31,28.08,15,1,0,71.7,NONE,CL0000006,HEALTHCARE,90.61,7,0.7981,0.577,1,NONE,2025-01-01T00:00:05
2019-01-07,WNV,v4,130,39,30.67,19,2,3,1.9,LINEAGE_A,CL0000007,TRAVEL,48.09,17,0.3337,0.6873,0,MONITOR,2025-01-01T00:00:06
2019-01-08,MEASLES,v4,127,40,32.57,15,6,1,92.41,LINEAGE_C,CL0000008,HOUSEHOLD,85.16,2,0.3882,0.5725,0,MONITOR,2025-01-01T00:00:07
2019-01-09,INFLU_A,v2,128,29,23.47,10,7,0,73.0,LINEAGE_A,CL0000009,COMMUNITY,49.52,9,0.9113,0.8823,0,MONITOR,2025-01-01T00:00:08
2019-01-10,SALMONELLA,v1,105,34,9.93,20,7,2,76.35,LINEAGE_B,CL0000010,CONGREGATE,12.84,15,0.4006,0.0395,0,EMERGENCY,2025-01-01T00:00:09
2019-01-11,TB,v4,108,36,16.03,21,3,2,75.93,LINEAGE_D,CL0000011,TRAVEL,93.29,2,0.2917,0.3248,0,NONE,2025-01-01T00:00:10
2019-01-12,INFLU_B,v3,129,36,6.54,26,6,3,72.86,LINEAGE_C,CL0000012,UNKNOWN,42.89,11,0.9662,0.8133,1,ALERT,2025-01-01T00:00:11
2019-01-13,INFLU_B,v2,106,45,28.52,20,3,5,81.94,LINEAGE_A,CL0000013,SCHOOL,30.43,21,0.6869,0.9551,0,MONITOR,2025-01-01T00:00:12
