health_mch_birth_cohort_year,health_mch_prenatal_visit_adequacy_index,health_mch_maternal_mortality_ratio,health_mch_severe_maternal_morbidity_rate,health_mch_preterm_birth_rate,health_mch_low_birthweight_rate,health_mch_breastfeeding_initiation_rate,health_mch_breastfeeding_6mo_rate,health_mch_postpartum_care_rate,health_mch_infant_sleep_safe_rate,health_mch_immunization_series_completion,health_mch_well_child_visit_rate,health_mch_teen_birth_rate,health_mch_fertility_rate_age_specific,health_mch_nicu_admission_rate,health_mch_postnatal_depression_screen_rate,health_mch_substance_exposure_flag_rate,health_mch_doula_support_rate,health_mch_medicaid_eligibility_category,health_mch_home_visiting_program_uptake
2020,7.23,38.99,219.73,7.9,9.35,76.6,23.91,47.96,78.96,53.67,48.15,10.67,48.67,10.27,44.55,9.19,17.03,POSTPARTUM,36.64
2016,4.67,36.32,142.9,12.06,12.6,85.6,37.79,35.9,62.43,65.23,57.06,28.01,105.57,15.03,71.71,7.12,1.5,EXPANSION,22.03
2020,6.14,39.4,200.53,8.14,9.91,87.21,57.89,36.41,50.59,56.12,72.54,6.51,63.59,7.92,46.14,4.62,14.77,PREGNANCY,52.42
2010,7.25,22.51,164.35,13.84,12.91,63.02,32.86,88.09,47.0,91.01,41.08,29.86,132.56,6.38,63.29,14.39,8.98,CHILD,2.18
2006,1.13,38.54,119.28,15.82,10.83,66.57,36.31,54.58,66.18,77.89,85.93,7.81,135.4,5.57,43.24,4.2,18.02,FAMILY,19.55
2017,4.38,20.38,169.97,5.66,11.93,73.82,56.67,74.45,79.51,59.25,66.38,10.71,40.43,6.29,32.88,10.4,24.99,POSTPARTUM,22.4
2021,5.81,44.49,145.19,9.61,4.62,86.24,22.74,35.6,49.34,38.92,44.94,39.07,27.2,9.89,71.11,15.47,15.75,FAMILY,23.07
2020,2.12,21.76,158.86,14.41,4.89,77.62,52.87,75.24,61.94,69.26,91.1,37.08,132.42,5.18,69.77,14.95,24.02,OTHER,29.88
2014,3.44,20.43,103.97,7.75,12.45,88.77,28.76,53.22,63.54,59.93,43.09,44.27,70.69,10.55,39.01,13.45,11.63,PREGNANCY,18.07
2020,7.53,20.32,109.4,12.73,7.06,89.14,15.67,62.33,45.58,88.16,84.11,36.32,137.38,17.43,79.82,5.12,27.87,EXPANSION,2.9
2013,5.15,39.81,187.74,9.05,10.56,73.85,50.65,36.07,83.68,78.62,71.63,20.43,36.97,7.02,31.05,5.51,29.27,FAMILY,21.42
2011,4.7,43.49,255.71,13.47,5.6,58.45,64.31,47.0,54.86,77.97,79.5,14.85,55.6,10.56,31.74,6.17,27.7,POSTPARTUM,52.27
2019,2.59,24.37,185.2,12.62,10.13,57.5,15.42,60.79,79.15,62.23,74.11,15.56,80.29,3.15,35.05,10.26,19.98,FAMILY,2.8
2012,0.44,20.82,113.92,7.06,9.37,71.01,16.79,76.77,53.4,64.41,82.33,34.81,125.89,7.45,41.7,7.22,5.36,PREGNANCY,23.66
2010,8.85,8.06,190.76,5.68,5.49,77.07,17.27,71.16,64.09,84.1,70.46,22.75,75.93,4.39,50.21,6.68,19.71,PREGNANCY,29.43
2023,3.99,37.65,138.78,8.28,10.5,64.92,30.29,70.54,73.98,44.93,80.54,2.84,123.56,14.35,44.11,11.39,0.99,CHILD,17.77
2007,1.1,38.84,250.22,11.47,9.37,87.13,24.42,46.53,60.65,69.88,55.1,34.6,63.58,8.69,64.5,6.74,23.35,FAMILY,35.14
2007,7.57,16.16,67.3,9.69,8.94,51.37,41.13,36.09,47.68,78.7,75.51,30.23,129.32,9.73,86.14,2.63,11.53,OTHER,4.13
2013,2.14,36.58,42.79,12.33,10.6,61.16,21.66,57.57,94.8,71.16,80.26,11.87,69.18,5.65,52.5,7.29,6.55,PREGNANCY,48.98
2018,7.46,35.71,91.44,12.04,13.49,78.47,50.11,86.66,91.91,55.81,81.15,23.59,134.25,14.63,89.72,7.07,13.22,PREGNANCY,4.14
2015,1.15,38.94,162.19,8.32,7.25,70.1,21.23,54.57,88.46,54.8,48.26,17.39,35.24,5.92,29.18,6.31,18.47,PREGNANCY,45.79
2009,9.0,29.5,50.38,6.03,5.48,66.06,22.33,61.48,55.79,74.32,76.1,15.7,70.36,9.88,26.25,1.8,7.57,POSTPARTUM,29.44
2011,9.93,13.28,239.86,14.89,7.66,66.81,44.59,66.28,40.64,79.74,71.66,20.09,101.7,10.81,74.62,0.93,9.08,POSTPARTUM,10.96
2015,7.42,5.39,230.03,12.65,5.73,78.75,53.08,68.25,85.83,35.1,77.11,24.13,63.03,4.75,38.41,12.26,15.0,OTHER,43.74
2024,5.59,37.04,223.03,5.92,8.61,79.71,60.8,44.28,57.11,70.15,56.48,35.3,36.42,5.76,58.01,10.62,13.05,EXPANSION,9.26
