health_mental_survey_year,health_mental_behavioral_health_region,health_mental_serious_mental_illness_rate,health_mental_major_depressive_episode_rate,health_mental_anxiety_disorder_rate,health_mental_suicidal_ideation_rate,health_mental_suicide_mortality_rate,health_mental_opioid_overdose_rate,health_mental_alcohol_use_disorder_rate,health_mental_stimulant_use_disorder_rate,health_mental_treatment_gap_pct,health_mental_provider_shortage_area_flag,health_mental_telehealth_visit_share_pct,health_mental_crisis_line_call_volume,health_mental_involuntary_hold_rate,health_mental_naloxone_distribution_rate,health_mental_medication_assisted_treatment_rate,health_mental_recovery_support_participation,health_mental_homelessness_comorbidity_rate,health_mental_justice_involved_rate
2018,BHR000001,8.99,9.1,13.56,2.89,27.44,4.9,4.09,3.24,13.58,0,32.96,34632,10.49,9.04,44.2,HIGH,18.55,20.87
2019,BHR000002,2.86,6.18,19.12,7.55,15.89,55.52,10.43,6.23,30.89,0,31.67,197365,0.75,111.31,52.53,LOW,14.87,15.2
2013,BHR000003,8.83,16.41,8.7,1.94,25.44,15.23,9.13,7.38,47.53,1,61.99,7938,11.21,70.39,70.71,MODERATE,31.37,8.8
2023,BHR000004,2.43,12.65,18.77,7.4,10.09,21.47,3.95,2.42,34.55,0,23.56,184667,17.78,181.21,18.66,MODERATE,26.77,25.73
2025,BHR000005,3.22,14.72,9.84,4.14,17.34,72.76,5.55,0.66,47.93,0,0.86,152983,3.91,177.13,63.79,LOW,19.44,2.69
2014,BHR000006,3.87,11.28,13.75,3.72,16.3,12.38,6.08,8.44,18.33,1,50.14,212462,13.19,240.01,63.74,UNKNOWN,6.11,21.65
2023,BHR000007,2.58,13.4,17.67,2.06,26.26,10.19,11.02,6.64,60.36,0,32.02,59485,4.77,240.78,66.32,HIGH,14.77,2.74
2014,BHR000008,5.89,16.09,9.78,2.34,6.0,43.26,11.07,8.41,62.77,0,48.53,143754,4.89,1.35,25.78,MODERATE,1.32,16.48
2011,BHR000009,5.32,15.73,16.27,6.43,28.25,51.07,3.22,3.78,59.25,1,61.22,86491,1.17,217.66,77.54,MODERATE,29.02,7.53
2016,BHR000010,3.24,16.03,7.89,1.73,28.66,23.02,7.84,4.85,57.88,1,31.21,152616,4.71,149.98,9.47,MODERATE,6.51,4.1
2021,BHR000011,3.07,8.46,7.71,7.1,15.59,44.45,9.53,0.78,14.15,0,1.24,27449,10.73,240.88,72.68,LOW,34.49,1.9
2019,BHR000012,8.29,14.43,16.5,6.71,23.43,8.81,10.39,6.01,57.11,0,47.58,17824,8.59,65.03,58.54,HIGH,6.05,19.89
2024,BHR000013,2.6,6.26,12.6,5.41,16.52,10.85,3.44,1.34,28.67,1,21.59,2311,11.68,168.74,1.52,HIGH,15.19,1.73
2021,BHR000014,7.42,8.43,19.37,7.06,19.09,49.45,2.97,7.78,53.87,1,22.71,92589,6.3,132.56,18.89,LOW,7.41,2.06
2011,BHR000015,6.49,14.28,20.38,6.37,17.7,12.16,6.76,4.29,14.4,1,41.71,108977,15.38,190.82,61.54,HIGH,26.97,8.85
