house_build_permit_issue_date,house_build_permit_jurisdiction_id,house_build_permit_type_code,house_build_project_valuation_usd,house_build_units_authorized_count,house_build_square_footage_authorized,house_build_building_height_feet,house_build_stories_count,house_build_construction_type_code,house_build_energy_code_version,house_build_solar_ready_flag,house_build_accessory_dwelling_flag,house_build_mixed_use_flag,house_build_zoning_district_code,house_build_setback_variance_flag,house_build_impact_fee_usd,house_build_inspection_pass_rate_pct,house_build_average_permit_cycle_days,house_build_contractor_license_id,house_build_stop_work_order_flag
2016-01-01,JUR0000001,ADDITION,7060640.38,331,149246,50.2,62,MIXED,IECC_2009,1,0,0,RM,0,21989,93.04,151,LIC00000001,0
2016-01-02,JUR0000002,ADDITION,32129837.29,98,1243424,228.9,22,MIXED,IECC_2018,1,0,0,R3,0,172326,77.74,114,LIC00000002,0
2016-01-03,JUR0000003,DEMOLITION,29543470.51,389,349167,61.1,12,MODULAR,LOCAL,1,1,0,MU,0,188053,94.66,180,LIC00000003,0
2016-01-04,JUR0000004,DEMOLITION,8993179.79,253,456801,50.5,84,CONCRETE,IECC_2018,0,0,0,R1,0,8252,92.28,42,LIC00000004,0
2016-01-05,JUR0000005,NEW_COMM,25665120.39,372,1361078,371.4,80,WOOD,IECC_2012,0,0,0,PUD,0,9330,69.53,59,LIC00000005,1
2016-01-06,JUR0000006,ALTERATION,10281605.25,332,250489,19.5,17,MASONRY,LOCAL,0,0,0,I1,1,19308,80.67,64,LIC00000006,0
2016-01-07,JUR0000007,MEP,29823010.2,260,1056970,326.8,33,WOOD,IECC_2009,0,0,0,R3,0,11102,83.25,113,LIC00000007,0
2016-01-08,JUR0000008,DEMOLITION,25948285.34,298,1908263,283.5,83,STEEL,IECC_2015,0,0,0,OVERLAY,0,247789,96.78,130,LIC00000008,0
2016-01-09,JUR0000009,DEMOLITION,44162564.43,223,357812,19.7,58,MIXED,IECC_2012,1,0,0,MU,1,119220,58.58,208,LIC00000009,0
2016-01-10,JUR0000010,ADDITION,68840644.23,352,1295419,242.7,67,MODULAR,LOCAL,0,0,1,R3,0,6000,71.52,137,LIC00000010,0
