house_change_analysis_period_start,house_change_analysis_period_end,house_change_tract_geoid,house_change_median_rent_change_pct,house_change_median_value_change_pct,house_change_income_change_pct,house_change_education_ba_share_change,house_change_racial_composition_shift_index,house_change_business_turnover_rate,house_change_new_building_permits_rate,house_change_short_term_rental_density,house_change_property_tax_increase_pct,house_change_cost_burden_change_pct,house_change_eviction_rate_change,house_change_foreclosure_rate_change,house_change_transit_access_change_score,house_change_amenity_openings_count,house_change_anti_displacement_policy_flag,house_change_vulnerability_score,house_change_gentrification_stage_code
2012-01-01,2012-11-30,01002000001,31.38,48.21,14.96,-5.27,0.6183,23.56,25.83,15.31,3.76,-8.68,-2.992,3.525,11.15,103,0,0.4417,EARLY
2012-02-01,2012-12-31,01003000002,-10.1,64.17,8.99,15.47,0.0597,37.25,11.02,8.57,22.39,10.47,-2.182,2.123,14.49,60,0,0.6769,UNCERTAIN
2012-03-01,2013-01-31,01004000003,26.02,5.47,5.21,-8.82,0.0151,43.37,16.13,8.6,21.73,-5.63,-4.367,2.815,2.33,56,1,0.6895,LATE
2012-04-01,2013-02-28,01005000004,18.9,-0.34,-4.74,6.02,0.4129,32.06,22.48,3.41,36.67,9.12,-0.458,-0.231,-8.46,115,0,0.7698,MID
2012-05-01,2013-03-31,01006000005,14.93,51.64,-9.38,-0.76,0.4004,9.05,29.01,3.97,27.61,9.4,-4.607,4.412,-6.57,25,0,0.5792,MID
2012-06-01,2013-04-30,01007000006,23.17,66.0,-5.74,-4.43,0.8518,12.02,5.61,5.23,11.31,-3.66,-5.823,-2.541,-1.88,5,1,0.8044,LATE
2012-07-01,2013-05-31,01008000007,9.86,-3.93,33.97,-9.07,0.0192,7.92,32.48,17.53,9.33,-9.22,1.037,-2.691,14.64,76,1,0.3339,DECLINING
2012-08-01,2013-06-30,01009000008,-0.87,65.24,20.09,11.11,0.6887,20.89,13.25,17.46,2.59,-1.23,-3.966,-1.148,0.79,7,0,0.7399,DECLINING
2012-09-01,2013-07-31,01010000009,29.82,-18.12,26.28,9.9,0.4405,40.67,17.1,17.78,29.06,-4.14,3.83,1.644,11.63,66,0,0.0269,LATE
2012-10-01,2013-08-31,01011000010,8.08,51.81,11.94,15.25,0.6003,18.16,7.23,4.0,11.69,9.67,-3.456,4.887,-13.43,25,0,0.2467,MID
2012-11-01,2013-09-30,01012000011,7.5,38.8,22.62,22.98,0.2516,15.98,27.46,12.22,20.9,11.46,-0.788,3.558,-13.9,20,0,0.5106,LATE
2012-12-01,2013-10-31,01013000012,46.73,16.12,16.79,1.52,0.5469,34.01,8.88,7.16,35.52,2.25,-5.188,-1.925,2.07,57,1,0.8231,MID
2013-01-01,2013-11-30,01014000013,22.75,1.93,27.64,24.24,0.9073,3.44,20.5,2.65,12.16,-3.34,-0.244,0.15,11.15,71,0,0.7174,DECLINING
2013-02-01,2013-12-31,01015000014,42.55,-12.06,37.26,20.34,0.1138,8.95,11.06,1.23,-3.51,-1.09,-2.056,-2.87,-0.89,100,1,0.506,STABLE
2013-03-01,2014-01-31,01016000015,6.88,-12.19,12.12,20.9,0.1061,16.3,25.3,14.03,28.45,-5.67,-4.15,1.486,-9.04,61,0,0.0476,DECLINING
2013-04-01,2014-02-28,01017000016,-4.61,77.92,31.33,-10.94,0.3744,33.94,9.59,5.06,5.37,8.12,0.842,-0.875,0.49,21,1,0.2577,STABLE
2013-05-01,2014-03-31,01018000017,-9.14,14.93,26.95,-2.08,0.4573,20.45,19.89,12.4,32.77,15.58,-3.533,-0.315,11.35,32,0,0.0519,MID
2013-06-01,2014-04-30,01019000018,49.24,71.09,-17.45,20.76,0.2994,35.16,5.41,7.19,17.14,5.62,-3.323,3.772,-1.45,112,0,0.4307,UNCERTAIN
2013-07-01,2014-05-31,01020000019,6.37,19.02,17.26,5.61,0.0674,15.73,15.78,12.0,11.53,-6.96,-3.723,2.52,-11.34,57,1,0.4687,STABLE
2013-08-01,2014-06-30,01021000020,20.13,61.13,39.1,24.97,0.5833,22.97,1.9,14.92,25.96,7.99,0.52,-1.376,-5.97,20,1,0.1133,DECLINING
2013-09-01,2014-07-31,01022000021,26.28,16.27,28.09,-1.03,0.1519,32.12,17.47,11.2,13.76,16.69,-4.55,2.23,-12.78,88,1,0.0779,MID
2013-10-01,2014-08-31,01023000022,17.53,59.71,23.94,13.71,0.5772,20.48,17.2,15.33,8.05,5.89,-2.194,-3.459,-8.97,21,1,0.9667,LATE
2013-11-01,2014-09-30,01024000023,-12.54,14.73,17.57,1.46,0.4829,23.54,26.06,16.3,34.82,9.31,0.051,-0.991,-7.18,41,0,0.6589,LATE
2013-12-01,2014-10-31,01025000024,-20.03,73.14,6.96,-4.22,0.0859,40.47,22.97,0.11,40.21,-6.1,0.757,-3.066,-14.91,41,0,0.3274,DECLINING
2014-01-01,2014-11-30,01026000025,34.73,62.71,38.55,-5.83,0.7629,28.56,24.66,3.88,19.6,6.17,-2.762,-2.683,5.37,1,1,0.3054,MID
2014-02-01,2014-12-31,01027000026,33.1,-19.82,-11.89,-7.07,0.989,34.05,28.61,3.97,37.89,8.62,-5.037,2.392,-2.15,83,1,0.4499,STABLE
2014-03-01,2015-01-31,01028000027,-3.5,-7.27,-1.22,22.24,0.6405,9.43,5.83,4.25,-2.98,2.5,1.915,-2.868,-5.24,0,1,0.2489,MID
2014-04-01,2015-02-28,01029000028,49.38,49.41,34.45,4.96,0.8571,20.56,3.11,0.54,42.78,-0.61,5.889,1.418,-4.61,91,0,0.6438,EARLY
2014-05-01,2015-03-31,01030000029,2.38,36.07,26.1,12.96,0.5015,33.62,5.39,7.34,-4.79,17.6,-0.209,0.885,11.72,100,1,0.5101,UNCERTAIN
2014-06-01,2015-04-30,01031000030,41.04,54.98,18.07,-1.46,0.3913,39.18,16.6,11.06,25.59,5.93,2.339,1.464,-4.45,31,1,0.7523,STABLE
2014-07-01,2015-05-31,01032000031,45.22,30.76,-1.14,8.21,0.1648,44.82,13.09,13.35,44.58,7.11,4.377,-2.896,0.34,42,1,0.7287,MID
2014-08-01,2015-06-30,01033000032,-10.07,2.81,30.36,-8.89,0.2985,19.15,26.1,13.47,18.6,10.72,1.219,3.695,9.64,20,1,0.7877,LATE
2014-09-01,2015-07-31,01034000033,-23.52,65.09,-14.88,0.36,0.1437,35.33,4.66,13.72,29.99,15.76,-3.994,2.54,2.7,73,0,0.3253,STABLE
2014-10-01,2015-08-31,01035000034,22.93,68.08,-10.03,4.46,0.0813,42.66,5.35,11.74,9.26,-7.48,0.805,-1.33,3.31,107,0,0.0291,EARLY
2014-11-01,2015-09-30,01036000035,-11.3,-11.02,8.28,24.69,0.7855,10.24,7.09,6.71,-2.54,8.38,4.542,2.164,-1.41,83,0,0.8294,EARLY
2014-12-01,2015-10-31,01037000036,-23.79,40.88,-14.89,20.89,0.4795,33.34,34.75,13.73,17.4,1.54,5.014,2.035,14.92,70,1,0.4918,LATE
2015-01-01,2015-11-30,01038000037,53.45,15.98,-5.55,2.99,0.2415,27.72,33.13,8.38,14.58,-7.11,-5.617,-3.046,2.74,103,1,0.5982,LATE
2015-02-01,2015-12-31,01039000038,-17.55,-11.69,39.53,-9.84,0.4167,1.26,5.53,1.35,-0.5,7.47,0.826,1.559,14.4,11,0,0.482,LATE
2015-03-01,2016-01-31,01040000039,39.97,75.14,41.5,3.76,0.8438,11.18,15.91,15.77,-2.64,-7.52,3.597,-2.486,9.86,11,0,0.3366,LATE
2015-04-01,2016-02-29,01041000040,22.07,43.37,44.25,15.0,0.4299,2.78,6.59,10.6,44.44,-9.32,1.579,1.55,-3.57,21,1,0.0051,UNCERTAIN
2015-05-01,2016-03-31,01042000041,43.37,-6.04,12.34,21.08,0.6276,30.57,22.47,12.18,12.29,5.79,4.466,1.099,-10.61,70,1,0.7545,MID
2015-06-01,2016-04-30,01043000042,-16.81,-9.04,-11.65,8.35,0.9946,27.81,27.68,15.36,-3.31,5.71,-3.824,0.975,-3.39,8,0,0.275,STABLE
2015-07-01,2016-05-31,01044000043,7.02,76.57,34.62,13.99,0.4221,26.88,31.14,14.04,11.03,3.98,-5.027,2.467,7.33,77,1,0.6429,EARLY
2015-08-01,2016-06-30,01045000044,48.83,44.34,-12.45,-0.71,0.7893,34.2,8.33,8.9,0.23,5.86,2.477,-3.442,-5.85,43,0,0.5933,UNCERTAIN
2015-09-01,2016-07-31,01046000045,-12.19,43.16,30.49,8.57,0.2527,31.84,2.15,11.01,-2.24,-9.03,4.157,3.84,13.24,63,1,0.0203,DECLINING
2015-10-01,2016-08-31,01047000046,0.4,-4.9,12.19,11.18,0.9435,37.45,16.14,7.1,33.93,-3.33,3.202,-0.396,-1.36,28,0,0.4553,DECLINING
2015-11-01,2016-09-30,01048000047,54.41,20.66,-0.22,19.27,0.0047,10.9,25.78,6.66,3.1,10.07,-0.524,1.078,5.79,34,0,0.3529,MID
2015-12-01,2016-10-31,01049000048,-22.53,36.02,-16.81,15.21,0.4282,4.44,7.0,8.79,44.81,8.76,4.431,0.462,-12.09,67,0,0.6471,LATE
2016-01-01,2016-11-30,01050000049,18.98,5.13,-17.49,17.56,0.7468,17.43,30.45,8.88,33.95,14.03,4.8,-2.777,4.07,104,0,0.3072,LATE
2016-02-01,2016-12-31,01051000050,41.58,56.77,36.07,10.25,0.7576,15.14,27.9,17.82,41.46,9.02,1.694,-0.483,13.7,60,0,0.3308,LATE
2016-03-01,2017-01-31,01052000051,45.72,68.88,31.08,-0.91,0.6395,22.32,20.65,2.69,29.19,10.91,-0.562,4.721,-6.15,89,0,0.9789,MID
2016-04-01,2017-02-28,01053000052,2.84,77.32,13.27,11.25,0.6408,32.38,25.71,3.02,0.86,3.99,5.002,0.227,13.0,49,0,0.7193,LATE
2016-05-01,2017-03-31,01054000053,25.79,32.37,-12.74,-4.79,0.9288,17.1,13.05,6.49,4.54,4.79,-2.597,3.017,12.1,0,1,0.4454,LATE
2016-06-01,2017-04-30,01055000054,-12.27,-1.42,3.6,17.95,0.7491,26.08,30.64,8.02,34.82,4.0,0.606,-1.038,8.29,71,1,0.7544,LATE
2016-07-01,2017-05-31,01056000055,40.19,35.65,-16.17,12.98,0.5179,35.38,18.91,2.03,11.43,10.46,3.943,-3.433,12.96,23,1,0.4331,EARLY
2016-08-01,2017-06-30,01057000056,24.87,51.34,33.07,9.3,0.0926,25.3,11.3,11.8,12.29,13.24,-2.04,4.506,7.82,54,0,0.0362,EARLY
2016-09-01,2017-07-31,01058000057,-17.7,44.04,17.99,15.88,0.5807,40.75,33.64,12.37,16.88,3.36,3.904,3.169,-6.24,15,0,0.51,DECLINING
2016-10-01,2017-08-31,01059000058,15.06,74.54,14.08,-1.65,0.728,3.96,34.33,9.5,36.83,14.84,3.659,0.725,0.95,100,0,0.7988,DECLINING
2016-11-01,2017-09-30,01060000059,-0.44,24.71,33.99,8.94,0.5616,20.56,4.14,5.67,26.62,16.24,-1.014,2.878,-11.84,109,0,0.1964,MID
2016-12-01,2017-10-31,01061000060,6.87,3.54,-10.93,1.84,0.5604,2.72,12.49,13.2,23.35,-8.72,-1.136,3.301,0.89,70,0,0.0631,UNCERTAIN
2017-01-01,2017-11-30,01062000061,-5.83,29.2,24.85,0.99,0.3351,40.61,14.63,0.52,16.72,16.11,1.326,0.216,-14.48,28,1,0.1873,EARLY
2017-02-01,2017-12-31,01063000062,0.91,14.9,4.65,8.46,0.7471,42.24,34.63,0.24,19.16,1.24,4.152,0.619,6.94,31,0,0.1126,EARLY
2017-03-01,2018-01-31,01064000063,31.3,20.68,16.02,-11.21,0.2723,3.39,31.86,13.96,42.77,-2.14,-4.095,0.391,10.86,102,0,0.2064,LATE
2017-04-01,2018-02-28,01065000064,-9.26,10.49,-7.83,4.04,0.7015,4.42,7.46,1.68,23.23,10.71,2.839,1.564,-12.08,113,0,0.7257,STABLE
2017-05-01,2018-03-31,01066000065,47.91,25.3,25.17,20.57,0.1625,23.97,27.18,8.79,41.37,-0.34,-0.013,-3.873,9.38,8,0,0.6104,UNCERTAIN
2017-06-01,2018-04-30,01067000066,54.56,28.96,40.01,-2.55,0.21,2.97,0.32,11.74,8.15,5.23,-5.878,-1.42,13.15,52,0,0.8,EARLY
2017-07-01,2018-05-31,01068000067,-18.31,52.85,-12.25,10.04,0.3257,29.9,16.57,8.08,38.03,-7.35,-5.063,2.496,-3.32,51,0,0.8943,MID
2017-08-01,2018-06-30,01069000068,-24.34,6.49,10.34,-5.1,0.9745,24.72,28.75,13.94,30.11,-8.67,4.919,0.544,-11.47,70,0,0.2605,MID
2017-09-01,2018-07-31,01070000069,-2.82,5.91,13.08,3.12,0.6692,14.0,4.46,3.39,-0.67,-0.96,-2.363,3.532,8.45,33,0,0.1135,LATE
2017-10-01,2018-08-31,01071000070,-6.75,-7.5,29.34,20.34,0.0218,38.38,19.99,8.47,34.34,-0.22,5.245,4.888,4.89,58,0,0.9813,EARLY
2017-11-01,2018-09-30,01072000071,-17.68,17.76,4.28,17.06,0.3543,4.3,5.62,9.19,12.62,6.72,-0.847,1.209,-2.77,55,1,0.2057,MID
2017-12-01,2018-10-31,01073000072,42.19,9.08,43.93,22.46,0.1707,27.12,9.33,1.57,-0.54,-4.48,-4.325,4.697,12.03,38,0,0.7355,STABLE
2018-01-01,2018-11-30,01074000073,-21.63,65.76,2.41,20.63,0.0626,6.78,22.78,15.03,2.63,4.35,1.255,1.718,14.05,44,1,0.6675,MID
2018-02-01,2018-12-31,01075000074,44.38,9.36,32.5,4.92,0.6343,16.63,8.38,5.4,33.28,-0.72,-4.372,3.885,11.97,12,0,0.4442,MID
2018-03-01,2019-01-31,01076000075,14.37,35.03,15.87,15.86,0.8496,9.28,34.56,16.04,10.69,4.96,1.852,-3.972,13.27,107,0,0.4882,STABLE
2018-04-01,2019-02-28,01077000076,46.4,7.21,-14.44,4.94,0.9324,6.08,6.91,15.97,13.59,0.35,-5.136,-2.113,-7.16,11,0,0.0301,DECLINING
2018-05-01,2019-03-31,01078000077,20.07,22.39,12.28,4.91,0.9845,28.29,1.95,10.43,16.42,13.82,-2.867,1.714,-11.51,81,0,0.5518,LATE
2018-06-01,2019-04-30,01079000078,49.92,10.66,13.03,12.97,0.7274,24.13,15.47,8.15,9.57,-5.72,-4.97,2.767,12.62,3,1,0.4345,STABLE
2018-07-01,2019-05-31,01080000079,22.96,5.24,-17.65,19.46,0.6116,0.81,27.08,16.21,5.15,0.29,2.888,3.09,-14.29,47,1,0.8482,UNCERTAIN
2018-08-01,2019-06-30,01081000080,-19.23,2.57,36.21,10.3,0.1049,24.11,29.66,8.02,6.38,10.16,2.137,0.053,9.71,100,0,0.9172,LATE
2018-09-01,2019-07-31,01082000081,6.15,20.44,29.3,6.64,0.9354,3.22,34.81,11.7,-4.13,12.38,-2.68,4.577,0.08,19,0,0.5832,LATE
2018-10-01,2019-08-31,01083000082,23.0,0.88,-8.03,15.54,0.2046,38.08,5.83,10.58,1.78,-2.25,-4.191,-3.21,6.19,71,0,0.5884,EARLY
2018-11-01,2019-09-30,01084000083,0.76,65.07,34.49,-11.38,0.1721,13.92,33.49,7.87,19.43,5.02,-5.881,1.196,0.67,84,0,0.4822,EARLY
2018-12-01,2019-10-31,01085000084,-10.23,42.23,30.3,-5.48,0.2058,32.62,5.28,9.01,33.43,3.41,-1.433,2.098,-4.0,29,0,0.4343,MID
2019-01-01,2019-11-30,01086000085,14.48,57.25,13.67,13.66,0.554,18.68,34.7,1.61,-3.82,-1.15,-4.327,-2.557,-3.86,10,1,0.1071,MID
2019-02-01,2019-12-31,01087000086,-16.51,27.28,28.3,-10.99,0.3747,25.09,11.99,16.14,2.0,-2.68,5.996,2.833,6.92,43,0,0.3772,UNCERTAIN
2019-03-01,2020-01-31,01088000087,-12.63,27.08,32.94,-4.91,0.0224,21.26,17.55,1.94,16.06,3.55,4.02,1.147,0.42,67,1,0.6273,MID
2019-04-01,2020-02-29,01089000088,39.05,-8.02,-11.81,3.41,0.9731,18.21,6.0,2.71,26.15,14.23,3.755,-1.034,-9.49,98,0,0.9016,LATE
2019-05-01,2020-03-31,01090000089,-24.34,13.67,8.38,-6.38,0.0845,25.9,10.17,11.68,-1.86,-4.88,-4.697,2.162,-7.51,101,0,0.7588,EARLY
2019-06-01,2020-04-30,01091000090,35.83,13.05,9.17,9.8,0.3609,20.82,32.08,15.65,-2.36,-5.41,-3.071,-3.288,-0.26,84,0,0.1874,EARLY
2019-07-01,2020-05-31,01092000091,-18.52,28.47,25.64,-8.01,0.6726,28.58,15.98,17.89,27.85,17.22,2.039,-0.408,3.36,73,1,0.9777,STABLE
2019-08-01,2020-06-30,01093000092,-10.81,5.78,-17.5,-10.07,0.8724,17.84,14.76,3.69,31.2,-7.0,-4.671,-2.565,13.24,40,0,0.3527,LATE
2019-09-01,2020-07-31,01094000093,14.46,-16.24,40.35,1.64,0.7138,16.19,3.89,4.93,14.74,16.32,-1.891,1.091,-1.29,39,1,0.2395,UNCERTAIN
2019-10-01,2020-08-31,01095000094,26.72,53.52,41.71,0.09,0.6012,34.8,16.27,9.42,22.69,13.91,-5.126,-1.587,0.59,79,1,0.875,LATE
2019-11-01,2020-09-30,01096000095,-13.73,2.43,8.89,12.7,0.212,14.17,34.76,11.1,-0.34,14.48,2.551,3.067,2.92,24,0,0.3879,MID
2019-12-01,2020-10-31,01097000096,39.64,18.36,24.94,21.47,0.03,24.26,0.22,0.7,11.34,3.09,4.749,4.858,11.36,117,0,0.0044,STABLE
2020-01-01,2020-11-30,01098000097,-8.96,-8.24,38.35,14.54,0.5452,36.39,9.79,16.75,41.08,1.92,-1.354,-2.284,-7.98,61,1,0.9194,EARLY
2020-02-01,2020-12-31,01099000098,38.19,32.91,17.37,-5.75,0.9686,14.31,21.43,3.83,21.6,16.82,4.225,-2.497,-8.91,77,1,0.3569,MID
2020-03-01,2021-01-31,01100000099,32.02,77.34,40.77,-3.01,0.2764,17.73,8.91,7.51,44.41,6.16,0.501,0.347,1.79,52,0,0.9597,DECLINING
2020-04-01,2021-02-28,01101000100,19.51,22.97,11.15,21.41,0.7221,21.99,15.94,6.51,18.0,17.36,0.559,-3.304,5.72,50,1,0.1759,MID
2020-05-01,2021-03-31,01102000101,4.81,-1.86,29.48,1.4,0.8065,24.33,16.38,15.52,25.15,-8.4,-0.367,-1.415,-10.08,53,1,0.9449,MID
2020-06-01,2021-04-30,01103000102,-24.37,12.64,30.99,11.19,0.1537,43.24,29.41,7.73,12.5,4.26,-2.804,-3.707,7.79,61,0,0.908,UNCERTAIN
2020-07-01,2021-05-31,01104000103,8.93,56.25,19.59,16.72,0.218,16.65,11.08,6.43,-4.1,-8.96,1.922,4.254,-12.01,34,0,0.7313,MID
2020-08-01,2021-06-30,01105000104,31.89,47.52,28.5,15.45,0.7016,19.94,18.51,2.57,15.31,-6.09,-5.333,1.899,1.04,42,0,0.6976,EARLY
2020-09-01,2021-07-31,01106000105,-6.68,-7.07,3.75,5.25,0.5071,43.84,13.51,5.26,32.26,-2.97,-2.34,4.533,-7.63,87,0,0.8088,UNCERTAIN
2020-10-01,2021-08-31,01107000106,10.24,50.1,-4.83,4.91,0.7335,44.98,18.58,11.09,38.14,4.38,3.847,-0.823,8.5,15,1,0.028,EARLY
2020-11-01,2021-09-30,01108000107,-7.2,32.9,33.79,5.03,0.7859,1.22,25.86,9.32,20.44,-4.36,2.366,2.362,8.91,89,1,0.3086,MID
2020-12-01,2021-10-31,01109000108,24.85,8.15,-12.0,23.16,0.8024,44.76,15.05,14.2,36.68,6.67,3.527,1.118,12.94,45,1,0.2926,LATE
2021-01-01,2021-11-30,01110000109,-5.41,34.73,27.72,16.18,0.8486,43.67,19.3,16.9,10.49,16.11,-5.915,2.857,12.75,69,0,0.1728,EARLY
2021-02-01,2021-12-31,01111000110,-5.53,35.99,33.66,19.09,0.5728,42.51,34.74,15.64,0.29,14.46,2.041,0.647,-5.06,7,1,0.5925,MID
2021-03-01,2022-01-31,01112000111,-9.94,74.27,18.68,6.52,0.5008,37.11,32.02,3.92,29.86,13.71,-3.076,-1.12,-12.31,84,0,0.2885,DECLINING
2021-04-01,2022-02-28,01113000112,18.45,59.68,-5.15,0.3,0.3907,34.26,2.79,1.29,30.15,2.81,2.945,-1.158,1.75,31,0,0.2741,UNCERTAIN
2021-05-01,2022-03-31,01114000113,-7.27,71.86,24.93,3.61,0.1668,21.29,3.28,0.24,39.79,-5.58,-0.839,3.902,-5.36,85,1,0.5023,DECLINING
2021-06-01,2022-04-30,01115000114,-1.5,-16.0,1.5,6.98,0.3941,8.0,24.49,0.69,10.99,5.81,4.194,-1.673,11.02,61,0,0.3321,STABLE
2021-07-01,2022-05-31,01116000115,29.45,44.21,5.09,23.85,0.1662,38.76,17.38,5.47,26.23,-8.02,-4.596,-3.059,-3.74,67,0,0.3179,STABLE
