house_insecure_point_in_time_date,house_insecure_service_region_id,house_insecure_unsheltered_count,house_insecure_sheltered_count,house_insecure_family_households_count,house_insecure_youth_count,house_insecure_veteran_count,house_insecure_chronic_homeless_count,house_insecure_length_of_stay_median_days,house_insecure_returns_to_homelessness_rate,house_insecure_hm_is_system_coverage_pct,house_insecure_encampment_clearance_count,house_insecure_outreach_contacts_count,house_insecure_bed_utilization_rate,house_insecure_housing_placement_rate,house_insecure_rrh_program_enrollments,house_insecure_psh_program_enrollments,house_insecure_eviction_prevention_assistance,house_insecure_street_medicine_visits,house_insecure_barrier_assessment_score
2010-01-25,SR000001,4967,8065,3480,238,1199,977,397,19.91,64.38,138,11788,31.22,56.1,4903,5727,21175,4075,0.1085
2010-02-01,SR000002,4249,13736,3405,1765,137,2619,265,4.23,78.87,141,10182,95.58,55.75,3482,3147,5817,9043,0.4281
2010-02-08,SR000003,4798,5121,4055,932,256,1455,365,14.6,97.25,109,13338,59.1,30.96,98,765,14467,10639,0.4743
2010-02-15,SR000004,2182,10832,354,836,344,2580,234,32.88,62.69,236,14477,68.63,19.16,3321,1743,1457,2562,0.2841
2010-02-22,SR000005,5324,9597,1125,1112,949,2113,191,23.61,70.74,116,15786,44.73,52.87,901,960,8472,2511,0.8068
2010-03-01,SR000006,1785,10773,128,1041,425,47,135,7.94,48.0,243,8030,44.88,52.39,3245,2847,18069,5056,0.2203
2010-03-08,SR000007,1165,428,2863,2119,2,392,325,13.37,79.82,234,14566,53.18,49.77,4123,671,22225,1712,0.947
2010-03-15,SR000008,3915,10641,2826,1872,608,1532,249,12.96,72.37,42,11416,65.43,6.84,2520,6593,22515,4552,0.5795
2010-03-22,SR000009,5887,15799,1187,1910,443,1125,226,20.08,64.53,185,6595,77.23,35.39,4506,50,7358,10270,0.9447
2010-03-29,SR000010,1390,7541,3219,1687,237,816,216,4.03,88.52,231,5350,34.86,32.59,1091,6791,8752,866,0.9532
2010-04-05,SR000011,1157,4931,3275,1242,1274,1699,397,18.99,76.95,87,11115,80.38,55.64,944,208,14480,1364,0.0084
2010-04-12,SR000012,6174,14404,2139,794,187,2717,212,19.72,48.88,197,875,69.43,50.82,2696,5439,10925,2627,0.0151
2010-04-19,SR000013,1208,13203,1836,1197,68,276,15,25.62,93.8,130,11598,45.14,29.04,1183,4326,6909,2256,0.5842
2010-04-26,SR000014,1848,10695,1923,1223,391,1488,378,10.79,72.3,35,11246,79.58,64.82,3168,6234,3227,8420,0.2339
2010-05-03,SR000015,2412,16305,1304,1213,1004,847,378,9.89,77.4,240,10210,49.8,24.57,754,506,22377,5294,0.9619
2010-05-10,SR000016,374,830,1829,1544,1165,779,326,26.02,73.42,64,11407,78.33,7.5,1057,6945,2571,1662,0.206
2010-05-17,SR000017,6142,16034,4173,928,370,969,164,0.23,82.44,193,8032,46.07,21.78,3922,597,7474,4585,0.6621
2010-05-24,SR000018,5960,9032,914,1650,1023,2136,395,27.44,94.38,224,2264,85.14,58.23,1691,7065,6704,4169,0.063
2010-05-31,SR000019,3809,14164,992,1918,186,698,48,12.86,84.92,92,10693,34.5,37.74,3238,6550,9109,6133,0.7711
2010-06-07,SR000020,6000,3310,4164,2197,16,1542,50,30.59,45.83,18,12823,72.26,7.06,3816,5507,23491,8482,0.5326
2010-06-14,SR000021,3632,274,1173,1707,1264,2640,333,6.6,56.25,246,11290,69.18,35.56,3808,6558,997,5882,0.9492
2010-06-21,SR000022,3174,4544,1641,2040,899,5,241,12.01,79.51,0,17308,95.64,38.29,1801,5703,20031,553,0.2406
2010-06-28,SR000023,5472,12053,2803,2084,88,2634,407,32.95,99.44,49,7382,75.41,7.9,3431,5720,8072,10699,0.4607
2010-07-05,SR000024,722,14347,2667,245,1186,835,75,17.74,86.28,106,4752,80.63,62.43,1907,2278,3636,372,0.1643
2010-07-12,SR000025,6151,3747,2279,226,249,2712,129,10.96,54.33,165,3014,47.48,52.47,4300,2364,20140,9975,0.7582
2010-07-19,SR000026,2529,5164,1475,562,582,703,287,21.22,53.59,33,10691,76.83,34.87,2037,5487,1075,7787,0.6383
2010-07-26,SR000027,5642,8096,2162,857,151,1632,108,18.89,96.2,8,17857,53.44,25.62,2617,2939,3193,3330,0.2648
2010-08-02,SR000028,3526,17621,2626,730,533,1195,167,28.25,51.7,186,14303,35.25,12.66,3450,1770,12300,2741,0.8552
2010-08-09,SR000029,730,11521,4005,1161,929,1517,381,16.1,80.43,27,17081,91.16,35.82,2470,466,19593,2324,0.6149
2010-08-16,SR000030,1835,16981,3959,253,666,1313,3,20.55,86.6,78,17334,39.9,8.22,150,1323,19642,6460,0.9998
2010-08-23,SR000031,6272,8718,2752,502,694,1445,7,5.35,96.75,114,13467,73.23,30.86,4414,4997,23427,5547,0.8515
2010-08-30,SR000032,1367,7210,2431,795,1132,2488,251,31.67,91.53,205,13341,35.07,43.48,1189,4701,14866,5106,0.2286
2010-09-06,SR000033,136,9725,3629,678,491,918,368,28.05,90.54,179,14510,32.09,41.97,1297,7107,5860,8474,0.6534
2010-09-13,SR000034,3778,11474,1764,979,547,1818,218,29.13,91.43,100,1465,82.9,20.1,2947,2789,3683,1505,0.4884
2010-09-20,SR000035,5362,9401,61,464,1105,1984,391,17.4,46.42,109,1157,68.96,33.48,592,6440,22057,6266,0.9679
2010-09-27,SR000036,4009,16367,3686,1254,911,2797,206,34.53,53.05,230,562,67.11,42.71,30,1675,5796,3474,0.9449
2010-10-04,SR000037,5814,15351,1227,2123,968,201,92,26.32,94.18,180,5441,73.21,29.38,4873,3646,3725,4572,0.4582
2010-10-11,SR000038,6039,6345,1483,423,322,2574,296,20.6,58.14,211,15200,54.45,33.37,4924,6399,20564,5262,0.9333
2010-10-18,SR000039,6420,4811,1531,1254,450,982,345,4.45,86.02,56,6002,93.22,54.62,1115,7018,23404,7413,0.0987
2010-10-25,SR000040,6199,2605,3445,1406,698,2509,163,18.71,81.61,97,4397,58.05,10.33,1390,4345,15308,5138,0.1445
2010-11-01,SR000041,218,6833,657,1114,131,1952,24,31.18,54.88,7,8705,49.7,10.38,4621,264,7641,8940,0.3587
2010-11-08,SR000042,958,16802,3167,1697,917,2233,412,19.31,74.69,39,12036,85.21,47.38,5106,5338,15650,2281,0.9715
2010-11-15,SR000043,3567,10330,1062,713,378,2237,321,23.58,96.57,114,2732,52.04,47.19,212,6409,7417,6819,0.6534
2010-11-22,SR000044,776,6028,1644,734,510,502,205,2.66,82.78,198,534,32.16,33.3,1349,5856,23727,2727,0.5835
2010-11-29,SR000045,762,7185,949,108,146,1118,255,24.42,74.58,5,6499,57.61,5.59,417,424,1047,422,0.011
2010-12-06,SR000046,6008,3295,3125,931,878,2702,71,27.52,87.37,134,10357,96.86,31.21,638,1412,23013,9966,0.3773
