house_rent_rent_month,house_rent_building_id_hash,house_rent_unit_bedroom_count,house_rent_asking_rent_usd,house_rent_effective_rent_usd,house_rent_rent_concession_weeks,house_rent_vacancy_rate_building,house_rent_lease_term_months,house_rent_tenant_income_requirement,house_rent_rent_to_income_ratio,house_rent_utility_included_flag,house_rent_pet_fee_usd,house_rent_application_fee_usd,house_rent_security_deposit_usd,house_rent_eviction_filing_rate,house_rent_rent_control_coverage_flag,house_rent_affordability_target_ami,house_rent_subsidy_waitlist_length,house_rent_move_in_incentive_flag,house_rent_renter_turnover_rate
2010-01,BLDG0000000001,1,1657.91,1402.12,4,18.45,12,3.52,0.38,0,149,127,1346,1.49,0,60_AMI,6360,1,66.87
2010-02,BLDG0000000002,3,3672.89,3338.12,7,13.65,6,3.88,0.348,0,654,20,608,8.92,0,30_AMI,825,0,35.73
2010-03,BLDG0000000003,2,1981.44,1917.04,11,4.34,12,3.74,0.258,0,295,18,4737,7.25,0,60_AMI,3353,0,86.16
2010-04,BLDG0000000004,3,1612.06,1430.73,9,7.12,12,4.01,0.345,0,563,66,4971,7.86,0,30_AMI,6557,0,31.05
2010-05,BLDG0000000005,3,3244.61,3210.07,8,5.0,6,3.71,0.249,1,392,72,3360,5.63,0,80_AMI,342,1,67.2
2010-06,BLDG0000000006,2,2292.51,1987.57,3,3.48,12,3.17,0.332,0,524,110,2981,0.77,0,MARKET,1719,0,54.78
2010-07,BLDG0000000007,3,5002.26,4963.96,10,17.01,12,2.64,0.516,0,181,74,1650,2.89,0,MARKET,4980,0,69.71
2010-08,BLDG0000000008,1,3402.6,3318.02,0,7.42,12,2.63,0.204,0,216,99,5782,1.76,0,60_AMI,2803,0,48.39
2010-09,BLDG0000000009,3,1382.9,1172.24,3,3.9,6,2.74,0.388,1,660,95,2980,4.75,1,60_AMI,831,0,73.0
2010-10,BLDG0000000010,3,4833.74,4674.85,10,14.82,12,3.12,0.279,1,648,122,1451,4.46,1,60_AMI,1338,0,13.86
