house_sales_sale_month,house_sales_parcel_id_hash,house_sales_property_type_code,house_sales_sale_price_usd,house_sales_sale_price_per_sqft,house_sales_days_on_market,house_sales_list_to_sale_ratio,house_sales_mortgage_rate_at_sale,house_sales_loan_to_value_pct,house_sales_down_payment_pct,house_sales_buyer_type_code,house_sales_seller_type_code,house_sales_cash_sale_flag,house_sales_new_construction_flag,house_sales_renovation_flag,house_sales_assessed_value_usd,house_sales_taxable_value_usd,house_sales_school_quality_index,house_sales_neighborhood_walkscore,house_sales_recording_document_type
2008-01,PARC0000000001,MULTIFAMILY_2_4,284973,56.84,217,109.6,4.541,53.56,46.44,FIRST_TIME,BANK_REO,0,0,0,211724,195170,9.8,38.3,TRUST_DEED
2008-02,PARC0000000002,MANUFACTURED,245018,72.13,220,98.63,5.829,51.12,48.88,OWNER_OCCUPANT,BUILDER,1,0,1,209121,175775,9.0,4.4,FORECLOSURE_DEED
2008-03,PARC0000000003,MANUFACTURED,105176,24.78,67,86.09,3.322,76.27,23.73,FIRST_TIME,BUILDER,0,0,0,87464,67281,5.0,20.9,WARRANTY_DEED
2008-04,PARC0000000004,SFH,985142,281.55,1,111.96,3.364,65.29,34.71,FIRST_TIME,BANK_REO,0,0,0,897086,796769,3.5,79.6,FORECLOSURE_DEED
2008-05,PARC0000000005,TOWNHOME,396023,213.6,160,104.26,7.953,87.61,12.39,INVESTOR,INDIVIDUAL,1,0,0,307389,245645,4.0,58.4,WARRANTY_DEED
2008-06,PARC0000000006,MULTIFAMILY_2_4,361327,80.33,204,94.81,7.314,65.89,34.11,INSTITUTIONAL,INVESTOR,0,0,0,317670,278004,2.3,55.9,SHERIFF_DEED
2008-07,PARC0000000007,MANUFACTURED,242562,150.29,5,109.77,6.074,78.99,21.01,FIRST_TIME,ESTATE,1,0,0,175349,156957,2.8,22.8,WARRANTY_DEED
2008-08,PARC0000000008,SFH,690995,868.08,112,110.84,6.009,70.1,29.9,FIRST_TIME,INDIVIDUAL,1,0,0,719043,687399,9.9,32.3,QUITCLAIM
2008-09,PARC0000000009,SFH,482194,307.72,215,105.05,8.097,83.54,16.46,INVESTOR,INDIVIDUAL,0,0,0,474989,411608,8.7,99.0,SHERIFF_DEED
2008-10,PARC0000000010,SFH,263767,196.11,75,90.05,7.46,51.66,48.34,RELOCATING,INDIVIDUAL,0,0,0,226422,224011,3.7,10.3,SHERIFF_DEED
2008-11,PARC0000000011,MULTIFAMILY_2_4,1394144,505.67,66,99.26,6.309,61.67,38.33,FIRST_TIME,BUILDER,0,0,0,1303098,1043907,4.9,22.8,WARRANTY_DEED
2008-12,PARC0000000012,TOWNHOME,669268,260.42,151,108.12,6.788,65.46,34.54,FIRST_TIME,BANK_REO,0,0,1,695137,593769,7.8,16.0,QUITCLAIM
2009-01,PARC0000000013,CONDO,400947,177.57,49,101.85,5.442,73.45,26.55,INVESTOR,INVESTOR,0,0,0,299552,276951,3.6,23.8,TRUST_DEED
2009-02,PARC0000000014,SFH,214623,107.15,116,85.42,3.381,51.81,48.19,INSTITUTIONAL,ESTATE,1,0,0,183508,138842,2.0,10.5,TRUST_DEED
2009-03,PARC0000000015,MANUFACTURED,88888,45.3,147,110.13,7.589,96.61,3.39,INVESTOR,BANK_REO,1,1,0,71053,61000,2.2,95.0,QUITCLAIM
2009-04,PARC0000000016,MULTIFAMILY_5P,282384,59.61,195,91.53,6.934,55.71,44.29,INVESTOR,BANK_REO,0,1,0,211379,176442,5.8,95.2,QUITCLAIM
2009-05,PARC0000000017,CONDO,569234,145.25,186,87.88,3.552,89.05,10.95,OWNER_OCCUPANT,INVESTOR,0,0,0,523203,414499,6.7,93.8,WARRANTY_DEED
2009-06,PARC0000000018,MULTIFAMILY_5P,314301,152.57,26,109.59,3.961,52.37,47.63,INVESTOR,BUILDER,0,0,0,253762,208543,4.4,82.5,TRUST_DEED
