imm_border_encounter_date,imm_border_sector_code,imm_border_processing_facility_id,imm_border_encounter_type_code,imm_border_single_adult_flag,imm_border_family_unit_flag,imm_border_unaccompanied_child_flag,imm_border_country_of_origin_code,imm_border_repeat_encounter_flag,imm_border_prior_removal_flag,imm_border_credible_fear_claim_flag,imm_border_asylum_referral_flag,imm_border_expedited_removal_flag,imm_border_parole_granted_flag,imm_border_detention_length_days,imm_border_alternatives_to_detention_flag,imm_border_court_notice_issued_flag,imm_border_case_outcome_code,imm_border_resource_load_index,imm_border_policy_regime_code
2019-10-01,TUC,FAC0000001,APPREHENSION,0,0,0,IN,1,0,0,0,0,1,117,0,1,REMOVED,0.5163,POL_A
2019-10-02,HFD,FAC0000002,APPREHENSION,0,0,1,TR,1,0,0,0,1,0,127,0,1,RETURNED,0.877901,POL_A
2019-10-03,ELP,FAC0000003,INADMISSIBLE,0,0,0,AF,0,0,0,0,0,0,132,0,1,REMOVED,0.788802,POL_A
2019-10-04,HFD,FAC0000004,APPREHENSION,0,0,1,AF,1,1,0,0,1,0,170,0,0,RETURNED,0.537803,POL_E
2019-10-05,SPO,FAC0000005,APPREHENSION,1,0,0,IN,0,0,1,1,1,0,75,0,0,REMOVED,0.488104,POL_D
2019-10-06,YUM,FAC0000006,APPREHENSION,0,0,1,EC,0,0,1,0,0,0,3,1,0,RETURNED,0.544705,POL_A
2019-10-07,DLR,FAC0000007,INADMISSIBLE,0,0,0,CN,0,0,1,1,0,0,65,0,0,REMOVED,0.512706,POL_F
2019-10-08,ELP,FAC0000008,TURNBACK,0,0,0,EC,1,0,0,0,0,0,57,0,1,PENDING,0.996307,POL_D
2019-10-09,TUC,FAC0000009,TURNBACK,0,1,0,HN,1,0,1,1,1,0,157,0,0,RETURNED,0.996408,POL_E
2019-10-10,RGV,FAC0000010,APPREHENSION,0,0,0,TR,0,0,0,0,0,0,143,0,1,RELEASED,0.359709,POL_E
2019-10-11,LRT,FAC0000011,APPREHENSION,0,1,0,PE,1,0,1,0,0,0,10,0,1,TRANSFERRED,0.72471,POL_A
2019-10-12,RGV,FAC0000012,APPREHENSION,1,0,0,CU,0,1,0,0,1,1,103,0,0,REMOVED,0.940611,POL_B
2019-10-13,YUM,FAC0000013,APPREHENSION,1,0,1,HT,0,1,1,0,1,1,77,0,0,TRANSFERRED,0.098412,POL_B
2019-10-14,ELP,FAC0000014,APPREHENSION,1,0,1,IN,0,0,0,0,0,1,128,0,1,PENDING,0.600413,POL_F
2019-10-15,YUM,FAC0000015,APPREHENSION,0,0,0,CU,1,1,0,1,1,0,7,1,0,REMOVED,0.676714,POL_C
2019-10-16,ELP,FAC0000016,RESCUE,1,1,0,CN,0,1,1,0,1,0,136,0,1,RETURNED,0.568215,POL_D
2019-10-17,RGV,FAC0000017,INADMISSIBLE,1,0,0,UA,0,0,0,0,1,0,70,1,1,REMOVED,0.338916,POL_A
2019-10-18,TUC,FAC0000018,APPREHENSION,1,0,0,VE,0,0,0,0,1,0,156,0,0,RETURNED,0.013317,POL_F
2019-10-19,BBR,FAC0000019,APPREHENSION,0,1,0,DO,0,0,0,0,1,0,121,1,1,RETURNED,0.403518,POL_D
2019-10-20,HFD,FAC0000020,TRANSFER,0,0,0,VE,0,0,0,0,1,0,58,0,1,RELEASED,0.082319,POL_B
2019-10-21,ELP,FAC0000021,TRANSFER,1,1,0,CM,1,1,1,0,0,0,88,1,0,TRANSFERRED,0.18262,POL_A
2019-10-22,BBR,FAC0000022,APPREHENSION,1,0,0,CU,0,0,0,1,0,0,169,0,0,REMOVED,0.163221,POL_C
2019-10-23,ELP,FAC0000023,APPREHENSION,1,0,0,MX,0,0,0,0,0,0,48,0,0,RELEASED,0.705222,POL_C
2019-10-24,BBR,FAC0000024,TRANSFER,1,0,1,DO,0,0,0,0,0,0,38,0,1,RETURNED,0.257723,POL_E
2019-10-25,TUC,FAC0000025,APPREHENSION,1,0,0,HN,0,0,1,0,0,1,116,1,1,PENDING,0.729224,POL_A
2019-10-26,LRT,FAC0000026,APPREHENSION,0,0,0,SV,0,0,0,0,1,0,6,0,0,PENDING,0.748625,POL_D
2019-10-27,SPO,FAC0000027,INADMISSIBLE,0,0,0,CU,0,0,0,1,0,1,18,1,1,REMOVED,0.838526,POL_C
2019-10-28,LRT,FAC0000028,APPREHENSION,1,0,0,VE,0,1,0,0,0,0,21,0,0,RETURNED,0.966027,POL_B
2019-10-29,SPO,FAC0000029,APPREHENSION,1,0,0,SV,0,0,0,0,0,0,22,0,1,REMOVED,0.301428,POL_E
2019-10-30,HFD,FAC0000030,APPREHENSION,1,1,0,VE,0,0,1,0,0,0,141,0,0,RELEASED,0.815729,POL_C
2019-10-31,DLR,FAC0000031,TURNBACK,0,0,0,AF,0,0,1,0,0,0,39,0,0,TRANSFERRED,0.89333,POL_B
2019-11-01,BBR,FAC0000032,APPREHENSION,0,0,0,AF,1,0,0,1,1,0,19,1,0,RETURNED,0.222331,POL_C
2019-11-02,SPO,FAC0000033,TRANSFER,1,1,0,CN,0,0,0,0,0,0,107,1,1,RELEASED,0.516132,POL_E
2019-11-03,SDG,FAC0000034,APPREHENSION,1,0,1,GT,1,0,0,0,0,0,58,1,1,REMOVED,0.103033,POL_F
2019-11-04,LRT,FAC0000035,TRANSFER,0,0,0,UA,0,0,1,0,0,0,6,0,1,VOLUNTARY_DEPARTURE,0.132534,POL_F
2019-11-05,LRT,FAC0000036,APPREHENSION,1,0,0,BR,1,0,0,0,1,0,92,0,1,REMOVED,0.371735,POL_C
2019-11-06,YUM,FAC0000037,APPREHENSION,1,0,1,NI,0,0,0,0,1,0,167,0,0,RELEASED,0.803836,POL_B
2019-11-07,DLR,FAC0000038,APPREHENSION,1,0,1,DO,0,0,1,0,0,0,62,1,1,REMOVED,0.777337,POL_A
2019-11-08,DLR,FAC0000039,INADMISSIBLE,1,1,1,TR,0,0,0,0,0,0,14,0,0,REMOVED,0.591238,POL_E
2019-11-09,LRT,FAC0000040,APPREHENSION,0,0,0,RU,1,1,0,0,0,0,144,1,1,ASYLEE_GRANTED,0.389539,POL_A
2019-11-10,LRT,FAC0000041,INADMISSIBLE,0,1,0,SV,0,0,0,0,0,0,164,1,0,TRANSFERRED,0.62664,POL_F
2019-11-11,SPO,FAC0000042,TRANSFER,0,1,0,HN,0,1,0,0,1,0,69,0,0,RELEASED,0.829341,POL_A
2019-11-12,BBR,FAC0000043,INADMISSIBLE,1,0,0,BR,0,0,0,0,1,0,89,1,0,RETURNED,0.071842,POL_F
2019-11-13,ELP,FAC0000044,INADMISSIBLE,0,1,1,MX,0,0,0,0,1,0,21,0,0,RETURNED,0.433043,POL_F
2019-11-14,TUC,FAC0000045,APPREHENSION,1,0,0,HN,0,0,0,0,1,0,27,1,0,RETURNED,0.246744,POL_C
2019-11-15,YUM,FAC0000046,TURNBACK,1,0,0,AF,1,0,1,0,1,0,18,1,1,REMOVED,0.700545,POL_A
2019-11-16,SPO,FAC0000047,APPREHENSION,0,0,1,BR,1,0,1,1,0,0,151,0,1,TRANSFERRED,0.577246,POL_E
