imm_legal_admission_fiscal_year,imm_legal_visa_category_code,imm_legal_country_of_chargeability,imm_legal_consulate_post_code,imm_legal_applications_received,imm_legal_applications_approved,imm_legal_applications_denied,imm_legal_processing_time_days_median,imm_legal_priority_date_backlog_months,imm_legal_adjustment_of_status_flag,imm_legal_principal_applicant_flag,imm_legal_derivative_count,imm_legal_employment_based_indicator,imm_legal_family_based_indicator,imm_legal_humanitarian_indicator,imm_legal_inadmissibility_ground_code,imm_legal_waiver_granted_flag,imm_legal_age_at_admission,imm_legal_intended_state_destination_code,imm_legal_data_extract_date
2024,EB1,ET,MAD,58554,58554,0,134.93,6.24,0,1,2,0,1,0,NONE,0,0,GA,2019-01-01
2011,H2B,GB,MNL,141838,141838,0,181.3401,238.39,0,0,6,1,0,0,NONE,0,79,MN,2019-01-02
2014,CR1,EG,ROM,146164,78956,60541,98.2502,164.36,1,1,6,0,1,0,212A9,0,86,TN,2019-01-03
2025,PAROLE,BR,GZC,217605,122755,65765,36.1903,57.68,0,1,6,0,1,0,NONE,0,57,NY,2019-01-04
2025,EB1,JP,PAR,198702,48766,126464,197.4304,163.19,1,1,2,0,1,0,NONE,0,67,AZ,2019-01-05
2015,PAROLE,DE,HYD,194358,170677,7778,53.2505,16.67,0,0,3,0,1,0,NONE,0,66,IL,2019-01-06
2016,T,PK,HYD,166652,166652,0,221.1106,160.54,0,1,6,0,1,0,NONE,0,7,MI,2019-01-07
2015,EB3,IN,HCM,140108,5231,131691,121.2407,80.78,0,1,2,1,1,0,NONE,0,85,FL,2019-01-08
2018,F1,EG,CDMX,42483,42483,0,192.1308,72.72,0,0,2,0,1,0,NONE,0,12,NC,2019-01-09
2011,ASYLEE,BD,ABJ,47416,26448,0,315.9409,115.84,0,1,4,0,1,0,212A2,0,39,VA,2019-01-10
2022,DV,FR,DEL,90706,90706,0,192.471,193.08,0,1,2,0,0,0,NONE,0,16,NY,2019-01-11
2021,IR1,BR,ABJ,64793,64793,0,148.7911,106.22,1,0,2,0,0,0,212A8,0,4,OH,2019-01-12
2019,F1,CO,BJG,130721,61933,51874,158.7312,60.41,0,0,2,1,0,0,212A2,0,80,MN,2019-01-13
2015,CR1,GB,PAR,65799,65799,0,308.0513,43.25,1,1,0,1,0,1,212A8,0,85,MN,2019-01-14
2010,H2A,BD,HYD,120867,35579,80873,346.5014,201.18,1,1,5,1,1,0,NONE,0,26,WA,2019-01-15
2011,TPS,NG,DEL,193588,14264,144026,309.5715,189.99,0,1,3,1,0,1,NONE,0,38,TX,2019-01-16
2024,B1B2,ET,MNL,96303,39260,50825,242.7916,215.66,1,0,2,1,0,0,NONE,0,20,GA,2019-01-17
2017,EB3,MX,BLR,173934,110787,33058,286.9117,20.39,1,1,6,1,1,0,NONE,0,53,FL,2019-01-18
2014,EB1,AR,MNL,157460,75273,52074,71.6818,137.97,0,0,3,1,0,0,212A9,0,35,TN,2019-01-19
2022,IR1,CN,GDL,165596,159535,0,99.5619,11.49,0,1,6,1,0,0,NONE,0,45,NC,2019-01-20
2017,EB3,VN,PAR,138493,100281,24918,90.072,222.07,0,0,5,0,0,0,NONE,0,50,TX,2019-01-21
2017,EB3,ES,CDMX,162798,162798,0,117.0821,41.52,0,1,2,1,0,0,NONE,1,55,TN,2019-01-22
2021,PAROLE,BD,CHE,146850,146850,0,65.0122,100.06,0,1,5,1,1,0,NONE,0,24,OR,2019-01-23
2015,H1B,IT,BJG,159904,135712,0,353.9223,219.75,0,0,2,0,1,0,212A6,0,48,CA,2019-01-24
2015,H1B,ET,HAN,133982,39225,52405,192.4024,167.85,0,0,6,1,1,0,NONE,0,55,TX,2019-01-25
2018,L1,BR,DEL,418,418,0,229.1925,49.47,0,0,4,1,1,0,212A9,0,52,MN,2019-01-26
2018,T,MX,ABJ,117240,117240,0,325.8426,195.85,0,1,2,1,1,0,212A4,0,7,OH,2019-01-27
2024,IR1,BR,MNL,241323,19787,215854,57.1927,160.77,0,1,0,0,1,0,NONE,0,66,MI,2019-01-28
2018,H2A,IN,HCM,180642,180642,0,329.5428,223.4,1,0,6,0,1,0,NONE,0,69,NC,2019-01-29
