imm_refugee_arrival_month,imm_refugee_resettlement_agency_id,imm_refugee_case_size,imm_refugee_nationality_code,imm_refugee_refugee_category_code,imm_refugee_special_immigrant_visa_flag,imm_refugee_screening_completed_flag,imm_refugee_medical_clearance_flag,imm_refugee_travel_loan_amount_usd,imm_refugee_initial_cash_assistance_usd,imm_refugee_housing_placement_days,imm_refugee_school_enrollment_within_30d,imm_refugee_employment_within_90d,imm_refugee_english_training_enrollment,imm_refugee_healthcare_linkage_within_30d,imm_refugee_trauma_services_referral_flag,imm_refugee_secondary_migration_within_1yr,imm_refugee_public_benefit_uptake_rate,imm_refugee_self_sufficiency_score,imm_refugee_followup_contact_count
2016-01,AGY0000001,3,YE,FAMILY_REUNION,0,1,1,5209.89,1473.99,90,0.5372,0.2037,0.0696,0.4384,0,0,0.127,13.66,5
2016-02,AGY0000002,1,IQ,SIV_REF,0,1,1,390.101,1330.24,53,0.2905,0.0956,0.2516,0.3856,0,0,0.8802,40.62,5
2016-03,AGY0000003,6,BY,P1,0,1,1,4914.962,1801.83,19,0.7785,0.9261,0.2316,0.236,0,0,0.2387,75.93,8
2016-04,AGY0000004,8,SD,P2,0,1,1,3276.883,360.91,45,0.4244,0.5169,0.5026,0.509,0,0,0.3039,8.68,10
2016-05,AGY0000005,2,ET,OTHER,0,1,1,2945.564,1771.38,9,0.8126,0.2235,0.0844,0.1906,0,0,0.7535,11.53,15
2016-06,AGY0000006,3,SO,FAMILY_REUNION,0,0,1,3569.785,916.17,52,0.8362,0.9644,0.3535,0.8857,1,0,0.6769,53.22,17
2016-07,AGY0000007,4,ET,OTHER,0,1,1,1896.816,1459.11,69,0.4647,0.4991,0.9579,0.9084,0,0,0.6735,6.57,11
2016-08,AGY0000008,4,VE,FAMILY_REUNION,0,1,1,1887.947,774.04,12,0.4156,0.1251,0.2329,0.9359,1,1,0.9107,44.6,20
2016-09,AGY0000009,7,IQ,P2,1,1,1,5424.098,106.0,60,0.5234,0.9021,0.0767,0.344,0,1,0.6548,21.34,12
2016-10,AGY0000010,1,IR,USRAP_SPECIAL,0,1,1,1785.419,2215.26,50,0.2883,0.4945,0.4354,0.8223,0,0,0.7501,44.38,16
2016-11,AGY0000011,1,MM,USRAP_SPECIAL,1,1,1,3898.26,418.89,82,0.1476,0.2443,0.9991,0.6019,0,0,0.0341,77.52,13
2016-12,AGY0000012,4,HT,SIV_REF,1,1,1,2476.421,459.53,11,0.8276,0.4733,0.2766,0.6125,0,0,0.4111,55.4,15
2017-01,AGY0000013,3,SY,P1,0,1,1,4053.702,2269.73,79,0.3635,0.5877,0.778,0.9767,0,0,0.0914,2.31,13
2017-02,AGY0000014,3,IR,P1,0,1,1,5755.273,464.53,62,0.6172,0.0438,0.9333,0.1794,0,0,0.2135,35.1,11
2017-03,AGY0000015,7,BY,P1,1,1,1,5640.324,129.83,3,0.2035,0.0727,0.3175,0.9171,0,1,0.2589,70.98,11
2017-04,AGY0000016,8,VE,P2,0,1,1,345.175,1540.68,5,0.3328,0.0077,0.0485,0.8593,0,0,0.8702,40.98,11
2017-05,AGY0000017,6,UA,USRAP_SPECIAL,1,1,1,3047.606,1732.86,78,0.6189,0.2225,0.8438,0.184,0,0,0.869,56.11,4
2017-06,AGY0000018,5,VE,FAMILY_REUNION,0,1,1,5683.607,1698.48,44,0.5682,0.9288,0.7654,0.9093,0,0,0.1017,18.16,8
2017-07,AGY0000019,1,AF,P1,0,1,1,3328.258,2283.61,22,0.5183,0.1036,0.4619,0.3957,1,1,0.6155,61.24,4
2017-08,AGY0000020,5,CD,P2,1,1,1,2321.259,395.79,33,0.4264,0.072,0.8961,0.9462,0,0,0.999,14.69,19
2017-09,AGY0000021,6,SV,FAMILY_REUNION,0,1,0,1347.36,1781.99,28,0.0524,0.1042,0.7101,0.5312,1,0,0.46,31.67,0
2017-10,AGY0000022,5,ER,P1,0,0,1,2738.921,2358.06,89,0.0997,0.4889,0.024,0.8678,0,0,0.4474,35.21,9
2017-11,AGY0000023,6,UA,FAMILY_REUNION,0,1,0,479.132,694.72,44,0.442,0.3648,0.6673,0.7485,0,0,0.9354,25.46,14
2017-12,AGY0000024,4,YE,MEDICAL,0,1,1,5939.483,1681.95,85,0.1241,0.9154,0.7178,0.4192,0,0,0.2158,66.23,15
2018-01,AGY0000025,6,BY,P2,0,1,1,2444.284,2008.1,58,0.8153,0.2787,0.8645,0.7699,1,1,0.2559,90.02,6
2018-02,AGY0000026,5,MM,P1,0,1,1,1576.155,1290.97,54,0.4177,0.2499,0.2837,0.7021,1,0,0.5031,44.75,18
2018-03,AGY0000027,1,VE,P1,1,1,1,2873.296,1634.02,82,0.8791,0.1141,0.5248,0.3365,0,1,0.2686,97.3,11
2018-04,AGY0000028,5,MM,P1,0,0,1,5413.547,200.68,8,0.044,0.1723,0.1216,0.1818,0,0,0.3042,98.66,10
2018-05,AGY0000029,3,SY,P1,0,1,1,4379.028,1743.09,22,0.7876,0.2865,0.9173,0.5074,0,0,0.0558,61.62,3
2018-06,AGY0000030,1,SS,OTHER,0,1,1,3589.389,815.0,45,0.2877,0.3715,0.068,0.9773,1,0,0.8922,3.8,8
2018-07,AGY0000031,8,AF,P3,0,1,1,3897.22,1434.9,74,0.4596,0.0653,0.0207,0.0349,0,0,0.2541,16.8,9
2018-08,AGY0000032,1,YE,USRAP_SPECIAL,0,1,1,2532.071,2398.51,77,0.9324,0.9207,0.7365,0.2039,1,0,0.7694,67.64,11
2018-09,AGY0000033,6,AF,USRAP_SPECIAL,0,1,1,2012.832,49.4,21,0.9759,0.3134,0.8931,0.6956,0,0,0.6068,69.36,13
2018-10,AGY0000034,5,CD,P2,0,1,1,1933.893,1426.33,34,0.5829,0.9173,0.8405,0.3919,0,0,0.2169,40.41,3
2018-11,AGY0000035,7,AF,P1,0,1,1,2547.994,1461.92,19,0.3476,0.318,0.6695,0.3687,1,0,0.0715,77.47,2
2018-12,AGY0000036,1,HT,USRAP_SPECIAL,0,1,1,1910.755,2268.43,11,0.0834,0.9628,0.7124,0.9544,0,0,0.5753,88.06,17
2019-01,AGY0000037,4,UA,USRAP_SPECIAL,0,1,1,1611.886,303.2,12,0.8992,0.4134,0.2834,0.0435,0,0,0.6778,71.68,15
2019-02,AGY0000038,7,SO,OTHER,1,0,0,5159.167,983.93,76,0.9682,0.7377,0.8755,0.6536,0,0,0.902,70.91,3
2019-03,AGY0000039,7,SY,SIV_REF,1,1,1,1716.498,491.31,54,0.5488,0.3832,0.3918,0.0934,0,0,0.3523,39.84,17
2019-04,AGY0000040,1,VE,USRAP_SPECIAL,0,1,1,1295.739,418.0,8,0.194,0.3329,0.4437,0.5644,1,1,0.0968,14.53,8
2019-05,AGY0000041,5,GT,P2,0,1,1,2600.75,1707.4,88,0.0216,0.8478,0.2483,0.3134,0,1,0.4554,86.11,6
2019-06,AGY0000042,1,IQ,P2,0,1,1,1707.121,250.42,68,0.2363,0.9891,0.3654,0.7091,0,0,0.6744,59.69,15
2019-07,AGY0000043,6,IR,FAMILY_REUNION,0,1,1,3656.242,2240.54,44,0.7962,0.1275,0.7539,0.5065,0,0,0.6042,24.27,1
2019-08,AGY0000044,6,UA,P1,0,1,1,4915.033,2391.48,46,0.7942,0.494,0.8924,0.8878,1,0,0.5082,22.0,11
2019-09,AGY0000045,3,AF,MEDICAL,0,1,1,5446.084,2238.73,40,0.4692,0.8488,0.8704,0.2585,1,0,0.1603,68.15,12
2019-10,AGY0000046,3,SO,P1,0,1,0,4285.715,736.2,21,0.6371,0.2992,0.8375,0.9533,0,0,0.2934,23.92,6
2019-11,AGY0000047,8,ET,USRAP_SPECIAL,0,1,1,1166.446,1843.77,80,0.4703,0.7585,0.8255,0.9327,1,0,0.0162,29.65,20
2019-12,AGY0000048,5,HN,P1,1,1,1,2005.077,341.59,37,0.2501,0.3096,0.1028,0.7735,0,0,0.3696,90.7,12
2020-01,AGY0000049,2,HN,MEDICAL,0,1,1,2282.098,1340.46,49,0.8326,0.7617,0.5566,0.7538,0,0,0.0808,44.04,16
2020-02,AGY0000050,3,IR,P2,0,1,1,3082.599,940.36,86,0.1018,0.808,0.0511,0.996,0,0,0.5463,15.37,18
2020-03,AGY0000051,3,HN,FAMILY_REUNION,0,1,1,2361.89,126.68,37,0.7374,0.7664,0.0526,0.7973,0,0,0.3764,59.52,7
2020-04,AGY0000052,6,AF,P3,0,1,1,5669.831,710.88,52,0.8114,0.4367,0.0881,0.038,1,0,0.5319,93.75,14
2020-05,AGY0000053,5,SO,P2,0,1,1,1218.832,648.4,4,0.5604,0.1121,0.4077,0.6596,0,0,0.4109,24.34,6
2020-06,AGY0000054,2,SV,P2,0,1,1,2619.823,1478.45,80,0.7262,0.2532,0.5277,0.0703,0,0,0.0306,57.25,7
2020-07,AGY0000055,7,IR,FAMILY_REUNION,0,0,1,3029.514,77.25,61,0.8651,0.6289,0.1217,0.2422,0,0,0.0437,16.55,7
2020-08,AGY0000056,5,BY,FAMILY_REUNION,0,0,1,1872.745,262.12,32,0.8792,0.4964,0.3507,0.2089,0,0,0.1647,30.07,5
2020-09,AGY0000057,7,SY,P1,0,1,1,5841.396,2054.82,61,0.1888,0.7781,0.0075,0.2641,0,0,0.5548,95.14,11
2020-10,AGY0000058,5,BY,USRAP_SPECIAL,0,1,1,245.317,1439.12,38,0.1277,0.7086,0.5555,0.5069,0,0,0.8859,9.53,8
2020-11,AGY0000059,3,AF,OTHER,0,1,1,762.458,795.42,89,0.3204,0.1486,0.8048,0.9263,0,0,0.728,1.0,18
2020-12,AGY0000060,7,ET,MEDICAL,0,1,1,3686.539,352.47,16,0.8528,0.6852,0.3674,0.0173,1,0,0.4359,89.96,4
2021-01,AGY0000061,1,SY,SIV_REF,0,0,1,1055.56,1968.15,79,0.6367,0.6174,0.8932,0.048,0,0,0.5919,85.11,0
2021-02,AGY0000062,1,ET,P1,0,1,1,5513.071,819.77,58,0.6386,0.508,0.6139,0.5718,1,0,0.732,33.61,8
