labor_indmix_establishment_year,labor_indmix_county_business_pattern_code,labor_indmix_industry_naics_4,labor_indmix_establishment_size_class,labor_indmix_employment_march,labor_indmix_employment_annual_avg,labor_indmix_payroll_q1,labor_indmix_payroll_annual,labor_indmix_average_weekly_wage,labor_indmix_job_creation_count,labor_indmix_job_destruction_count,labor_indmix_churn_rate_pct,labor_indmix_new_establishment_count,labor_indmix_closures_count,labor_indmix_multiunit_share_pct,labor_indmix_women_owned_share_pct,labor_indmix_minority_owned_share_pct,labor_indmix_veteran_owned_share_pct,labor_indmix_rural_urban_class,labor_indmix_confidentiality_flag
2018,CBP100001,2111,100_249,59542,63100,1360977210,5594954100,737.44,7161,8015,51.78,1239,862,9.63,17.59,54.62,6.98,RURAL,0
2016,CBP100002,3231,1_4,62465,61036,566671695,2274588198,1773.63,6634,4208,23.38,875,270,69.14,27.32,18.19,19.74,SUBURBAN,0
2012,CBP100003,3141,1000_PLUS,65820,61792,1464651109,5932603469,1270.34,11557,10801,7.99,754,1247,61.52,6.39,7.41,22.38,SUBURBAN,0
2013,CBP100004,3121,100_249,48638,53926,505045233,1964602142,485.94,1181,3163,45.47,67,727,72.3,3.5,39.34,33.31,SUBURBAN,0
2013,CBP100005,7221,100_249,39348,36524,771930318,3008709722,1628.46,949,8382,2.46,24,864,64.32,0.29,28.14,2.68,RURAL,0
2013,CBP100006,3371,100_249,54687,55729,590586539,2065025785,1847.5,11984,3384,30.5,1217,236,72.95,3.59,37.61,34.22,SMALL_TOWN,0
2019,CBP100007,3331,250_499,20255,18238,260862115,1044279282,902.45,6826,4445,29.23,622,309,17.55,37.79,66.97,1.54,SMALL_TOWN,1
2019,CBP100008,4231,5_9,12174,11885,190347894,674476766,2111.91,7279,10367,36.2,1538,1295,27.42,2.14,25.81,12.25,SMALL_TOWN,0
2017,CBP100009,3341,500_999,56434,62925,805300481,3010875769,1142.13,3959,11168,32.05,42,1494,55.16,48.13,66.47,1.96,URBAN_CORE,0
2015,CBP100010,4521,1000_PLUS,31525,28421,546453903,1882202895,799.91,10584,7999,4.97,1000,531,81.16,38.24,64.7,31.63,SUBURBAN,0
2010,CBP100011,4411,10_19,16503,15270,124593928,444005216,1442.95,1095,3134,7.89,1512,1581,70.77,32.55,74.4,21.89,URBAN_CORE,0
2015,CBP100012,5221,10_19,72894,66952,1465306248,5393621895,1246.8,2336,2876,54.37,173,1776,20.66,41.3,17.95,5.7,SMALL_TOWN,0
2022,CBP100013,2111,1000_PLUS,7466,7980,178613907,740635885,2077.1,10267,10237,49.79,1339,160,15.55,44.09,12.7,17.03,SUBURBAN,0
2016,CBP100014,3141,20_49,35955,39976,703915254,2490123712,670.39,9560,1600,13.94,447,341,31.58,9.2,36.32,19.78,RURAL,0
