labor_part_survey_month,labor_part_cps_rotation_group,labor_part_population_16plus,labor_part_participation_rate_pct,labor_part_employment_population_ratio_pct,labor_part_u6_underemployment_rate_pct,labor_part_part_time_economic_reasons_rate,labor_part_marginally_attached_rate,labor_part_discouraged_worker_rate,labor_part_not_in_labor_force_want_job_rate,labor_part_prime_age_participation_rate,labor_part_older_worker_participation_rate,labor_part_youth_participation_rate,labor_part_disability_labor_force_gap_pct,labor_part_caregiving_barrier_rate,labor_part_school_enrollment_barrier_rate,labor_part_transportation_barrier_rate,labor_part_childcare_constraint_index,labor_part_job_search_intensity_score,labor_part_weighting_method_tag
2007-01,4,147832939,63.08,58.85,11.63,6.8,0.3,0.17,2.62,78.15,25.71,51.38,23.95,5.13,4.88,1.05,0.2129,0.7053,CPS_SEAS
2007-02,8,98428513,52.66,49.94,14.68,6.96,0.43,0.87,1.79,82.0,22.69,55.86,50.66,3.54,2.42,0.53,0.1215,0.2182,CPS_BENCH
2007-03,1,118741474,69.46,64.92,21.6,3.73,0.43,0.78,1.29,77.52,19.08,52.59,31.26,5.11,4.44,2.15,0.776,0.8263,CPS_BENCH
2007-04,4,189405455,59.52,54.03,7.11,5.21,0.82,0.25,0.47,84.54,19.0,59.84,49.95,3.79,4.88,1.45,0.2387,0.7722,CPS_BENCH
2007-05,2,101177995,54.47,52.0,13.82,3.33,2.73,1.03,3.58,76.81,18.94,56.43,15.92,4.47,2.28,2.97,0.6238,0.5768,CPS_STD
2007-06,3,170241209,67.17,59.82,16.44,4.98,0.14,1.03,1.0,85.58,16.46,56.69,27.56,5.77,5.36,1.95,0.0564,0.1184,CPS_REPWT
2007-07,6,186389122,53.35,45.68,8.29,7.16,0.65,0.84,1.27,86.16,26.05,57.6,35.06,2.99,2.72,2.11,0.769,0.0657,CPS_STD
2007-08,4,96172534,58.65,53.45,12.91,3.82,2.65,0.92,2.65,85.41,27.94,51.96,43.11,5.86,3.06,1.94,0.3814,0.284,CPS_SEAS
2007-09,1,42353714,62.45,54.54,16.77,1.11,2.3,0.47,3.29,83.93,23.54,55.22,22.93,3.05,3.72,1.4,0.7383,0.3797,CPS_BENCH
2007-10,1,215965463,61.97,55.28,21.28,7.32,0.24,0.77,3.71,82.0,16.53,51.63,54.43,0.71,5.39,2.0,0.9205,0.3739,CPS_BENCH
2007-11,8,45743942,54.74,51.78,17.2,1.77,0.7,1.13,1.18,83.3,18.48,56.28,10.3,5.15,2.21,2.95,0.6444,0.3146,CPS_REPWT
2007-12,8,214424397,67.75,59.21,4.19,1.59,1.89,0.19,1.06,85.47,18.91,48.36,23.04,2.72,2.27,0.92,0.9188,0.64,CPS_SEAS
2008-01,7,16519422,58.68,50.21,12.72,3.3,0.99,0.09,1.84,85.14,27.79,48.44,39.09,5.9,4.17,0.13,0.3131,0.8551,CPS_REPWT
2008-02,4,131317302,58.92,50.69,18.72,4.32,2.43,0.39,1.91,82.63,17.86,59.43,33.08,3.14,0.77,2.72,0.1441,0.3662,CPS_REPWT
2008-03,4,246018517,61.6,54.36,3.18,6.05,0.32,0.27,3.92,85.56,21.82,57.16,23.14,0.35,2.64,1.04,0.3611,0.9862,CPS_SEAS
2008-04,4,80139421,66.11,62.51,11.25,1.53,0.48,0.37,1.09,78.66,24.59,44.52,52.94,5.59,0.29,2.21,0.3136,0.683,CPS_REPWT
2008-05,1,15155060,55.98,49.18,18.13,5.33,2.71,1.02,3.36,86.36,17.2,52.17,18.8,5.08,3.43,0.3,0.7212,0.1681,CPS_REPWT
2008-06,7,18019337,67.14,58.28,19.89,3.99,2.01,0.96,1.57,76.64,18.94,51.68,34.35,0.98,2.52,0.7,0.6829,0.9113,CPS_REPWT
2008-07,4,204911257,64.38,61.52,14.83,4.2,2.4,0.05,1.31,82.7,24.55,53.34,45.3,1.59,4.81,0.86,0.5362,0.7639,CPS_SEAS
2008-08,7,96195179,65.82,60.45,10.72,3.09,1.64,1.04,1.07,79.87,19.58,44.82,17.56,2.63,0.26,2.87,0.8182,0.9756,CPS_BENCH
2008-09,7,68659374,65.62,61.62,12.62,5.34,0.84,1.08,1.73,86.48,17.7,56.01,23.71,3.96,2.13,1.37,0.1204,0.1116,CPS_STD
2008-10,2,8893787,52.67,50.03,19.1,5.92,0.14,0.36,2.11,84.44,24.27,48.4,37.87,5.14,0.55,1.41,0.4253,0.4613,CPS_STD
2008-11,6,68399916,69.43,67.33,12.56,1.16,0.53,0.2,1.78,85.24,23.69,44.54,29.65,3.58,0.79,0.59,0.488,0.6517,CPS_BENCH
2008-12,3,129365330,57.41,54.48,17.24,4.31,2.05,0.28,2.32,77.54,16.55,50.02,16.2,5.41,4.24,1.98,0.3582,0.3108,CPS_SEAS
2009-01,7,75364516,56.58,48.9,15.15,4.0,0.89,0.89,0.35,81.42,24.58,57.78,12.55,5.77,3.08,0.34,0.3711,0.3029,CPS_REPWT
2009-02,1,38876713,54.08,49.79,19.05,4.62,0.46,0.87,1.37,76.69,20.53,47.22,54.47,3.85,3.4,1.34,0.7475,0.615,CPS_SEAS
2009-03,2,39691335,60.98,57.5,19.42,2.71,2.28,0.94,0.93,82.05,16.1,60.41,43.68,1.89,5.13,0.57,0.7625,0.6088,CPS_REPWT
2009-04,8,261160564,64.59,61.4,14.09,1.61,1.57,0.38,1.34,76.18,24.15,52.69,16.88,0.51,1.77,1.4,0.5828,0.4421,CPS_REPWT
2009-05,8,94675284,57.52,51.16,18.87,5.32,0.65,0.27,0.41,79.58,19.98,51.53,12.13,3.24,1.16,0.25,0.4793,0.3886,CPS_BENCH
2009-06,4,24623124,59.13,56.99,7.91,3.88,0.34,0.38,1.5,85.13,26.02,61.9,45.05,5.83,5.03,0.93,0.9845,0.2675,CPS_STD
2009-07,1,215114860,57.17,48.54,9.99,3.69,1.05,0.28,3.07,80.89,27.96,57.84,17.2,0.44,3.41,0.13,0.87,0.6959,CPS_SEAS
2009-08,3,264784169,54.01,51.34,7.95,2.73,2.4,0.09,2.34,82.94,18.77,51.38,50.75,1.99,1.2,1.51,0.384,0.7986,CPS_REPWT
2009-09,5,240195034,57.78,53.02,17.63,7.44,1.02,0.73,3.5,78.97,20.74,54.57,41.03,0.74,2.07,1.08,0.8385,0.3556,CPS_BENCH
2009-10,1,74622200,60.16,58.15,12.93,6.44,2.05,0.79,0.29,79.19,17.15,62.42,16.9,4.59,4.31,1.95,0.5437,0.5857,CPS_REPWT
2009-11,1,221442942,54.62,51.03,5.65,6.63,2.12,0.18,0.6,76.66,22.34,46.68,46.33,5.32,5.12,0.25,0.2149,0.9529,CPS_STD
2009-12,4,46307327,65.31,59.96,9.98,6.24,2.73,1.18,0.61,81.29,27.81,55.81,42.09,2.34,4.13,1.49,0.2052,0.0274,CPS_REPWT
2010-01,7,218518472,61.91,55.2,4.45,4.19,2.45,0.83,2.22,80.42,25.75,51.62,22.62,1.35,4.07,3.19,0.3109,0.4015,CPS_STD
2010-02,2,113229306,65.16,58.16,5.91,3.51,2.27,0.95,1.76,80.51,25.95,53.02,34.61,5.98,2.88,0.33,0.817,0.8718,CPS_REPWT
2010-03,4,69093192,54.95,46.8,21.54,2.72,2.76,0.66,1.47,81.89,25.12,55.6,40.26,4.48,2.98,1.68,0.7717,0.6641,CPS_REPWT
2010-04,2,44071603,58.17,49.76,19.0,5.2,1.89,0.61,0.28,82.53,22.68,48.67,51.98,5.82,4.42,0.58,0.2275,0.6308,CPS_SEAS
2010-05,4,232289362,62.82,58.7,21.57,7.45,0.77,0.66,3.84,77.17,20.14,56.56,50.76,4.77,4.58,0.55,0.3553,0.152,CPS_STD
2010-06,1,194382896,63.02,55.38,19.52,3.6,1.6,0.89,3.36,78.45,23.0,62.64,39.48,5.25,5.41,2.89,0.8153,0.8119,CPS_SEAS
2010-07,6,63987093,67.05,63.08,6.54,5.21,0.15,1.03,3.71,81.63,25.29,51.27,32.53,3.68,4.83,0.19,0.661,0.986,CPS_REPWT
2010-08,4,234028529,68.01,60.1,21.19,5.84,1.36,1.03,3.86,78.82,19.35,44.63,21.34,4.04,3.75,0.19,0.2393,0.3473,CPS_SEAS
2010-09,5,29683814,64.99,58.57,18.37,2.32,1.48,0.72,0.67,79.07,18.35,62.52,36.64,5.21,1.88,2.09,0.6685,0.4744,CPS_BENCH
2010-10,6,196442752,68.74,63.68,15.08,4.26,0.34,0.21,0.76,80.44,17.79,57.03,16.87,2.87,5.15,0.86,0.9605,0.1755,CPS_REPWT
2010-11,6,31282162,64.38,60.76,15.6,4.11,0.67,0.82,1.6,78.72,19.72,57.39,41.18,1.24,3.5,1.35,0.5556,0.2278,CPS_BENCH
2010-12,8,170923994,55.3,49.02,16.69,0.98,1.44,0.35,3.27,84.06,16.97,44.4,51.91,4.86,3.93,1.61,0.4459,0.2815,CPS_REPWT
2011-01,7,168545544,54.25,47.34,11.64,5.93,1.87,1.02,3.71,77.41,17.62,61.72,40.36,4.11,1.92,1.96,0.4896,0.5345,CPS_BENCH
2011-02,7,54027775,62.92,54.4,17.6,7.4,2.4,0.03,2.41,83.36,26.47,51.97,44.63,3.29,1.64,0.59,0.0043,0.609,CPS_STD
2011-03,7,222684233,56.98,52.83,11.68,4.86,0.84,0.33,0.79,79.85,25.41,55.55,46.65,2.24,4.94,2.13,0.6449,0.6154,CPS_BENCH
2011-04,3,109355786,59.06,55.55,4.73,1.29,2.57,0.0,1.68,83.21,28.39,59.34,17.27,1.07,2.29,2.94,0.9297,0.9506,CPS_BENCH
