labor_skills_posting_month,labor_skills_posting_source_type,labor_skills_job_title_normalized,labor_skills_occupation_code_crosswalk,labor_skills_skills_cluster_id,labor_skills_top_skill_1,labor_skills_top_skill_2,labor_skills_top_skill_3,labor_skills_credential_required_flag,labor_skills_years_experience_min,labor_skills_remote_work_indicator,labor_skills_salary_range_low,labor_skills_salary_range_high,labor_skills_employment_type,labor_skills_schedule_type,labor_skills_industry_employer_naics,labor_skills_posting_duration_days,labor_skills_applicant_count_estimate,labor_skills_hard_to_fill_score,labor_skills_text_embedding_version
2016-01,AGGREGATOR,Role_1_Engineer,OCCXW200001,SKC00001,Linux,Python,Linux,0,0,1,46813,76247,FULL_TIME,FLEX,722,11,27,0.375,emb_v2
2016-02,JOB_BOARD,Role_2_Manager,OCCXW200002,SKC00002,CustomerSupport,NodeJS,Linux,1,4,0,107942,169992,INTERN,NIGHT,523,34,42,0.8117,emb_v3
2016-03,JOB_BOARD,Role_3_Technician,OCCXW200003,SKC00003,AWS,RetailOps,Java,0,4,0,68165,106303,TEMP,DAY,522,67,37,0.5672,emb_v1
2016-04,COMPANY_SITE,Role_4_Specialist,OCCXW200004,SKC00004,Java,Python,ProjectMgmt,0,3,0,116232,167432,FULL_TIME,SHIFT,921,4,35,0.8195,emb_v1
2016-05,AGGREGATOR,Role_5_Analyst,OCCXW200005,SKC00005,ComputerVision,ProjectMgmt,Linux,0,1,0,144735,171145,FULL_TIME,WEEKEND,332,87,36,0.239,emb_v4
2016-06,COMPANY_SITE,Role_6_Engineer,OCCXW200006,SKC00006,PowerBI,NLP,NLP,0,1,0,129269,148215,PART_TIME,DAY,531,64,37,0.8109,emb_v1
2016-07,STAFFING_FIRM,Role_7_Manager,OCCXW200007,SKC00007,Linux,SQL,CustomerSupport,1,10,1,92058,117303,FULL_TIME,SHIFT,332,19,36,0.1373,emb_v3
2016-08,ATS_FEED,Role_8_Technician,OCCXW200008,SKC00008,SupplyChain,Cybersecurity,Airflow,1,7,0,69911,147676,TEMP,WEEKEND,523,83,40,0.5212,emb_v4
2016-09,JOB_BOARD,Role_9_Specialist,OCCXW200009,SKC00009,CustomerSupport,SAP,Communication,1,1,1,141271,162280,CONTRACT,WEEKEND,921,88,34,0.9955,emb_v2
2016-10,STAFFING_FIRM,Role_10_Analyst,OCCXW200010,SKC00010,JavaScript,RetailOps,Healthcare,0,1,1,149542,168399,CONTRACT,DAY,522,52,34,0.6734,emb_v4
2016-11,JOB_BOARD,Role_11_Engineer,OCCXW200011,SKC00011,Java,Kubernetes,SQL,1,9,1,76150,103186,PART_TIME,NIGHT,531,69,40,0.82,emb_v4
2016-12,COMPANY_SITE,Role_12_Manager,OCCXW200012,SKC00012,RetailOps,React,Linux,0,1,0,144243,221573,TEMP,DAY,561,82,40,0.4797,emb_v2
2017-01,ATS_FEED,Role_13_Technician,OCCXW200013,SKC00013,Azure,Docker,CustomerSupport,1,5,1,65133,104743,FULL_TIME,FLEX,622,14,44,0.5893,emb_v2
2017-02,COMPANY_SITE,Role_14_Specialist,OCCXW200014,SKC00014,Accounting,AWS,Spark,0,6,0,100723,176472,CONTRACT,SHIFT,561,27,41,0.396,emb_v2
2017-03,AGGREGATOR,Role_15_Analyst,OCCXW200015,SKC00015,SupplyChain,Healthcare,ComputerVision,0,9,1,89709,126820,PART_TIME,FLEX,811,12,42,0.8379,emb_v1
2017-04,ATS_FEED,Role_16_Engineer,OCCXW200016,SKC00016,JavaScript,SAP,Python,0,8,0,145005,221564,TEMP,FLEX,423,74,30,0.434,emb_v1
2017-05,COMPANY_SITE,Role_17_Manager,OCCXW200017,SKC00017,AWS,SQL,Python,0,0,1,129506,194915,TEMP,SHIFT,518,66,36,0.3607,emb_v3
2017-06,STAFFING_FIRM,Role_18_Technician,OCCXW200018,SKC00018,Healthcare,RetailOps,Linux,1,3,0,50139,88326,PART_TIME,NIGHT,236,33,36,0.2072,emb_v2
2017-07,COMPANY_SITE,Role_19_Specialist,OCCXW200019,SKC00019,Azure,SupplyChain,Cybersecurity,1,9,0,140443,175678,FULL_TIME,SHIFT,722,56,43,0.349,emb_v2
2017-08,JOB_BOARD,Role_20_Analyst,OCCXW200020,SKC00020,CustomerSupport,Salesforce,Kubernetes,0,6,1,149583,157009,FULL_TIME,SHIFT,561,42,38,0.4497,emb_v1
2017-09,COMPANY_SITE,Role_21_Engineer,OCCXW200021,SKC00021,SAP,Airflow,Airflow,0,4,1,52588,67528,FULL_TIME,SHIFT,523,4,35,0.6195,emb_v3
2017-10,JOB_BOARD,Role_22_Manager,OCCXW200022,SKC00022,SAP,GCP,PowerBI,0,10,0,119670,180850,PART_TIME,NIGHT,524,26,39,0.65,emb_v2
2017-11,JOB_BOARD,Role_23_Technician,OCCXW200023,SKC00023,Excel,ProjectMgmt,Salesforce,1,2,0,113277,158324,FULL_TIME,WEEKEND,445,88,38,0.3652,emb_v2
2017-12,COMPANY_SITE,Role_24_Specialist,OCCXW200024,SKC00024,Salesforce,Docker,Tableau,1,5,0,77604,114959,FULL_TIME,FLEX,522,30,34,0.5384,emb_v4
2018-01,AGGREGATOR,Role_25_Analyst,OCCXW200025,SKC00025,SAP,Tableau,Healthcare,1,8,0,135698,215764,FULL_TIME,WEEKEND,561,50,40,0.4438,emb_v3
2018-02,AGGREGATOR,Role_26_Engineer,OCCXW200026,SKC00026,Azure,Docker,Linux,1,10,1,99818,165277,PART_TIME,SHIFT,519,71,40,0.1828,emb_v2
2018-03,ATS_FEED,Role_27_Manager,OCCXW200027,SKC00027,React,NodeJS,Docker,1,8,0,89453,149223,TEMP,DAY,332,16,42,0.1623,emb_v3
2018-04,STAFFING_FIRM,Role_28_Technician,OCCXW200028,SKC00028,RetailOps,Salesforce,CustomerSupport,0,0,0,100867,115942,FULL_TIME,SHIFT,621,27,38,0.6335,emb_v4
2018-05,AGGREGATOR,Role_29_Specialist,OCCXW200029,SKC00029,Statistics,Salesforce,SAP,0,4,0,96917,104749,TEMP,WEEKEND,623,66,33,0.2295,emb_v1
2018-06,AGGREGATOR,Role_30_Analyst,OCCXW200030,SKC00030,ComputerVision,Docker,Excel,1,9,1,48462,118596,CONTRACT,FLEX,722,54,43,0.0314,emb_v1
2018-07,COMPANY_SITE,Role_31_Engineer,OCCXW200031,SKC00031,Healthcare,SQL,SupplyChain,1,0,0,49007,134602,CONTRACT,FLEX,623,87,34,0.9013,emb_v2
2018-08,ATS_FEED,Role_32_Manager,OCCXW200032,SKC00032,Airflow,Communication,NodeJS,1,10,0,118424,192010,CONTRACT,NIGHT,921,13,29,0.2777,emb_v1
2018-09,ATS_FEED,Role_33_Technician,OCCXW200033,SKC00033,Communication,AWS,Java,0,1,1,53879,143085,FULL_TIME,WEEKEND,921,46,29,0.5243,emb_v3
2018-10,AGGREGATOR,Role_34_Specialist,OCCXW200034,SKC00034,Communication,SQL,Tableau,0,4,1,132939,217256,TEMP,WEEKEND,621,58,35,0.016,emb_v4
