labor_unemp_claims_week_ending,labor_unemp_local_area_unemployment_code,labor_unemp_labor_force_level,labor_unemp_employed_level,labor_unemp_unemployed_level,labor_unemp_unemployment_rate_pct,labor_unemp_insured_unemployment_rate_pct,labor_unemp_initial_claims_count,labor_unemp_continued_claims_count,labor_unemp_benefit_exhaustions_count,labor_unemp_new_hires_rate_pct,labor_unemp_job_openings_rate_pct,labor_unemp_quit_rate_pct,labor_unemp_layoff_rate_pct,labor_unemp_workshare_participants,labor_unemp_seasonal_adjustment_method,labor_unemp_pandemic_program_flag,labor_unemp_revisions_cycle_id,labor_unemp_data_source_agency,labor_unemp_publication_date
2018-01-06,LAU0000001,1379311,1218776,160535,11.64,3.38,865,8325,254,3.63,8.23,0.69,2.87,1719,NONE,0,R2024A,DOL,2018-01-11
2018-01-13,LAU0000002,3767247,3340486,426761,11.33,2.35,897,11060,134,0.84,7.26,3.61,2.46,2937,REGARIMA,0,R2019A,DOL,2018-01-18
2018-01-20,LAU0000003,59941,54320,5621,9.38,2.36,768,7063,399,1.81,6.21,3.59,0.68,3303,NONE,1,R2025A,DOL,2018-01-25
2018-01-27,LAU0000004,5455367,5298427,156940,2.88,5.47,861,7182,533,2.76,9.45,1.45,1.53,3027,SEAS_FILTER,0,R2020B,BLS,2018-02-01
2018-02-03,LAU0000005,4424700,4319898,104802,2.37,1.32,803,13471,670,2.39,6.66,1.65,2.75,1766,X13_ARIMA,0,R2021C,DOL,2018-02-08
2018-02-10,LAU0000006,5226799,4948667,278132,5.32,5.75,844,7683,385,5.91,8.69,4.35,2.39,2312,X13_ARIMA,0,R2023B,BLS,2018-02-15
2018-02-17,LAU0000007,1595233,1547241,47992,3.01,3.31,881,12709,306,5.13,4.43,3.67,3.28,907,REGARIMA,0,R2019A,STATE_LABOR,2018-02-22
2018-02-24,LAU0000008,1836726,1793696,43030,2.34,2.46,853,9694,677,5.18,3.6,1.23,2.03,2228,X13_ARIMA,0,R2019A,BLS,2018-03-01
2018-03-03,LAU0000009,2040194,1911386,128808,6.31,1.53,824,8329,266,3.87,3.35,2.71,3.1,3811,SEAS_FILTER,0,R2024A,STATE_LABOR,2018-03-08
2018-03-10,LAU0000010,3948192,3843625,104567,2.65,1.25,825,10568,799,3.03,7.58,0.47,1.02,1157,SEAS_FILTER,1,R2019A,BLS,2018-03-15
2018-03-17,LAU0000011,5451029,5218865,232164,4.26,5.92,863,12815,339,2.82,4.27,1.98,2.53,3818,X13_ARIMA,0,R2024A,STATE_LABOR,2018-03-22
2018-03-24,LAU0000012,3701961,3489274,212687,5.75,3.26,829,13832,1070,1.19,2.12,3.55,1.29,2147,NONE,0,R2021C,BLS,2018-03-29
2018-03-31,LAU0000013,3912924,3766179,146745,3.75,4.42,857,10897,414,5.08,2.42,2.26,1.65,1746,REGARIMA,0,R2019A,STATE_LABOR,2018-04-05
2018-04-07,LAU0000014,2560067,2456786,103281,4.03,4.57,912,11214,709,4.0,5.71,2.38,3.49,3337,REGARIMA,0,R2021C,DOL,2018-04-12
2018-04-14,LAU0000015,5296111,5191539,104572,1.97,0.58,849,14226,508,3.15,1.26,3.89,1.86,553,SEAS_FILTER,0,R2025A,STATE_LABOR,2018-04-19
2018-04-21,LAU0000016,1961690,1906320,55370,2.82,2.22,874,10797,457,2.28,6.41,3.84,3.26,2841,SEAS_FILTER,0,R2021C,DOL,2018-04-26
2018-04-28,LAU0000017,600506,560801,39705,6.61,2.82,839,15059,296,5.23,1.62,4.12,2.09,792,REGARIMA,0,R2023B,DOL,2018-05-03
2018-05-05,LAU0000018,5510860,5290058,220802,4.01,2.46,862,6815,382,5.11,7.99,0.75,0.42,49,X13_ARIMA,0,R2021C,STATE_LABOR,2018-05-10
2018-05-12,LAU0000019,2453184,2180188,272996,11.13,6.5,845,5145,168,1.02,5.33,3.53,2.7,2833,NONE,0,R2021C,BLS,2018-05-17
2018-05-19,LAU0000020,917710,841637,76073,8.29,6.02,868,9812,303,4.0,1.69,4.09,0.45,390,SEAS_FILTER,0,R2020B,BLS,2018-05-24
2018-05-26,LAU0000021,1172562,1083946,88616,7.56,4.84,831,7854,339,1.83,9.37,0.87,0.91,3184,SEAS_FILTER,0,R2022A,BLS,2018-05-31
2018-06-02,LAU0000022,3852111,3778919,73192,1.9,5.5,858,8297,85,2.78,4.56,3.48,2.83,3295,REGARIMA,0,R2019A,STATE_LABOR,2018-06-07
2018-06-09,LAU0000023,104192,101860,2332,2.24,1.38,852,9066,580,5.41,2.53,3.24,3.32,224,SEAS_FILTER,0,R2024A,DOL,2018-06-14
2018-06-16,LAU0000024,426504,408087,18417,4.32,0.47,888,10183,468,0.75,2.07,0.75,0.63,2917,SEAS_FILTER,0,R2020B,BLS,2018-06-21
2018-06-23,LAU0000025,3608251,3396776,211475,5.86,3.88,838,11027,145,5.22,8.32,3.49,1.81,327,X13_ARIMA,0,R2021C,BLS,2018-06-28
2018-06-30,LAU0000026,226826,217758,9068,4.0,0.84,860,14067,357,4.49,8.41,2.32,3.21,1478,REGARIMA,0,R2023B,DOL,2018-07-05
2018-07-07,LAU0000027,2526443,2224884,301559,11.94,6.17,866,6058,222,4.0,1.61,2.58,3.17,1725,SEAS_FILTER,0,R2020B,DOL,2018-07-12
2018-07-14,LAU0000028,5352565,4832465,520100,9.72,5.34,810,8277,621,0.56,7.69,3.15,1.05,3184,REGARIMA,0,R2022A,BLS,2018-07-19
2018-07-21,LAU0000029,5012140,4797918,214222,4.27,1.75,847,9895,584,3.55,4.71,3.5,2.51,737,X13_ARIMA,0,R2022A,BLS,2018-07-26
2018-07-28,LAU0000030,5934131,5760580,173551,2.92,0.87,855,6728,349,4.21,8.49,3.98,2.43,3085,X13_ARIMA,0,R2025A,BLS,2018-08-02
2018-08-04,LAU0000031,1047816,980495,67321,6.42,2.0,839,8671,331,3.11,9.42,3.07,1.92,1967,NONE,0,R2024A,BLS,2018-08-09
2018-08-11,LAU0000032,2565446,2374359,191087,7.45,5.06,873,12019,299,3.97,5.69,3.21,1.05,1653,REGARIMA,1,R2025A,BLS,2018-08-16
2018-08-18,LAU0000033,725437,686802,38635,5.33,3.46,899,8811,499,1.47,8.56,1.78,3.1,3095,SEAS_FILTER,0,R2023B,DOL,2018-08-23
2018-08-25,LAU0000034,3278806,2926124,352682,10.76,3.36,859,11753,505,2.17,5.57,1.87,2.97,2475,REGARIMA,0,R2020B,BLS,2018-08-30
2018-09-01,LAU0000035,1643428,1469066,174362,10.61,5.71,799,13574,1004,3.54,4.49,1.16,1.16,2679,X13_ARIMA,0,R2025A,BLS,2018-09-06
2018-09-08,LAU0000036,5297023,5186727,110296,2.08,3.88,860,13611,971,2.25,1.3,4.31,1.89,3053,SEAS_FILTER,0,R2024A,STATE_LABOR,2018-09-13
2018-09-15,LAU0000037,2877565,2722505,155060,5.39,2.56,848,7953,192,2.3,4.42,2.36,1.6,3432,SEAS_FILTER,0,R2023B,DOL,2018-09-20
2018-09-22,LAU0000038,3946468,3539676,406792,10.31,0.4,878,14783,1005,4.89,8.63,3.41,1.32,1113,NONE,0,R2019A,BLS,2018-09-27
2018-09-29,LAU0000039,3293056,3131480,161576,4.91,4.85,898,9995,129,4.62,2.84,0.43,1.62,2793,X13_ARIMA,0,R2021C,BLS,2018-10-04
2018-10-06,LAU0000040,1367141,1278191,88950,6.51,2.73,819,7003,236,0.64,4.6,0.44,1.55,2758,X13_ARIMA,0,R2022A,BLS,2018-10-11
