labor_wage_wage_survey_year,labor_wage_occupation_soc_6,labor_wage_industry_naics_3,labor_wage_pay_period_type,labor_wage_wage_p10,labor_wage_wage_p25,labor_wage_wage_median,labor_wage_wage_p75,labor_wage_wage_p90,labor_wage_annualized_wage_mean,labor_wage_overtime_share_pct,labor_wage_bonus_share_pct,labor_wage_benefits_cost_share_pct,labor_wage_union_coverage_rate_pct,labor_wage_gender_pay_gap_pct,labor_wage_race_pay_gap_pct,labor_wage_education_premium_pct,labor_wage_experience_premium_pct,labor_wage_cost_adjusted_wage_index,labor_wage_sampling_error_margin
2022,111001,326,MONTHLY,25.43,29.95,37.02,47.15,62.56,170908,7.94,17.33,29.62,2.61,-0.82,26.55,1.95,19.39,94.18,3.64
2022,121002,452,BIWEEKLY,21.78,22.83,33.46,50.96,55.52,91228,10.54,12.94,34.63,8.38,-6.86,15.49,23.3,26.33,115.62,5.63
2024,131003,339,WEEKLY,26.76,34.73,37.2,40.06,51.72,89087,0.56,11.39,32.83,15.27,17.83,24.26,39.25,17.06,78.76,1.56
2022,141004,221,WEEKLY,24.46,25.98,36.41,52.57,72.59,42291,3.22,1.59,10.66,7.72,10.71,27.85,46.34,0.04,91.48,3.49
2021,151005,622,HOURLY,28.7,29.79,38.08,56.24,58.44,114973,6.58,4.77,26.4,3.24,23.48,5.03,32.56,17.76,124.08,3.36
2023,161006,541,BIWEEKLY,34.44,42.56,46.95,52.91,55.05,163178,7.37,7.64,26.98,29.0,-7.8,6.78,6.24,38.48,77.53,3.34
2018,171007,112,HOURLY,32.62,36.32,39.06,51.81,60.28,49614,6.8,0.99,28.61,2.66,15.67,27.62,53.56,37.19,79.26,4.48
2018,181008,423,ANNUAL,20.78,28.04,42.31,56.28,74.43,130090,3.37,5.97,11.73,7.23,3.57,14.55,10.11,23.2,139.95,6.44
2024,191009,322,BIWEEKLY,31.96,34.27,48.21,62.49,76.84,39826,5.78,13.07,17.84,38.03,20.12,30.38,8.25,4.79,72.98,3.94
2017,201010,211,WEEKLY,15.76,22.36,25.91,38.59,62.89,202058,3.81,5.14,28.6,2.78,24.26,20.87,15.15,15.0,119.72,1.71
2021,211011,324,MONTHLY,33.98,39.06,53.49,62.93,67.74,191288,2.78,8.91,18.88,11.58,18.65,25.4,40.82,27.57,100.94,2.29
2025,221012,511,WEEKLY,17.44,20.7,25.95,35.81,39.95,91937,6.29,3.79,13.9,3.9,25.19,-3.37,37.27,30.65,120.71,0.44
2019,231013,921,WEEKLY,30.48,33.75,45.29,59.58,80.32,152458,9.46,16.08,12.71,38.68,22.66,7.1,47.63,39.2,104.18,1.44
2021,241014,623,HOURLY,10.97,18.3,29.69,42.42,61.34,109012,1.75,7.31,14.91,3.02,7.68,-3.61,17.13,30.04,112.55,0.33
2017,251015,722,ANNUAL,26.01,30.01,39.42,43.1,53.38,39685,11.39,9.06,13.12,43.27,-8.24,31.06,1.81,38.37,133.55,1.86
2016,261016,722,WEEKLY,31.32,35.98,37.87,40.81,61.92,34076,6.43,6.94,20.57,3.01,15.0,14.2,30.51,2.29,95.93,1.28
2022,271017,335,HOURLY,17.79,26.08,27.94,34.97,44.22,88829,0.76,11.84,9.89,10.86,0.08,21.17,13.46,35.66,97.34,2.1
