qol_amen_inventory_year,qol_amen_service_area_id,qol_amen_park_acres_per_1k,qol_amen_playground_count,qol_amen_trail_miles_total,qol_amen_library_branches_count,qol_amen_library_visits_per_capita,qol_amen_public_pool_count,qol_amen_recreation_program_participation,qol_amen_arts_venue_count,qol_amen_community_center_count,qol_amen_clinic_access_points_count,qol_amen_childcare_slots_per_1k,qol_amen_senior_center_count,qol_amen_public_restroom_count,qol_amen_tree_canopy_acres,qol_amen_streetlight_density,qol_amen_sidewalk_coverage_pct,qol_amen_accessibility_score_ada,qol_amen_amenity_equity_index
2022,SVC000000001,38.421,366,153.97,51,8.345,7,0.0805,142,0,119,5.05,40,67,29623.84,77.803,30.22,69.85,0.6891
2014,SVC000000002,62.8771,29,806.44,4,18.152,39,0.7547,104,33,149,75.65,2,550,10437.82,25.977,58.66,77.5,0.9327
2019,SVC000000003,91.4372,96,212.28,49,28.357,21,0.4737,8,78,40,44.27,46,676,25657.27,9.788,46.39,61.69,0.1512
2009,SVC000000004,8.8793,243,44.36,9,31.649,18,0.0031,140,67,158,38.33,46,63,31216.06,231.795,31.5,42.48,0.9774
2024,SVC000000005,61.7354,207,432.27,74,11.08,44,0.098,90,31,154,113.11,40,504,22965.81,108.038,68.99,1.87,0.8639
2010,SVC000000006,16.2775,472,324.16,96,15.317,7,0.4156,51,41,130,3.95,20,206,39964.66,77.377,19.76,22.29,0.3672
2019,SVC000000007,117.2586,459,71.46,87,38.329,1,0.1206,141,69,28,41.39,45,461,26803.49,194.998,27.38,19.7,0.3082
2012,SVC000000008,76.6827,362,482.93,66,5.911,28,0.5697,32,35,187,26.86,7,397,30953.33,136.672,54.83,64.66,0.7198
2011,SVC000000009,105.0048,326,431.43,72,37.873,37,0.7757,101,63,112,107.87,35,55,25471.1,233.229,59.17,75.62,0.5238
2020,SVC000000010,12.4309,212,677.44,57,20.392,22,0.0473,25,38,52,96.09,9,541,15888.02,31.706,34.21,68.32,0.2297
2013,SVC000000011,91.894,170,460.08,5,30.319,44,0.5311,61,13,7,97.18,31,199,30260.78,27.304,76.78,12.86,0.4947
