qol_cost_index_month,qol_cost_city_geo_id,qol_cost_cost_of_living_index,qol_cost_housing_cost_index,qol_cost_grocery_cost_index,qol_cost_utilities_cost_index,qol_cost_transport_cost_index,qol_cost_healthcare_cost_index,qol_cost_childcare_cost_index,qol_cost_tax_burden_estimate,qol_cost_median_wage_local,qol_cost_purchasing_power_index,qol_cost_inflation_local_estimate,qol_cost_rent_to_income_ratio_local,qol_cost_commute_cost_share_pct,qol_cost_essential_basket_usd,qol_cost_price_dispersion_score,qol_cost_low_income_adjusted_index,qol_cost_seniors_adjusted_index,qol_cost_methodology_release_tag
2019-01,CITY00000001,96.34,89.11,80.24,62.59,85.77,100.13,103.63,13.045,95859.44,1214.416,7.851,11.69,19.31,203.04,0.523,105.55,103.78,REL_2024Q3
2019-02,CITY00000002,192.21,234.69,188.09,222.98,155.43,187.21,214.1,23.409,57730.1,395.107,1.113,11.33,11.66,945.78,0.0799,174.82,195.07,REL_2022Q2
2019-03,CITY00000003,114.95,119.55,87.81,130.96,119.88,91.5,115.97,17.215,120899.43,913.309,16.814,47.21,24.67,479.05,0.7601,128.29,107.24,REL_2023Q1
2019-04,CITY00000004,164.54,171.7,161.15,173.03,146.34,185.28,242.94,8.463,120811.97,720.556,11.515,59.92,9.02,279.46,0.08,142.05,189.47,REL_2023Q1
2019-05,CITY00000005,69.78,65.11,57.32,49.48,79.59,80.19,74.5,1.647,90154.38,1174.392,10.087,10.97,3.62,813.76,0.7802,66.13,80.25,REL_2023Q2
2019-06,CITY00000006,119.53,126.54,109.12,123.31,126.19,96.54,152.52,16.323,50079.83,270.324,-0.758,33.99,8.02,680.93,0.1716,102.8,124.27,REL_2020Q3
2019-07,CITY00000007,71.35,62.55,66.77,52.87,81.92,79.13,105.97,14.782,27017.6,346.759,8.892,51.31,2.85,1428.05,0.4161,79.82,70.45,REL_2020Q3
2019-08,CITY00000008,84.33,103.26,65.84,90.66,97.77,97.18,107.86,20.31,35668.61,342.714,5.361,55.06,17.91,429.75,0.6077,93.93,94.49,REL_2024Q1
2019-09,CITY00000009,121.06,112.09,117.07,75.82,89.47,116.12,121.23,16.374,96831.32,863.165,12.627,17.57,20.41,413.38,0.8396,116.32,118.86,REL_2020Q3
2019-10,CITY00000010,110.08,112.04,92.1,94.0,72.35,95.87,146.75,5.681,93202.97,688.109,15.275,29.55,9.12,163.0,0.0969,98.49,100.23,REL_2024Q1
2019-11,CITY00000011,179.38,214.37,194.85,193.86,209.36,211.81,236.71,18.248,35351.23,202.47,8.217,41.72,24.02,911.97,0.62,166.83,179.29,REL_2025Q1
2019-12,CITY00000012,160.43,193.3,176.3,168.5,124.62,134.78,228.66,13.429,69025.63,401.969,3.032,55.83,9.91,216.88,0.1009,178.31,186.04,REL_2023Q3
2020-01,CITY00000013,144.3,150.66,111.84,122.32,152.51,161.95,173.46,12.893,78734.02,630.5,1.655,53.89,4.17,1208.12,0.5736,157.29,159.17,REL_2020Q4
2020-02,CITY00000014,106.22,122.8,98.57,93.5,112.93,92.95,128.51,12.929,39893.69,342.788,10.504,48.46,11.02,1275.74,0.8392,111.51,100.16,REL_2020Q2
