qol_social_survey_cycle_id,qol_social_neighborhood_cluster_id,qol_social_neighborliness_score,qol_social_belonging_score,qol_social_participation_local_events_rate,qol_social_mutual_aid_participation_rate,qol_social_intergroup_contact_score,qol_social_civic_pride_score,qol_social_shared_norms_score,qol_social_conflict_resolution_score,qol_social_online_community_engagement_rate,qol_social_hate_incident_awareness_score,qol_social_trust_local_institutions_score,qol_social_youth_engagement_score,qol_social_senior_engagement_score,qol_social_newcomer_integration_score,qol_social_language_inclusion_score,qol_social_public_space_comfort_score,qol_social_community_problem_solving_score,qol_social_survey_sampling_weight
CYC000000001,NBH000229,4.239,0.401,0.4646,0.3856,9.654,6.35,2.431,9.226,0.3465,1.834,9.244,8.952,3.84,5.887,8.117,3.848,1.39,3.8795
CYC000000002,NBH000202,4.7241,6.517,0.2299,0.8942,0.815,1.44,3.629,1.068,0.7061,9.555,1.956,7.104,6.195,3.1,0.511,6.528,9.641,0.8254
CYC000000003,NBH000063,8.7072,9.459,0.8875,0.6315,3.713,2.612,3.914,4.945,0.4543,9.174,0.314,7.112,5.677,9.305,6.592,6.225,7.495,1.3454
CYC000000004,NBH000099,2.2353,5.483,0.2812,0.9561,1.87,0.873,5.101,8.318,0.8757,0.58,3.489,3.86,3.589,6.541,4.117,6.876,6.006,1.2088
CYC000000005,NBH000185,7.1564,6.519,0.7968,0.8463,6.525,4.109,2.701,3.973,0.2076,4.435,6.589,2.939,6.783,6.836,3.198,8.069,8.711,4.999
CYC000000006,NBH000087,4.7795,5.008,0.9552,0.1186,7.226,6.901,4.547,6.845,0.6543,2.331,4.63,5.073,6.319,3.222,4.283,7.476,3.342,4.8046
CYC000000007,NBH000200,5.5326,8.772,0.9405,0.3056,8.351,0.897,1.621,1.641,0.1014,1.124,6.394,6.78,7.492,7.493,5.417,7.342,8.829,0.2916
CYC000000008,NBH000064,3.5737,0.507,0.0435,0.1928,2.14,3.782,5.012,7.409,0.3165,8.645,6.901,3.942,8.131,6.144,0.401,4.899,1.535,3.0452
CYC000000009,NBH000144,8.3358,2.846,0.9685,0.1797,6.872,2.243,3.134,4.758,0.6723,5.659,4.571,2.373,5.038,4.533,7.555,5.365,3.517,4.2004
CYC000000010,NBH000222,6.8909,2.533,0.6528,0.333,9.94,1.109,9.038,8.84,0.2663,3.425,1.767,4.745,0.612,1.089,1.048,4.594,5.893,1.4449
CYC000000011,NBH000109,9.103,8.857,0.5961,0.3281,0.803,5.168,2.321,5.574,0.935,2.794,4.938,0.235,8.674,8.955,2.732,3.281,5.349,0.5803
CYC000000012,NBH000213,4.9341,0.626,0.9323,0.4996,2.698,4.438,2.913,1.706,0.1455,3.361,9.404,7.79,9.24,4.49,7.228,2.481,0.49,2.7279
CYC000000013,NBH000212,9.9732,3.709,0.4726,0.9179,6.398,5.249,0.083,2.038,0.7638,5.081,5.272,4.251,2.787,2.964,1.93,1.917,0.773,0.1203
CYC000000014,NBH000051,3.5093,8.994,0.4033,0.3782,5.086,0.892,7.353,6.907,0.5791,4.648,6.663,5.687,4.89,6.361,5.195,7.523,5.42,1.9891
CYC000000015,NBH000013,2.2424,0.971,0.0919,0.7938,4.991,2.568,7.431,0.345,0.2449,1.348,7.622,2.497,3.114,0.13,8.007,4.842,4.158,4.7524
CYC000000016,NBH000149,6.2045,5.92,0.7774,0.7859,9.781,5.33,8.594,1.118,0.2393,7.359,0.18,5.034,7.187,1.696,7.623,9.351,3.37,0.7091
CYC000000017,NBH000015,0.7196,2.921,0.9522,0.5901,5.353,7.985,3.933,3.705,0.0888,2.566,5.359,0.367,4.316,9.807,9.657,2.408,2.408,2.8439
CYC000000018,NBH000007,4.6197,3.333,0.5713,0.2684,8.68,8.189,9.754,2.28,0.2322,6.733,8.389,4.547,0.856,0.493,2.365,6.281,7.749,0.8261
CYC000000019,NBH000126,0.5568,5.896,0.7667,0.5471,9.169,0.028,3.872,1.617,0.5968,3.421,1.589,5.635,3.922,0.127,6.516,8.924,7.69,1.8321
CYC000000020,NBH000010,5.6389,6.949,0.885,0.9275,5.641,6.371,5.743,1.706,0.711,7.188,0.056,9.734,3.95,3.331,7.503,5.73,4.334,2.7633
CYC000000021,NBH000154,2.261,0.041,0.8356,0.428,7.798,2.172,3.141,2.453,0.2249,1.045,4.378,7.089,0.062,9.409,7.964,0.848,5.987,1.8835
CYC000000022,NBH000001,8.5161,6.204,0.3806,0.0387,4.604,0.97,3.646,3.241,0.7042,0.613,1.763,7.79,2.411,3.204,2.137,6.543,8.689,2.7234
CYC000000023,NBH000024,6.2162,6.012,0.2314,0.1343,0.858,1.622,0.89,7.798,0.682,4.919,1.26,2.952,0.208,2.801,7.344,4.887,1.489,0.3574
CYC000000024,NBH000064,9.8323,1.614,0.3667,0.8534,1.942,6.629,8.762,3.478,0.7806,4.727,0.082,6.868,2.247,2.308,5.397,7.144,3.442,3.4081
CYC000000025,NBH000189,7.0244,1.727,0.2188,0.73,5.185,9.033,9.98,6.793,0.5249,5.474,7.524,4.305,3.545,7.071,2.075,9.573,2.21,4.3617
CYC000000026,NBH000067,9.7835,9.693,0.2407,0.0449,9.086,2.225,2.293,5.885,0.9077,3.886,5.184,4.287,9.156,8.433,1.474,3.594,0.063,0.5391
CYC000000027,NBH000159,9.4596,0.66,0.5419,0.2899,1.748,3.754,9.989,7.312,0.6858,3.852,6.444,5.117,3.114,1.567,7.198,3.89,7.875,0.268
CYC000000028,NBH000034,2.3457,3.009,0.1623,0.4428,6.887,6.443,5.354,3.203,0.6983,7.614,5.475,1.376,3.253,9.459,7.189,8.61,2.054,4.1332
CYC000000029,NBH000065,7.9978,7.631,0.8319,0.2696,4.717,2.252,7.28,4.649,0.3228,7.347,2.429,2.823,8.748,4.935,1.397,4.854,6.131,1.2609
CYC000000030,NBH000072,9.0119,5.29,0.5684,0.9411,6.491,9.912,3.202,4.145,0.458,9.874,5.067,1.519,2.564,0.473,7.413,1.579,1.752,1.2551
CYC000000031,NBH000016,8.14,3.829,0.5021,0.9691,5.163,1.952,4.144,9.247,0.4085,0.289,0.22,7.727,7.587,6.045,2.283,3.387,1.144,1.9219
CYC000000032,NBH000033,4.3831,0.998,0.9742,0.785,9.223,3.081,0.228,4.762,0.906,6.802,9.036,1.307,7.173,8.194,6.443,2.597,6.649,1.7634
CYC000000033,NBH000250,7.6752,8.064,0.5248,0.9584,1.586,8.651,8.827,3.043,0.7448,7.97,9.65,7.223,8.167,6.741,4.954,5.129,4.424,0.7171
CYC000000034,NBH000064,2.6023,4.397,0.3153,0.3699,9.95,3.188,2.242,8.183,0.7441,8.379,6.177,9.993,5.283,2.305,5.578,1.222,7.859,4.8632
CYC000000035,NBH000008,2.7064,1.563,0.7182,0.5215,0.734,1.332,1.176,5.357,0.352,1.963,5.259,2.193,8.175,4.01,5.311,4.999,8.757,4.5296
CYC000000036,NBH000091,4.3595,3.075,0.4442,0.9551,1.306,0.427,0.621,4.307,0.9079,0.347,9.491,0.847,0.716,9.032,8.707,0.213,1.399,3.7836
CYC000000037,NBH000158,5.6186,6.072,0.434,0.286,9.869,8.404,4.724,4.393,0.0272,9.017,9.209,2.082,6.46,9.226,1.45,2.763,2.256,2.3904
CYC000000038,NBH000039,7.3787,5.832,0.5523,0.3048,7.036,0.418,0.718,9.291,0.1816,3.762,7.271,0.063,2.101,8.466,8.192,6.849,9.4,0.8066
CYC000000039,NBH000005,6.0798,0.041,0.3649,0.5221,6.655,3.053,6.584,3.35,0.0547,1.547,6.9,1.119,3.094,2.431,0.459,1.115,2.758,0.8706
CYC000000040,NBH000039,0.6529,0.175,0.5903,0.1938,0.48,7.04,0.916,0.836,0.3588,2.551,3.883,1.158,3.616,6.229,7.536,5.859,1.288,1.3318
CYC000000041,NBH000078,2.04,4.175,0.6289,0.0572,3.508,5.86,4.64,3.263,0.8255,0.475,5.032,6.552,3.897,8.821,8.74,9.735,0.342,1.6611
CYC000000042,NBH000153,7.0071,9.423,0.6266,0.9933,0.867,2.014,5.831,0.399,0.3456,1.163,5.668,5.094,7.874,9.933,4.403,6.52,9.763,3.1415
CYC000000043,NBH000054,4.7942,9.104,0.7124,0.8776,4.696,9.347,9.39,4.572,0.5641,7.978,4.42,9.744,3.166,0.538,3.264,8.588,8.051,2.5317
CYC000000044,NBH000007,7.0013,9.729,0.3395,0.3585,7.619,9.764,6.614,8.909,0.1575,6.894,8.388,3.456,4.088,4.155,0.317,3.283,8.576,4.0744
CYC000000045,NBH000205,6.5104,0.328,0.6918,0.2795,4.139,6.49,9.116,3.965,0.4733,0.213,1.41,6.473,1.88,3.602,1.242,8.441,6.853,4.5268
CYC000000046,NBH000101,8.3035,0.4,0.1153,0.6818,7.87,9.214,4.381,0.534,0.3703,9.422,8.204,4.415,0.042,0.253,6.936,8.705,3.192,0.4663
CYC000000047,NBH000084,6.8876,1.95,0.8485,0.079,7.776,1.355,8.065,4.855,0.3955,1.502,6.403,1.959,1.346,9.991,2.901,1.921,1.447,3.274
