qol_well_survey_year,qol_well_wellbeing_region_id,qol_well_life_satisfaction_score,qol_well_happiness_frequency_score,qol_well_stress_level_score,qol_well_sleep_quality_score,qol_well_physical_health_score,qol_well_mental_health_score,qol_well_social_connection_score,qol_well_purpose_meaning_score,qol_well_financial_wellbeing_score,qol_well_work_life_balance_score,qol_well_outdoor_activity_rate,qol_well_cultural_participation_rate,qol_well_volunteerism_rate,qol_well_loneliness_rate,qol_well_community_trust_score,qol_well_safety_perception_score,qol_well_service_satisfaction_score,qol_well_overall_wellbeing_index
2018,REG000000001,0.699,8.414,2.521,7.149,5.061,0.284,4.387,9.483,0.45,7.495,0.9899,0.2355,0.339,3.336,1.277,2.035,3.012,4.614
2009,REG000000002,6.9291,0.367,3.314,3.64,1.064,6.025,9.859,5.628,2.635,5.316,0.4136,0.0108,0.3651,6.322,7.481,4.722,9.823,4.875
2010,REG000000003,3.1432,7.74,6.041,4.378,0.091,8.228,7.438,4.502,3.584,6.134,0.0349,0.9877,0.0087,1.786,3.639,3.639,4.468,4.768
2015,REG000000004,2.0113,1.017,4.493,6.593,7.212,3.89,2.528,5.652,3.746,1.306,0.0169,0.6314,0.9219,2.681,1.796,6.754,3.222,3.982
2011,REG000000005,9.9854,0.023,8.386,6.703,1.55,3.901,3.469,5.993,7.087,1.539,0.1049,0.9631,0.9557,5.376,6.164,0.987,0.789,4.568
2017,REG000000006,6.6705,6.901,3.558,1.196,1.613,5.416,2.022,4.521,7.516,3.604,0.8489,0.3156,0.6202,8.006,2.537,0.791,1.683,4.723
2009,REG000000007,7.2146,6.197,5.454,8.332,9.915,7.18,9.128,0.622,4.927,9.086,0.8125,0.4924,0.9528,9.119,8.762,9.962,0.513,6.821
2016,REG000000008,1.8747,5.766,2.095,6.053,2.938,7.809,1.965,2.093,6.116,7.764,0.1749,0.7024,0.3714,4.468,1.246,5.896,8.249,4.601
2018,REG000000009,9.3298,6.448,4.871,8.674,9.275,6.058,9.56,6.649,1.126,5.303,0.6741,0.1699,0.1437,3.087,3.503,8.047,3.002,7.335
2016,REG000000010,8.6289,7.395,8.208,9.209,7.652,6.584,3.302,2.496,1.378,2.971,0.4498,0.5356,0.503,2.729,4.195,9.977,4.221,5.921
2022,REG000000011,7.831,6.157,0.654,2.434,6.032,8.777,1.909,2.598,6.634,7.462,0.0949,0.3403,0.1485,3.893,8.389,0.842,2.065,6.049
2016,REG000000012,7.4141,0.497,8.543,6.536,5.965,8.981,6.302,6.245,0.051,8.563,0.1948,0.0626,0.9071,0.266,9.234,2.128,1.426,5.291
2018,REG000000013,7.6222,2.503,8.789,2.042,3.852,0.899,3.217,9.922,0.907,7.727,0.5231,0.7905,0.8416,2.931,6.727,4.166,6.963,3.892
2009,REG000000014,2.5023,8.913,0.557,3.237,2.775,3.622,3.694,8.296,5.87,2.453,0.8851,0.9041,0.7879,4.892,8.003,3.415,0.579,4.99
2017,REG000000015,3.9844,0.711,3.219,4.039,8.904,3.84,0.443,1.347,5.61,4.024,0.4247,0.4546,0.9237,8.648,9.677,5.428,3.111,3.983
2012,REG000000016,4.6195,5.173,8.809,4.837,2.861,4.903,7.524,6.309,0.411,2.288,0.2164,0.5296,0.3288,6.411,8.304,5.216,8.78,4.314
2010,REG000000017,2.3796,3.203,4.082,4.797,5.947,2.225,8.809,8.498,5.054,8.273,0.3945,0.2096,0.1426,2.292,5.147,3.973,8.603,4.894
2015,REG000000018,7.5467,7.822,0.417,3.673,6.893,9.797,5.316,1.208,1.511,5.795,0.3597,0.4682,0.9984,7.663,8.948,9.532,1.454,6.46
2023,REG000000019,3.5848,7.213,0.567,0.568,7.693,9.22,8.913,2.403,4.218,8.612,0.3963,0.4928,0.024,6.207,4.109,1.189,4.102,6.049
2016,REG000000020,1.8549,0.61,3.384,9.296,0.645,4.53,5.744,9.419,6.378,9.459,0.1443,0.7042,0.2455,7.594,9.413,5.694,4.468,4.519
2025,REG000000021,5.121,0.14,7.201,9.962,0.147,0.596,5.196,8.019,5.471,0.342,0.5448,0.0162,0.6552,1.622,2.578,9.184,1.299,3.8
2013,REG000000022,4.4901,3.101,6.226,5.351,4.203,1.41,6.034,9.748,4.719,4.483,0.1133,0.758,0.0173,1.384,7.255,0.242,0.9,4.522
2019,REG000000023,2.0462,7.177,8.608,3.179,7.597,3.616,9.356,0.951,2.941,2.625,0.5889,0.2093,0.313,1.155,4.088,9.177,8.161,4.272
2015,REG000000024,0.9933,4.692,0.102,1.944,0.766,3.365,5.133,8.904,6.204,5.53,0.4225,0.5293,0.9162,1.372,7.706,1.052,0.748,4.13
2011,REG000000025,7.9094,8.823,2.603,6.359,3.319,9.021,1.86,1.889,6.151,8.846,0.6961,0.1561,0.3508,0.992,8.176,3.381,3.747,6.222
2010,REG000000026,6.3135,5.66,1.849,2.711,3.575,9.922,0.935,3.828,2.811,7.565,0.23,0.0594,0.0131,1.83,9.166,1.818,2.912,5.241
2015,REG000000027,5.1056,6.354,8.809,2.575,8.964,0.618,7.653,7.835,7.32,3.719,0.908,0.5973,0.1616,8.774,8.823,3.536,1.432,5.113
