safe_incident_incident_datetime_local,safe_incident_incident_type_code,safe_incident_ucr_nibrs_offense_code,safe_incident_call_priority_level,safe_incident_reporting_agency_ori,safe_incident_location_block_id,safe_incident_premise_type,safe_incident_weapon_involved_flag,safe_incident_injury_severity_code,safe_incident_victim_count,safe_incident_suspect_count,safe_incident_clearance_status_code,safe_incident_bias_motivation_flag,safe_incident_gang_related_flag,safe_incident_domestic_related_flag,safe_incident_property_loss_value_usd,safe_incident_body_worn_camera_flag,safe_incident_response_time_seconds,safe_incident_geocoding_accuracy_level,safe_incident_case_update_timestamp
2020-01-01 00:00:00,ROBBERY,13A,LOW,ORI100001,BLK0000000001,BAR,0,MINOR,4,5,OPEN,0,0,0,538.94,1,131,BLOCK,2020-01-01T00:00:15
2020-01-01 00:01:00,NARCOTICS,220,LOW,ORI100002,BLK0000000002,BAR,1,MINOR,3,5,OPEN,0,0,0,618.73,1,604,STREET,2020-01-01T00:01:16
2020-01-01 00:02:00,DUI,26B,HIGH,ORI100003,BLK0000000003,RESIDENCE,0,SERIOUS,4,5,CLEARED_ARREST,0,0,0,3202.83,0,2072,STREET,2020-01-01T00:02:17
2020-01-01 00:03:00,WEAPONS,90Z,HIGH,ORI100004,BLK0000000004,PARK,0,MINOR,4,3,CLEARED_EXCEPTION,1,0,0,2428.57,1,2315,STREET,2020-01-01T00:03:18
2020-01-01 00:04:00,DOMESTIC,26B,MEDIUM,ORI100005,BLK0000000005,BUSINESS,0,NONE,6,1,CLEARED_ARREST,0,0,1,1048.83,1,3036,UNKNOWN,2020-01-01T00:04:19
2020-01-01 00:05:00,ASSAULT,23B,MEDIUM,ORI100006,BLK0000000006,OTHER,0,NONE,4,5,OPEN,0,0,0,3607.81,0,2749,PARCEL,2020-01-01T00:05:20
2020-01-01 00:06:00,DUI,23A,LOW,ORI100007,BLK0000000007,SCHOOL,0,MINOR,5,1,OPEN,0,0,0,935.97,0,3347,STREET,2020-01-01T00:06:21
2020-01-01 00:07:00,ROBBERY,26C,LOW,ORI100008,BLK0000000008,SCHOOL,0,NONE,0,5,CLEARED_ARREST,0,1,0,1756.8,0,117,BLOCK,2020-01-01T00:07:22
2020-01-01 00:08:00,OTHER,23B,LOW,ORI100009,BLK0000000009,STREET,0,MINOR,0,3,CLEARED_EXCEPTION,0,0,0,2622.03,0,2930,PARCEL,2020-01-01T00:08:23
2020-01-01 00:09:00,FRAUD,26B,MEDIUM,ORI100010,BLK0000000010,STREET,1,FATAL,0,5,OPEN,1,0,0,478.44,0,664,PARCEL,2020-01-01T00:09:24
2020-01-01 00:10:00,FRAUD,13B,CRITICAL,ORI100011,BLK0000000011,PARK,0,MINOR,3,0,OPEN,0,0,0,2248.51,1,3484,PARCEL,2020-01-01T00:10:25
2020-01-01 00:11:00,ASSAULT,23C,LOW,ORI100012,BLK0000000012,BAR,0,MINOR,4,0,OPEN,0,0,1,1452.36,1,3345,ROOFTOP,2020-01-01T00:11:26
2020-01-01 00:12:00,OTHER,90Z,MEDIUM,ORI100013,BLK0000000013,BUSINESS,0,NONE,6,0,OPEN,0,0,0,473.48,1,565,BLOCK,2020-01-01T00:12:27
2020-01-01 00:13:00,DOMESTIC,23B,MEDIUM,ORI100014,BLK0000000014,STREET,1,SERIOUS,6,0,OPEN,0,0,0,4764.99,1,2786,PARCEL,2020-01-01T00:13:28
2020-01-01 00:14:00,WEAPONS,26B,MEDIUM,ORI100015,BLK0000000015,BAR,0,NONE,4,1,OPEN,0,0,0,990.89,1,1615,STREET,2020-01-01T00:14:29
2020-01-01 00:15:00,ROBBERY,23C,MEDIUM,ORI100016,BLK0000000016,BAR,0,NONE,1,1,OPEN,0,0,0,1526.92,1,541,PARCEL,2020-01-01T00:15:30
2020-01-01 00:16:00,VANDALISM,90Z,MEDIUM,ORI100017,BLK0000000017,RESIDENCE,0,NONE,1,3,CLEARED_ARREST,0,0,0,799.83,1,2450,BLOCK,2020-01-01T00:16:31
2020-01-01 00:17:00,FRAUD,13B,HIGH,ORI100018,BLK0000000018,RESIDENCE,1,NONE,1,1,OPEN,0,1,0,2293.42,0,3478,ROOFTOP,2020-01-01T00:17:32
2020-01-01 00:18:00,NARCOTICS,220,MEDIUM,ORI100019,BLK0000000019,BAR,0,NONE,3,0,OPEN,0,0,0,614.24,0,3218,PARCEL,2020-01-01T00:18:33
2020-01-01 00:19:00,ROBBERY,26B,MEDIUM,ORI100020,BLK0000000020,RESIDENCE,0,NONE,0,0,OPEN,0,0,0,1361.96,1,2296,ROOFTOP,2020-01-01T00:19:34
2020-01-01 00:20:00,BURGLARY,220,MEDIUM,ORI100021,BLK0000000021,PARK,0,NONE,6,2,UNFOUNDED,0,0,1,1799.85,1,808,STREET,2020-01-01T00:20:35
2020-01-01 00:21:00,NARCOTICS,13A,LOW,ORI100022,BLK0000000022,TRANSIT,0,NONE,6,0,CLEARED_EXCEPTION,0,1,0,988.35,0,278,ROOFTOP,2020-01-01T00:21:36
2020-01-01 00:22:00,NARCOTICS,220,MEDIUM,ORI100023,BLK0000000023,SCHOOL,0,MINOR,3,2,OPEN,0,0,1,933.45,0,2180,ZIP,2020-01-01T00:22:37
2020-01-01 00:23:00,DOMESTIC,23C,MEDIUM,ORI100024,BLK0000000024,PARKING,0,MINOR,6,2,CLEARED_ARREST,0,0,1,1036.63,0,855,ROOFTOP,2020-01-01T00:23:38
2020-01-01 00:24:00,THEFT,90Z,LOW,ORI100025,BLK0000000025,RESIDENCE,0,NONE,6,0,OPEN,0,0,1,1867.09,0,3318,ZIP,2020-01-01T00:24:39
2020-01-01 00:25:00,WEAPONS,250,HIGH,ORI100026,BLK0000000026,PARK,0,MINOR,4,1,OPEN,0,0,0,2035.59,0,810,BLOCK,2020-01-01T00:25:40
2020-01-01 00:26:00,DOMESTIC,26B,CRITICAL,ORI100027,BLK0000000027,SCHOOL,0,SERIOUS,2,1,CLEARED_ARREST,0,0,1,214.55,1,3418,BLOCK,2020-01-01T00:26:41
2020-01-01 00:27:00,DUI,250,LOW,ORI100028,BLK0000000028,RESIDENCE,0,NONE,4,4,OPEN,1,0,1,991.34,0,1038,BLOCK,2020-01-01T00:27:42
2020-01-01 00:28:00,DOMESTIC,26C,MEDIUM,ORI100029,BLK0000000029,STREET,0,NONE,2,4,OPEN,0,0,0,1214.93,0,3121,PARCEL,2020-01-01T00:28:43
2020-01-01 00:29:00,ASSAULT,13B,MEDIUM,ORI100030,BLK0000000030,RESIDENCE,0,NONE,3,5,OPEN,0,0,1,157.02,0,123,ROOFTOP,2020-01-01T00:29:44
2020-01-01 00:30:00,BURGLARY,90Z,MEDIUM,ORI100031,BLK0000000031,PARK,0,NONE,5,5,CLEARED_ARREST,0,0,1,1829.41,1,770,BLOCK,2020-01-01T00:30:45
2020-01-01 00:31:00,DUI,220,LOW,ORI100032,BLK0000000032,BUSINESS,0,NONE,2,5,OPEN,0,1,0,681.35,0,2379,BLOCK,2020-01-01T00:31:46
2020-01-01 00:32:00,BURGLARY,240,LOW,ORI100033,BLK0000000033,STREET,1,NONE,3,4,OPEN,0,1,0,670.13,1,3524,ROOFTOP,2020-01-01T00:32:47
2020-01-01 00:33:00,DOMESTIC,220,MEDIUM,ORI100034,BLK0000000034,TRANSIT,0,SERIOUS,0,3,OPEN,0,0,0,2942.69,1,2858,BLOCK,2020-01-01T00:33:48
2020-01-01 00:34:00,ROBBERY,90Z,MEDIUM,ORI100035,BLK0000000035,TRANSIT,0,MINOR,6,1,OPEN,0,0,0,744.28,1,3280,BLOCK,2020-01-01T00:34:49
2020-01-01 00:35:00,WEAPONS,250,LOW,ORI100036,BLK0000000036,BAR,0,NONE,2,4,OPEN,0,0,0,4669.2,1,455,STREET,2020-01-01T00:35:50
2020-01-01 00:36:00,WEAPONS,23B,LOW,ORI100037,BLK0000000037,BUSINESS,1,NONE,4,5,OPEN,0,0,1,2269.45,0,2543,ROOFTOP,2020-01-01T00:36:51
2020-01-01 00:37:00,FRAUD,23C,MEDIUM,ORI100038,BLK0000000038,SCHOOL,0,SERIOUS,2,4,CLEARED_EXCEPTION,0,0,1,900.53,1,2030,BLOCK,2020-01-01T00:37:52
2020-01-01 00:38:00,ROBBERY,23B,LOW,ORI100039,BLK0000000039,RESIDENCE,0,NONE,0,1,CLEARED_EXCEPTION,0,0,0,2196.96,1,2585,ROOFTOP,2020-01-01T00:38:53
2020-01-01 00:39:00,THEFT,26A,HIGH,ORI100040,BLK0000000040,TRANSIT,0,NONE,2,1,OPEN,0,0,0,4508.24,1,3070,ZIP,2020-01-01T00:39:54
2020-01-01 00:40:00,FRAUD,13A,MEDIUM,ORI100041,BLK0000000041,OTHER,1,MINOR,5,4,CLEARED_EXCEPTION,0,0,0,653.79,0,597,BLOCK,2020-01-01T00:40:55
2020-01-01 00:41:00,FRAUD,23A,HIGH,ORI100042,BLK0000000042,PARKING,1,NONE,1,1,CLEARED_EXCEPTION,0,0,0,976.14,0,1086,BLOCK,2020-01-01T00:41:56
2020-01-01 00:42:00,VANDALISM,240,MEDIUM,ORI100043,BLK0000000043,TRANSIT,1,MINOR,1,5,OPEN,0,0,1,3375.54,1,404,BLOCK,2020-01-01T00:42:57
2020-01-01 00:43:00,NARCOTICS,26A,HIGH,ORI100044,BLK0000000044,SCHOOL,1,NONE,0,0,CLEARED_EXCEPTION,0,1,0,2528.22,0,1190,UNKNOWN,2020-01-01T00:43:58
2020-01-01 00:44:00,DOMESTIC,90Z,MEDIUM,ORI100045,BLK0000000045,STREET,0,NONE,1,4,OPEN,0,0,1,2539.91,1,2203,UNKNOWN,2020-01-01T00:44:59
2020-01-01 00:45:00,THEFT,26B,MEDIUM,ORI100046,BLK0000000046,RESIDENCE,0,NONE,4,3,OPEN,0,0,1,1548.75,0,296,STREET,2020-01-01T00:45:15
2020-01-01 00:46:00,ROBBERY,26A,MEDIUM,ORI100047,BLK0000000047,SCHOOL,1,SERIOUS,1,5,OPEN,0,0,0,1032.14,0,1072,UNKNOWN,2020-01-01T00:46:16
2020-01-01 00:47:00,WEAPONS,220,MEDIUM,ORI100048,BLK0000000048,PARKING,0,NONE,2,1,CLEARED_EXCEPTION,0,0,1,891.85,1,2876,ROOFTOP,2020-01-01T00:47:17
2020-01-01 00:48:00,VANDALISM,13A,LOW,ORI100049,BLK0000000049,OTHER,1,NONE,2,2,UNFOUNDED,0,0,1,2266.97,0,177,BLOCK,2020-01-01T00:48:18
2020-01-01 00:49:00,OTHER,250,MEDIUM,ORI100050,BLK0000000050,OTHER,0,NONE,3,5,OPEN,0,1,0,1292.03,0,1373,UNKNOWN,2020-01-01T00:49:19
2020-01-01 00:50:00,OTHER,26B,LOW,ORI100051,BLK0000000051,OTHER,0,SERIOUS,5,0,OPEN,0,0,0,3055.09,0,2645,BLOCK,2020-01-01T00:50:20
