safe_justice_booking_date,safe_justice_arrest_offense_code,safe_justice_charge_severity_level,safe_justice_bail_amount_set,safe_justice_pretrial_release_flag,safe_justice_court_case_id_hash,safe_justice_court_disposition_code,safe_justice_sentence_type_code,safe_justice_sentence_length_days,safe_justice_probation_start_date,safe_justice_parole_eligibility_date,safe_justice_jail_days_served,safe_justice_prison_admission_flag,safe_justice_recidivism_12mo_flag,safe_justice_recidivism_36mo_flag,safe_justice_risk_assessment_score,safe_justice_public_defender_assigned_flag,safe_justice_diversion_program_flag,safe_justice_restorative_justice_flag,safe_justice_record_sealing_eligible_flag
2016-01-01,VANDALISM,MISDEMEANOR,250,1,CASE0000000001,DISMISSED,PROBATION,1168,2016-01-31,2016-06-29,216,0,0,0,97,1,1,0,1
2016-01-02,OTHER,FELONY,5000,1,CASE0000000002,PLEA,DIVERSION,2726,2016-02-01,2016-06-30,349,1,0,0,51,0,0,0,1
2016-01-03,ASSAULT,MISDEMEANOR,5000,0,CASE0000000003,DEFERRED,NONE,3519,2016-02-02,2016-07-01,495,1,0,0,51,1,0,0,0
2016-01-04,BURGLARY,FELONY,10000,1,CASE0000000004,GUILTY,NONE,3481,2016-02-03,2016-07-02,141,0,1,0,56,1,0,0,0
2016-01-05,FRAUD,FELONY,0,1,CASE0000000005,PENDING,DIVERSION,345,2016-02-04,2016-07-03,677,0,0,0,30,0,1,0,0
2016-01-06,WEAPONS,MISDEMEANOR,500,1,CASE0000000006,PENDING,PRISON,1406,2016-02-05,2016-07-04,358,0,0,0,97,0,1,0,0
2016-01-07,LARCENY,INFRACTION,1000,1,CASE0000000007,PLEA,JAIL,3324,2016-02-06,2016-07-05,503,0,0,0,17,1,0,0,0
2016-01-08,DRUG_TRAFFICK,INFRACTION,10000,1,CASE0000000008,GUILTY,NONE,2142,2016-02-07,2016-07-06,543,0,1,0,93,1,0,0,0
2016-01-09,DRUG_TRAFFICK,MISDEMEANOR,250,0,CASE0000000009,DISMISSED,PRISON,3450,2016-02-08,2016-07-07,542,0,0,1,74,0,1,0,1
2016-01-10,DRUG_POSSESS,MISDEMEANOR,1000,0,CASE0000000010,GUILTY,JAIL,1254,2016-02-09,2016-07-08,639,0,0,1,89,0,1,0,1
2016-01-11,DRUG_POSSESS,MISDEMEANOR,0,0,CASE0000000011,PLEA,DIVERSION,1065,2016-02-10,2016-07-09,82,0,0,0,54,0,1,0,0
2016-01-12,OTHER,MISDEMEANOR,5000,1,CASE0000000012,GUILTY,PROBATION,2629,2016-02-11,2016-07-10,264,0,0,0,61,0,1,0,0
2016-01-13,DUI,MISDEMEANOR,1000,0,CASE0000000013,PLEA,PROBATION,2106,2016-02-12,2016-07-11,5,0,0,0,61,1,0,1,1
2016-01-14,ASSAULT,FELONY,2500,1,CASE0000000014,PLEA,PROBATION,1773,2016-02-13,2016-07-12,291,1,0,0,15,1,1,0,0
2016-01-15,LARCENY,FELONY,100,1,CASE0000000015,PLEA,PRISON,972,2016-02-14,2016-07-13,427,0,0,0,75,0,0,0,0
2016-01-16,OTHER,MISDEMEANOR,5000,1,CASE0000000016,PENDING,DIVERSION,1229,2016-02-15,2016-07-14,515,1,0,0,32,1,1,0,1
2016-01-17,VANDALISM,MISDEMEANOR,0,1,CASE0000000017,PLEA,JAIL,3179,2016-02-16,2016-07-15,587,1,0,1,93,0,1,0,0
2016-01-18,WEAPONS,MISDEMEANOR,0,1,CASE0000000018,GUILTY,JAIL,330,2016-02-17,2016-07-16,454,0,0,0,5,1,0,0,0
2016-01-19,DRUG_TRAFFICK,MISDEMEANOR,25000,1,CASE0000000019,NOT_GUILTY,PROBATION,751,2016-02-18,2016-07-17,479,1,0,0,84,0,0,0,1
2016-01-20,DRUG_TRAFFICK,MISDEMEANOR,250,1,CASE0000000020,PENDING,COMMUNITY_SERVICE,2344,2016-02-19,2016-07-18,112,1,1,1,55,1,0,0,0
2016-01-21,BURGLARY,MISDEMEANOR,250,1,CASE0000000021,GUILTY,PRISON,1492,2016-02-20,2016-07-19,1,0,0,0,72,1,0,1,0
2016-01-22,DRUG_POSSESS,MISDEMEANOR,100,1,CASE0000000022,PLEA,DIVERSION,538,2016-02-21,2016-07-20,416,0,1,1,83,0,1,0,0
2016-01-23,ASSAULT,MISDEMEANOR,10000,1,CASE0000000023,PENDING,DIVERSION,3420,2016-02-22,2016-07-21,322,0,1,0,73,1,1,0,0
2016-01-24,DRUG_TRAFFICK,INFRACTION,10000,1,CASE0000000024,DISMISSED,JAIL,699,2016-02-23,2016-07-22,110,1,0,0,87,1,0,0,0
2016-01-25,OTHER,INFRACTION,2500,1,CASE0000000025,PLEA,PROBATION,2842,2016-02-24,2016-07-23,333,0,0,1,3,1,1,0,1
2016-01-26,BURGLARY,FELONY,250,1,CASE0000000026,DEFERRED,JAIL,1208,2016-02-25,2016-07-24,61,1,0,1,26,1,0,0,1
2016-01-27,LARCENY,INFRACTION,2500,0,CASE0000000027,PENDING,JAIL,3116,2016-02-26,2016-07-25,365,0,0,0,6,0,1,0,1
2016-01-28,VANDALISM,MISDEMEANOR,100,0,CASE0000000028,PLEA,PROBATION,2211,2016-02-27,2016-07-26,693,0,0,0,41,1,1,0,1
2016-01-29,VANDALISM,MISDEMEANOR,10000,0,CASE0000000029,PLEA,DIVERSION,530,2016-02-28,2016-07-27,604,1,0,0,79,1,1,0,0
2016-01-30,OTHER,FELONY,250,1,CASE0000000030,PLEA,PROBATION,3337,2016-02-29,2016-07-28,93,0,0,0,23,0,0,0,0
2016-01-31,DRUG_POSSESS,MISDEMEANOR,25000,0,CASE0000000031,DEFERRED,JAIL,3534,2016-03-01,2016-07-29,174,1,0,0,37,0,0,1,1
2016-02-01,DRUG_TRAFFICK,FELONY,2500,1,CASE0000000032,PENDING,NONE,1776,2016-03-02,2016-07-30,290,0,0,0,70,1,1,1,0
2016-02-02,OTHER,MISDEMEANOR,100,1,CASE0000000033,PENDING,NONE,2952,2016-03-03,2016-07-31,621,0,0,0,90,1,1,0,0
2016-02-03,WEAPONS,MISDEMEANOR,2500,1,CASE0000000034,PENDING,PROBATION,3200,2016-03-04,2016-08-01,167,0,0,0,89,0,1,0,0
2016-02-04,ASSAULT,FELONY,1000,1,CASE0000000035,GUILTY,PROBATION,198,2016-03-05,2016-08-02,154,0,1,0,31,1,0,0,0
2016-02-05,LARCENY,MISDEMEANOR,250,0,CASE0000000036,PLEA,DIVERSION,869,2016-03-06,2016-08-03,197,0,0,1,29,1,0,0,0
2016-02-06,ASSAULT,MISDEMEANOR,500,1,CASE0000000037,GUILTY,JAIL,2137,2016-03-07,2016-08-04,558,1,0,0,67,0,0,1,0
2016-02-07,OTHER,MISDEMEANOR,10000,0,CASE0000000038,PLEA,JAIL,1697,2016-03-08,2016-08-05,563,0,0,1,46,1,0,0,0
2016-02-08,WEAPONS,INFRACTION,500,0,CASE0000000039,DISMISSED,NONE,564,2016-03-09,2016-08-06,72,0,0,0,8,1,0,0,0
2016-02-09,DRUG_POSSESS,FELONY,1000,1,CASE0000000040,DEFERRED,PROBATION,662,2016-03-10,2016-08-07,545,0,0,0,36,0,1,0,0
2016-02-10,DUI,MISDEMEANOR,25000,1,CASE0000000041,DISMISSED,DIVERSION,479,2016-03-11,2016-08-08,73,0,0,1,74,1,1,0,0
2016-02-11,VANDALISM,MISDEMEANOR,250,0,CASE0000000042,NOT_GUILTY,DIVERSION,3339,2016-03-12,2016-08-09,506,0,0,1,15,1,0,0,0
2016-02-12,BURGLARY,INFRACTION,250,1,CASE0000000043,DISMISSED,PRISON,2386,2016-03-13,2016-08-10,374,1,1,1,20,1,0,0,0
2016-02-13,VANDALISM,MISDEMEANOR,500,1,CASE0000000044,PLEA,JAIL,1967,2016-03-14,2016-08-11,371,0,1,1,86,1,0,0,0
2016-02-14,ASSAULT,MISDEMEANOR,100,1,CASE0000000045,PLEA,DIVERSION,2577,2016-03-15,2016-08-12,357,1,0,1,40,0,1,0,1
2016-02-15,WEAPONS,FELONY,500,0,CASE0000000046,PENDING,JAIL,2386,2016-03-16,2016-08-13,226,1,0,0,24,1,0,0,1
2016-02-16,DRUG_POSSESS,FELONY,0,1,CASE0000000047,PLEA,PRISON,75,2016-03-17,2016-08-14,16,1,0,1,51,0,0,0,0
2016-02-17,BURGLARY,FELONY,2500,1,CASE0000000048,GUILTY,DIVERSION,1768,2016-03-18,2016-08-15,631,1,1,0,16,0,0,0,0
2016-02-18,BURGLARY,FELONY,2500,0,CASE0000000049,GUILTY,PRISON,3291,2016-03-19,2016-08-16,604,0,0,0,51,0,1,0,1
2016-02-19,DUI,MISDEMEANOR,1000,1,CASE0000000050,DISMISSED,PROBATION,1065,2016-03-20,2016-08-17,391,0,1,0,61,0,0,0,1
2016-02-20,OTHER,MISDEMEANOR,5000,1,CASE0000000051,DISMISSED,PROBATION,931,2016-03-21,2016-08-18,74,0,0,1,92,1,1,0,1
2016-02-21,DUI,FELONY,5000,1,CASE0000000052,GUILTY,DIVERSION,62,2016-03-22,2016-08-19,511,0,1,1,27,1,0,0,1
2016-02-22,VANDALISM,FELONY,25000,0,CASE0000000053,GUILTY,NONE,1591,2016-03-23,2016-08-20,655,0,0,0,11,0,0,0,0
2016-02-23,LARCENY,FELONY,100,0,CASE0000000054,PENDING,PROBATION,1577,2016-03-24,2016-08-21,60,1,0,1,73,1,1,0,1
2016-02-24,OTHER,MISDEMEANOR,0,1,CASE0000000055,GUILTY,JAIL,2332,2016-03-25,2016-08-22,109,0,1,1,81,0,0,0,1
2016-02-25,WEAPONS,FELONY,25000,0,CASE0000000056,DEFERRED,PROBATION,2022,2016-03-26,2016-08-23,294,1,1,1,70,1,0,0,0
2016-02-26,BURGLARY,MISDEMEANOR,1000,0,CASE0000000057,GUILTY,PROBATION,1868,2016-03-27,2016-08-24,581,0,0,0,67,1,0,0,0
2016-02-27,WEAPONS,MISDEMEANOR,250,1,CASE0000000058,PENDING,DIVERSION,2177,2016-03-28,2016-08-25,718,0,0,1,27,0,0,1,0
2016-02-28,FRAUD,MISDEMEANOR,0,0,CASE0000000059,DEFERRED,PROBATION,578,2016-03-29,2016-08-26,225,0,0,1,98,0,0,0,1
2016-02-29,DRUG_TRAFFICK,MISDEMEANOR,0,1,CASE0000000060,PENDING,JAIL,996,2016-03-30,2016-08-27,312,0,0,0,88,1,0,0,1
2016-03-01,DRUG_TRAFFICK,MISDEMEANOR,5000,1,CASE0000000061,GUILTY,PROBATION,1663,2016-03-31,2016-08-28,341,0,0,1,4,0,1,0,1
2016-03-02,FRAUD,MISDEMEANOR,25000,0,CASE0000000062,NOT_GUILTY,PRISON,3444,2016-04-01,2016-08-29,379,0,1,0,28,1,0,0,0
2016-03-03,ASSAULT,MISDEMEANOR,5000,0,CASE0000000063,PLEA,DIVERSION,2550,2016-04-02,2016-08-30,294,1,0,0,27,0,0,0,0
2016-03-04,DRUG_TRAFFICK,INFRACTION,0,1,CASE0000000064,GUILTY,PROBATION,2487,2016-04-03,2016-08-31,138,0,0,0,5,1,1,0,1
2016-03-05,OTHER,MISDEMEANOR,5000,0,CASE0000000065,PENDING,PROBATION,1501,2016-04-04,2016-09-01,223,0,0,1,55,0,1,0,0
2016-03-06,BURGLARY,INFRACTION,10000,0,CASE0000000066,DEFERRED,DIVERSION,2149,2016-04-05,2016-09-02,649,0,0,0,50,1,1,0,0
2016-03-07,ASSAULT,MISDEMEANOR,10000,0,CASE0000000067,DEFERRED,PROBATION,338,2016-04-06,2016-09-03,525,0,0,0,3,0,0,0,0
2016-03-08,ASSAULT,MISDEMEANOR,0,1,CASE0000000068,PENDING,JAIL,2360,2016-04-07,2016-09-04,728,0,0,1,91,0,0,0,0
2016-03-09,ASSAULT,MISDEMEANOR,0,1,CASE0000000069,GUILTY,DIVERSION,2511,2016-04-08,2016-09-05,19,0,0,1,54,1,1,0,0
2016-03-10,OTHER,MISDEMEANOR,10000,0,CASE0000000070,GUILTY,PRISON,1504,2016-04-09,2016-09-06,248,0,0,0,32,0,0,0,0
2016-03-11,DRUG_POSSESS,FELONY,100,1,CASE0000000071,GUILTY,JAIL,3579,2016-04-10,2016-09-07,550,0,0,0,39,1,0,0,1
2016-03-12,OTHER,MISDEMEANOR,2500,0,CASE0000000072,PLEA,DIVERSION,7,2016-04-11,2016-09-08,611,0,0,0,4,1,0,1,0
2016-03-13,BURGLARY,MISDEMEANOR,100,0,CASE0000000073,PENDING,DIVERSION,3486,2016-04-12,2016-09-09,635,0,1,1,78,0,0,0,0
2016-03-14,ASSAULT,MISDEMEANOR,500,0,CASE0000000074,NOT_GUILTY,PROBATION,1632,2016-04-13,2016-09-10,408,0,0,0,91,1,0,0,0
2016-03-15,VANDALISM,INFRACTION,10000,0,CASE0000000075,PLEA,JAIL,2412,2016-04-14,2016-09-11,321,0,0,0,58,1,0,0,1
2016-03-16,VANDALISM,MISDEMEANOR,10000,0,CASE0000000076,PENDING,COMMUNITY_SERVICE,3284,2016-04-15,2016-09-12,359,1,0,1,74,0,1,0,1
2016-03-17,DRUG_POSSESS,INFRACTION,5000,1,CASE0000000077,DEFERRED,PROBATION,910,2016-04-16,2016-09-13,407,0,0,0,98,0,0,0,1
2016-03-18,DRUG_POSSESS,MISDEMEANOR,2500,1,CASE0000000078,DISMISSED,PRISON,1236,2016-04-17,2016-09-14,575,0,0,1,37,1,0,1,0
2016-03-19,ASSAULT,MISDEMEANOR,5000,1,CASE0000000079,GUILTY,COMMUNITY_SERVICE,3436,2016-04-18,2016-09-15,237,0,1,0,99,1,0,0,0
2016-03-20,DUI,MISDEMEANOR,2500,1,CASE0000000080,PENDING,JAIL,1699,2016-04-19,2016-09-16,560,0,1,0,58,1,0,0,0
2016-03-21,DUI,INFRACTION,10000,0,CASE0000000081,PENDING,PROBATION,2414,2016-04-20,2016-09-17,171,0,1,0,20,0,0,0,0
2016-03-22,LARCENY,MISDEMEANOR,1000,0,CASE0000000082,GUILTY,PROBATION,817,2016-04-21,2016-09-18,619,0,0,0,8,1,1,0,0
2016-03-23,LARCENY,MISDEMEANOR,500,0,CASE0000000083,PLEA,JAIL,3074,2016-04-22,2016-09-19,384,0,0,0,88,0,0,0,0
