safe_survey_survey_wave_id,safe_survey_respondent_household_id,safe_survey_perceived_safety_night_score,safe_survey_perceived_safety_day_score,safe_survey_victimization_any_flag,safe_survey_victimization_property_flag,safe_survey_victimization_violent_flag,safe_survey_reporting_to_police_flag,safe_survey_reason_not_reported_code,safe_survey_trust_in_police_score,safe_survey_fear_of_crime_index,safe_survey_neighborhood_disorder_index,safe_survey_social_cohesion_score,safe_survey_collective_efficacy_score,safe_survey_gun_heard_frequency,safe_survey_drug_activity_observed_frequency,safe_survey_lighting_adequacy_score,safe_survey_public_space_usage_score,safe_survey_survey_mode_type,safe_survey_weight_calibration_factor
WAVE002,HH000000001,5,9,1,0,0,1,NO_TRUST,5,0.8103,0.0041,0.2193,0.3551,NEVER,SOMETIMES,9,0.0666,PHONE,0.225228
WAVE003,HH000000002,9,1,1,0,0,0,NOT_APPLICABLE,2,0.1737,0.4711,0.7545,0.8563,RARELY,OFTEN,9,0.9228,IN_PERSON,0.502247
WAVE004,HH000000003,7,4,0,0,1,0,NO_TRUST,4,0.3473,0.7145,0.7898,0.1451,NEVER,NEVER,1,0.7262,WEB,0.588718
WAVE005,HH000000004,1,4,0,0,0,1,NOT_APPLICABLE,2,0.9187,0.0632,0.6216,0.7429,NEVER,RARELY,5,0.1318,WEB,2.278065
WAVE006,HH000000005,6,0,0,1,0,1,NO_TIME,7,0.5221,0.3479,0.4946,0.7732,SOMETIMES,NEVER,1,0.6303,MAIL,2.022402
WAVE007,HH000000006,5,10,1,1,0,0,NO_TIME,1,0.7501,0.4115,0.5218,0.5739,SOMETIMES,NEVER,8,0.4667,MAIL,1.73537
WAVE008,HH000000007,9,2,1,0,0,0,NOT_APPLICABLE,3,0.3636,0.2454,0.9684,0.3166,NEVER,OFTEN,10,0.6604,WEB,0.440928
WAVE009,HH000000008,3,0,0,1,0,0,NO_TRUST,5,0.9304,0.1331,0.0776,0.5382,NEVER,SOMETIMES,9,0.6515,PHONE,0.888779
WAVE010,HH000000009,3,8,0,0,0,0,TOO_MINOR,0,0.1606,0.6813,0.3344,0.5984,RARELY,NEVER,4,0.0328,PHONE,2.036656
WAVE011,HH000000010,9,0,0,1,0,1,NOT_APPLICABLE,4,0.9972,0.0929,0.8244,0.8925,NEVER,RARELY,5,0.9411,IN_PERSON,1.965728
WAVE012,HH000000011,7,2,0,0,0,0,TOO_MINOR,9,0.7848,0.6114,0.8814,0.473,OFTEN,RARELY,5,0.6663,PHONE,1.33582
WAVE013,HH000000012,10,6,1,0,0,0,TOO_MINOR,7,0.4856,0.3617,0.6074,0.4535,RARELY,RARELY,4,0.2752,IN_PERSON,1.460021
WAVE014,HH000000013,1,5,1,0,0,0,NOT_APPLICABLE,0,0.8393,0.983,0.8504,0.7806,RARELY,RARELY,4,0.1177,WEB,2.442735
WAVE015,HH000000014,9,10,0,0,0,0,NOT_APPLICABLE,0,0.9814,0.0436,0.2423,0.9607,NEVER,NEVER,4,0.1621,MAIL,0.773938
WAVE016,HH000000015,6,1,0,0,0,0,FEAR_RETALIATION,5,0.5862,0.3822,0.0129,0.4809,RARELY,NEVER,2,0.3746,WEB,0.512981
WAVE017,HH000000016,8,3,0,0,0,0,NOT_APPLICABLE,1,0.4544,0.9211,0.9969,0.8521,SOMETIMES,NEVER,6,0.9905,WEB,1.350725
WAVE018,HH000000017,1,6,1,0,0,1,OTHER,4,0.1809,0.0658,0.3664,0.2189,NEVER,RARELY,2,0.3115,WEB,1.917909
WAVE019,HH000000018,10,6,0,0,0,1,NOT_APPLICABLE,6,0.6206,0.7955,0.9769,0.2972,NEVER,OFTEN,9,0.2582,IN_PERSON,1.534271
WAVE020,HH000000019,9,10,0,1,0,0,NOT_APPLICABLE,10,0.1508,0.3674,0.737,0.632,RARELY,SOMETIMES,0,0.8033,WEB,0.896277
WAVE021,HH000000020,1,2,1,0,0,1,NOT_APPLICABLE,5,0.9724,0.9777,0.3151,0.5256,NEVER,NEVER,4,0.7733,WEB,2.727032
WAVE022,HH000000021,9,9,0,0,0,1,FEAR_RETALIATION,8,0.564,0.5657,0.5389,0.3338,NEVER,SOMETIMES,5,0.3474,WEB,2.902
WAVE023,HH000000022,10,2,1,0,0,1,NOT_APPLICABLE,2,0.7907,0.9015,0.3119,0.2531,RARELY,RARELY,10,0.4215,PHONE,0.378852
WAVE024,HH000000023,0,4,1,0,0,0,FEAR_RETALIATION,0,0.6493,0.3545,0.2152,0.0389,SOMETIMES,RARELY,2,0.4186,PHONE,2.195222
WAVE025,HH000000024,4,8,0,0,0,1,NOT_APPLICABLE,1,0.3625,0.1061,0.1935,0.0712,OFTEN,RARELY,1,0.6532,WEB,0.353518
WAVE026,HH000000025,10,10,0,0,0,0,NOT_APPLICABLE,5,0.8816,0.33,0.99,0.7222,RARELY,RARELY,9,0.1891,PHONE,0.683765
WAVE027,HH000000026,1,9,0,0,0,0,NO_TRUST,5,0.9485,0.4011,0.5878,0.5032,RARELY,SOMETIMES,5,0.8726,PHONE,2.463418
WAVE028,HH000000027,7,2,0,0,0,0,NO_TRUST,2,0.5012,0.2931,0.6853,0.4517,NEVER,NEVER,3,0.6911,PHONE,2.04888
WAVE029,HH000000028,7,4,0,0,0,0,TOO_MINOR,7,0.2498,0.7302,0.7125,0.3726,RARELY,RARELY,10,0.0384,PHONE,1.888706
WAVE030,HH000000029,2,10,0,0,1,1,NO_TRUST,8,0.3775,0.046,0.2292,0.5866,NEVER,NEVER,0,0.6596,PHONE,2.739148
WAVE031,HH000000030,5,3,1,0,0,0,NOT_APPLICABLE,10,0.2838,0.2926,0.0063,0.5558,NEVER,OFTEN,7,0.0469,WEB,1.310778
WAVE032,HH000000031,0,5,0,0,0,1,NOT_APPLICABLE,3,0.7046,0.4809,0.2323,0.3321,NEVER,NEVER,6,0.3138,PHONE,0.655523
WAVE033,HH000000032,4,6,0,0,0,1,NO_TIME,9,0.7706,0.6282,0.2224,0.4554,NEVER,NEVER,4,0.778,WEB,1.624623
WAVE034,HH000000033,6,10,0,0,0,0,FEAR_RETALIATION,1,0.3834,0.6164,0.9857,0.1457,NEVER,NEVER,7,0.9261,WEB,0.658606
WAVE035,HH000000034,7,3,1,0,1,1,TOO_MINOR,0,0.7755,0.6816,0.4092,0.6845,NEVER,NEVER,9,0.9843,WEB,1.020384
WAVE036,HH000000035,10,10,0,0,0,1,OTHER,4,0.6748,0.5211,0.1157,0.8473,SOMETIMES,OFTEN,6,0.8755,WEB,1.788567
WAVE037,HH000000036,0,6,0,0,1,0,NOT_APPLICABLE,3,0.2638,0.9083,0.721,0.6098,NEVER,SOMETIMES,8,0.6001,WEB,2.634832
WAVE038,HH000000037,3,5,0,1,0,0,NOT_APPLICABLE,9,0.8496,0.4489,0.279,0.1445,SOMETIMES,SOMETIMES,8,0.8046,MAIL,2.734628
WAVE039,HH000000038,0,1,0,0,0,1,NO_TRUST,5,0.0001,0.0389,0.4109,0.6544,NEVER,RARELY,4,0.2561,WEB,2.568223
WAVE040,HH000000039,9,1,0,0,1,0,NOT_APPLICABLE,1,0.5869,0.1718,0.6144,0.3405,NEVER,NEVER,8,0.804,PHONE,1.04471
WAVE001,HH000000040,5,5,0,0,0,0,TOO_MINOR,6,0.0719,0.5806,0.4563,0.2168,RARELY,NEVER,7,0.484,PHONE,2.165794
WAVE002,HH000000041,4,6,0,0,0,0,FEAR_RETALIATION,6,0.298,0.4565,0.5971,0.3346,NEVER,RARELY,10,0.0311,WEB,1.550088
